**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	0	1	18	0	0	25	0	0
6	0	4	19	0	0	-25	0	0
8	3	1	20	0	0	-25	0	0
10	3	2	21	0	0	-25	0	0
12	3	3	22	18	0	-25	0	0
16	4	1	23	-18	0	-25	0	0
18	4	2	-23	19	0	-25	0	0
20	4	3	22	20	0	-25	0	0
22	4	4	-22	21	0	-25	0	0
24	5	1	18	22	0	-25	0	0
28	5	3	-18	23	0	-25	0	0
32	6	1	-18	22	0	27	0	0
36	6	3	25	18	0	-27	0	0
40	7	1	23	25	0	-27	0	0
43	7	2.5	24	-25	0	-27	0	0
44	7	3	25	23	0	-27	0	0
47	7	4.5	-25	24	0	-27	0	0
48	8	1	21	25	0	28	0	0
52	8	3	0	21	0	-28	0	0
54	8	4	23	-21	0	-28	0	0
56	9	1	24	0	0	-28	0	0
58	9	2	-24	24	0	-28	0	0
60	9	3	23	25	0	-28	0	0
62	9	4	24	26	0	-28	0	0
64	10	1	-24	-26	0	29	0	0
65	10	1.5	23	25	0	-29	0	0
66	10	2	22	24	0	-29	0	0
67	10	2.5	21	23	0	-29	0	0
68	10	3	22	24	0	-29	0	0
72	11	1	21	25	0	30	25	0
76	11	3	18	25	0	-30	-25	0
78	11	4	-18	-25	0	-30	26	0
80	12	1	-18	-25	0	29	27	32
82	12	2	19	24	0	-29	28	-32
83	12	2.5	-19	23	0	-29	-28	-32
84	12	3	20	22	25	-29	29	-32
88	13	1	21	0	-25	0	30	-32
90	13	2	-21	0	26	0	-30	-32
92	13	3	20	18	27	0	29	-32
94	13	4	-20	-18	28	0	-29	-32
96	14	1	0	18	29	0	25	-32
99	14	2.5	0	-18	-29	0	26	-32
100	14	3	0	-18	30	0	27	-32
102	14	4	0	19	-30	0	28	-32
104	15	1	0	20	29	0	29	-32
108	15	3	0	21	25	0	30	-32
111	15	4.5	0	-21	26	0	-30	-32
112	16	1	18	20	27	0	29	34
114	16	2	-18	-20	28	0	-29	-34
115	16	2.5	-18	18	-28	0	-29	-34
116	16	3	-18	25	29	0	27	-34
120	17	1	18	-25	30	0	-27	-34
122	17	2	-18	23	-30	0	-27	-34
124	17	3	-18	25	29	0	-27	-34
128	18	1	21	23	28	0	25	35
131	18	2.5	-21	-23	27	0	-25	-35
132	18	3	-21	-23	25	0	28	-35
134	18	4	19	-23	26	0	-28	-35
135	18	4.5	-19	-23	-26	0	29	-35
136	19	1	21	-23	25	0	30	-35
140	19	3	19	21	28	0	-30	-35
