**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	23	0	0
8	2	1	24	0	0
12	2	3	23	0	0
16	3	1	25	27	0
24	4	1	26	28	0
28	4	3	25	27	0
32	5	1	24	29	0
40	6	1	23	30	34
48	7	1	26	-30	35
52	7	3	25	-30	34
56	8	1	24	31	36
62	8	4	23	-31	-36
63	8	4.5	22	-31	-36
64	9	1	21	30	37
67	9	2.5	22	-30	-37
68	9	3	23	-30	0
69	9	3.5	24	-30	0
70	9	4	25	-30	34
72	10	1	26	-30	35
75	10	2.5	25	-30	34
76	10	3	23	-30	32
78	10	4	25	-30	34
80	11	1	24	28	-34
82	11	2	22	29	33
84	11	3	23	27	32
86	11	4	25	-27	34
88	12	1	24	28	-34
89	12	1.5	-24	-28	33
90	12	2	22	29	33
92	12	3	23	27	-33
94	12	4	25	-27	32
96	13	1	24	28	33
98	13	2	22	29	-33
100	13	3	23	27	0
104	14	1	19	26	0
106	14	2	-19	28	0
108	14	3	23	-28	0
109	14	3.5	-23	27	0
110	14	4	-23	27	0
114	15	2	-23	30	0
116	15	3	24	-30	0
118	15	4	-24	29	0
120	16	1	23	-29	0
122	16	2	-23	28	0
124	16	3	22	-28	0
126	16	4	-22	27	0
128	17	1	21	-27	0
130	17	2	-21	26	0
132	17	3	20	-26	0
134	17	4	-20	25	0
136	18	1	19	26	30
142	18	4	26	-26	31
145	19	1.5	-26	0	30
146	19	2	25	0	30
148	19	3	24	0	-30
150	19	4	-24	0	29
152	20	1	23	27	30
154	20	2	19	28	-30
157	20	3.5	20	-28	-30
158	20	4	21	27	-30
159	20	4.5	22	26	-30
160	21	1	23	25	-30
162	21	2	19	26	-30
164	21	3	23	-26	-30
166	21	4	-23	25	-30
168	22	1	19	26	-30
170	22	2	21	-26	-30
172	22	3	20	-26	-30
174	22	4	21	25	-30
175	22	4.5	-21	24	-30
176	23	1	-21	23	32
178	23	2	20	-23	-32
179	23	2.5	19	-23	-32
180	23	3	20	0	-32
184	24	1	0	30	33
186	24	2	19	-30	-33
189	24	3.5	20	-30	-33
190	24	4	21	-30	32
191	24	4.5	22	-30	31
192	25	1	23	27	32
194	25	2	21	28	30
198	25	4	22	26	31
201	26	1.5	-22	25	30
202	26	2	21	24	30
203	26	2.5	-21	23	-30
204	26	3	22	24	-30
206	26	4	-22	-24	29
208	27	1	19	23	30
211	27	2.5	20	-23	-30
212	27	3	21	30	0
213	27	3.5	22	-30	0
214	27	4	23	-30	32
217	28	1.5	24	-30	33
218	28	2	25	-30	34
219	28	2.5	26	-30	35
220	28	3	24	29	33
224	29	1	23	30	32
226	29	2	-23	32	30
228	29	3	22	31	0
230	29	4	23	30	32
232	30	1	24	-30	33
234	30	2	-24	29	-33
236	30	3	23	30	32
238	30	4	-23	32	30
240	31	1	22	31	0
242	31	2	23	30	32
244	31	3	24	-30	33
246	31	4	-24	29	-33
248	32	1	23	30	32
250	32	2	-23	32	30
252	32	3	22	31	0
254	32	4	23	30	32
256	33	1	24	-30	33
258	33	2	-24	29	-33
260	33	3	23	30	32
262	33	4	-23	32	-32
263	33	4.5	-23	-32	31
264	34	1	0	-32	30
265	34	1.5	0	31	29
266	34	2	0	30	28
267	34	2.5	0	29	-28
268	34	3	0	28	-28
270	34	4	0	-28	35
272	35	1	25	29	-35
274	35	2	-25	-29	34
276	35	3	26	28	35
280	36	1	24	0	33
282	36	2	25	29	34
284	36	3	23	30	32
286	36	4	24	28	33
288	37	1	22	29	31
290	37	2	23	27	32
292	37	3	21	28	30
294	37	4	22	26	31
296	38	1	20	27	29
298	38	2	21	25	30
300	38	3	-21	23	-30
302	38	4	19	26	28
304	39	1	20	-26	29
306	39	2	-20	25	-29
308	39	3	19	26	28
310	39	4	-19	28	-28
312	40	1	23	27	0
314	40	2	-23	30	0
316	40	3	24	-30	0
318	40	4	-24	29	0
320	41	1	23	30	34
324	41	3	19	-30	35
328	42	1	23	0	34
330	42	2	-23	30	32
332	42	3	24	-30	33
334	42	4	-24	29	-33
336	43	1	23	30	32
338	43	2	-23	-30	34
340	43	3	19	-30	35
344	44	1	23	0	34
346	44	2	-23	30	32
348	44	3	24	-30	33
350	44	4	-24	29	-33
352	45	1	23	30	32
354	45	2	25	29	34
356	45	3	26	28	35
358	45	4	-26	31	-35
359	45	4.5	25	-31	34
360	46	1	26	-31	35
361	46	1.5	-26	30	-35
362	46	2	24	31	33
364	46	3	25	29	34
366	46	4	-25	30	-34
367	46	4.5	24	-30	33
368	47	1	25	-30	34
369	47	1.5	-25	29	-34
370	47	2	23	30	32
372	47	3	24	28	33
374	47	4	-24	29	-33
375	47	4.5	23	-29	32
376	48	1	24	-29	33
377	48	1.5	-24	28	-33
378	48	2	22	29	31
380	48	3	23	27	32
382	48	4	-23	28	-32
383	48	4.5	22	-28	31
384	49	1	23	-28	32
385	49	1.5	-23	27	-32
386	49	2	21	28	30
388	49	3	22	26	31
394	50	2	19	-26	30
396	50	3	21	25	30
400	51	1	22	24	-30
404	51	3	-22	-24	29
408	52	1	19	23	30
410	52	2	-19	26	-30
412	52	3	23	-26	-30
414	52	4	-23	25	-30
416	53	1	19	26	30
418	53	2	-19	28	33
420	53	3	0	27	-33
422	53	4	23	-27	32
424	54	1	24	26	33
430	54	4	-24	28	-33
434	55	2	-24	26	-33
436	55	3	-24	28	-33
438	55	4	-24	29	-33
440	56	1	23	30	32
444	56	3	24	0	33
446	56	4	25	29	34
450	57	2	23	28	35
452	57	3	22	-28	36
454	57	4	-22	27	-36
456	58	1	21	28	37
460	58	3	0	32	-37
462	58	4	28	-32	-37
464	59	1	27	-32	36
466	59	2	28	-32	37
469	59	3.5	27	-32	36
470	59	4	25	-32	34
472	60	1	26	30	35
476	60	3	25	-30	34
478	60	4	26	-30	35
481	61	1.5	25	-30	34
482	61	2	23	-30	32
484	61	3	24	28	33
488	62	1	23	-28	32
490	62	2	24	-28	33
493	62	3.5	23	-28	32
494	62	4	21	-28	30
496	63	1	25	27	29
498	63	2	21	28	32
500	63	3	22	26	-32
502	63	4	-22	-26	31
504	64	1	23	25	-31
505	64	1.5	-23	-25	30
506	64	2	19	26	30
508	64	3	22	24	-30
510	64	4	-22	-24	29
512	65	1	19	23	30
514	65	2	-19	26	-30
517	65	3.5	-19	27	-30
518	65	4	-19	28	-30
519	65	4.5	-19	29	-30
520	66	1	26	30	0
522	66	2	-26	31	0
524	66	3	25	32	0
526	66	4	-25	31	0
527	66	4.5	-25	30	0
528	67	1	26	31	0
530	67	2	-26	30	0
532	67	3	24	-30	0
534	67	4	-24	29	0
536	68	1	23	30	34
540	68	3	0	29	-34
542	68	4	0	-29	33
543	68	4.5	0	-29	34
544	69	1	0	30	35
546	69	2	0	-30	34
548	69	3	0	28	-34
550	69	4	0	-28	33
552	70	1	23	27	34
556	70	3	22	-27	0
558	70	4	-22	26	0
559	70	4.5	-22	27	0
560	71	1	23	28	0
562	71	2	-23	27	0
564	71	3	21	-27	35
566	71	4	-21	26	-35
568	72	1	20	27	36
570	72	2	18	29	34
572	72	3	25	-29	-34
573	72	3.5	-25	-29	33
574	72	4	-25	-29	34
576	73	1	26	28	30
578	73	2	24	26	33
580	73	3	23	27	-33
582	73	4	-23	-27	32
584	74	1	19	26	33
586	74	2	23	27	32
588	74	3	-23	28	-32
589	74	3.5	21	-28	30
590	74	4	24	-28	33
592	75	1	-24	29	-33
593	75	1.5	22	-29	31
594	75	2	25	-29	34
596	75	3	-25	30	-34
