**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	24	0	31
4	1	3	21	0	35
7	1	4.5	-21	0	34
8	2	1	22	24	33
10	2	2	-22	-24	31
12	2	3	21	28	32
15	2	4.5	-21	27	-32
16	3	1	0	26	33
18	3	2	24	24	-33
20	3	3	-24	25	0
22	3	4	23	-25	34
24	4	1	24	26	33
26	4	2	23	-26	32
27	4	2.5	22	-26	31
28	4	3	24	0	33
30	4	4	25	27	32
32	5	1	21	28	-32
33	5	1.5	-21	-28	31
34	5	2	22	-28	30
35	5	2.5	23	27	29
36	5	3	24	26	28
37	5	3.5	-24	25	-28
38	5	4	20	27	29
40	6	1	24	26	28
42	6	2	22	24	31
44	6	3	21	25	-31
46	6	4	-21	-25	30
48	7	1	17	0	31
50	7	2	-17	24	-31
53	7	3.5	0	25	0
54	7	4	24	26	31
56	8	1	23	25	32
57	8	1.5	-23	-25	31
58	8	2	21	28	30
59	8	2.5	-21	-28	29
60	8	3	24	26	28
61	8	3.5	23	-26	-28
62	8	4	22	27	29
63	8	4.5	21	-27	-29
64	9	1	20	-27	-29
66	9	2	21	26	28
68	9	3	22	-26	27
70	9	4	23	25	-27
72	10	1	24	26	26
74	10	2	-24	-26	24
76	10	3	17	0	-24
77	10	3.5	-17	0	25
78	10	4	-17	24	26
79	10	4.5	18	-24	27
80	11	1	19	-24	28
81	11	1.5	20	25	-28
82	11	2	21	26	-28
83	11	2.5	-21	27	29
84	11	3	-21	28	30
85	11	3.5	22	-28	31
86	11	4	23	-28	32
87	11	4.5	24	29	-32
88	12	1	25	30	-32
89	12	1.5	-25	31	33
90	12	2	18	29	34
91	12	2.5	-18	-29	35
92	12	3	21	28	33
94	12	4	-21	-28	32
95	12	4.5	22	-28	-32
96	13	1	23	27	-32
97	13	1.5	-23	-27	31
98	13	2	24	26	31
100	13	3	21	25	-31
102	13	4	-21	-25	30
104	14	1	17	24	31
110	14	4	17	-24	35
113	15	1.5	18	-24	34
114	15	2	19	-24	33
115	15	2.5	20	-24	-33
116	15	3	21	0	32
118	15	4	17	31	33
121	16	1.5	18	30	32
122	16	2	19	29	31
123	16	2.5	20	-29	-31
124	16	3	21	28	30
126	16	4	20	29	31
128	17	1	22	-29	-31
129	17	1.5	-22	28	30
130	17	2	-22	27	29
131	17	2.5	23	-27	-29
132	17	3	24	26	28
134	17	4	20	27	29
136	18	1	22	-27	-29
137	18	1.5	-22	26	28
138	18	2	-22	24	31
140	18	3	21	25	-31
142	18	4	-21	-25	30
144	19	1	17	0	31
146	19	2	-17	24	-31
149	19	3.5	0	25	0
150	19	4	17	26	31
151	19	4.5	-17	27	-31
152	20	1	24	28	33
154	20	2	-24	29	-33
155	20	2.5	25	-29	34
156	20	3	26	28	35
158	20	4	22	31	36
160	21	1	24	-31	-36
161	21	1.5	-24	30	35
162	21	2	-24	29	34
163	21	2.5	25	-29	33
164	21	3	26	28	35
166	21	4	22	29	33
168	22	1	24	-29	-33
169	22	1.5	-24	28	32
170	22	2	25	27	32
172	22	3	21	26	-32
174	22	4	22	-26	31
176	23	1	23	0	32
178	23	2	-23	25	-32
179	23	2.5	21	-25	-32
180	23	3	21	28	0
182	23	4	-21	-28	32
183	23	4.5	-21	27	-32
184	24	1	0	26	35
186	24	2	24	24	-35
187	24	2.5	-24	-24	34
188	24	3	-24	28	33
190	24	4	22	29	31
192	25	1	25	27	32
196	25	3	24	26	33
198	25	4	23	25	34
200	26	1	24	26	-34
202	26	2	-24	28	33
204	26	3	25	27	-33
206	26	4	-25	26	32
207	26	4.5	-25	25	-32
208	27	1	0	24	33
210	27	2	22	31	-33
213	27	3.5	23	30	0
214	27	4	24	29	33
215	27	4.5	25	-29	-33
216	28	1	26	28	35
218	28	2	25	30	34
219	28	2.5	24	-30	33
220	28	3	23	-30	32
221	28	3.5	-23	29	-32
222	28	4	24	28	33
224	29	1	25	27	34
225	29	1.5	24	-27	33
226	29	2	23	28	32
227	29	2.5	22	-28	31
228	29	3	21	-28	30
229	29	3.5	-21	27	-30
230	29	4	22	26	33
231	29	4.5	-22	25	-33
232	30	1	20	27	32
234	30	2	22	24	31
236	30	3	21	25	-31
238	30	4	-21	-25	30
240	31	1	17	0	31
242	31	2	-17	24	-31
243	31	2.5	-17	-24	32
244	31	3	24	-24	33
245	31	3.5	-24	25	34
246	31	4	-24	26	35
247	31	4.5	25	27	-35
248	32	1	26	28	-35
249	32	1.5	-26	-28	34
250	32	2	22	29	33
251	32	2.5	-22	-29	32
252	32	3	25	27	34
254	32	4	21	28	33
256	33	1	24	26	-33
257	33	1.5	-24	-26	32
258	33	2	20	27	31
260	33	3	21	25	-31
262	33	4	-21	-25	30
264	34	1	17	24	31
272	34	1	0	0	0
*-	*-	*-	*-	*-	*-
