**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0	0	0
4	1	3	25	0	-29	0	0	0
8	2	1	-25	0	27	0	0	0
12	2	3	23	0	28	0	0	0
15	2	4.5	-23	0	27	0	0	0
16	3	1	24	0	26	0	0	0
18	3	2	-24	0	29	0	0	0
20	3	3	23	0	-29	0	0	0
22	3	4	-23	0	28	0	0	0
24	4	1	22	29	27	0	0	0
26	4	2	-22	-29	26	0	0	0
28	4	3	25	-29	27	32	0	0
31	4	4.5	-25	-29	28	-32	0	0
32	5	1	-25	27	29	-32	0	0
34	5	2	-25	-27	25	-32	0	0
36	5	3	21	28	-25	30	0	0
38	5	4	-21	-28	26	-30	0	0
39	5	4.5	-21	27	-26	-30	0	0
40	6	1	22	26	-26	31	0	0
41	6	1.5	-22	-26	24	-31	0	0
42	6	2	-22	29	26	-31	0	0
44	6	3	23	-29	25	30	0	0
46	6	4	-23	28	-25	-30	0	0
47	6	4.5	24	-28	-25	-30	0	0
48	7	1	25	-28	-25	29	0	36
50	7	2	-25	27	-25	32	0	-36
52	7	3	22	26	0	-32	0	-36
54	7	4	-22	-26	26	31	0	-36
56	8	1	18	25	27	32	32	34
58	8	2	-18	-25	29	29	-32	-34
60	8	3	0	0	28	30	-32	35
62	8	4	0	0	25	29	-32	34
64	9	1	19	0	26	-29	30	33
66	9	2	-19	0	-26	28	-30	-33
67	9	2.5	-19	0	-26	27	-30	-33
68	9	3	-19	26	0	28	-30	-33
70	9	4	-19	-26	26	-28	-30	-33
72	10	1	22	24	-26	29	31	33
74	10	2	-22	26	24	-29	-31	-33
76	10	3	20	27	-24	-29	-31	36
78	10	4	-20	-27	22	-29	-31	-36
79	10	4.5	-20	26	-22	-29	-31	-36
80	11	1	21	25	23	32	30	35
82	11	2	-21	21	-23	-32	-30	-35
83	11	2.5	-21	22	24	31	-30	34
83.5	11	2.75	-21	-22	-24	-31	-30	33
84	11	3	21	23	25	30	-30	32
85	11	3.5	-21	24	-25	29	-30	-32
86	11	4	-21	25	-25	28	-30	35
88	12	1	18	-25	0	29	29	-35
89	12	1.5	-18	26	0	-29	-29	-35
90	12	2	-18	27	25	25	-29	34
91	12	2.5	-18	28	-25	-25	-29	-34
92	12	3	0	29	24	26	-29	33
94	12	4	0	-29	25	27	-29	32
95	12	4.5	0	-29	-25	-27	-29	31
96	13	1	0	0	21	28	32	30
97	13	1.5	0	0	22	-28	-32	-30
98	13	2	0	28	23	-28	-32	-30
99	13	2.5	0	-28	24	-28	-32	-30
100	13	3	0	27	25	0	-32	29
102	13	4	0	28	28	30	-32	28
104	14	1	0	25	-28	29	32	29
106	14	2	0	-25	27	32	-32	-29
108	14	3	0	21	28	-32	-32	30
109	14	3.5	0	22	-28	31	-32	-30
110	14	4	21	23	21	30	-32	32
111	14	4.5	-21	24	-21	-30	-32	-32
112	15	1	20	25	22	29	0	-32
113	15	1.5	-20	-25	-22	-29	0	31
114	15	2	21	-25	23	28	0	30
116	15	3	18	0	25	-28	0	29
118	15	4	-18	0	-25	27	0	-29
120	16	1	21	0	25	28	32	30
122	16	2	-21	28	-25	30	-32	28
124	16	3	0	27	0	29	-32	29
126	16	4	0	28	0	28	-32	30
128	17	1	0	24	0	-28	33	31
130	17	2	0	-24	29	31	-33	-31
131	17	2.5	0	25	-29	-31	-33	-31
132	17	3	0	26	28	30	-33	0
134	17	4	0	22	29	31	-33	33
136	18	1	0	25	27	29	32	34
138	18	2	21	28	25	30	-32	35
140	18	3	25	27	25	29	-32	36
142	18	4	21	28	-25	30	-32	35
143	18	4.5	-21	-28	-25	-30	-32	34
144	19	1	22	24	0	26	31	33
146	19	2	-22	-24	29	-26	-31	-33
147	19	2.5	23	25	-29	-26	-31	-33
148	19	3	24	26	28	0	-31	-33
150	19	4	22	24	29	0	-31	-33
152	20	1	23	25	27	0	30	32
154	20	2	21	-25	28	28	-30	-32
155	20	2.5	22	-25	-28	-28	-30	-32
156	20	3	23	-25	25	27	-30	-32
157	20	3.5	24	-25	-25	-27	-30	-32
158	20	4	25	21	-25	28	-30	-32
160	21	1	-25	22	0	26	29	36
162	21	2	24	-22	0	-26	-29	-36
163	21	2.5	-24	-22	0	-26	-29	35
164	21	3	25	25	0	27	-29	34
165	21	3.5	-25	-25	0	-27	-29	33
166	21	4	-25	-25	0	-27	-29	32
167	21	4.5	-25	-25	0	-27	-29	31
168	22	1	21	-25	0	28	32	30
169	22	1.5	-21	-25	0	-28	-32	29
170	22	2	-21	-25	28	-28	-32	30
172	22	3	0	0	27	29	-32	29
174	22	4	0	28	28	30	-32	28
176	23	1	0	27	25	29	32	0
178	23	2	21	28	23	30	-32	35
180	23	3	23	25	-23	-30	-32	34
181	23	3.5	-23	-25	24	-30	-32	-34
182	23	4	21	-25	25	30	-32	35
183	23	4.5	-21	-25	23	-30	-32	-35
184	24	1	22	0	26	29	31	33
186	24	2	-22	29	-26	-29	-31	-33
188	24	3	-22	26	-26	-29	-31	36
190	24	4	-22	29	-26	26	-31	-36
191	24	4.5	-22	-29	-26	-26	-31	35
192	25	1	18	-29	25	27	32	34
193	25	1.5	-18	28	-25	-27	-32	33
194	25	2	-18	27	-25	25	-32	34
195	25	2.5	-18	26	-25	-25	-32	-34
196	25	3	-18	27	29	-25	-32	-34
197	25	3.5	-18	-27	-29	-25	-32	33
198	25	4	-18	-27	-29	32	-32	32
199	25	4.5	-18	-27	-29	-32	-32	31
200	26	1	21	25	28	-32	32	30
201	26	1.5	-21	-25	-28	31	-32	29
202	26	2	-21	-25	-28	30	-32	28
203	26	2.5	-21	-25	27	29	-32	-28
203.5	26	2.75	-21	-25	26	-29	-32	-28
204	26	3	-21	23	25	30	-32	35
206	26	4	-21	-23	26	-30	-32	-35
207	26	4.5	-21	24	-26	-30	-32	-35
208	27	1	18	25	27	29	-32	34
216	28	1	0	24	0	0	0	0
220	28	3	0	26	0	28	0	0
224	29	1	0	-26	0	30	0	0
226	29	2	0	25	0	-30	0	0
228	29	3	0	26	0	-30	0	0
230	29	4	0	27	0	29	0	0
232	30	1	21	28	0	30	0	0
235	30	2.5	-21	-28	0	31	0	0
236	30	3	23	-28	0	32	0	0
238	30	4	-23	27	0	-32	0	0
240	31	1	-23	28	0	-32	0	0
242	31	2	22	29	0	31	0	0
244	31	3	23	-29	0	30	0	0
245	31	3.5	-23	28	0	-30	0	0
246	31	4	24	28	0	-30	0	0
248	32	1	25	-28	0	29	0	0
250	32	2	-25	27	0	-29	0	0
252	32	3	22	26	0	-29	0	31
254	32	4	-22	24	0	-29	0	-31
255	32	4.5	23	-24	0	-29	0	-31
256	33	1	24	-24	0	28	0	33
257	33	1.5	-24	25	0	-28	0	-33
258	33	2	-24	26	0	-28	0	-33
259	33	2.5	23	27	0	29	0	-33
260	33	3	21	28	0	30	0	-33
262	33	4	23	27	0	-30	0	32
264	34	1	22	29	24	31	0	33
266	34	2	-22	-29	-24	-31	0	34
268	34	3	19	28	26	30	0	35
270	34	4	-19	26	-26	-30	0	-35
272	35	1	23	27	-26	-30	0	34
274	35	2	-23	-27	25	-30	0	-34
275	35	2.5	-23	28	-25	-30	0	-34
276	35	3	24	29	26	0	0	33
277	35	3.5	-24	28	-26	0	0	-33
278	35	4	25	27	27	29	0	32
279	35	4.5	-25	26	-27	-29	0	-32
280	36	1	23	25	28	30	0	-32
281	36	1.5	-23	23	-28	-30	0	-32
282	36	2	24	26	-28	28	0	31
284	36	3	21	25	-28	-28	0	-31
285	36	3.5	-21	-25	-28	27	0	30
285.5	36	3.75	-21	-25	-28	-27	0	29
286	36	4	-21	-25	-28	25	0	30
288	37	1	24	24	-28	26	31	31
289	37	1.5	-24	-24	-28	-26	-31	32
290	37	2	-24	-24	-28	28	-31	33
291	37	2.5	-24	-24	-28	-28	-31	34
292	37	3	0	0	26	-28	33	35
294	37	4	0	0	-26	30	-33	-35
296	38	1	0	0	28	-30	32	0
298	38	2	0	0	27	29	-32	0
300	38	3	0	0	28	30	33	0
302	38	4	0	29	29	31	-33	0
304	39	1	0	-29	25	32	34	0
306	39	2	25	30	-25	-32	-34	32
308	39	3	26	28	0	0	35	30
310	39	4	24	26	0	0	-35	33
312	40	1	25	27	0	29	34	-33
313	40	1.5	-25	-27	0	-29	-34	32
314	40	2	-25	-27	25	-29	-34	32
315	40	2.5	-25	28	-25	-29	-34	-32
316	40	3	22	29	26	-29	33	31
317	40	3.5	-22	26	-26	-29	-33	-31
318	40	4	24	29	24	-29	-33	29
320	41	1	23	-29	25	30	32	0
321	41	1.5	-23	28	-25	-30	-32	0
322	41	2	-23	28	-25	-30	-32	32
323	41	2.5	-23	27	-25	-30	-32	-32
324	41	3	22	29	0	26	33	31
325	41	3.5	-22	-29	0	-26	-33	30
326	41	4	-22	-29	29	-26	-33	31
327	41	4.5	-22	-29	-29	27	-33	32
328	42	1	0	26	30	28	33	33
329	42	1.5	0	-26	-30	29	-33	34
330	42	2	0	-26	28	30	-33	35
332	42	3	0	0	29	31	0	33
334	42	4	0	29	-29	-31	0	34
335	42	4.5	0	-29	-29	30	0	-34
336	43	1	0	30	26	28	0	-34
337	43	1.5	0	-30	-26	-28	0	33
338	43	2	0	28	28	30	0	33
340	43	3	0	29	27	29	0	-33
342	43	4	0	-29	-27	25	0	32
344	44	1	22	-29	26	0	33	31
346	44	2	-22	-29	-26	29	-33	-31
348	44	3	23	25	0	27	32	30
350	44	4	21	-25	0	28	-32	-30
352	45	1	22	0	0	26	31	29
353	45	1.5	-22	0	0	-26	-31	30
354	45	2	-22	0	29	-26	-31	31
355	45	2.5	-22	0	-29	-26	-31	32
356	45	3	19	0	30	26	30	33
