**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	32	0
4	1	3	0	0	0	0	0	0	-32	36
6	1	4	0	0	0	0	0	0	32	-36
8	2	1	0	0	0	0	0	0	29	-36
10	2	2	0	0	0	0	0	0	-29	36
12	2	3	0	0	0	0	0	0	0	32
14	2	4	0	0	0	0	0	0	32	-32
18	3	2	0	0	0	0	0	0	31	36
20	3	3	0	0	0	0	0	0	34	-36
22	3	4	0	0	0	0	0	0	33	35
24	4	1	0	0	0	0	0	0	31	38
26	4	2	0	0	0	0	0	0	32	37
28	4	3	0	0	0	0	0	0	33	35
29	4	3.5	0	0	0	0	0	0	32	-35
30	4	4	0	0	0	0	0	0	31	36
31	4	4.5	0	0	0	0	0	0	30	-36
32	5	1	0	0	0	0	25	0	29	-36
33	5	1.5	0	0	0	0	-25	0	-29	35
34	5	2	0	0	0	0	-25	0	-29	34
35	5	2.5	0	0	0	0	-25	0	28	33
36	5	3	0	0	0	0	-25	29	27	32
37	5	3.5	0	0	0	0	-25	-29	25	-32
38	5	4	0	0	0	0	25	-29	32	34
40	6	1	0	0	0	0	22	-29	-32	33
42	6	2	0	0	0	0	-22	29	31	-33
44	6	3	0	0	0	0	0	25	32	34
46	6	4	0	0	0	0	25	-25	29	-34
49	7	1.5	0	0	0	0	-25	0	30	-34
50	7	2	0	0	0	0	24	29	31	33
51	7	2.5	0	0	0	0	-24	-29	-31	32
52	7	3	0	0	0	0	27	-29	29	31
53	7	3.5	0	0	0	0	-27	-29	-29	32
54	7	4	0	0	0	0	26	28	30	33
56	8	1	0	0	0	0	24	31	33	-33
57	8	1.5	0	0	0	0	-24	-31	-33	31
58	8	2	0	0	0	0	25	30	32	34
60	8	3	0	0	0	0	26	28	31	33
62	8	4	0	0	0	0	27	29	-31	31
64	9	1	25	0	0	0	-27	-29	32	34
65	9	1.5	-25	0	0	0	-27	28	-32	-34
66	9	2	-25	0	0	0	25	27	32	-34
67	9	2.5	-25	0	0	0	-25	26	-32	35
68	9	3	-25	29	0	0	27	25	-32	36
69	9	3.5	-25	-29	0	0	-27	-25	33	-36
70	9	4	25	-29	0	0	-27	32	34	-36
71	9	4.5	-25	-29	0	0	28	-32	-34	-36
72	10	1	22	-29	0	0	29	-32	33	36
73	10	1.5	-22	-29	0	0	-29	31	-33	-36
73.5	10	1.75	-22	-29	0	0	-29	30	-33	-36
74	10	2	-22	29	0	0	-29	31	-33	-36
75	10	2.5	-22	-29	0	0	28	30	-33	-36
76	10	3	0	25	0	0	27	29	32	-36
77	10	3.5	0	-25	0	0	26	28	-32	-36
78	10	4	25	-25	0	0	25	27	-32	-36
80	11	1	-25	0	0	0	22	26	33	36
82	11	2	24	29	0	0	-22	-26	-33	-36
