**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	30	0	30
4	1	3	0	0	29	0	31
6	1	4	0	0	28	0	30
8	2	1	0	0	29	0	31
10	2	2	0	0	30	0	32
12	2	3	0	30	26	30	33
16	3	1	0	29	0	31	-33
18	3	2	0	28	26	30	33
20	3	3	0	29	29	31	33
22	3	4	0	27	29	32	34
24	4	1	0	26	30	33	35
26	4	2	0	23	-30	32	34
27	4	2.5	0	-23	29	-32	-34
28	4	3	0	24	28	31	-34
29	4	3.5	0	-24	-28	-31	33
30	4	4	0	22	29	-31	33
32	5	1	23	0	27	30	-33
34	5	2	-23	23	-27	-30	32
36	5	3	22	24	0	0	33
38	5	4	21	23	0	30	-33
40	6	1	22	24	0	29	0
42	6	2	23	25	0	27	0
44	6	3	19	26	30	28	0
46	6	4	-19	-26	-30	-28	30
48	7	1	22	-26	29	29	31
50	7	2	26	26	28	30	30
52	7	3	22	26	29	29	31
54	7	4	25	27	27	-29	32
55	7	4.5	-25	-27	-27	30	-32
56	8	1	24	28	26	31	33
57	8	1.5	-24	-28	-26	28	-33
58	8	2	25	27	23	30	32
59	8	2.5	-25	-27	-23	-30	31
60	8	3	26	-27	28	-30	30
61	8	3.5	-26	26	-28	29	-30
62	8	4	-26	26	-28	28	-30
63	8	4.5	-26	-26	29	-28	-30
64	9	1	23	-26	30	27	0
66	9	2	-23	25	-30	-27	34
68	9	3	0	26	-30	26	35
70	9	4	26	-26	28	-26	33
72	10	1	25	0	29	0	34
73	10	1.5	-25	0	-29	0	35
74	10	2	24	0	-29	33	36
76	10	3	25	0	30	32	-36
78	10	4	26	0	-30	30	35
80	11	1	22	0	29	31	36
82	11	2	-22	29	-29	-31	-36
83	11	2.5	-22	-29	-29	29	-36
84	11	3	0	28	0	30	32
85	11	3.5	0	-28	0	31	-32
86	11	4	0	27	0	32	-32
88	12	1	0	28	0	-32	33
90	12	2	0	29	0	31	-33
92	12	3	0	25	0	32	32
93	12	3.5	0	26	0	-32	-32
94	12	4	23	27	30	-32	-32
95	12	4.5	-23	28	-30	-32	-32
96	13	1	24	26	29	0	0
98	13	2	23	25	28	0	0
100	13	3	24	26	29	0	0
102	13	4	25	29	27	0	0
104	14	1	26	-29	26	0	0
106	14	2	-26	28	-26	30	30
108	14	3	0	29	0	29	31
110	14	4	26	26	0	28	30
112	15	1	22	0	0	29	31
114	15	2	23	0	0	27	32
116	15	3	24	0	28	26	33
117	15	3.5	-24	0	-28	27	-33
118	15	4	-24	26	-28	28	-33
119	15	4.5	-24	-26	-28	29	34
120	16	1	21	25	28	30	35
122	16	2	-21	28	28	-30	-35
124	16	3	25	-28	29	0	0
126	16	4	-25	27	-29	32	0
127	16	4.5	-25	26	-29	-32	0
128	17	1	23	27	30	32	0
130	17	2	-23	-27	-30	32	0
131	17	2.5	-23	28	-30	-32	0
132	17	3	24	26	28	33	0
133	17	3.5	-24	27	-28	-33	0
134	17	4	-24	28	31	-33	0
136	18	1	25	-28	30	32	0
138	18	2	-25	27	29	-32	0
140	18	3	23	25	28	-32	0
142	18	4	24	26	-28	28	35
143	18	4.5	-24	-26	27	-28	-35
144	19	1	-24	-26	26	-28	35
145	19	1.5	-24	-26	-26	29	-35
146	19	2	23	25	28	30	35
148	19	3	22	24	-28	31	36
150	19	4	-22	-24	27	-31	-36
152	20	1	21	0	28	30	37
154	20	2	-21	28	-28	-30	-37
155	20	2.5	-21	-28	29	31	-37
156	20	3	-21	28	30	32	-37
157	20	3.5	-21	-28	31	-32	-37
158	20	4	-21	28	32	35	-37
160	21	1	0	29	-32	34	36
162	21	2	0	-29	31	33	-36
164	21	3	0	30	30	-33	34
165	21	3.5	0	-30	-30	32	-34
166	21	4	21	-30	-30	32	35
167	21	4.5	-21	-30	31	-32	-35
168	22	1	21	-30	32	30	-35
170	22	2	21	-30	30	32	34
171	22	2.5	-21	-30	-30	-32	33
172	22	3	22	0	29	-32	34
174	22	4	-22	0	-29	31	33
175	22	4.5	-22	0	28	-31	-33
176	23	1	23	0	27	30	32
177	23	1.5	-23	0	-27	-30	30
178	23	2	23	25	-27	-30	32
179	23	2.5	-23	-25	-27	31	33
180	23	3	-23	25	30	32	34
181	23	3.5	22	-25	-30	-32	-34
182	23	4	21	25	-30	-32	35
183	23	4.5	20	-25	-30	-32	-35
184	24	1	19	26	-30	28	-35
185	24	1.5	-19	-26	-30	29	34
186	24	2	-19	-26	28	30	33
187	24	2.5	-19	-26	-28	31	-33
188	24	3	23	27	27	30	32
190	24	4	-23	28	26	-30	33
192	25	1	-23	27	27	-30	-33
194	25	2	-23	-27	30	-30	32
196	25	3	19	26	28	30	33
*-	*-	*-	*-	*-	*-	*-	*-
