**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0
4	1	3	0	0	29	31
8	2	1	0	0	28	32
12	2	3	0	0	29	31
16	3	1	0	0	30	32
20	3	3	0	24	0	33
22	3	4	0	-24	31	-33
24	4	1	0	25	30	0
26	4	2	0	-25	29	34
28	4	3	0	24	31	-34
30	4	4	0	-24	-31	33
32	5	1	0	25	30	32
34	5	2	0	-25	29	31
36	5	3	0	26	-29	30
38	5	4	0	-26	28	-30
40	6	1	0	27	29	29
42	6	2	0	-27	31	-29
43	6	2.5	0	-27	-31	30
44	6	3	0	26	-31	31
46	6	4	0	25	30	32
48	7	1	0	27	29	-32
50	7	2	0	-27	-29	31
51	7	2.5	0	26	-29	-31
52	7	3	21	25	28	-31
54	7	4	-21	-25	28	30
56	8	1	22	0	27	29
58	8	2	-22	24	26	31
60	8	3	21	25	28	-31
62	8	4	-21	-25	-28	30
64	9	1	22	24	26	31
66	9	2	-22	-24	-26	33
67	9	2.5	-22	-24	27	-33
68	9	3	23	25	28	32
70	9	4	-23	-25	-28	35
72	10	1	24	26	28	-35
73	10	1.5	-24	-26	-28	34
74	10	2	-24	-26	-28	33
76	10	3	23	0	-28	32
78	10	4	22	27	29	31
80	11	1	24	-27	28	31
82	11	2	-24	26	-28	-31
84	11	3	23	25	0	0
86	11	4	22	27	31	0
88	12	1	21	26	-31	0
90	12	2	-21	25	30	0
92	12	3	20	-25	29	0
93	12	3.5	-20	24	-29	0
94	12	4	19	24	28	0
96	13	1	18	-24	27	0
98	13	2	-18	23	-27	34
99	13	2.5	-18	-23	28	-34
100	13	3	17	24	29	-34
101	13	3.5	-17	25	30	-34
102	13	4	-17	26	31	33
103	13	4.5	-17	27	-31	-33
104	14	1	0	28	30	32
106	14	2	20	29	29	34
107	14	2.5	21	-29	-29	-34
108	14	3	22	-29	31	-34
109	14	3.5	23	-29	-31	-34
110	14	4	24	28	-31	33
111	14	4.5	-24	-28	30	-33
112	15	1	20	27	29	32
114	15	2	20	-27	-29	31
115	15	2.5	-20	26	-29	-31
116	15	3	21	25	28	-31
118	15	4	-21	-25	-28	30
120	16	1	17	24	-28	31
121	16	1.5	-17	25	-28	-31
122	16	2	24	26	-28	-31
123	16	2.5	-24	27	-28	-31
124	16	3	23	28	0	0
126	16	4	22	29	24	0
127	16	4.5	-22	-29	25	0
128	17	1	24	-29	26	0
129	17	1.5	-24	-29	27	0
130	17	2	23	28	28	0
132	17	3	22	-28	29	0
134	17	4	-22	27	31	0
136	18	1	21	26	-31	0
138	18	2	-21	25	30	0
139	18	2.5	-21	26	-30	0
140	18	3	20	27	29	0
141	18	3.5	-20	28	-29	0
142	18	4	-20	29	31	34
144	19	1	21	28	-31	33
146	19	2	-21	-28	30	32
148	19	3	20	29	31	34
150	19	4	17	28	-31	33
151	19	4.5	-17	-28	30	-33
152	20	1	20	27	29	32
153	20	1.5	-20	-27	-29	31
154	20	2	-20	-27	-29	31
155	20	2.5	-20	26	-29	-31
156	20	3	21	25	28	-31
158	20	4	-21	-25	-28	30
160	21	1	17	24	28	31
168	22	1	0	27	0	0
172	22	3	0	25	0	0
175	22	4.5	0	24	0	0
176	23	1	0	25	0	0
178	23	2	0	26	0	0
180	23	3	0	24	31	0
181	23	3.5	0	25	-31	0
182	23	4	0	26	-31	0
183	23	4.5	0	24	-31	0
184	24	1	0	25	29	34
185	24	1.5	0	24	-29	-34
186	24	2	0	25	-29	-34
187	24	2.5	0	26	28	-34
188	24	3	0	27	29	32
190	24	4	0	28	30	-32
191	24	4.5	0	-28	-30	31
192	25	1	0	-28	28	32
193	25	1.5	0	-28	29	-32
194	25	2	0	26	30	33
195	25	2.5	0	-26	28	-33
196	25	3	0	27	29	31
197	25	3.5	0	-27	30	32
198	25	4	0	24	31	33
199	25	4.5	0	-24	-31	31
200	26	1	0	21	-31	32
202	26	2	0	28	30	-32
204	26	3	24	-28	31	33
206	26	4	-24	26	28	-33
208	27	1	22	-26	29	31
209	27	1.5	-22	25	-29	-31
210	27	2	-22	26	-29	-31
211	27	2.5	21	-26	-29	-31
212	27	3	22	27	-29	0
214	27	4	23	25	28	0
215	27	4.5	-23	-25	27	0
216	28	1	21	-25	28	0
217	28	1.5	22	24	-28	0
218	28	2	23	25	-28	0
219	28	2.5	21	26	-28	0
220	28	3	22	27	0	0
221	28	3.5	23	-27	0	0
222	28	4	24	26	0	0
224	29	1	-24	25	0	0
226	29	2	23	-25	28	0
228	29	3	24	24	26	35
229	29	3.5	-24	25	27	-35
230	29	4	-24	26	28	-35
231	29	4.5	-24	27	29	-35
232	30	1	0	28	30	33
234	30	2	0	29	31	-33
235	30	2.5	0	-29	-31	32
236	30	3	0	-29	-31	33
238	30	4	0	27	29	34
240	31	1	0	28	30	32
241	31	1.5	0	-28	-30	33
242	31	2	0	25	32	34
243	31	2.5	0	-25	-32	32
244	31	3	0	29	-32	33
245	31	3.5	0	-29	31	-33
246	31	4	0	-29	31	-33
248	32	1	0	27	-31	32
250	32	2	0	28	30	-32
252	32	3	24	-28	31	33
254	32	4	-24	26	-31	-33
256	33	1	22	-26	0	31
257	33	1.5	-22	25	0	-31
258	33	2	-22	26	0	-31
259	33	2.5	21	-26	0	-31
260	33	3	22	27	0	-31
262	33	4	23	25	0	32
264	34	1	21	-25	0	30
265	34	1.5	-21	24	0	-30
266	34	2	-21	25	0	-30
267	34	2.5	20	-25	0	-30
268	34	3	21	26	0	-30
270	34	4	22	24	31	29
272	35	1	20	25	29	0
273	35	1.5	-20	24	-29	0
274	35	2	-20	27	-29	0
275	35	2.5	19	-27	28	0
276	35	3	20	-27	29	0
277	35	3.5	-20	26	-29	0
278	35	4	21	25	30	0
280	36	1	19	-25	28	0
281	36	1.5	-19	24	-28	0
282	36	2	20	24	29	0
284	36	3	18	-24	27	34
286	36	4	-18	23	-27	-34
287	36	4.5	-18	22	-27	-34
288	37	1	21	23	28	32
291	37	2.5	-21	22	-28	31
292	37	3	-21	23	-28	32
294	37	4	19	24	-28	33
296	38	1	20	22	0	31
297	38	1.5	-20	-22	0	32
298	38	2	17	24	28	33
299	38	2.5	-17	-24	-28	31
300	38	3	21	-24	28	32
302	38	4	-21	23	-28	33
304	39	1	22	24	26	-33
305	39	1.5	-22	-24	-26	32
306	39	2	-22	-24	-26	31
307	39	2.5	-22	-24	25	30
308	39	3	-22	-24	26	31
310	39	4	-22	-24	27	-31
312	40	1	21	25	28	30
320	41	1	0	0	0	31
322	41	2	0	0	31	-31
324	41	3	0	0	-31	35
326	41	4	0	0	30	-35
327	41	4.5	0	0	29	-35
328	42	1	0	0	30	35
330	42	2	0	0	31	-35
332	42	3	0	0	29	36
334	42	4	0	0	31	-36
336	43	1	0	0	-31	35
337	43	1.5	0	0	30	-35
338	43	2	0	0	29	34
340	43	3	0	0	-29	33
342	43	4	0	0	28	35
343	43	4.5	0	0	27	-35
344	44	1	0	0	26	-35
345	44	1.5	0	0	-26	34
346	44	2	0	0	24	33
348	44	3	0	0	27	-33
350	44	4	0	0	-27	32
352	45	1	0	24	26	33
354	45	2	24	-24	-26	-33
356	45	3	-24	28	-26	0
358	45	4	23	-28	25	0
359	45	4.5	22	-28	24	0
360	46	1	23	28	25	0
362	46	2	24	-28	26	0
364	46	3	22	29	24	0
366	46	4	24	-29	-24	0
368	47	1	-24	28	0	0
369	47	1.5	23	-28	0	0
370	47	2	22	27	0	31
372	47	3	-22	26	0	-31
374	47	4	21	28	0	30
375	47	4.5	20	-28	0	29
376	48	1	19	-28	0	30
377	48	1.5	-19	27	0	-30
378	48	2	17	26	0	31
380	48	3	20	-26	0	29
382	48	4	-20	25	0	-29
383	48	4.5	-20	-25	0	30
384	49	1	17	26	24	31
385	49	1.5	-17	-26	-24	32
386	49	2	-17	24	-24	33
388	49	3	0	-24	28	-33
