**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	28	1	29	33	31	36
8	29	1	25	34	32	36
12	29	3	32	32	34	-36
14	29	4	-32	34	-34	37
16	30	1	31	-34	35	38
17	30	1.5	-31	33	-35	-38
18	30	2	-31	33	-35	35
20	30	3	28	-33	-35	37
21	30	3.5	-28	32	-35	-37
22	30	4	-28	32	34	-37
24	31	1	29	-32	33	36
26	31	2	-29	31	-33	36
27	31	2.5	-29	30	-33	-36
28	31	3	-29	31	-33	-36
29	31	3.5	-29	-31	-33	35
30	31	4	-29	-31	-33	33
31	31	4.5	-29	32	-33	34
32	32	1	0	33	0	35
34	32	2	0	34	32	36
36	32	3	0	-34	-32	37
37	32	3.5	0	33	31	-37
38	32	4	0	31	29	38
39	32	4.5	0	32	30	-38
40	33	1	0	33	31	-38
42	33	2	0	34	32	37
44	33	3	0	33	31	-37
45	33	3.5	0	-33	-31	36
46	33	4	0	34	32	36
48	34	1	0	32	30	-36
50	34	2	0	-32	-30	35
52	34	3	0	33	29	36
53	34	3.5	0	-33	30	-36
54	34	4	29	-33	31	-36
55	34	4.5	-29	32	32	-36
56	35	1	-29	31	33	0
57	35	1.5	28	-31	34	0
58	35	2	26	-31	35	0
59	35	2.5	27	-31	-35	0
60	35	3	28	30	-35	0
62	35	4	29	31	34	0
64	36	1	28	30	-34	0
65	36	1.5	-28	-30	33	0
66	36	2	29	31	33	0
68	36	3	27	29	-33	0
70	36	4	-27	-29	32	36
72	37	1	24	31	33	-36
73	37	1.5	-24	-31	-33	35
74	37	2	31	-31	-33	33
75	37	2.5	-31	32	-33	34
76	37	3	-31	33	0	35
78	37	4	29	34	0	36
80	38	1	31	-34	0	35
81	38	1.5	-31	33	0	-35
82	38	2	-31	33	0	36
84	38	3	32	-33	0	34
85	38	3.5	-32	32	0	-34
86	38	4	-32	32	0	-34
88	39	1	29	-32	0	33
90	39	2	-29	31	0	-33
92	39	3	25	34	0	32
93	39	3.5	-25	-34	0	33
94	39	4	-25	-34	32	34
95	39	4.5	26	-34	-32	35
96	40	1	27	-34	-32	36
97	40	1.5	-27	-34	31	-36
98	40	2	-27	-34	29	-36
99	40	2.5	28	-34	30	-36
100	40	3	29	33	31	0
102	40	4	25	34	32	36
104	41	1	29	33	31	-36
105	41	1.5	-29	-33	-31	35
106	41	2	-29	-33	-31	33
107	41	2.5	-29	-33	32	34
108	41	3	0	0	33	35
110	41	4	32	0	34	36
112	42	1	-32	0	-34	37
113	42	1.5	31	0	33	-37
114	42	2	29	0	31	38
115	42	2.5	30	0	32	-38
116	42	3	31	0	33	-38
117	42	3.5	-31	0	-33	37
118	42	4	32	0	34	36
119	42	4.5	-32	0	-34	35
120	43	1	31	0	33	36
121	43	1.5	-31	0	-33	35
122	43	2	32	0	34	34
123	43	2.5	-32	0	-34	33
124	43	3	30	0	-34	32
125	43	3.5	-30	0	33	33
126	43	4	-30	0	32	34
127	43	4.5	-30	0	-32	32
128	44	1	29	0	-32	33
130	44	2	-29	0	31	-33
132	44	3	25	0	32	34
134	44	4	-25	32	34	-34
135	44	4.5	-25	-32	-34	35
136	45	1	27	-32	-34	36
137	45	1.5	-27	31	33	-36
138	45	2	-27	29	31	-36
139	45	2.5	-27	30	32	-36
140	45	3	26	31	33	0
142	45	4	25	32	34	36
144	46	1	29	31	33	36
146	46	2	30	32	32	35
148	46	3	29	33	-32	36
150	46	4	-29	-33	31	-36
152	47	1	25	34	32	-36
154	47	2	-25	34	32	36
156	47	3	0	-34	-32	36
157	47	3.5	0	33	31	-36
158	47	4	29	31	29	38
159	47	4.5	-29	32	30	-38
160	48	1	-29	33	31	-38
161	48	1.5	28	-33	32	37
162	48	2	26	-33	33	35
163	48	2.5	27	32	-33	36
163.5	48	2.75	-27	31	-33	-36
164	48	3	28	30	32	37
166	48	4	29	33	31	36
168	49	1	28	-33	30	37
169	49	1.5	-28	32	-30	-37
170	49	2	29	31	33	38
171	49	2.5	-29	30	-33	-38
172	49	3	27	29	-33	-38
173	49	3.5	-27	-29	32	37
174	49	4	-27	-29	32	36
176	50	1	26	30	33	-36
178	50	2	-26	-30	-33	35
179	50	2.5	-26	31	-33	-35
180	50	3	25	32	29	34
182	50	4	-25	-32	34	32
184	51	1	-25	-32	-34	36
186	51	2	24	33	33	-36
188	51	3	25	34	32	-36
192	52	1	29	33	31	36
*-	*-	*-	*-	*-	*-	*-
