**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	26	26	0
4	1	3	0	0	26	-26	28	30
7	1	4.5	0	0	-26	-26	29	-30
8	2	1	0	0	-26	28	30	-30
10	2	2	0	0	-26	-28	28	-30
12	2	3	0	0	25	29	27	32
13	2	3.5	0	0	-25	-29	28	-32
14	2	4	0	0	-25	-29	29	-32
15	2	4.5	0	0	-25	-29	30	-32
16	3	1	0	0	22	29	31	33
17	3	1.5	0	0	23	-29	-31	-33
18	3	2	0	0	24	-29	-31	-33
19	3	2.5	0	0	25	-29	-31	-33
20	3	3	0	0	26	-29	30	33
22	3	4	0	0	-26	28	-30	-33
23	3	4.5	0	0	25	-28	-30	-33
24	4	1	0	0	24	29	26	-33
26	4	2	0	0	23	30	27	32
28	4	3	0	0	22	31	29	33
30	4	4	0	0	-22	-31	-29	34
32	5	1	19	0	26	30	28	35
35	5	2.5	-19	0	27	29	29	34
36	5	3	-19	0	28	28	30	33
37	5	3.5	-19	0	-28	27	-30	32
38	5	4	-19	0	-28	26	-30	33
40	6	1	21	0	-28	23	-30	-33
42	6	2	-21	0	27	-23	-30	32
44	6	3	22	0	26	0	29	-32
46	6	4	-22	0	-26	26	-29	31
47	6	4.5	-22	0	-26	-26	-29	30
48	7	1	22	0	0	26	-29	31
50	7	2	-22	0	0	24	26	29
51	7	2.5	-22	0	0	25	-26	30
52	7	3	-22	0	0	26	29	31
53	7	3.5	-22	0	0	27	-29	32
54	7	4	21	0	0	28	30	33
56	8	1	22	0	0	27	31	-33
58	8	2	23	0	0	-27	30	32
59	8	2.5	-23	0	0	-27	29	-32
60	8	3	24	0	0	26	28	33
62	8	4	26	0	0	-26	-28	35
63	8	4.5	-26	0	0	-26	29	-35
64	9	1	-26	23	0	27	30	34
66	9	2	25	-23	0	-27	-30	-34
67	9	2.5	24	-23	0	-27	-30	-34
68	9	3	25	-23	27	0	-30	-34
70	9	4	-25	-23	-27	30	-30	-34
71	9	4.5	24	-23	-27	-30	-30	-34
72	10	1	23	25	-27	30	0	0
74	10	2	-23	-25	-27	30	0	0
76	10	3	22	26	29	31	0	0
78	10	4	-22	-26	-29	29	0	0
80	11	1	19	26	30	-29	0	0
81	11	1.5	-19	-26	-30	28	0	0
82	11	2	-19	-26	-30	28	0	33
84	11	3	23	-26	30	27	0	34
86	11	4	-23	25	-30	-27	30	34
87	11	4.5	-23	-25	29	-27	-30	-34
88	12	1	0	26	28	26	30	35
90	12	2	0	27	25	23	30	34
92	12	3	0	28	26	0	31	-34
93	12	3.5	0	-28	-26	0	-31	33
94	12	4	0	-28	-26	0	30	33
96	13	1	0	27	23	30	-30	-33
97	13	1.5	0	-27	-23	-30	29	-33
98	13	2	0	-27	-23	-30	27	32
100	13	3	0	26	0	30	28	33
102	13	4	0	-26	26	30	-28	-33
104	14	1	22	0	26	31	29	0
106	14	2	-22	0	26	-31	-29	33
108	14	3	22	0	29	-31	0	33
110	14	4	22	0	-29	31	29	33
111	14	4.5	-22	0	28	-31	-29	-33
112	15	1	25	0	27	32	29	34
113	15	1.5	-25	0	26	-32	-29	-34
114	15	2	-25	0	27	-32	29	-34
116	15	3	21	0	28	0	30	32
118	15	4	-21	0	-28	0	-30	35
120	16	1	0	0	26	0	28	-35
122	16	2	0	0	29	0	31	34
124	16	3	0	0	-29	0	-31	33
126	16	4	0	0	28	0	30	-33
128	17	1	23	0	27	0	30	32
130	17	2	-23	0	26	0	-30	33
132	17	3	23	0	27	0	-30	-33
134	17	4	23	0	-27	0	-30	32
136	18	1	24	0	26	0	28	33
138	18	2	-24	26	-26	0	-28	-33
140	18	3	22	26	0	0	31	-33
142	18	4	-22	26	0	29	-31	-33
143	18	4.5	-22	-26	0	-29	30	-33
144	19	1	25	27	0	29	29	0
145	19	1.5	-25	-27	0	-29	28	0
146	19	2	-25	-27	0	29	27	32
147	19	2.5	-25	-27	0	-29	29	-32
148	19	3	21	25	0	30	28	32
150	19	4	-21	28	0	-30	-28	32
151	19	4.5	-21	-28	0	-30	27	-32
152	20	1	24	-28	0	28	26	33
153	20	1.5	-24	27	0	-28	-26	-33
154	20	2	-24	26	26	-28	-26	-33
155	20	2.5	23	25	-26	-28	-26	-33
156	20	3	22	24	26	31	29	33
157	20	3.5	-22	23	-26	-31	-29	-33
158	20	4	-22	24	26	-31	-29	36
159	20	4.5	-22	-24	-26	30	-29	35
160	21	1	18	25	27	29	29	34
161	21	1.5	-18	-25	-27	28	-29	33
162	21	2	-18	-25	-27	27	29	32
163	21	2.5	-18	24	-27	-27	-29	-32
164	21	3	21	23	25	28	30	-32
165	21	3.5	-21	-23	-25	-28	-30	31
166	21	4	-21	21	28	25	-30	30
167	21	4.5	-21	-21	-28	-25	-30	31
168	22	1	18	22	-28	-25	29	32
169	22	1.5	-18	-22	-28	-25	-29	33
170	22	2	-18	-22	27	29	-29	32
172	22	3	22	-22	26	-29	-29	-32
173	22	3.5	-22	-22	-26	28	-29	-32
174	22	4	-22	-22	-26	26	-29	31
176	23	1	18	22	25	27	29	32
*-	*-	*-	*-	*-	*-	*-	*-	*-
