**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	30	1	0	23	30	0	34
4	30	3	0	25	29	0	34
6	30	4	0	26	28	0	35
8	31	1	0	24	31	0	33
11	31	2.5	0	25	-31	0	-33
12	31	3	0	26	-31	0	-33
13	31	3.5	0	27	-31	0	-33
14	31	4	0	28	30	0	32
16	32	1	0	21	30	0	32
17	32	1.5	0	22	-30	0	-32
18	32	2	0	23	32	30	-32
19	32	2.5	0	24	-32	-30	33
20	32	3	0	25	-32	29	34
21	32	3.5	0	-25	31	-29	-34
22	32	4	0	26	30	28	35
24	33	1	0	22	29	31	33
26	33	2	0	29	-29	-31	34
28	33	3	0	-29	26	-31	-34
29	33	3.5	0	-29	-26	-31	33
30	33	4	0	28	-26	30	33
32	34	1	23	27	0	30	-33
34	34	2	-23	-27	27	-30	32
35	34	2.5	-23	-27	-27	29	-32
35.5	34	2.75	-23	-27	-27	30	-32
36	34	3	22	0	29	31	33
38	34	4	21	28	30	30	-33
40	35	1	24	-28	28	26	-33
41	35	1.5	-24	27	-28	-26	-33
42	35	2	-24	26	-28	-26	-33
43	35	2.5	-24	-26	27	27	-33
44	35	3	-24	-26	26	28	0
45	35	3.5	-24	-26	-26	29	0
46	35	4	23	25	27	30	0
47	35	4.5	-23	24	-27	-30	0
48	36	1	23	25	-27	-30	34
50	36	2	-23	-25	30	27	-34
52	36	3	24	26	28	0	33
54	36	4	25	23	27	30	32
56	37	1	26	30	26	28	35
57	37	1.5	-26	-30	27	29	-35
58	37	2	-26	-30	28	30	-35
59	37	2.5	-26	-30	29	31	-35
60	37	3	25	0	30	32	-35
62	37	4	-25	0	29	-32	34
63	37	4.5	-25	0	-29	31	-34
63.5	37	4.75	-25	0	-29	30	-34
64	38	1	-25	0	32	29	34
66	38	2	-25	27	-32	-29	36
68	38	3	0	26	28	30	35
70	38	4	0	25	29	32	34
72	39	1	0	28	30	-32	-34
73	39	1.5	0	-28	-30	31	33
74	39	2	0	-28	-30	30	33
75	39	2.5	0	-28	-30	29	-33
76	39	3	23	-28	0	30	-33
78	39	4	-23	27	0	-30	32
79	39	4.5	-23	-27	0	-30	31
80	40	1	-23	27	0	30	32
82	40	2	-23	-27	30	-30	-32
83	40	2.5	-23	-27	-30	-30	33
84	40	3	25	0	29	0	34
86	40	4	26	26	28	0	30
88	41	1	24	28	31	0	33
90	41	2	-24	29	-31	0	-33
91	41	2.5	25	-29	-31	0	-33
92	41	3	26	-29	-31	0	-33
93	41	3.5	-26	28	-31	0	-33
94	41	4	-26	28	30	0	-33
96	42	1	23	27	30	0	32
97	42	1.5	-23	25	-30	0	-32
98	42	2	-23	28	-30	0	-32
99	42	2.5	24	-28	-30	0	-32
100	42	3	25	-28	29	0	-32
101	42	3.5	-25	27	-29	0	-32
101.5	42	3.75	-25	26	-29	0	-32
102	42	4	-25	27	-29	0	-32
104	43	1	26	28	28	0	30
106	43	2	-26	-28	-28	30	-30
107	43	2.5	25	27	-28	-30	-30
108	43	3	24	26	0	29	0
110	43	4	23	25	0	28	32
112	44	1	22	24	0	31	33
114	44	2	-22	-24	0	-31	34
115	44	2.5	-22	25	0	-31	-34
116	44	3	19	26	0	-31	35
118	44	4	-19	-26	28	30	-35
119	44	4.5	-19	-26	-28	-30	34
120	45	1	-19	-26	-28	30	33
121	45	1.5	-19	-26	29	-30	32
122	45	2	-19	-26	30	28	33
124	45	3	0	0	31	29	-33
125	45	3.5	0	0	-31	-29	31
126	45	4	0	0	30	30	32
128	46	1	0	0	29	31	33
130	46	2	0	0	-29	-31	32
131	46	2.5	0	0	-29	-31	31
132	46	3	0	0	28	-31	33
134	46	4	21	0	-28	30	32
135	46	4.5	-21	0	27	-30	-32
136	47	1	22	0	26	29	31
138	47	2	23	25	25	28	30
140	47	3	24	26	0	-28	-30
142	47	4	-24	-26	0	27	29
143	47	4.5	-24	-26	0	26	-29
144	48	1	23	27	0	25	30
146	48	2	21	28	28	-25	-30
148	48	3	25	-28	29	-25	0
149	48	3.5	-25	27	-29	-25	0
149.5	48	3.75	-25	26	-29	-25	0
150	48	4	-25	27	30	-25	32
152	49	1	24	28	31	0	33
154	49	2	22	29	-31	0	34
156	49	3	21	25	30	0	35
158	49	4	-21	-25	-30	28	-35
159	49	4.5	-21	-25	31	-28	-35
160	50	1	18	-25	32	29	34
162	50	2	-18	-25	25	30	-34
163	50	2.5	-18	-25	26	-30	-34
164	50	3	25	0	27	29	-34
165	50	3.5	-25	0	28	-29	-34
166	50	4	-25	0	29	-29	-34
167	50	4.5	-25	0	-29	30	-34
168	51	1	24	0	-29	31	33
169	51	1.5	-24	0	28	30	-33
170	51	2	-24	0	31	29	-33
171	51	2.5	-24	0	-31	28	-33
172	51	3	-24	0	-31	29	-33
174	51	4	-24	0	30	28	-33
176	52	1	25	0	29	-28	32
178	52	2	-25	25	-29	27	-32
179	52	2.5	-25	-25	-29	-27	31
180	52	3	0	26	0	28	30
182	52	4	0	27	29	27	29
184	53	1	0	28	30	26	28
186	53	2	0	-28	31	-26	-28
188	53	3	0	-28	32	25	0
190	53	4	0	27	-32	-25	29
192	54	1	0	26	28	0	30
194	54	2	22	-26	29	0	31
196	54	3	23	25	27	0	32
198	54	4	-23	-25	30	25	-32
199	54	4.5	24	-25	-30	-25	-32
200	55	1	25	-25	29	27	-32
202	55	2	21	23	28	28	-32
204	55	3	18	25	-28	29	-32
206	55	4	-18	-25	27	-29	-32
208	56	1	21	25	28	30	32
*-	*-	*-	*-	*-	*-	*-	*-
