**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	32
8	2	1	0	0	0	29	36
12	2	3	0	0	0	-29	36
14	2	4	0	0	0	-29	38
16	3	1	0	0	0	33	37
18	3	2	0	0	0	-33	35
20	3	3	0	0	0	33	37
22	3	4	0	0	0	35	-37
24	4	1	0	25	0	34	36
26	4	2	0	-25	0	32	-36
28	4	3	0	-25	0	34	-36
30	4	4	0	-25	0	-34	39
32	5	1	22	29	0	33	38
34	5	2	-22	-29	0	-33	36
36	5	3	-22	-29	0	-33	38
38	5	4	-22	31	0	-33	-38
39	5	4.5	-22	-31	0	-33	37
39.5	5	4.75	-22	-31	0	-33	36
40	6	1	26	30	0	33	35
42	6	2	-26	28	0	-33	33
44	6	3	-26	30	0	-33	35
46	6	4	28	-30	0	32	-35
48	7	1	27	29	29	34	36
50	7	2	25	32	-29	27	-36
51	7	2.5	-25	-32	-29	28	-36
52	7	3	27	31	-29	29	-36
53	7	3.5	-27	-31	-29	30	-36
54	7	4	-27	29	-29	31	-36
56	8	1	26	31	33	-31	0
57	8	1.5	-26	-31	-33	30	0
57.5	8	1.75	-26	-31	-33	29	0
58	8	2	-26	30	-33	28	0
59	8	2.5	-26	29	-33	29	0
60	8	3	-26	28	33	30	0
61	8	3.5	-26	29	-33	-30	0
62	8	4	-26	30	35	28	0
63	8	4.5	-26	31	-35	-28	0
64	9	1	25	32	34	29	0
66	9	2	-25	-32	32	-29	0
67	9	2.5	-25	31	-32	-29	0
68	9	3	-25	30	34	32	0
69	9	3.5	-25	29	-34	-32	0
70	9	4	22	29	33	31	36
72	10	1	26	-29	33	30	37
74	10	2	-26	28	-33	33	37
76	10	3	0	29	0	-33	38
78	10	4	0	31	0	33	35
80	11	1	0	27	0	32	36
82	11	2	0	-27	29	31	-36
83	11	2.5	0	28	-29	-31	-36
84	11	3	0	29	31	-31	33
85	11	3.5	0	-29	-31	30	-33
86	11	4	29	-29	31	29	-33
88	12	1	30	26	30	-29	-33
90	12	2	30	-26	26	28	-33
92	12	3	31	0	0	29	-33
94	12	4	28	0	33	30	-33
96	13	1	29	0	33	31	0
98	13	2	-29	29	34	-31	38
99	13	2.5	-29	-29	-34	30	-38
99.5	13	2.75	-29	-29	-34	29	-38
100	13	3	26	30	35	28	37
102	13	4	28	30	32	-28	37
104	14	1	24	31	33	26	36
105	14	1.5	-24	-31	-33	-26	35
106	14	2	-24	28	-33	-26	38
107	14	2.5	23	-28	-33	-26	-38
108	14	3	22	29	0	33	-38
109	14	3.5	-22	-29	0	-33	37
110	14	4	-22	-29	29	-33	36
112	15	1	0	26	30	0	-36
114	15	2	0	-26	30	33	35
116	15	3	0	29	31	33	36
118	15	4	25	-29	32	34	-36
120	16	1	26	0	30	35	0
121	16	1.5	-26	0	-30	34	0
122	16	2	26	28	-30	33	0
123	16	2.5	-26	-28	-30	32	0
124	16	3	27	29	29	31	0
125	16	3.5	-27	-29	-29	32	0
126	16	4	24	26	-29	33	0
128	17	1	25	27	29	-33	0
129	17	1.5	-25	-27	-29	32	0
130	17	2	-25	-27	-29	32	32
132	17	3	22	26	-29	-32	33
134	17	4	-22	-26	29	31	33
136	18	1	0	25	29	32	34
138	18	2	0	29	-29	33	31
140	18	3	0	25	29	34	32
141	18	3.5	0	-25	-29	33	-32
142	18	4	0	-25	-29	32	34
143	18	4.5	0	26	-29	31	-34
144	19	1	0	27	25	32	-34
145	19	1.5	0	-27	-25	-32	33
146	19	2	21	28	-25	30	32
148	19	3	22	26	0	29	-32
150	19	4	22	-26	29	-29	31
152	20	1	23	25	27	0	32
154	20	2	20	-25	27	29	-32
156	20	3	21	-25	30	28	0
157	20	3.5	-21	-25	29	-28	0
158	20	4	-21	-25	28	30	35
160	21	1	25	-25	-28	29	36
162	21	2	-25	-25	27	-29	36
164	21	3	21	-25	28	32	37
166	21	4	-21	-25	30	-32	35
168	22	1	25	25	29	32	-35
170	22	2	-25	-25	-29	-32	34
171	22	2.5	-25	-25	-29	-32	33
172	22	3	-25	-25	-29	-32	34
176	23	1	-25	-25	-29	-32	34
184	24	1	0	31	0	33	35
190	24	4	0	31	0	33	35
192	25	1	0	31	31	33	35
195	25	2.5	0	30	-31	-33	-35
196	25	3	0	29	-31	34	36
197	25	3.5	0	28	-31	-34	-36
198	25	4	0	27	31	-34	-36
200	26	1	0	-27	31	27	-36
202	26	2	0	26	-31	28	35
204	26	3	0	25	32	29	34
206	26	4	0	-25	-32	30	-34
209	27	1.5	0	-25	-32	29	-34
210	27	2	0	-25	31	29	-34
212	27	3	0	26	30	-29	33
214	27	4	26	-26	-30	28	-33
215	27	4.5	-26	-26	29	27	-33
216	28	1	-26	0	30	28	-33
218	28	2	26	0	31	29	-33
220	28	3	26	0	30	-29	-33
222	28	4	-26	0	33	28	-33
224	29	1	27	0	-33	29	0
226	29	2	-27	29	32	25	0
228	29	3	-27	-29	-32	27	0
230	29	4	26	28	31	28	0
232	30	1	25	-28	32	29	0
234	30	2	-25	27	-32	-29	36
235	30	2.5	-25	-27	-32	30	-36
236	30	3	24	28	33	31	-36
238	30	4	-24	-28	-33	-31	35
239	30	4.5	-24	29	-33	-31	-35
240	31	1	25	30	32	0	-35
242	31	2	-25	29	-32	29	34
243	31	2.5	24	-29	-32	-29	-34
244	31	3	23	-29	-32	30	35
245	31	3.5	-23	28	-32	-30	-35
246	31	4	24	28	33	28	-35
248	32	1	22	-28	-33	31	36
250	32	2	-22	27	29	-31	-36
252	32	3	21	28	32	30	0
254	32	4	-21	-28	30	28	32
255	32	4.5	-21	27	-30	-28	-32
256	33	1	0	26	-30	-28	35
257	33	1.5	0	25	-30	-28	-35
258	33	2	0	24	33	31	-35
259	33	2.5	0	-24	-33	-31	34
260	33	3	0	0	-33	-31	35
261	33	3.5	0	0	32	30	-35
262	33	4	0	0	33	31	36
264	34	1	0	0	34	32	-36
265	34	1.5	0	0	-34	-32	35
266	34	2	0	0	32	-32	34
267	34	2.5	0	0	-32	31	33
268	34	3	0	0	-32	30	32
269	34	3.5	0	0	31	29	-32
270	34	4	0	0	30	28	35
271	34	4.5	0	0	29	27	-35
272	35	1	0	0	28	26	-35
273	35	1.5	0	0	29	25	34
274	35	2	0	0	30	32	34
275	35	2.5	0	0	-30	-32	33
275.5	35	2.75	0	0	-30	-32	32
276	35	3	0	0	29	-32	33
278	35	4	0	0	-29	31	-33
280	36	1	0	29	25	32	34
282	36	2	25	-29	29	-32	-34
283	36	2.5	-25	-29	-29	-32	33
284	36	3	-25	32	-29	0	34
286	36	4	28	-32	30	0	35
287	36	4.5	-28	31	-30	0	-35
288	37	1	-28	32	-30	0	-35
289	37	1.5	27	-32	29	0	36
290	37	2	28	33	30	0	35
292	37	3	29	-33	31	0	33
293	37	3.5	-29	32	-31	0	-33
294	37	4	-29	31	-31	29	-33
295	37	4.5	28	30	-31	-29	-33
296	38	1	27	29	32	-29	0
297	38	1.5	26	28	-32	-29	0
298	38	2	25	27	-32	32	0
299	38	2.5	-25	26	31	-32	0
299.5	38	2.75	-25	-26	30	-32	0
300	38	3	-25	27	29	-32	0
301	38	3.5	26	28	-29	31	0
302	38	4	27	29	-29	32	0
304	39	1	26	-29	30	33	0
306	39	2	-26	28	-30	-33	33
307	39	2.5	-26	-28	-30	32	-33
308	39	3	22	29	0	31	-33
309	39	3.5	-22	-29	0	30	-33
310	39	4	-22	-29	29	29	36
311	39	4.5	-22	-29	-29	28	-36
312	40	1	25	0	-29	27	-36
313	40	1.5	-25	0	-29	-27	35
314	40	2	-25	25	32	34	36
316	40	3	21	28	-32	35	37
317	40	3.5	-21	-28	31	-35	-37
318	40	4	-21	-28	32	-35	-37
319	40	4.5	-21	27	-32	-35	36
320	41	1	0	28	33	-35	35
322	41	2	0	29	-33	33	38
323	41	2.5	0	-29	32	-33	-38
324	41	3	0	-29	31	-33	-38
325	41	3.5	0	28	-31	-33	37
326	41	4	0	27	32	34	36
327	41	4.5	0	26	-32	-34	35
328	42	1	0	25	-32	-34	34
329	42	1.5	0	26	31	-34	35
330	42	2	0	27	29	32	36
332	42	3	0	26	30	33	-36
334	42	4	0	-26	-30	-33	35
336	43	1	22	31	29	33	36
339	43	2.5	-22	30	28	-33	-36
340	43	3	25	29	27	34	-36
341	43	3.5	-25	28	26	-34	-36
342	43	4	-25	27	25	-34	-36
343	43	4.5	-25	26	-25	-34	-36
344	44	1	-25	25	29	-34	-36
346	44	2	24	26	-29	33	-36
348	44	3	25	27	-29	32	-36
352	45	1	22	26	29	31	-36
360	46	1	0	0	0	32	0
364	46	3	0	0	0	-32	36
366	46	4	0	0	0	32	-36
368	47	1	0	0	0	32	-36
370	47	2	0	25	0	32	36
372	47	3	0	25	0	34	36
373	47	3.5	0	26	0	-34	-36
374	47	4	0	27	0	-34	36
375	47	4.5	0	28	0	-34	-36
376	48	1	0	29	0	33	38
378	48	2	0	29	0	31	-38
380	48	3	0	28	0	32	37
382	48	4	0	26	0	33	35
384	49	1	0	25	0	34	36
386	49	2	0	28	0	33	37
388	49	3	0	29	0	-33	38
390	49	4	0	30	0	32	37
392	50	1	0	31	0	33	-37
393	50	1.5	0	-31	0	-33	36
394	50	2	0	32	0	34	36
396	50	3	0	30	0	32	-36
398	50	4	0	-30	32	-32	35
399	50	4.5	0	-30	-32	33	-35
400	51	1	25	29	-32	34	36
401	51	1.5	-25	-29	-32	33	-36
402	51	2	-25	-29	32	34	-36
403	51	2.5	-25	-29	-32	35	-36
404	51	3	-25	0	32	34	0
406	51	4	25	29	32	-34	32
408	52	1	25	-29	34	32	32
409	52	1.5	-25	-29	-34	-32	33
410	52	2	25	29	-34	-32	34
411	52	2.5	-25	-29	33	-32	35
411.5	52	2.75	-25	-29	32	-32	-35
412	52	3	27	29	31	0	36
414	52	4	-27	29	32	0	36
416	53	1	26	31	33	0	35
417	53	1.5	-26	-31	34	0	-35
418	53	2	24	-31	35	0	33
419	53	2.5	-24	-31	33	0	-33
420	53	3	25	30	34	0	32
422	53	4	26	28	33	0	31
424	54	1	27	29	-33	0	32
425	54	1.5	-27	-29	32	0	-32
426	54	2	28	30	32	0	-32
428	54	3	26	28	-32	0	35
430	54	4	-26	-28	31	0	-35
432	55	1	25	29	32	0	34
434	55	2	-25	-29	-32	32	-34
435	55	2.5	26	-29	31	-32	-34
435.5	55	2.75	-26	-29	30	-32	-34
436	55	3	27	0	29	-32	0
438	55	4	28	0	30	32	0
440	56	1	-28	0	-30	32	35
442	56	2	27	0	29	32	-35
443	56	2.5	26	0	28	-32	-35
444	56	3	25	0	32	34	36
446	56	4	-25	27	-32	-34	37
448	57	1	24	28	0	33	38
449	57	1.5	-24	-28	0	-33	37
450	57	2	-24	29	0	31	36
451	57	2.5	-24	-29	0	-31	35
452	57	3	0	30	0	32	34
453	57	3.5	0	-30	0	-32	35
454	57	4	0	29	31	33	36
456	58	1	0	32	32	34	37
458	58	2	0	31	33	33	36
460	58	3	0	32	34	-33	-36
461	58	3.5	0	-32	-34	32	-36
462	58	4	0	30	33	32	35
463	58	4.5	0	-30	32	-32	-35
464	59	1	0	29	34	-32	36
466	59	2	0	-29	33	31	-36
467	59	2.5	0	-29	-33	-31	35
468	59	3	0	25	-33	32	34
469	59	3.5	0	-25	32	-32	-34
470	59	4	27	-25	32	-32	-34
472	60	1	28	0	-32	0	33
474	60	2	29	0	31	0	-33
476	60	3	30	0	32	0	32
478	60	4	-30	0	-32	0	34
480	61	1	-30	0	32	0	35
482	61	2	29	27	-32	0	36
484	61	3	28	28	-32	0	37
486	61	4	27	29	-32	0	36
488	62	1	28	30	-32	0	-36
489	62	1.5	-28	-30	-32	0	35
490	62	2	-28	-30	-32	28	35
492	62	3	25	29	-32	29	-35
494	62	4	-25	25	-32	30	34
496	63	1	24	28	0	31	33
497	63	1.5	-24	-28	0	-31	34
498	63	2	-24	-28	31	33	35
499	63	2.5	-24	-28	-31	-33	33
500	63	3	0	0	32	32	34
501	63	3.5	0	0	-32	-32	35
502	63	4	24	0	33	31	36
504	64	1	25	0	34	30	-36
506	64	2	26	0	33	-30	35
507	64	2.5	-26	0	32	-30	-35
508	64	3	27	0	31	29	36
509	64	3.5	-27	0	30	-29	-36
510	64	4	-27	0	29	31	-36
511	64	4.5	-27	0	28	-31	-36
512	65	1	-27	0	29	32	36
514	65	2	26	24	-29	33	-36
516	65	3	25	25	29	34	36
518	65	4	24	26	-29	33	36
520	66	1	25	27	0	-33	36
521	66	1.5	-25	-27	0	32	-36
522	66	2	-25	-27	32	32	-36
524	66	3	22	26	33	-32	-36
526	66	4	-22	-26	33	31	-36
528	67	1	25	25	34	32	36
529	67	1.5	-25	-25	33	-32	-36
530	67	2	-25	27	32	-32	-36
531	67	2.5	-25	-27	31	-32	-36
532	67	3	0	28	30	-32	0
534	67	4	25	29	29	-32	34
536	68	1	21	30	28	-32	35
538	68	2	25	29	27	-32	36
540	68	3	21	-29	28	-32	37
541	68	3.5	-21	28	-28	-32	-37
542	68	4	-21	28	-28	-32	-37
544	69	1	25	-28	29	32	36
546	69	2	-25	27	-29	-32	-36
547	69	2.5	-25	26	-29	-32	-36
548	69	3	-25	27	-29	-32	-36
552	70	1	-25	27	-29	-32	-36
*-	*-	*-	*-	*-	*-	*-	*-
