**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	21	28	32	35	0	37
8	2	1	25	29	32	34	0	36
12	2	3	21	28	-32	35	0	37
14	2	4	-21	-28	30	-35	0	-37
16	3	1	24	-28	31	33	0	35
18	3	2	-24	26	-31	-33	0	-35
20	3	3	25	27	29	32	0	34
22	3	4	25	27	29	32	0	34
24	4	1	26	28	28	30	37	33
26	4	2	-26	-28	30	33	-37	35
27	4	2.5	27	29	-30	-33	-37	-35
28	4	3	28	30	-30	32	-37	-35
29	4	3.5	-28	-30	29	-32	-37	36
30	4	4	-28	-30	28	-32	-37	37
31	4	4.5	-28	-30	-28	-32	-37	38
32	5	1	25	0	-28	32	36	39
34	5	2	-25	32	27	-32	-36	-39
36	5	3	21	30	28	-32	37	39
38	5	4	-21	30	-28	35	-37	32
39	5	4.5	22	-30	-28	-35	-37	-32
40	6	1	23	32	-28	-35	35	-32
41	6	1.5	-23	-32	-28	34	-35	-32
42	6	2	24	31	-28	33	-35	33
43	6	2.5	-24	30	-28	-33	-35	-33
44	6	3	25	29	0	-33	34	34
45	6	3.5	-25	-29	0	32	-34	35
46	6	4	-25	29	25	32	34	36
47	6	4.5	-25	-29	-25	-32	-34	37
48	7	1	22	29	26	-32	33	36
50	7	2	-22	-29	26	31	-33	-36
51	7	2.5	-22	28	-26	30	-33	-36
51.5	7	2.75	-22	27	-26	-30	-33	-36
52	7	3	22	26	29	31	-33	-36
54	7	4	-22	26	-29	-31	-33	36
56	8	1	25	27	29	32	32	34
58	8	2	-25	-27	29	-32	-32	-34
60	8	3	-25	0	27	-32	0	0
62	8	4	-25	32	-27	-32	36	34
66	9	2	0	32	0	32	36	34
68	9	3	0	28	0	-32	37	35
70	9	4	0	30	0	32	39	34
72	10	1	0	29	0	33	38	36
74	10	2	0	28	0	35	37	32
75	10	2.5	0	-28	0	-35	-37	33
76	10	3	0	32	0	34	36	34
77	10	3.5	0	-32	0	-34	37	35
78	10	4	0	31	0	33	38	36
79	10	4.5	0	-31	0	34	36	-36
80	11	1	0	30	0	35	37	32
81	11	1.5	0	-30	0	34	38	-32
82	11	2	0	-30	0	34	39	-32
83	11	2.5	0	-30	0	33	-39	-32
83.5	11	2.75	0	-30	0	32	-39	-32
84	11	3	0	29	0	33	-39	0
85	11	3.5	0	-29	0	-33	38	0
86	11	4	0	-29	0	-33	38	36
87	11	4.5	0	28	0	-33	37	-36
87.5	11	4.75	0	27	0	-33	36	-36
88	12	1	0	26	0	33	37	-36
90	12	2	0	-26	0	-33	-37	35
91	12	2.5	0	-26	0	32	-37	-35
92	12	3	0	29	0	31	36	36
93	12	3.5	0	-29	0	-31	-36	35
94	12	4	25	-29	32	32	-36	34
95	12	4.5	-25	-29	-32	-32	-36	33
96	13	1	-25	0	-32	29	-36	34
98	13	2	25	0	32	-29	-36	-34
100	13	3	26	30	28	0	0	33
102	13	4	28	-30	30	0	0	32
103	13	4.5	-28	-30	-30	0	0	33
104	14	1	27	32	29	0	0	34
105	14	1.5	-27	-32	-29	0	0	32
106	14	2	26	31	28	0	0	35
108	14	3	25	30	32	0	0	-35
109	14	3.5	26	-30	-32	0	0	-35
110	14	4	27	29	-32	0	0	34
111	14	4.5	25	-29	-32	0	0	-34
112	15	1	26	28	30	0	0	35
113	15	1.5	27	-28	-30	0	0	36
114	15	2	28	-28	-30	0	32	37
