**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	24	0	28	0	0
4	1	3	27	0	29	0	0
7	1	4.5	-27	0	28	0	0
8	2	1	-27	0	29	0	0
9	2	1.5	-27	0	30	0	0
10	2	2	-27	0	31	0	0
12	2	3	26	28	-31	0	0
14	2	4	-26	-28	30	0	0
16	3	1	27	29	29	31	0
18	3	2	-27	-29	27	-31	0
19	3	2.5	-27	28	-27	-31	0
20	3	3	-27	29	31	34	0
21	3	3.5	-27	30	-31	-34	0
22	3	4	26	31	-31	-34	0
24	4	1	25	-31	32	-34	0
26	4	2	-25	30	-32	-34	0
28	4	3	24	31	28	33	35
31	4	4.5	-24	30	-28	-33	-35
32	5	1	0	29	0	34	36
33	5	1.5	0	28	0	-34	-36
34	5	2	0	27	0	-34	-36
35	5	2.5	0	26	0	-34	35
36	5	3	0	25	0	-34	36
37	5	3.5	0	-25	0	-34	37
38	5	4	0	24	0	33	38
40	6	1	21	28	0	32	-38
42	6	2	-21	-28	0	-32	37
44	6	3	22	24	0	31	38
46	6	4	-22	-24	26	-31	-38
47	6	4.5	21	-24	-26	-31	37
48	7	1	22	0	27	-31	36
49	7	1.5	23	0	-27	-31	-36
50	7	2	24	28	26	-31	35
52	7	3	-24	29	25	0	0
54	7	4	23	28	-25	0	32
56	8	1	24	-28	24	28	33
57	8	1.5	-24	27	25	-28	-33
58	8	2	-24	26	26	-28	-33
59	8	2.5	-24	-26	27	-28	32
60	8	3	-24	-26	28	31	33
61	8	3.5	-24	-26	-28	-31	34
62	8	4	23	25	-28	-31	35
64	9	1	22	24	0	-31	-35
66	9	2	-22	-24	0	-31	34
68	9	3	21	25	0	30	35
70	9	4	-21	-25	28	-30	-35
72	10	1	0	0	29	31	33
73	10	1.5	0	0	28	-31	-33
74	10	2	0	0	29	-31	-33
75	10	2.5	0	0	30	-31	32
76	10	3	0	0	31	-31	33
77	10	3.5	0	0	-31	-31	34
78	10	4	0	0	32	30	35
80	11	1	0	0	-32	29	34
81	11	1.5	0	0	31	-29	33
82	11	2	0	0	31	-29	33
83	11	2.5	0	0	-31	-29	32
83.5	11	2.75	0	0	-31	-29	31
84	11	3	21	0	-31	28	32
86	11	4	-21	0	30	32	-32
88	12	1	24	0	31	33	31
89	12	1.5	-24	0	-31	-33	32
90	12	2	-24	0	-31	-33	33
91	12	2.5	-24	0	-31	32	34
92	12	3	-24	0	-31	33	35
93	12	3.5	-24	0	-31	34	-35
94	12	4	-24	0	28	35	-35
96	13	1	23	25	28	-35	0
98	13	2	-23	-25	-28	34	0
100	13	3	24	26	-28	33	35
103	13	4.5	-24	25	-28	-33	-35
104	14	1	-24	26	-28	-33	38
105	14	1.5	-24	27	-28	-33	-38
106	14	2	23	28	-28	32	-38
108	14	3	22	-28	0	31	-38
110	14	4	-22	27	0	-31	-38
112	15	1	21	28	0	0	37
114	15	2	-21	-28	28	35	-37
116	15	3	0	0	29	33	38
117	15	3.5	0	0	28	-33	-38
118	15	4	0	0	29	31	-38
119	15	4.5	0	0	30	32	-38
120	16	1	0	0	31	33	-38
121	16	1.5	0	0	-31	34	-38
122	16	2	0	28	32	35	37
124	16	3	0	29	-32	34	36
125	16	3.5	0	28	-32	-34	-36
126	16	4	0	29	31	33	-36
127	16	4.5	0	30	-31	-33	-36
128	17	1	0	31	-31	-33	35
130	17	2	0	32	30	32	-35
132	17	3	0	-32	31	33	-35
133	17	3.5	0	31	-31	-33	-35
134	17	4	0	31	-31	-33	-35
136	18	1	21	-31	0	32	-35
138	18	2	-21	30	0	-32	-35
140	18	3	24	33	28	0	0
142	18	4	23	32	-28	0	32
144	19	1	22	31	31	0	33
145	19	1.5	-22	30	-31	0	-33
146	19	2	-22	29	-31	33	-33
147	19	2.5	23	-29	-31	-33	32
148	19	3	24	28	-31	-33	33
149	19	3.5	25	-28	-31	-33	34
150	19	4	26	-28	-31	31	35
152	20	1	25	0	30	32	-35
154	20	2	-25	25	-30	32	34
156	20	3	24	26	31	28	33
158	20	4	-24	-26	-31	28	-33
159	20	4.5	-24	25	-31	-28	-33
160	21	1	-24	26	-31	28	-33
161	21	1.5	-24	27	-31	-28	-33
162	21	2	-24	28	30	-28	33
164	21	3	25	-28	29	0	32
166	21	4	-25	27	-29	32	-32
168	22	1	21	28	28	30	-32
169	22	1.5	-21	-28	-28	31	-32
170	22	2	-21	-28	30	32	-32
171	22	2.5	-21	-28	-30	30	-32
172	22	3	0	24	31	33	35
174	22	4	0	-24	31	33	-35
176	23	1	20	27	31	29	36
178	23	2	-20	-27	31	-29	-36
179	23	2.5	-20	-27	-31	30	35
180	23	3	-20	-27	29	31	36
181	23	3.5	-20	-27	-29	-31	37
182	23	4	-20	-27	-29	-31	38
183	23	4.5	-20	-27	-29	32	-38
184	24	1	24	26	0	33	-38
186	24	2	-24	-26	28	-33	37
188	24	3	20	27	29	31	36
191	24	4.5	-20	-27	28	30	-36
192	25	1	20	-27	29	29	-36
193	25	1.5	-20	-27	30	-29	-36
194	25	2	-20	26	31	-29	-36
196	25	3	21	25	-31	0	35
198	25	4	-21	-25	30	32	-35
200	26	1	24	24	31	33	35
203	26	2.5	-24	-24	-31	32	-35
204	26	3	24	28	31	33	-35
205	26	3.5	-24	-28	-31	34	-35
206	26	4	-24	-28	-31	35	33
207	26	4.5	-24	-28	30	-35	-33
208	27	1	20	31	29	-35	34
210	27	2	-20	-31	-29	34	-34
