**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0
8	2	1	0	0	27	0
12	2	3	0	0	28	33
16	3	1	0	0	29	-33
20	3	3	0	0	-29	31
24	4	1	0	0	25	32
28	4	3	0	0	29	33
32	5	1	0	0	28	-33
36	5	3	0	0	27	29
40	6	1	0	0	0	33
42	6	2	0	0	28	-33
44	6	3	0	0	28	32
46	6	4	0	0	28	-32
48	7	1	0	0	29	31
50	7	2	0	0	27	31
52	7	3	0	0	30	32
54	7	4	0	0	-30	32
56	8	1	0	0	29	33
58	8	2	0	0	-29	31
60	8	3	0	0	25	34
62	8	4	0	0	29	-34
64	9	1	0	0	-29	33
66	9	2	0	0	28	-33
68	9	3	0	0	27	29
70	9	4	0	0	28	33
72	10	1	22	0	29	-33
73	10	1.5	-22	0	-29	32
74	10	2	-22	0	27	32
76	10	3	-22	0	26	-32
78	10	4	-22	0	-26	31
80	11	1	20	0	25	32
84	11	3	21	26	0	0
88	12	1	22	-26	0	0
92	12	3	-22	24	0	0
96	13	1	18	25	0	0
100	13	3	22	26	0	0
104	14	1	21	-26	0	0
108	14	3	20	22	0	0
112	15	1	0	26	0	0
114	15	2	21	-26	0	0
116	15	3	21	25	0	0
118	15	4	21	-25	0	0
120	16	1	22	24	0	0
122	16	2	20	24	0	0
124	16	3	23	25	0	0
126	16	4	-23	25	0	0
128	17	1	22	26	0	0
130	17	2	-22	24	0	0
132	17	3	18	27	0	0
134	17	4	21	26	0	0
136	18	1	20	22	0	0
138	18	2	21	26	0	0
140	18	3	-21	-26	0	33
141	18	3.5	20	25	0	-33
142	18	4	19	25	0	-33
143	18	4.5	18	-25	0	-33
144	19	1	19	-25	0	33
146	19	2	-19	24	0	33
148	19	3	18	25	29	34
150	19	4	25	-25	-29	-34
152	20	1	25	0	29	33
154	20	2	24	26	29	-33
156	20	3	25	27	29	32
158	20	4	24	28	31	33
161	21	1.5	25	27	30	32
162	21	2	23	25	28	32
164	21	3	22	26	29	-32
166	21	4	-22	-26	-29	31
168	22	1	18	25	29	32
174	22	4	-18	-25	-29	32
178	23	2	-18	-25	29	32
180	23	3	0	0	-29	29
182	23	4	0	0	29	31
184	24	1	0	0	26	30
186	24	2	0	0	28	30
188	24	3	0	0	27	29
190	24	4	0	0	27	29
192	25	1	0	0	26	30
194	25	2	0	0	26	31
196	25	3	0	0	27	32
198	25	4	0	0	28	-32
200	26	1	0	0	29	31
202	26	2	0	0	-29	31
204	26	3	0	0	28	32
206	26	4	0	0	-28	33
208	27	1	0	0	0	29
210	27	2	0	0	27	-29
212	27	3	0	0	28	33
214	27	4	0	0	29	-33
216	28	1	0	0	25	34
220	28	3	0	0	29	33
224	29	1	0	0	30	32
228	29	3	0	0	29	0
230	29	4	0	0	-29	31
232	30	1	0	0	28	32
234	30	2	0	0	-28	33
236	30	3	0	0	0	29
238	30	4	0	0	27	-29
240	31	1	0	0	28	33
242	31	2	0	0	29	-33
244	31	3	0	0	25	34
246	31	4	0	0	29	33
249	32	1.5	0	0	28	32
250	32	2	0	0	27	32
252	32	3	22	0	26	-32
254	32	4	-22	0	29	31
256	33	1	23	0	-29	32
258	33	2	-23	0	28	-32
260	33	3	22	26	29	0
264	34	1	18	27	-29	0
266	34	2	22	-27	-29	0
268	34	3	-22	26	0	0
270	34	4	21	-26	0	0
272	35	1	20	22	0	0
276	35	3	19	26	0	0
278	35	4	22	-26	0	0
280	36	1	25	27	0	0
282	36	2	25	-27	0	0
284	36	3	22	26	0	0
286	36	4	24	-26	0	0
288	37	1	23	25	0	0
290	37	2	21	25	0	0
292	37	3	-21	28	0	0
293	37	3.5	22	-28	0	0
294	37	4	23	28	0	0
295	37	4.5	24	-28	0	0
296	38	1	25	27	0	0
298	38	2	22	26	0	0
301	38	3.5	21	-26	0	0
302	38	4	20	25	0	0
304	39	1	19	-25	0	33
306	39	2	-19	24	0	-33
308	39	3	18	25	0	34
310	39	4	25	-25	0	-34
312	40	1	-25	0	29	33
314	40	2	24	0	-29	-33
316	40	3	25	0	30	32
318	40	4	21	0	-30	35
320	41	1	25	0	29	-35
322	41	2	22	0	-29	34
324	41	3	24	0	28	33
326	41	4	-24	0	31	-33
328	42	1	21	0	-31	32
330	42	2	-21	0	30	-32
332	42	3	25	0	29	0
334	42	4	22	0	-29	31
336	43	1	23	0	28	32
338	43	2	24	0	-28	33
340	43	3	25	0	0	34
342	43	4	-25	0	27	-34
344	44	1	24	0	28	33
346	44	2	-24	0	29	-33
347	44	2.5	23	0	-29	-33
348	44	3	21	0	30	32
349	44	3.5	22	0	-30	-32
350	44	4	23	0	30	35
351	44	4.5	24	0	-30	-35
352	45	1	25	0	29	34
354	45	2	22	24	-29	33
356	45	3	23	25	27	-33
357	45	3.5	-23	-25	-27	32
358	45	4	-23	-25	28	32
360	46	1	22	26	29	-32
362	46	2	-22	-26	-29	31
364	46	3	0	25	29	32
366	46	4	25	27	-29	-32
370	47	2	24	26	-29	0
372	47	3	25	27	0	0
374	47	4	22	26	0	0
376	48	1	25	27	29	0
380	48	3	22	26	-29	33
382	48	4	-22	-26	29	-33
384	49	1	-22	-26	31	-33
386	49	2	-22	-26	31	33
388	49	3	0	-26	30	35
390	49	4	0	-26	-30	35
391	49	4.5	0	-26	31	-35
392	50	1	0	0	32	34
395	50	2.5	0	0	-32	35
396	50	3	0	0	0	36
398	50	4	0	0	32	-36
402	51	2	0	0	32	36
404	51	3	0	0	32	-36
406	51	4	0	0	-32	36
408	52	1	0	0	29	36
410	52	2	0	0	31	-36
412	52	3	0	0	-31	33
414	52	4	0	0	30	35
415	52	4.5	0	0	29	-35
416	53	1	0	0	30	-35
417	53	1.5	0	0	31	-35
418	53	2	0	0	32	34
420	53	3	0	29	-32	33
422	53	4	0	-29	31	-33
424	54	1	0	30	32	32
428	54	3	25	29	-32	-32
432	55	1	26	28	0	0
436	55	3	25	0	0	0
438	55	4	-25	27	0	0
440	56	1	24	28	0	0
442	56	2	-24	29	0	0
444	56	3	0	25	0	0
446	56	4	23	-25	0	0
448	57	1	24	26	29	0
450	57	2	25	27	-29	0
452	57	3	21	25	30	0
454	57	4	25	27	-30	0
456	58	1	-25	-27	29	0
458	58	2	24	26	-29	0
460	58	3	23	-26	28	0
462	58	4	-23	25	-28	0
464	59	1	22	27	0	0
466	59	2	25	-27	27	0
468	59	3	24	26	28	0
470	59	4	22	27	29	0
472	60	1	23	-27	25	0
473	60	1.5	-23	25	-25	0
474	60	2	21	28	-25	0
475	60	2.5	-21	-28	26	0
476	60	3	25	29	27	32
477	60	3.5	-25	-29	28	-32
478	60	4	-25	27	29	-32
480	61	1	23	-27	-29	-32
482	61	2	-23	26	28	32
483	61	2.5	-23	25	-28	-32
484	61	3	22	27	29	31
486	61	4	22	-27	29	-31
488	62	1	-22	26	-29	31
490	62	2	22	-26	29	-31
492	62	3	23	0	27	32
494	62	4	-23	25	-27	-32
496	63	1	23	-25	28	-32
498	63	2	-23	25	-28	-32
500	63	3	22	27	29	0
502	63	4	25	-27	29	32
504	64	1	-25	26	30	35
506	64	2	24	-26	31	-35
508	64	3	25	25	29	-35
510	64	4	25	-25	32	34
512	65	1	22	29	-32	33
514	65	2	-22	-29	31	-33
516	65	3	25	-29	32	32
518	65	4	-25	28	25	-32
519	65	4.5	-25	-28	26	-32
520	66	1	-25	27	27	-32
521	66	1.5	-25	-27	28	-32
522	66	2	24	26	29	-32
524	66	3	23	-26	-29	-32
526	66	4	-23	25	28	-32
528	67	1	22	26	29	31
536	68	1	18	25	29	34
544	69	1	22	24	29	33
552	70	1	25	27	29	32
560	71	1	22	26	29	31
568	71	1	25	29	32	34
