**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	32	0	0
8	2	1	0	31	0	0
16	3	1	0	32	0	36
22	3	4	0	29	0	-36
24	4	1	0	31	0	35
28	4	3	0	30	0	-35
32	5	1	0	29	0	36
36	5	3	0	31	0	-36
38	5	4	0	-31	0	33
40	6	1	0	31	0	35
44	6	3	0	32	0	34
48	7	1	0	29	0	33
50	7	2	0	31	0	-33
52	7	3	0	-31	0	35
54	7	4	0	30	0	-35
55	7	4.5	0	29	0	-35
56	8	1	0	30	0	35
58	8	2	0	30	0	-35
60	8	3	29	29	0	36
62	8	4	-29	31	0	-36
64	9	1	-29	-31	0	33
65	9	1.5	-29	32	0	-33
66	9	2	-29	33	0	38
68	9	3	28	-33	0	-38
70	9	4	-28	32	0	37
71	9	4.5	-28	31	0	36
72	10	1	-28	33	0	37
74	10	2	-28	32	0	37
76	10	3	29	-32	33	36
78	10	4	-29	31	-33	-36
79	10	4.5	-29	30	-33	-36
80	11	1	-29	31	-33	0
82	11	2	26	-31	-33	0
84	11	3	28	30	32	0
88	12	1	27	0	-32	0
92	12	3	26	0	33	0
96	13	1	28	0	-33	0
98	13	2	-28	0	30	0
100	13	3	28	0	32	0
104	14	1	29	0	31	0
106	14	2	-29	0	-31	33
108	14	3	26	30	30	35
110	14	4	28	-30	-30	-35
112	15	1	-28	28	32	37
114	15	2	27	-28	-32	-37
115	15	2.5	26	-28	-32	-37
116	15	3	27	29	32	36
118	15	4	27	-29	-32	-36
120	16	1	26	30	33	35
123	16	2.5	-26	-30	-33	36
124	16	3	-26	-30	30	37
125	16	3.5	-26	-30	-30	35
126	16	4	26	28	33	38
128	17	1	27	29	-33	-38
130	17	2	27	29	32	37
131	17	2.5	-27	-29	-32	36
132	17	3	26	30	33	35
135	17	4.5	27	-30	-33	-35
136	18	1	28	-30	0	-35
138	18	2	26	30	0	-35
140	18	3	29	31	33	0
142	18	4	28	30	-33	0
144	19	1	27	-30	-33	36
146	19	2	-27	29	32	-36
148	19	3	26	30	33	-36
150	19	4	-26	-30	-33	35
152	20	1	0	0	31	36
154	20	2	0	0	-31	33
155	20	2.5	0	0	30	-33
156	20	3	0	0	31	35
157	20	3.5	0	0	32	-35
158	20	4	0	0	33	-35
160	21	1	0	30	-33	34
162	21	2	0	-30	32	-34
164	21	3	0	31	33	33
166	21	4	29	-31	-33	-33
168	22	1	-29	-31	26	-33
170	22	2	28	30	-26	-33
172	22	3	29	31	0	-33
174	22	4	26	30	0	-33
176	23	1	28	-30	33	0
178	23	2	-28	29	-33	0
179	23	2.5	-28	28	-33	0
180	23	3	27	29	-33	36
182	23	4	-27	-29	32	-36
184	24	1	26	30	33	-36
186	24	2	-26	-30	-33	35
188	24	3	0	0	31	36
190	24	4	0	0	-31	33
191	24	4.5	0	0	30	-33
192	25	1	0	0	31	33
193	25	1.5	0	0	32	-33
194	25	2	0	0	33	-33
196	25	3	0	30	-33	34
198	25	4	0	-30	32	-34
200	26	1	0	31	33	33
202	26	2	29	-31	-33	-33
204	26	3	-29	-31	26	0
206	26	4	28	30	-26	33
208	27	1	29	31	0	-33
209	27	1.5	-29	-31	0	34
210	27	2	28	30	33	35
211	27	2.5	-28	-30	-33	36
212	27	3	26	-30	-33	37
214	27	4	-26	29	33	38
215	27	4.5	-26	28	-33	-38
216	28	1	27	29	31	-38
217	28	1.5	-27	-29	-31	37
218	28	2	-27	-29	32	36
220	28	3	26	30	33	-36
222	28	4	26	31	33	35
224	29	1	27	-31	31	36
225	29	1.5	-27	30	-31	-36
226	29	2	-27	29	-31	-36
227	29	2.5	26	28	-31	-36
228	29	3	25	27	0	0
229	29	3.5	24	26	0	0
230	29	4	23	29	0	0
231	29	4.5	22	-29	0	0
232	30	1	23	-29	0	37
234	30	2	-23	28	0	-37
236	30	3	22	29	33	38
240	31	1	0	0	34	-38
242	31	2	0	0	-34	37
244	31	3	0	0	-34	36
246	31	4	0	0	33	38
248	32	1	0	0	32	37
250	32	2	0	0	31	36
253	32	3.5	0	0	30	35
254	32	4	0	0	33	34
255	32	4.5	0	0	-33	33
256	33	1	0	30	-33	34
258	33	2	0	-30	32	-34
260	33	3	26	31	33	33
264	34	1	27	-31	29	0
266	34	2	-27	30	-29	0
268	34	3	-27	29	-29	0
270	34	4	26	31	28	0
272	35	1	25	30	27	0
274	35	2	24	29	26	0
276	35	3	23	-29	27	37
278	35	4	23	28	25	-37
280	36	1	22	29	27	38
282	36	2	29	29	-27	-38
284	36	3	29	33	26	-38
286	36	4	28	-33	-26	37
288	37	1	29	-33	0	36
290	37	2	-29	32	0	35
292	37	3	-29	31	0	34
294	37	4	28	30	33	33
296	38	1	27	30	33	36
298	38	2	27	29	32	-36
300	38	3	26	30	33	0
302	38	4	-26	26	-33	35
304	39	1	0	30	-33	-35
306	39	2	0	-30	32	34
308	39	3	0	28	30	33
310	39	4	0	29	31	-33
313	40	1.5	0	26	30	-33
314	40	2	0	28	30	33
316	40	3	0	27	-30	32
318	40	4	29	-27	29	-32
320	41	1	29	26	30	33
322	41	2	28	33	-30	37
324	41	3	29	-33	0	38
326	41	4	26	33	35	37
328	42	1	28	32	35	-37
330	42	2	29	31	34	36
332	42	3	26	30	33	-36
334	42	4	-26	-30	-33	35
335	42	4.5	-26	-30	32	-35
336	43	1	22	29	31	34
338	43	2	-22	-29	31	33
339	43	2.5	-22	28	-31	-33
340	43	3	23	27	30	-33
342	43	4	-23	-27	-30	32
344	44	1	26	26	-30	33
346	44	2	-26	30	28	-33
348	44	3	-26	31	28	-33
350	44	4	-26	30	-28	-33
354	45	2	26	29	-28	-33
355	45	2.5	-26	28	-28	-33
356	45	3	27	29	0	0
358	45	4	26	30	0	0
360	46	1	-26	-30	33	0
361	46	1.5	-26	26	-33	0
362	46	2	25	29	-33	0
363	46	2.5	24	-29	-33	0
364	46	3	25	-29	34	37
366	46	4	26	28	33	-37
368	47	1	22	29	-33	38
370	47	2	-22	29	32	-38
371	47	2.5	-22	-29	31	-38
372	47	3	0	28	32	37
374	47	4	0	26	33	38
376	48	1	29	27	-33	-38
378	48	2	-29	-27	32	37
379	48	2.5	-29	-27	-32	36
380	48	3	30	26	33	35
382	48	4	28	-26	-33	37
384	49	1	29	33	31	-37
386	49	2	-29	-33	-31	36
388	49	3	26	-33	30	37
389	49	3.5	27	-33	-30	-37
390	49	4	28	33	-30	-37
391	49	4.5	26	-33	-30	-37
392	50	1	27	32	0	0
394	50	2	29	31	33	0
396	50	3	-29	30	34	37
398	50	4	28	-30	33	-37
400	51	1	29	0	-33	38
402	51	2	-29	29	32	-38
403	51	2.5	-29	-29	31	-38
404	51	3	0	28	32	37
406	51	4	0	26	33	38
408	52	1	29	27	-33	-38
410	52	2	-29	-27	32	37
411	52	2.5	-29	-27	-32	36
412	52	3	30	26	33	35
414	52	4	28	-26	-33	37
416	53	1	29	33	31	-37
418	53	2	-29	-33	-31	36
420	53	3	26	-33	30	37
422	53	4	-26	33	-30	-37
424	54	1	29	31	0	0
426	54	2	-29	29	0	0
428	54	3	-29	31	0	0
430	54	4	28	30	0	0
432	55	1	27	29	0	0
434	55	2	26	31	33	0
436	55	3	28	30	-33	0
438	55	4	27	29	32	0
440	56	1	26	-29	31	0
442	56	2	-26	28	30	37
444	56	3	25	29	32	-37
446	56	4	-25	-29	31	36
448	57	1	26	0	30	35
450	57	2	-26	30	28	33
451	57	2.5	25	-30	-28	-33
452	57	3	23	-30	32	35
453	57	3.5	24	-30	-32	-35
454	57	4	25	29	-32	34
456	58	1	26	28	0	33
458	58	2	-26	26	30	-33
460	58	3	23	28	-30	32
462	58	4	-23	27	29	-32
464	59	1	26	26	28	31
465	59	1.5	-26	-26	-28	30
466	59	2	-26	30	26	33
468	59	3	0	-30	28	-33
470	59	4	29	29	27	32
472	60	1	-29	30	26	33
474	60	2	28	-30	33	-33
476	60	3	27	0	32	0
478	60	4	26	33	31	0
480	61	1	28	-33	30	0
482	61	2	27	32	29	36
484	61	3	26	31	33	-36
486	61	4	-26	30	-33	35
488	62	1	25	32	29	34
490	62	2	22	31	-29	33
492	62	3	26	30	28	35
494	62	4	25	32	29	34
496	63	1	29	31	-29	33
497	63	1.5	-29	-31	30	-33
498	63	2	27	29	31	36
499	63	2.5	-27	-29	32	-36
500	63	3	26	30	33	-36
502	63	4	-26	-30	-33	35
503	63	4.5	-26	-30	32	-35
504	64	1	22	29	31	36
506	64	2	25	-29	32	-36
508	64	3	25	0	29	-36
510	64	4	25	29	-29	-36
512	65	1	24	29	0	0
514	65	2	22	29	33	0
516	65	3	26	28	33	0
518	65	4	-26	26	33	37
520	66	1	0	28	32	37
522	66	2	0	-28	30	37
524	66	3	0	27	32	36
526	66	4	0	-27	-32	34
528	67	1	0	26	31	35
530	67	2	26	-26	30	-35
532	67	3	26	0	-30	35
534	67	4	26	30	29	-35
535	67	4.5	-26	-30	28	-35
536	68	1	25	30	32	34
538	68	2	23	30	-32	-34
540	68	3	25	29	0	0
542	68	4	-25	-29	0	36
543	68	4.5	-25	28	0	-36
544	69	1	-25	27	32	36
546	69	2	24	26	-32	36
548	69	3	23	-26	32	35
550	69	4	-23	25	32	34
552	70	1	22	26	31	36
553	70	1.5	-22	-26	-31	37
554	70	2	-22	-26	29	38
555	70	2.5	-22	-26	-29	36
556	70	3	0	0	33	37
558	70	4	0	0	-33	38
560	71	1	0	0	34	-38
561	71	1.5	0	0	-34	37
562	71	2	0	0	-34	36
563	71	2.5	0	0	33	35
564	71	3	0	0	32	34
565	71	3.5	0	0	31	33
566	71	4	24	0	30	36
567	71	4.5	-24	0	29	-36
568	72	1	25	0	30	-36
570	72	2	26	0	-30	35
572	72	3	22	0	29	36
573	72	3.5	-22	0	30	-36
574	72	4	29	24	31	-36
575	72	4.5	-29	-24	29	-36
576	73	1	-29	25	30	0
578	73	2	28	26	-30	0
580	73	3	29	27	29	0
582	73	4	22	-27	-29	0
584	74	1	-22	26	-29	0
585	74	1.5	23	-26	-29	0
586	74	2	24	-26	-29	0
587	74	2.5	25	27	-29	0
588	74	3	26	28	0	0
589	74	3.5	-26	29	0	0
590	74	4	-26	30	0	35
591	74	4.5	25	-30	0	-35
592	75	1	24	-30	0	36
593	75	1.5	-24	29	0	-36
594	75	2	25	29	0	-36
596	75	3	23	-29	0	37
598	75	4	-23	28	0	-37
600	76	1	22	29	0	38
602	76	2	-22	29	31	-38
604	76	3	0	30	32	37
606	76	4	26	28	33	-37
608	77	1	27	32	29	36
610	77	2	25	-32	32	-36
612	77	3	29	0	33	38
614	77	4	-29	29	34	-38
616	78	1	0	30	35	37
618	78	2	26	28	-35	-37
620	78	3	27	32	34	36
622	78	4	25	-32	-34	-36
624	79	1	29	0	33	-36
626	79	2	-29	0	-33	35
627	79	2.5	-29	0	32	34
628	79	3	0	0	31	33
629	79	3.5	0	0	30	34
630	79	4	0	28	33	35
631	79	4.5	0	-28	-33	33
632	80	1	0	29	-33	34
634	80	2	0	30	32	-34
636	80	3	0	31	33	0
638	80	4	24	-31	-33	33
640	81	1	25	30	0	34
642	81	2	26	-30	33	35
644	81	3	27	29	31	36
646	81	4	-27	-29	32	-36
648	82	1	26	0	33	35
650	82	2	-26	30	-33	-35
652	82	3	22	31	0	33
654	82	4	-22	29	33	36
656	83	1	0	31	33	35
658	83	2	24	-31	33	36
660	83	3	25	30	34	-36
662	83	4	26	-30	33	35
664	84	1	22	29	33	38
666	84	2	26	30	-33	35
668	84	3	27	32	0	36
670	84	4	28	-32	30	37
672	85	1	29	31	31	33
674	85	2	-29	-31	29	38
676	85	3	27	29	31	-38
677	85	3.5	-27	-29	-31	37
678	85	4	-27	-29	32	36
680	86	1	26	30	33	-36
682	86	2	-26	-30	-33	35
684	86	3	0	29	-33	36
686	86	4	0	29	-33	-36
688	87	1	29	31	-33	-36
690	87	2	-29	31	-33	-36
692	87	3	28	30	-33	0
694	87	4	29	31	-33	0
696	88	1	22	-31	0	0
697	88	1.5	23	-31	0	0
698	88	2	24	30	0	0
699	88	2.5	25	29	0	0
700	88	3	26	28	0	0
701	88	3.5	24	29	0	0
702	88	4	25	30	0	0
705	89	1.5	24	29	0	0
706	89	2	23	29	0	0
707	89	2.5	22	-29	0	0
708	89	3	23	-29	0	0
710	89	4	-23	28	0	37
712	90	1	22	29	33	38
714	90	2	29	-29	-33	38
716	90	3	28	0	-33	37
718	90	4	29	0	-33	38
722	91	2	28	0	-33	37
723	91	2.5	27	0	-33	36
724	91	3	26	0	33	35
725	91	3.5	-26	0	-33	36
726	91	4	28	0	-33	37
728	92	1	-28	0	32	-37
729	92	1.5	27	0	-32	36
730	92	2	29	0	31	36
732	92	3	26	0	30	-36
734	92	4	-26	33	-30	35
736	93	1	22	-33	29	38
738	93	2	29	31	33	36
740	93	3	28	32	35	37
742	93	4	24	33	-35	38
744	94	1	28	-33	-35	-38
745	94	1.5	-28	32	-35	37
746	94	2	-28	31	35	37
747	94	2.5	-28	30	-35	-37
748	94	3	29	31	33	-37
750	94	4	-29	31	33	36
752	95	1	26	30	33	37
754	95	2	-26	30	-33	-37
755	95	2.5	-26	-30	32	-37
756	95	3	0	33	31	0
757	95	3.5	0	-33	30	0
758	95	4	22	-33	29	0
759	95	4.5	-22	33	28	0
760	96	1	23	32	27	0
761	96	1.5	-23	-32	28	0
762	96	2	24	31	29	33
764	96	3	25	30	-29	34
766	96	4	26	-30	28	35
768	97	1	22	0	29	33
770	97	2	-22	29	27	36
772	97	3	0	30	26	-36
774	97	4	26	31	33	35
776	98	1	27	29	31	36
778	98	2	25	32	34	-36
780	98	3	29	-32	-34	-36
781	98	3.5	-29	-32	33	-36
782	98	4	-29	31	33	-36
784	99	1	27	32	-33	-36
786	99	2	-27	29	32	-36
788	99	3	26	31	33	0
790	99	4	22	-31	-33	0
792	100	1	23	30	32	0
794	100	2	24	29	31	33
796	100	3	25	-29	30	34
798	100	4	26	28	-30	35
800	101	1	22	29	0	33
801	101	1.5	-22	30	0	-33
802	101	2	-22	31	33	36
803	101	2.5	-22	29	-33	-36
804	101	3	26	30	33	-36
806	101	4	-26	-30	33	35
808	102	1	27	29	31	36
810	102	2	-27	-29	34	-36
812	102	3	24	-29	-34	-36
813	102	3.5	-24	-29	33	-36
814	102	4	-24	-29	33	35
816	103	1	25	-29	-33	34
818	103	2	-25	-29	32	-34
819	103	2.5	-25	-29	31	33
820	103	3	25	-29	32	34
824	104	1	22	-29	33	33
*-	*-	*-	*-	*-	*-	*-
