**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	35
8	2	1	0	0	0	0	0	35
12	2	3	0	0	0	0	0	32
16	3	1	0	0	0	0	31	35
22	3	4	0	0	0	0	-31	34
24	4	1	0	0	0	0	31	33
28	4	3	0	0	0	0	28	32
30	4	4	0	0	0	0	-28	37
32	5	1	0	0	27	0	31	-37
34	5	2	0	0	-27	0	-31	36
37	5	3.5	0	0	-27	0	-31	35
38	5	4	0	0	-27	0	30	35
40	6	1	0	0	27	31	29	-35
42	6	2	0	0	-27	-31	-29	34
44	6	3	0	0	24	-31	28	35
46	6	4	0	0	-24	-31	33	38
48	7	1	0	0	27	-31	-33	-38
49	7	1.5	0	0	-27	-31	32	37
50	7	2	0	0	-27	-31	31	36
51	7	2.5	0	0	-27	-31	30	35
52	7	3	0	0	-27	31	29	34
53	7	3.5	0	0	-27	-31	28	-34
54	7	4	0	0	26	-31	31	35
56	8	1	0	0	25	27	-31	-35
57	8	1.5	0	0	-25	-27	-31	34
58	8	2	0	0	-25	-27	30	34
60	8	3	0	0	24	31	29	-34
62	8	4	0	0	29	-31	28	33
63	8	4.5	0	0	-29	-31	27	32
64	9	1	24	0	-29	-31	26	33
66	9	2	-24	0	28	30	-26	-33
68	9	3	-24	0	-28	29	31	0
69	9	3.5	-24	0	27	-29	-31	0
70	9	4	-24	0	27	-29	-31	0
72	10	1	24	0	-27	28	31	0
74	10	2	-24	0	26	-28	31	0
76	10	3	20	0	27	0	29	31
78	10	4	-20	0	29	27	-29	-31
80	11	1	24	0	28	-27	0	-31
82	11	2	-24	0	-28	26	33	-31
83	11	2.5	-24	0	-28	25	-33	-31
84	11	3	-24	0	28	26	-33	35
85	11	3.5	-24	0	-28	27	-33	-35
86	11	4	23	0	-28	28	32	-35
88	12	1	22	0	24	-28	31	36
90	12	2	-22	0	-24	27	-31	-36
92	12	3	21	0	0	28	30	37
94	12	4	-21	0	25	-28	-30	-37
96	13	1	-21	21	-25	-28	-30	0
98	13	2	-21	-21	25	27	-30	35
99	13	2.5	-21	-21	-25	26	-30	-35
100	13	3	-21	-21	32	25	0	-35
102	13	4	-21	-21	-32	-25	28	35
104	14	1	-21	23	-32	0	-28	39
106	14	2	-21	-23	-32	28	28	-39
108	14	3	-21	-23	0	-28	32	-39
110	14	4	-21	-23	28	28	-32	-39
112	15	1	-21	23	-28	32	0	0
114	15	2	-21	-23	28	-32	0	35
116	15	3	-21	-23	32	0	0	-35
118	15	4	-21	-23	-32	0	28	35
120	16	1	-21	23	-32	0	-28	39
122	16	2	-21	-23	31	28	28	-39
124	16	3	21	-23	30	-28	32	-39
126	16	4	-21	-23	29	28	-32	38
128	17	1	-21	23	28	32	-32	37
130	17	2	21	-23	28	-32	31	36
132	17	3	28	-23	-28	-32	30	35
134	17	4	-28	-23	28	31	29	-35
136	18	1	-28	23	32	30	28	-35
138	18	2	27	-23	-32	29	-28	-35
140	18	3	26	-23	0	28	-28	0
142	18	4	25	-23	25	27	28	0
144	19	1	24	22	26	26	31	0
145	19	1.5	23	-22	-26	-26	-31	0
146	19	2	22	-22	-26	25	-31	36
147	19	2.5	21	-22	-26	-25	-31	-36
148	19	3	22	-22	27	-25	31	-36
150	19	4	-22	-22	-27	24	-31	36
152	20	1	21	23	28	25	30	39
154	20	2	-21	-23	-28	-25	32	-39
156	20	3	28	-23	-28	0	-32	-39
158	20	4	-28	-23	29	0	32	38
160	21	1	-28	21	30	0	32	37
162	21	2	27	-21	-30	0	-32	36
164	21	3	26	-21	31	24	33	35
168	22	1	25	22	32	27	0	-35
170	22	2	-25	-22	-32	-27	0	34
171	22	2.5	-25	-22	-32	-27	0	33
172	22	3	-25	-22	-32	-27	0	34
174	22	4	-25	-22	29	25	32	-34
176	23	1	21	21	30	25	32	35
178	23	2	-21	-21	-30	-25	32	-35
179	23	2.5	-21	-21	31	-25	-32	-35
180	23	3	-21	-21	32	-25	30	-35
184	24	1	-21	-21	30	0	32	-35
186	24	2	-21	-21	32	0	-32	-35
188	24	3	-21	-21	-32	0	30	-35
190	24	4	-21	-21	32	28	28	-35
192	25	1	0	-21	30	-28	32	0
194	25	2	0	-21	32	28	30	0
196	25	3	0	-21	-32	26	33	35
197	25	3.5	0	-21	31	-26	-33	-35
198	25	4	0	-21	31	24	-33	-35
200	26	1	0	0	-31	28	32	-35
202	26	2	0	0	30	-28	-32	35
204	26	3	0	0	31	29	0	33
206	26	4	0	0	29	-29	33	31
208	27	1	0	0	33	-29	-33	0
210	27	2	0	0	-33	-29	31	38
212	27	3	0	0	-33	28	35	-38
214	27	4	0	0	32	-28	-35	37
215	27	4.5	0	0	31	-28	-35	36
216	28	1	0	0	32	-28	-35	37
218	28	2	28	0	-32	-28	35	-37
220	28	3	-28	0	31	24	33	38
222	28	4	28	0	-31	-24	-33	-38
223	28	4.5	-28	0	-31	-24	32	37
223.5	28	4.75	-28	0	-31	-24	-32	36
224	29	1	26	0	-31	-24	33	35
225	29	1.5	-26	0	-31	-24	34	-35
226	29	2	24	0	33	-24	35	38
228	29	3	28	0	32	0	-35	-38
230	29	4	-28	0	-32	0	34	37
231	29	4.5	-28	0	-32	0	33	-37
232	30	1	-28	23	0	0	32	-37
233	30	1.5	-28	-23	0	0	-32	36
234	30	2	27	-23	0	0	-32	36
236	30	3	26	-23	0	28	33	-36
238	30	4	-26	-23	0	-28	-33	35
240	31	1	25	25	0	29	34	34
242	31	2	27	-25	0	-29	-34	32
243	31	2.5	-27	-25	0	-29	-34	33
244	31	3	-27	-25	0	25	-34	34
245	31	3.5	26	-25	0	-25	-34	35
246	31	4	25	-25	0	29	-34	36
247	31	4.5	24	-25	0	-29	-34	-36
248	32	1	25	-25	0	-29	0	34
250	32	2	21	-25	28	28	0	37
252	32	3	25	-25	-28	29	0	-37
254	32	4	-25	-25	27	25	0	36
256	33	1	21	-25	28	0	0	37
258	33	2	25	-25	25	29	34	36
260	33	3	23	-25	27	30	-34	-36
