**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	0	0	29	0
8	1	1	0	0	29	33
12	1	3	0	0	28	-33
14	1	4	0	0	28	-33
16	2	1	0	0	31	33
20	2	3	0	0	30	32
22	2	4	0	0	-30	32
24	3	1	0	0	26	35
28	3	3	0	0	0	34
30	3	4	0	0	25	-34
32	4	1	0	0	26	30
34	4	2	0	0	28	-30
38	4	4	0	0	27	-30
39	4	4.5	0	0	26	-30
40	5	1	0	0	27	0
41	5	1.5	0	0	28	0
42	5	2	0	0	-28	29
43	5	2.5	0	0	27	-29
44	5	3	0	0	28	30
46	5	4	0	0	30	32
48	6	1	22	0	29	-32
50	6	2	-22	0	-29	31
51	6	2.5	-22	0	28	30
51.5	6	2.75	-22	0	27	-30
52	6	3	-22	0	26	31
54	6	4	-22	0	22	33
55	6	4.5	-22	0	23	-33
56	7	1	22	26	24	-33
57	7	1.5	-22	-26	25	32
58	7	2	-22	-26	26	31
59	7	2.5	-22	-26	27	-31
60	7	3	21	-26	28	-31
61	7	3.5	-21	-26	-28	30
62	7	4	21	-26	-28	30
63	7	4.5	-21	-26	27	-30
64	8	1	24	26	28	-30
66	8	2	-24	-26	29	29
68	8	3	23	25	27	30
70	8	4	-23	25	30	-30
72	9	1	19	28	-30	-30
74	9	2	-19	-28	29	-30
75	9	2.5	-19	-28	28	-30
76	9	3	0	27	29	0
78	9	4	18	-27	-29	0
80	10	1	19	23	28	30
82	10	2	21	-23	-28	-30
86	10	4	20	-23	-28	29
87	10	4.5	19	-23	-28	28
88	11	1	20	0	0	29
90	11	2	-20	22	0	-29
92	11	3	21	23	0	28
94	11	4	-21	25	30	-28
96	12	1	-21	-25	32	0
98	12	2	-21	24	-32	32
99	12	2.5	-21	23	-32	-32
100	12	3	0	24	31	33
102	12	4	0	-24	-31	35
104	13	1	0	25	30	-35
106	13	2	0	-25	-30	34
107	13	2.5	0	-25	29	33
107.5	13	2.75	0	-25	28	-33
108	13	3	0	-25	29	34
109	13	3.5	0	-25	-29	33
110	13	4	25	-25	-29	32
111	13	4.5	-25	-25	-29	31
112	14	1	26	0	28	30
114	14	2	28	0	-28	-30
115	14	2.5	-28	0	-28	31
116	14	3	-28	0	-28	32
118	14	4	27	0	-28	33
119	14	4.5	26	0	-28	-33
120	15	1	27	0	0	-33
122	15	2	-27	0	29	32
124	15	3	26	0	30	33
126	15	4	-26	0	31	-33
130	16	2	-26	0	30	33
131	16	2.5	-26	0	29	-33
132	16	3	0	0	30	32
134	16	4	0	0	31	33
136	17	1	22	0	-31	-33
137	17	1.5	-22	0	30	-33
138	17	2	-22	0	29	32
139	17	2.5	-22	0	28	31
140	17	3	23	0	27	32
142	17	4	25	0	-27	-32
143	17	4.5	-25	0	28	33
144	18	1	-25	0	29	34
146	18	2	24	25	30	35
147	18	2.5	23	-25	-30	-35
148	18	3	24	26	-30	-35
150	18	4	-24	28	26	34
151	18	4.5	-24	-28	-26	33
152	19	1	23	-28	30	32
154	19	2	-23	27	-30	33
155	19	2.5	-23	26	-30	-33
156	19	3	-23	27	0	-33
158	19	4	-23	-27	23	32
160	20	1	19	26	23	33
162	20	2	-19	-26	23	-33
164	20	3	0	-26	24	-33
166	20	4	26	-26	22	-33
168	21	1	26	0	24	0
170	21	2	27	29	25	0
172	21	3	25	29	23	0
174	21	4	-25	28	-23	0
176	22	1	26	29	22	0
178	22	2	24	26	-22	0
180	22	3	-24	28	0	0
182	22	4	22	29	0	33
184	23	1	23	27	0	33
186	23	2	-23	-27	0	32
188	23	3	19	26	0	33
189	23	3.5	-19	27	0	-33
190	23	4	-19	28	26	30
191	23	4.5	-19	29	-26	-30
192	24	1	0	30	25	32
194	24	2	0	31	24	33
196	24	3	0	-31	22	31
197	24	3.5	0	30	-22	-31
198	24	4	0	29	22	-31
200	25	1	0	-29	26	30
202	25	2	26	28	-26	-30
204	25	3	26	27	23	0
206	25	4	25	-27	-23	30
208	26	1	26	26	0	-30
209	26	1.5	-26	-26	0	31
210	26	2	23	30	32	32
211	26	2.5	-23	-30	-32	33
212	26	3	25	29	-32	34
213	26	3.5	-25	-29	31	-34
214	26	4	26	26	30	35
216	27	1	24	28	-30	-35
217	27	1.5	-24	-28	-30	34
218	27	2	-24	29	29	33
220	27	3	23	27	30	-33
222	27	4	-23	-27	30	32
224	28	1	0	26	28	33
226	28	2	22	-26	29	-33
228	28	3	22	0	30	0
230	28	4	21	26	-30	26
232	29	1	22	26	29	-26
233	29	1.5	-22	-26	-29	27
234	29	2	19	26	28	28
235	29	2.5	-19	-26	-28	29
236	29	3	21	25	-28	30
237	29	3.5	-21	-25	27	-30
238	29	4	22	22	26	31
240	30	1	20	24	-26	-31
241	30	1.5	-20	-24	-26	30
242	30	2	-20	25	25	29
244	30	3	19	23	26	-29
246	30	4	-19	-23	-26	28
248	31	1	0	22	-26	29
256	32	1	0	-22	0	33
260	32	3	0	-22	29	-33
262	32	4	22	-22	-29	-33
264	33	1	-22	0	-29	31
266	33	2	22	0	-29	-31
268	33	3	25	0	27	32
272	34	1	24	0	28	33
274	34	2	-24	26	-28	-33
276	34	3	22	-26	29	-33
278	34	4	-22	26	-29	-33
279	34	4.5	-22	-26	28	-33
280	35	1	0	29	27	0
282	35	2	22	-29	26	0
284	35	3	23	28	25	0
286	35	4	24	-28	26	0
288	36	1	-24	26	-26	0
289	36	1.5	23	-26	25	0
290	36	2	22	-26	24	0
291	36	2.5	21	-26	23	0
292	36	3	22	0	24	0
294	36	4	23	28	25	0
297	37	1.5	22	27	24	0
298	37	2	21	26	23	0
299	37	2.5	20	25	22	0
300	37	3	21	26	23	0
302	37	4	22	27	24	31
305	38	1.5	21	26	23	-31
306	38	2	20	26	23	28
307	38	2.5	19	-26	-23	-28
308	38	3	20	-26	-23	29
310	38	4	-20	25	22	-29
312	39	1	19	26	24	28
314	39	2	-19	-26	23	-28
316	39	3	22	26	24	31
319	39	4.5	-22	-26	25	-31
320	40	1	-22	-26	26	-31
322	40	2	-22	-26	24	-31
324	40	3	19	26	28	30
334	41	4	0	-26	0	33
338	42	2	0	-26	30	33
340	42	3	0	0	-30	32
342	42	4	0	0	30	32
344	43	1	0	0	29	33
346	43	2	0	0	29	-33
347	43	2.5	0	0	-29	34
348	43	3	0	0	30	35
349	43	3.5	0	0	-30	34
350	43	4	0	26	-30	35
354	44	2	0	26	-30	34
355	44	2.5	0	-26	-30	33
356	44	3	0	25	-30	34
357	44	3.5	0	-25	-30	33
358	44	4	0	25	-30	32
359	44	4.5	0	-25	-30	31
360	45	1	0	26	0	30
362	45	2	0	-26	26	-30
363	45	2.5	0	-26	-26	31
364	45	3	0	0	25	32
366	45	4	0	28	24	33
368	46	1	0	-28	23	-33
370	46	2	0	27	-23	32
372	46	3	0	26	0	31
373	46	3.5	0	25	0	-31
374	46	4	26	24	28	30
375	46	4.5	-26	23	-28	-30
376	47	1	-26	24	-28	-30
378	47	2	26	-24	26	29
380	47	3	25	23	27	30
382	47	4	25	-23	30	-30
384	48	1	26	0	-30	0
385	48	1.5	-26	0	28	0
386	48	2	-26	0	31	33
389	48	3.5	0	0	30	-33
390	48	4	28	0	30	33
392	49	1	-28	0	-30	32
394	49	2	27	0	29	32
396	49	3	26	0	30	33
398	49	4	25	30	-30	34
400	50	1	24	-30	0	35
401	50	1.5	-24	29	0	-35
402	50	2	-24	29	26	33
403	50	2.5	-24	28	-26	-33
404	50	3	23	30	27	32
406	50	4	-23	23	28	-32
407	50	4.5	-23	-23	-28	33
407.5	50	4.75	-23	-23	-28	34
408	51	1	0	26	26	35
410	51	2	0	25	27	34
412	51	3	0	26	28	-34
413	51	3.5	0	-26	-28	33
414	51	4	0	-26	26	33
416	52	1	0	23	27	-33
418	52	2	0	-23	-27	32
420	52	3	0	24	26	33
422	52	4	22	22	-26	-33
423	52	4.5	-22	23	-26	32
424	53	1	-22	24	-26	31
425	53	1.5	-22	25	-26	30
426	53	2	22	26	-26	31
427	53	2.5	-22	27	-26	-31
428	53	3	21	28	0	-31
429	53	3.5	-21	29	0	30
430	53	4	21	30	26	30
432	54	1	24	28	-26	-30
434	54	2	24	29	26	29
436	54	3	23	27	25	30
438	54	4	-23	-27	25	-30
440	55	1	0	26	28	-30
442	55	2	26	-26	28	-30
444	55	3	-26	0	27	0
446	55	4	25	29	-27	0
448	56	1	24	-29	0	0
450	56	2	22	29	0	0
452	56	3	26	28	30	0
454	56	4	-26	28	-30	33
456	57	1	22	31	29	-33
458	57	2	-22	31	26	33
460	57	3	0	30	28	32
462	57	4	0	-30	-28	32
463	57	4.5	0	-30	27	-32
464	58	1	0	0	26	35
466	58	2	0	28	-26	35
468	58	3	0	29	25	34
470	58	4	0	30	-25	-34
472	59	1	0	26	28	0
474	59	2	26	30	-28	0
477	59	3.5	-26	29	-28	0
478	59	4	26	28	-28	0
480	60	1	25	-28	29	0
481	60	1.5	-25	27	-29	0
482	60	2	25	27	-29	32
484	60	3	28	-27	30	33
485	60	3.5	-28	26	-30	-33
486	60	4	28	26	-30	-33
488	61	1	27	-26	23	34
490	61	2	-27	25	-23	-34
492	61	3	0	26	0	35
494	61	4	0	31	0	-35
495	61	4.5	0	-31	0	34
496	62	1	0	-31	0	33
498	62	2	28	30	0	32
500	62	3	-28	29	0	33
502	62	4	27	-29	29	34
504	63	1	26	28	30	35
506	63	2	25	30	32	34
508	63	3	26	-30	-32	-34
509	63	3.5	-26	29	-32	33
510	63	4	-26	28	30	33
512	64	1	23	27	-30	-33
513	64	1.5	-23	-27	29	-33
514	64	2	-23	-27	27	32
516	64	3	0	26	28	33
518	64	4	24	-26	-28	-33
520	65	1	-24	-26	29	-33
522	65	2	23	-26	30	-33
524	65	3	22	-26	31	-33
526	65	4	21	-26	30	-33
528	66	1	22	-26	31	-33
532	66	3	19	-26	30	-33
*-	*-	*-	*-	*-	*-	*-
