**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	22	0	29	0
6	1	2.5	24	0	-29	0
8	2	1	-24	0	28	0
9	2	1.25	23	0	-28	0
10	2	1.5	26	0	-28	0
12	2	2	-26	0	27	0
14	2	2.5	25	0	-27	0
16	3	1	26	0	26	0
18	3	1.5	24	0	-26	0
19	3	1.75	-24	0	25	0
20	3	2	-24	0	26	0
21	3	2.25	23	0	-26	0
22	3	2.5	22	0	27	0
23	3	2.75	21	0	-27	0
24	4	1	22	0	-27	0
25	4	1.25	-22	0	26	0
26	4	1.5	19	0	26	0
28	4	2	20	0	-26	0
30	4	2.5	-20	0	25	0
32	5	1	19	0	26	0
36	5	2	21	0	26	0
38	5	2.5	22	0	27	0
40	6	1	23	0	28	0
43	6	1.75	24	0	29	0
44	6	2	25	0	30	0
46	6	2.5	26	0	31	0
48	7	1	-26	0	30	0
50	7	1.5	25	0	29	0
51	7	1.75	24	0	-29	0
52	7	2	23	0	-29	0
54	7	2.5	-23	0	28	0
56	8	1	22	0	29	33
58	8	1.5	24	0	-29	-33
60	8	2	-24	0	28	-33
62	8	2.5	22	0	29	-33
64	9	1	23	0	27	32
66	9	1.5	21	0	28	-32
68	9	2	22	0	26	31
71	9	2.75	-22	0	27	-31
72	10	1	19	26	28	30
80	11	1	21	25	28	30
84	11	2	22	24	26	31
87	11	2.75	-22	-24	27	-31
88	12	1	21	23	28	32
92	12	2	25	-23	27	-32
94	12	2.5	-25	-23	-27	31
96	13	1	21	-23	28	30
100	13	2	20	25	29	29
102	13	2.5	21	-25	28	30
104	14	1	-21	-25	30	-30
106	14	1.5	22	-25	29	31
108	14	2	23	-25	27	32
110	14	2.5	-23	-25	28	-32
111	14	2.75	-23	-25	-28	31
112	15	1	22	24	29	33
118	15	2.5	-22	-24	28	33
119	15	2.75	-22	-24	27	-33
120	16	1	22	-24	26	-33
122	16	1.5	-22	-24	-26	29
123	16	1.75	-22	-24	27	-29
124	16	2	21	23	28	30
126	16	2.5	-21	-23	-28	32
128	17	1	-21	-23	25	-32
129	17	1.25	-21	-23	-25	31
130	17	1.5	20	-23	-25	30
131	17	1.75	-20	-23	-25	29
132	17	2	19	-23	26	28
135	17	2.75	-19	-23	-26	27
136	18	1	0	22	24	29
138	18	1.5	26	-22	-24	-29
142	18	2.5	24	-22	0	-29
144	19	1	25	0	25	0
146	19	1.5	23	0	-25	0
148	19	2	-23	0	25	0
149	19	2.25	22	0	-25	0
150	19	2.5	25	0	25	0
152	20	1	-25	0	26	0
154	20	1.5	24	0	26	0
156	20	2	25	0	27	32
160	21	1	23	0	27	32
162	21	1.5	25	0	27	32
164	21	2	24	0	28	33
166	21	2.5	-24	0	-28	33
167	21	2.75	-24	0	27	-33
168	22	1	23	25	25	34
170	22	1.5	-23	-25	27	-34
172	22	2	-23	25	-27	34
173	22	2.25	-23	-25	28	-34
174	22	2.5	22	25	29	-34
176	23	1	21	26	30	35
178	23	1.5	-21	26	28	-35
179	23	1.75	20	-26	-28	-35
180	23	2	18	27	29	34
182	23	2.5	-18	-27	-29	36
183	23	2.75	-18	-27	28	-36
184	24	1	25	-27	27	-36
185	24	1.25	-25	-27	26	35
186	24	1.5	-25	-27	25	34
187	24	1.75	-25	-27	-25	33
188	24	2	23	28	-25	32
189	24	2.25	-23	-28	24	-32
190	24	2.5	-23	-28	25	-32
192	25	1	22	29	26	31
196	25	2	25	-29	27	32
198	25	2.5	24	-29	26	33
200	26	1	22	-29	24	-33
201	26	1.25	-22	-29	-24	32
202	26	1.5	-22	-29	-24	31
203	26	1.75	21	-29	-24	30
204	26	2	20	-29	22	31
205	26	2.25	19	-29	-22	-31
206	26	2.5	20	-29	-22	29
208	27	1	18	29	25	0
210	27	1.5	0	-29	22	33
212	27	2	25	-29	0	34
214	27	2.5	26	28	24	33
215	27	2.75	-26	-28	25	-33
216	28	1	22	29	26	-33
217	28	1.25	-22	-29	-26	32
218	28	1.5	25	27	27	32
219	28	1.75	-25	-27	28	-32
220	28	2	22	26	29	-32
222	28	2.5	-22	-26	-29	31
224	29	1	18	25	-29	32
228	29	2	-18	-25	29	-32
234	30	1.5	-18	-25	28	0
236	30	2	-18	0	27	36
240	31	1	0	0	26	-36
242	31	1.5	0	0	-26	35
244	31	2	0	0	25	34
246	31	2.5	0	0	26	33
248	32	1	0	0	-26	33
249	32	1.25	0	0	25	-33
250	32	1.5	0	0	24	-33
252	32	2	0	0	23	32
254	32	2.5	0	0	24	33
256	33	1	0	0	22	-33
257	33	1.25	0	0	-22	32
258	33	1.5	0	0	26	31
260	33	2	0	0	-26	30
261	33	2.25	0	0	27	-30
262	33	2.5	0	0	28	-30
264	34	1	0	0	29	29
266	34	1.5	0	0	-29	31
267	34	1.75	0	0	28	-31
268	34	2	0	0	27	32
270	34	2.5	0	0	28	33
272	35	1	0	0	26	-33
273	35	1.25	0	0	-26	34
274	35	1.5	0	0	-26	35
276	35	2	0	0	28	-35
277	35	2.25	0	0	-28	34
278	35	2.5	0	0	-28	32
279	35	2.75	0	0	27	-32
280	36	1	0	0	25	-32
281	36	1.25	0	0	-25	31
282	36	1.5	0	0	-25	30
283	36	1.75	0	0	24	29
284	36	2	0	0	23	32
285	36	2.25	0	0	22	-32
286	36	2.5	0	0	29	33
288	37	1	0	0	27	-33
289	37	1.25	0	0	-27	32
290	37	1.5	0	0	25	32
292	37	2	0	0	26	-32
294	37	2.5	0	0	-26	31
296	38	1	25	29	25	32
299	38	1.75	-25	-29	26	-32
300	38	2	-25	-29	27	-32
302	38	2.5	21	28	28	-32
304	39	1	25	27	29	0
306	39	1.5	-25	-27	32	0
308	39	2	22	26	-32	0
310	39	2.5	-22	-26	31	0
312	40	1	23	25	32	0
313	40	1.25	-23	-25	31	0
314	40	1.5	21	26	30	0
315	40	1.75	-21	-26	29	0
316	40	2	22	-26	31	0
318	40	2.5	23	25	30	0
320	41	1	22	24	26	29
322	41	1.5	-22	-24	29	-29
324	41	2	19	23	-29	30
326	41	2.5	-19	-23	28	-30
328	42	1	22	22	29	31
330	42	1.5	-22	26	-29	-31
332	42	2	20	-26	-29	32
333	42	2.25	-20	25	-29	-32
334	42	2.5	21	25	30	-32
336	43	1	19	-25	-30	33
338	43	1.5	-19	24	29	-33
339	43	1.75	-19	-24	28	-33
340	43	2	18	25	27	29
342	43	2.5	-18	-25	25	30
344	44	1	-18	0	25	29
345	44	1.25	-18	0	26	-29
346	44	1.5	-18	0	27	32
348	44	2	0	0	26	31
350	44	2.5	0	0	25	29
351	44	2.75	0	0	24	-29
352	45	1	25	0	23	-29
354	45	1.5	-25	0	-23	28
356	45	2	27	0	22	29
358	45	2.5	26	0	-22	-29
360	46	1	-26	0	0	28
362	46	1.5	25	0	29	29
363	46	1.75	24	0	-29	-29
364	46	2	23	25	-29	30
366	46	2.5	-23	-25	28	32
368	47	1	22	26	29	31
370	47	1.5	24	-26	26	-31
372	47	2	-24	-26	28	0
374	47	2.5	23	25	-28	0
376	48	1	22	24	29	0
378	48	1.5	26	-24	-29	0
380	48	2	25	23	30	32
382	48	2.5	23	-23	-30	-32
384	49	1	22	0	26	33
386	49	1.5	24	0	-26	-33
387	49	1.75	-24	0	27	-33
388	49	2	-24	0	28	-33
389	49	2.25	23	0	29	-33
390	49	2.5	21	0	30	32
392	50	1	22	0	-30	31
394	50	1.5	-22	0	29	-31
396	50	2	21	25	30	30
398	50	2.5	20	-25	32	-30
399	50	2.75	19	-25	-32	-30
400	51	1	18	-25	-32	0
401	51	1.25	19	-25	31	0
402	51	1.5	20	-25	30	0
403	51	1.75	21	-25	-30	0
404	51	2	22	24	29	0
406	51	2.5	-22	-24	31	0
408	52	1	24	22	-31	0
409	52	1.25	-24	-22	30	0
410	52	1.5	-24	-22	29	0
412	52	2	25	23	-29	32
414	52	2.5	-25	-23	28	-32
415	52	2.75	-25	-23	27	-32
416	53	1	-25	-23	28	-32
420	53	2	26	22	29	31
422	53	2.5	-26	-22	26	-31
424	54	1	24	-22	-26	29
