**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	32	29	32
6	1	2.5	-25	-32	-29	33
8	2	1	23	-32	25	34
12	2	2	-23	-32	-25	35
16	3	1	22	31	26	36
20	3	2	-22	-31	27	-36
22	3	2.5	-22	-31	-27	35
23	3	2.75	-22	-31	-27	34
24	4	1	0	-31	26	35
26	4	1.5	0	-31	29	34
28	4	2	22	-31	-29	33
29	4	2.25	-22	-31	28	-33
30	4	2.5	-22	-31	29	-33
32	5	1	25	32	27	32
34	5	1.5	-25	-32	25	-32
35	5	1.75	-25	-32	-25	33
36	5	2	-25	-32	29	34
38	5	2.5	26	-32	-29	35
40	6	1	27	31	0	36
42	6	1.5	-27	-31	29	-36
43	6	1.75	-27	-31	-29	35
44	6	2	28	30	30	35
46	6	2.5	-28	-30	31	-35
48	7	1	25	29	32	-35
50	7	1.5	-25	-29	-32	34
52	7	2	-25	-29	32	34
55	7	2.75	-25	-29	31	33
56	8	1	23	28	32	35
58	8	1.5	24	-28	33	-35
62	8	2.5	23	-28	32	36
63	8	2.75	22	-28	31	-36
64	9	1	21	0	32	37
67	9	1.75	-21	0	28	-37
68	9	2	24	28	28	33
70	9	2.5	-24	-28	26	35
73	10	1.25	-24	-28	25	-35
74	10	1.5	-24	29	26	34
75	10	1.75	-24	-29	-26	33
76	10	2	23	30	27	32
78	10	2.5	-23	-30	28	-32
80	11	1	26	28	-28	33
81	11	1.25	-26	-28	29	-33
82	11	1.5	-26	-28	30	35
83	11	1.75	-26	-28	31	-35
84	11	2	25	29	32	34
86	11	2.5	24	-29	33	33
88	12	1	25	27	29	-33
89	12	1.25	-25	-27	-29	32
90	12	1.5	21	28	30	32
92	12	2	22	26	29	-32
94	12	2.5	-22	-26	-29	31
96	13	1	23	25	27	32
98	13	1.5	22	-25	-27	-32
99	13	1.75	21	-25	28	-32
100	13	2	20	-25	29	0
102	13	2.5	21	-25	28	0
104	14	1	-21	-25	29	29
106	14	1.5	20	-25	32	-29
108	14	2	21	-25	-32	30
109	14	2.25	-21	-25	31	-30
110	14	2.5	-21	-25	30	32
111	14	2.75	22	-25	-30	-32
112	15	1	23	0	-30	-32
114	15	1.5	24	0	29	31
115	15	1.75	-24	0	28	30
116	15	2	25	0	27	29
119	15	2.75	-25	0	26	-29
120	16	1	21	0	28	30
124	16	2	-21	28	26	-30
126	16	2.5	22	-28	-26	31
128	17	1	23	28	25	32
130	17	1.5	-23	-28	32	-32
132	17	2	24	-28	31	33
135	17	2.75	-24	-28	30	-33
136	18	1	25	27	29	34
138	18	1.5	-25	-27	-29	35
140	18	2	-25	-27	32	36
144	19	1	21	28	32	37
147	19	1.75	-21	-28	31	-37
148	19	2	-21	-28	32	-37
150	19	2.5	-21	-28	33	35
152	20	1	28	0	-33	-35
153	20	1.25	-28	0	32	-35
154	20	1.5	-28	0	31	33
155	20	1.75	-28	0	30	-33
156	20	2	26	28	31	35
158	20	2.5	-26	-28	-31	36
160	21	1	25	29	32	34
162	21	1.5	-25	-29	25	-34
163	21	1.75	-25	-29	26	-34
164	21	2	-25	-29	27	-34
166	21	2.5	23	30	28	32
168	22	1	22	31	-28	33
170	22	1.5	-22	-31	27	32
171	22	1.75	-22	-31	-27	31
172	22	2	21	32	28	30
174	22	2.5	-21	-32	-28	32
175	22	2.75	-21	-32	29	-32
176	23	1	0	28	30	33
178	23	1.5	28	30	-30	32
179	23	1.75	-28	-30	31	-32
180	23	2	-28	-30	32	35
181	23	2.25	-28	-30	33	-35
182	23	2.5	27	31	34	36
184	24	1	25	32	-34	-36
185	24	1.25	-25	-32	-34	35
186	24	1.5	28	30	33	35
188	24	2	25	29	32	-35
190	24	2.5	-25	-29	-32	34
192	25	1	26	28	31	35
194	25	1.5	-26	-28	31	-35
197	25	2.25	-26	-28	30	0
198	25	2.5	-26	-28	31	0
200	26	1	25	0	32	34
202	26	1.5	-25	0	31	-34
203	26	1.75	-25	0	30	-34
204	26	2	-25	0	29	34
206	26	2.5	-25	0	-29	34
208	27	1	21	30	28	35
210	27	1.5	-21	-30	-28	34
211	27	1.75	-21	-30	-28	33
212	27	2	-21	-30	-28	32
214	27	2.5	-21	30	25	-32
216	28	1	21	30	-25	28
218	28	1.5	-21	-30	26	-28
220	28	2	20	31	27	29
222	28	2.5	-20	30	-27	-29
223	28	2.75	-20	29	-27	-29
224	29	1	21	28	25	30
228	29	2	23	27	-25	32
232	30	1	22	29	26	31
236	30	2	20	-29	27	-31
240	31	1	21	28	25	30
248	32	1	0	0	0	0
