**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	33
3	1	1.75	0	0	27	-33
4	1	2	0	0	28	32
6	1	2.5	0	0	28	30
8	2	1	0	0	29	31
10	2	1.5	0	0	28	-31
11	2	1.75	0	0	27	-31
12	2	2	0	26	28	31
16	3	1	0	25	27	0
18	3	1.5	0	23	-27	32
20	3	2	0	24	26	31
22	3	2.5	0	-24	29	33
24	4	1	0	23	-29	-33
26	4	1.5	0	-23	28	32
28	4	2	0	22	29	31
30	4	2.5	0	26	28	30
31	4	2.75	0	-26	29	29
32	5	1	0	-26	30	28
34	5	1.5	0	25	0	30
36	5	2	0	24	26	-30
37	5	2.25	0	-24	-26	29
38	5	2.5	0	22	26	29
40	6	1	0	23	25	-29
42	6	1.5	0	-23	23	28
44	6	2	22	0	24	29
48	7	1	21	0	23	0
50	7	1.5	19	0	26	0
52	7	2	20	0	-26	0
54	7	2.5	-20	0	25	0
56	8	1	19	0	26	0
58	8	1.5	22	0	-26	0
62	8	2.5	21	0	30	0
64	9	1	22	0	31	0
66	9	1.5	-22	0	30	0
67	9	1.75	-22	0	29	0
68	9	2	24	0	28	0
70	9	2.5	25	0	27	0
72	10	1	26	0	26	0
74	10	1.5	-26	0	30	0
76	10	2	25	0	-30	0
77	10	2.25	-25	0	29	0
78	10	2.5	24	0	29	0
80	11	1	23	0	-29	0
82	11	1.5	-23	0	28	0
84	11	2	22	0	29	0
86	11	2.5	-22	26	-29	0
88	12	1	0	27	0	0
90	12	1.5	19	26	0	0
92	12	2	20	29	0	0
94	12	2.5	19	28	0	0
96	13	1	22	26	0	0
98	13	1.5	21	28	0	0
100	13	2	23	-28	0	0
102	13	2.5	-23	27	0	0
104	14	1	22	-27	0	0
106	14	1.5	21	26	0	0
108	14	2	20	-26	0	0
110	14	2.5	-20	25	0	0
112	15	1	19	26	28	30
114	15	1.5	-19	-26	-28	31
116	15	2	-19	23	-28	30
118	15	2.5	-19	24	29	33
120	16	1	-19	23	30	-33
121	16	1.25	-19	-23	-30	34
122	16	1.5	-19	26	-30	35
123	16	1.75	-19	-26	-30	36
124	16	2	0	-26	31	34
125	16	2.25	0	27	-31	-34
126	16	2.5	19	28	30	33
127	16	2.75	-19	29	-30	-33
128	17	1	20	27	29	36
130	17	1.5	21	26	30	-36
131	17	1.75	-21	-26	-30	35
132	17	2	22	29	31	34
133	17	2.25	-22	-29	-31	33
134	17	2.5	19	28	30	33
135	17	2.75	-19	-28	31	-33
136	18	1	23	27	32	-33
137	18	1.25	-23	-27	31	-33
138	18	1.5	-23	-27	30	32
139	18	1.75	-23	-27	29	-32
140	18	2	19	26	28	33
144	19	1	0	26	30	0
147	19	1.75	0	-26	29	0
148	19	2	0	26	28	0
150	19	2.5	0	25	27	0
154	19	3.5	0	23	28	0
156	20	1	0	24	-28	33
158	20	1.5	0	22	29	-33
160	20	2	0	-22	-29	33
161	20	2.25	0	21	-29	-33
162	20	2.5	0	23	27	32
165	20	3.25	0	24	-27	-32
166	20	3.5	0	25	-27	30
168	21	1	26	26	0	31
170	21	1.5	-26	24	0	29
172	21	2	26	-24	0	-29
173	21	2.25	-26	-24	0	28
174	21	2.5	25	23	0	30
178	21	3.5	23	0	0	28
180	22	1	24	0	33	-28
182	22	1.5	22	0	-33	29
184	22	2	-22	0	33	-29
186	22	2.5	23	0	32	27
189	22	3.25	24	0	-32	-27
190	22	3.5	25	0	30	0
192	23	1	26	0	31	33
194	23	1.5	24	0	29	-33
196	23	2	-24	0	-29	33
198	23	2.5	23	25	30	32
201	23	3.25	-23	-25	29	31
202	23	3.5	-23	25	28	30
203	23	3.75	-23	-25	27	29
204	24	1	19	26	28	31
206	24	1.5	-19	-26	-28	30
208	24	2	21	25	28	-30
209	24	2.25	-21	-25	-28	29
210	24	2.5	22	24	27	29
212	24	3	19	23	26	-29
214	24	3.5	-19	-23	-26	28
216	25	1	22	22	26	29
220	25	2	24	22	27	-29
224	25	3	25	21	28	30
228	26	1	24	22	26	31
232	26	2	22	24	-26	-31
234	26	2.5	-22	-24	-26	30
236	26	3	18	25	27	29
240	27	1	19	23	26	28
252	28	1	0	0	0	0
252	28	1	0	0	0	33
258	28	2.5	0	0	0	32
260	29	1	0	26	0	31
264	29	2	0	-26	0	30
266	29	2.5	0	25	0	-30
268	30	1	0	24	0	0
270	30	1.5	0	-24	0	29
272	30	2	0	23	0	30
274	30	2.5	0	-23	0	32
278	31	1.5	0	22	0	31
280	31	2	0	23	0	32
282	31	2.5	0	25	0	30
284	32	1	0	-25	0	29
