**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0
8	2	1	24	0	0	0
12	2	2	25	0	0	0
16	3	1	27	0	0	32
24	4	1	26	0	0	31
28	4	2	25	0	0	32
32	5	1	-25	0	0	34
34	5	1.5	24	0	0	-34
35	5	1.75	23	0	0	-34
36	5	2	22	0	0	-34
38	5	2.5	25	0	0	-34
40	6	1	-25	0	0	33
42	6	1.5	24	0	0	-33
44	6	2	25	0	0	32
45	6	2.25	24	0	0	-32
46	6	2.5	23	0	0	-32
47	6	2.75	22	0	0	-32
48	7	1	21	0	0	-32
50	7	1.5	22	0	0	31
51	7	1.75	-22	0	0	30
52	7	2	-22	0	0	29
53	7	2.25	21	0	0	-29
54	7	2.5	20	0	25	-29
56	8	1	19	0	-25	0
58	8	1.5	-19	0	24	0
60	8	2	18	0	25	0
62	8	2.5	18	0	27	0
65	9	1.25	19	0	-27	0
66	9	1.5	20	0	26	0
67	9	1.75	21	0	25	0
68	9	2	22	0	24	0
70	9	2.5	24	0	26	0
72	10	1	25	0	27	29
74	10	1.5	27	0	29	-29
75	10	1.75	-27	0	28	30
76	10	2	26	0	27	31
77	10	2.25	25	0	-27	-31
78	10	2.5	25	0	0	32
80	11	1	-25	0	26	33
82	11	1.5	24	0	-26	35
84	11	2	25	0	25	34
86	11	2.5	27	0	-25	36
90	12	1.5	26	0	0	35
91	12	1.75	25	0	0	34
92	12	2	24	0	0	33
94	12	2.5	-24	0	0	35
96	13	1	26	0	0	-35
97	13	1.25	-26	0	0	34
98	13	1.5	-26	0	0	33
100	13	2	27	0	0	32
102	13	2.5	29	0	0	34
104	14	1	-29	0	0	33
105	14	1.25	28	0	0	32
106	14	1.5	27	0	0	32
108	14	2	26	0	0	-32
109	14	2.25	-26	0	0	31
109.5	14	2.375	-26	0	0	30
110	14	2.5	-26	0	0	31
112	15	1	25	0	0	32
114	15	1.5	18	0	0	34
116	15	2	-18	0	27	-34
117	15	2.25	19	0	-27	35
118	15	2.5	20	0	-27	36
119	15	2.75	21	0	-27	-36
120	16	1	19	0	28	35
122	16	1.5	18	0	29	34
124	16	2	20	0	-29	-34
125	16	2.25	-20	0	-29	33
126	16	2.5	21	0	30	32
128	17	1	22	0	29	31
130	17	1.5	25	0	27	34
132	17	2	24	0	28	-34
134	17	2.5	-24	0	-28	33
136	18	1	20	0	27	34
138	18	1.5	22	0	-27	31
140	18	2	-22	0	24	-31
141	18	2.25	21	0	-24	32
142	18	2.5	19	0	-24	33
144	19	1	18	0	25	34
146	19	1.5	22	0	24	33
148	19	2	23	0	27	-33
149	19	2.25	-23	0	-27	32
150	19	2.5	21	0	28	32
152	20	1	22	0	26	-32
154	20	1.5	-22	0	-26	31
156	20	2	18	0	25	32
160	21	1	0	0	25	-32
162	21	1.5	18	0	27	29
164	21	2	20	0	-27	-29
166	21	2.5	21	0	26	28
168	22	1	23	0	25	27
170	22	1.5	-23	0	-25	26
171	22	1.75	-23	0	-25	25
172	22	2	22	0	24	26
174	22	2.5	21	0	28	-26
176	23	1	24	0	-28	33
177	23	1.25	-24	0	27	-33
178	23	1.5	-24	0	26	-33
179	23	1.75	23	0	-26	-33
180	23	2	21	0	-26	-33
181	23	2.25	-21	0	25	-33
182	23	2.5	22	0	24	33
183	23	2.75	-22	0	23	-33
184	24	1	-22	0	24	33
185	24	1.25	21	0	-24	-33
186	24	1.5	20	0	-24	-33
187	24	1.75	19	0	-24	-33
188	24	2	18	0	25	34
190	24	2.5	25	0	27	-34
192	25	1	24	26	28	33
194	25	1.5	22	-26	29	-33
196	25	2	-22	-26	31	33
197	25	2.25	20	-26	-31	-33
198	25	2.5	21	-26	30	32
200	26	1	22	-26	29	31
204	26	2	0	-26	28	30
206	26	2.5	24	-26	31	33
208	27	1	25	27	29	-33
210	27	1.5	-25	-27	-29	32
211	27	1.75	-25	-27	28	-32
212	27	2	-25	-27	29	32
214	27	2.5	23	-27	30	-32
215	27	2.75	-23	-27	-30	31
216	28	1	24	26	28	33
218	28	1.5	22	-26	29	31
220	28	2	-22	-26	22	-31
221	28	2.25	21	-26	-22	29
222	28	2.5	19	-26	21	30
224	29	1	22	-26	24	-30
225	29	1.25	-22	-26	-24	29
226	29	1.5	-22	-26	-24	29
228	29	2	-22	25	23	-29
230	29	2.5	25	-25	-23	28
232	30	1	26	24	22	29
234	30	1.5	22	-24	-22	-29
236	30	2	26	-24	-22	-29
239	30	2.75	27	-24	-22	-29
240	31	1	28	23	21	0
241	31	1.25	27	-23	-21	0
242	31	1.5	26	-23	-21	0
243	31	1.75	25	-23	-21	0
244	31	2	24	26	22	0
245	31	2.25	-24	-26	23	0
246	31	2.5	-24	-26	24	0
247	31	2.75	23	-26	25	0
248	32	1	22	-26	26	33
249	32	1.25	21	-26	27	-33
250	32	1.5	24	-26	28	-33
251	32	1.75	-24	-26	29	34
252	32	2	-24	25	-29	35
253	32	2.25	23	-25	28	34
253.5	32	2.375	22	-25	27	-34
254	32	2.5	23	-25	28	33
255	32	2.75	-23	-25	-28	32
256	33	1	22	26	29	31
259	33	1.75	21	-26	30	30
260	33	2	22	-26	31	29
261	33	2.25	-22	-26	29	-29
262	33	2.5	19	-26	30	28
262.5	33	2.625	-19	-26	29	-28
263	33	2.75	-19	-26	28	31
263.5	33	2.875	-19	-26	27	-31
264	34	1	0	-26	26	-31
265	34	1.25	0	-26	29	30
265.5	34	1.375	0	-26	-29	29
266	34	1.5	0	-26	-29	30
267	34	1.75	0	-26	28	-30
268	34	2	22	-26	29	29
269	34	2.25	-22	-26	-29	30
270	34	2.5	-22	-26	-29	31
271	34	2.75	23	-26	-29	32
272	35	1	24	0	-29	33
273	35	1.25	25	0	-29	34
274	35	1.5	26	0	-29	35
275	35	1.75	27	0	-29	36
276	35	2	-27	0	30	-36
277	35	2.25	26	0	-30	35
277.5	35	2.375	25	0	-30	34
278	35	2.5	26	0	-30	35
280	36	1	22	0	29	36
282	36	1.5	20	0	-29	29
285	36	2.25	21	0	0	30
286	36	2.5	22	0	0	31
287	36	2.75	23	0	0	32
288	37	1	24	0	22	33
289	37	1.25	-24	0	-22	34
291	37	1.75	23	0	23	33
291.5	37	1.875	-23	0	-23	32
292	37	2	22	0	24	33
293	37	2.25	-22	0	25	-33
294	37	2.5	20	0	26	29
295	37	2.75	-20	0	27	-29
296	38	1	22	0	-27	-29
297	38	1.25	-22	0	26	-29
297.5	38	1.375	-22	0	25	-29
298	38	1.5	19	0	26	28
300	38	2	22	0	22	29
302	38	2.5	-22	0	0	27
304	39	1	-22	22	27	-27
305	39	1.25	-22	-22	-27	28
306	39	1.5	-22	-22	-27	29
307	39	1.75	-22	-22	28	30
308	39	2	-22	-22	29	31
309	39	2.25	-22	-22	30	-31
310	39	2.5	-22	-22	31	-31
311	39	2.75	-22	-22	-31	32
312	40	1	17	24	-31	33
313	40	1.25	-17	-24	30	-33
314	40	1.5	-17	-24	28	-33
316	40	2	20	-24	29	34
