**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	23	27	30
8	2	1	-23	28	-30
16	3	1	22	29	31
22	3	2.5	-22	28	-31
24	4	1	23	27	30
28	4	2	25	-27	-30
30	4	2.5	-25	26	29
31	4	2.75	-25	25	28
32	5	1	24	26	29
35	5	1.75	25	27	30
36	5	2	26	28	31
38	5	2.5	25	29	32
40	6	1	27	25	-32
42	6	1.5	28	24	33
44	6	2	29	22	34
47	6	2.75	-29	23	-34
48	7	1	28	24	33
50	7	1.5	-28	-24	35
52	7	2	-28	21	-35
54	7	2.5	-28	-21	34
55	7	2.75	-28	-21	33
56	8	1	27	23	32
58	8	1.5	26	24	33
60	8	2	27	23	-33
62	8	2.5	-27	-23	32
64	9	1	26	0	33
66	9	1.5	-26	28	-33
70	9	2.5	0	29	-33
72	10	1	28	30	0
76	10	2	27	29	0
78	10	2.5	-27	32	0
80	11	1	26	-32	0
82	11	1.5	-26	31	0
83	11	1.75	-26	30	0
84	11	2	26	31	35
88	12	1	25	32	34
92	12	2	26	28	33
95	12	2.75	27	29	-33
96	13	1	28	30	33
98	13	1.5	29	31	-33
100	13	2	27	29	32
104	14	1	26	28	33
107	14	1.75	-26	-28	34
108	14	2	-26	24	35
110	14	2.5	27	25	-35
111	14	2.75	-27	-25	34
112	15	1	28	26	33
113	15	1.25	-28	-26	32
114	15	1.5	-28	-26	33
115	15	1.75	-28	27	-33
116	15	2	24	28	-33
118	15	2.5	25	27	32
120	16	1	27	25	-32
122	16	1.5	-27	29	31
123	16	1.75	-27	-29	30
124	16	2	26	-29	31
126	16	2.5	-26	28	-31
128	17	1	25	29	32
131	17	1.75	26	-29	-32
132	17	2	27	29	0
134	17	2.5	28	30	0
136	18	1	-28	-30	32
137	18	1.25	-28	28	-32
138	18	1.5	27	29	-32
139	18	1.75	-27	-29	33
140	18	2	25	30	34
142	18	2.5	26	31	35
146	19	1.5	25	30	34
148	19	2	24	-30	33
150	19	2.5	-24	29	-33
152	20	1	23	30	32
154	20	1.5	-23	28	-32
156	20	2	22	29	0
158	20	2.5	-22	-29	33
159	20	2.75	23	28	-33
160	21	1	24	26	-33
162	21	1.5	-24	-26	32
163	21	1.75	-24	-26	31
164	21	2	25	0	30
166	21	2.5	-25	25	-30
167	21	2.75	26	-25	31
168	22	1	27	-25	32
170	22	1.5	26	22	33
172	22	2	27	25	-33
174	22	2.5	-27	-25	32
176	23	1	26	24	33
180	23	2	28	-24	0
182	23	2.5	26	-24	0
184	24	1	27	23	32
186	24	1.5	-27	25	-32
188	24	2	28	24	33
190	24	2.5	-28	26	-33
192	25	1	29	25	34
194	25	1.5	-29	22	-34
196	25	2	27	25	32
198	25	2.5	-27	23	-32
200	26	1	26	24	33
204	26	2	27	23	32
206	26	2.5	28	-23	-32
208	27	1	29	22	31
210	27	1.5	29	-22	30
211	27	1.75	-29	-22	29
212	27	2	-29	26	30
214	27	2.5	28	-26	-30
216	28	1	29	27	29
218	28	1.5	-29	25	-29
220	28	2	25	27	30
223	28	2.75	26	28	31
224	29	1	27	29	32
226	29	1.5	28	30	33
230	29	2.5	27	29	32
232	30	1	25	27	30
234	30	1.5	26	28	31
238	30	2.5	25	27	30
240	31	1	24	-27	-30
242	31	1.5	-24	26	29
244	31	2	23	27	30
248	32	1	0	0	0
248	32	1	0	23	0
252	32	2	0	24	0
256	33	1	0	23	30
260	33	2	0	22	31
264	34	1	23	25	30
268	34	2	24	26	29
270	34	2.5	-24	29	-29
272	35	1	23	-29	32
274	35	1.5	-23	28	-32
276	35	2	22	29	33
280	36	1	25	-29	34
282	36	1.5	-25	28	-34
283	36	1.75	-25	27	-34
284	36	2	26	26	35
286	36	2.5	27	25	34
288	37	1	28	26	-34
289	37	1.25	-28	-26	33
290	37	1.5	29	22	33
292	37	2	27	23	-33
294	37	2.5	-27	-23	32
296	38	1	26	30	33
300	38	2	-26	31	0
304	39	1	0	29	34
308	39	2	0	28	35
310	39	2.5	0	26	-35
313	40	1.25	0	25	-35
314	40	1.5	0	25	34
316	40	2	0	-25	33
318	40	2.5	0	24	-33
320	41	1	27	25	32
324	41	2	28	0	-32
326	41	2.5	-28	32	-32
328	42	1	26	-32	33
330	42	1.5	-26	31	-33
332	42	2	25	32	34
334	42	2.5	-25	25	-34
336	43	1	26	-25	35
338	43	1.5	-26	24	-35
340	43	2	27	25	34
342	43	2.5	-27	-25	32
344	44	1	28	21	-32
346	44	1.5	-28	24	33
348	44	2	27	25	-33
349	44	2.25	-27	-25	32
350	44	2.5	25	23	32
352	45	1	26	22	-32
354	45	1.5	-26	-22	31
356	45	2	25	29	32
360	46	1	-25	30	0
364	46	2	0	-30	32
366	46	2.5	0	29	-32
368	47	1	0	28	33
370	47	1.5	0	-28	35
372	47	2	25	29	-35
374	47	2.5	-25	-29	34
376	48	1	26	28	33
378	48	1.5	28	30	-33
380	48	2	-28	-30	32
381	48	2.25	-28	29	-32
382	48	2.5	25	32	-32
384	49	1	26	-32	0
386	49	1.5	-26	31	0
388	49	2	25	32	34
390	49	2.5	-25	29	-34
392	50	1	-25	-29	32
393	50	1.25	-25	28	-32
394	50	1.5	-25	27	-32
395	50	1.75	-25	-27	33
396	50	2	0	-27	34
398	50	2.5	0	26	35
399	50	2.75	0	25	-35
400	51	1	0	24	33
403	51	1.75	0	23	-33
404	51	2	27	25	32
406	51	2.5	-27	29	-32
408	52	1	25	-29	0
410	52	1.5	-25	30	0
411	52	1.75	26	-30	0
412	52	2	27	29	0
414	52	2.5	28	32	0
416	53	1	26	-32	0
418	53	1.5	-26	31	0
420	53	2	25	32	34
422	53	2.5	-25	29	-34
424	54	1	23	-29	32
426	54	1.5	-23	28	-32
428	54	2	22	29	33
430	54	2.5	24	26	-33
432	55	1	25	27	32
434	55	1.5	26	28	31
436	55	2	22	27	-31
437	55	2.25	-22	-27	30
438	55	2.5	-22	26	29
440	56	1	23	-26	-29
442	56	1.5	-23	25	28
444	56	2	22	26	29
448	57	1	-22	27	0
452	57	2	0	28	30
456	58	1	0	29	31
458	58	1.5	0	30	32
460	58	2	23	-30	-32
461	58	2.25	-23	29	-32
462	58	2.5	-23	28	31
463	58	2.75	-23	27	30
464	59	1	24	26	29
466	59	1.5	25	27	-29
468	59	2	-25	-27	32
469	59	2.25	-25	28	-32
470	59	2.5	24	29	-32
471	59	2.75	23	-29	-32
472	60	1	22	-29	33
473	60	1.25	-22	26	-33
474	60	1.5	-22	29	31
476	60	2	23	28	32
478	60	2.5	25	27	30
480	61	1	24	-27	-30
482	61	1.5	-24	26	29
484	61	2	23	27	30
*-	*-	*-	*-	*-	*-
