**absq	**bar	**beat	**b7	**b7
0	1	1	26	33
4	1	2	28	33
6	1	2.5	28	33
8	2	1	28	33
10	2	1.5	28	33
12	2	2	28	33
16	3	1	27	32
18	3	1.5	26	31
20	3	2	25	30
22	3	2.5	26	31
26	4	1.5	25	30
27	4	1.75	24	29
28	4	2	23	28
30	4	2.5	22	29
32	5	1	23	-29
34	5	1.5	-23	28
36	5	2	22	29
40	6	1	0	0
40	6	1	26	33
44	6	2	28	33
48	7	1	28	33
50	7	1.5	28	33
52	7	2	28	33
54	7	2.5	28	33
56	8	1	28	33
58	8	1.5	28	33
60	8	2	26	33
64	9	1	0	0
68	9	2	28	33
72	10	1	28	33
76	10	2	27	32
78	10	2.5	26	31
80	11	1	27	32
82	11	1.5	28	33
86	11	2.5	27	32
88	12	1	26	31
90	12	1.5	25	30
92	12	2	26	-30
93	12	2.25	-26	29
94	12	2.5	24	29
96	13	1	23	-29
98	13	1.5	-23	28
100	13	2	22	29
104	14	1	0	0
104	14	1	26	33
108	14	2	28	33
110	14	2.5	28	33
112	15	1	28	33
114	15	1.5	28	33
116	15	2	28	33
120	16	1	28	33
122	16	1.5	28	33
124	16	2	28	33
128	17	1	26	33
132	17	2	0	0
136	18	1	28	33
140	18	2	28	33
142	18	2.5	28	33
144	19	1	27	32
148	19	2	26	31
152	20	1	27	32
154	20	1.5	28	33
156	20	2	26	-33
158	20	2.5	-26	32
159	20	2.75	-26	31
160	21	1	25	30
162	21	1.5	26	31
166	21	2.5	25	30
167	21	2.75	24	29
168	22	1	23	28
170	22	1.5	22	29
172	22	2	23	-29
174	22	2.5	-23	28
176	23	1	22	29
180	23	2	0	0
184	24	1	0	0
184	24	1	26	33
186	24	1.5	26	33
188	24	2	28	33
190	24	2.5	28	33
192	25	1	28	33
194	25	1.5	28	33
196	25	2	28	33
200	26	1	28	33
202	26	1.5	28	33
204	26	2	28	33
206	26	2.5	28	33
208	27	1	28	33
212	27	2	26	33
216	28	1	0	0
220	28	2	28	33
222	28	2.5	28	33
224	29	1	28	33
228	29	2	27	32
230	29	2.5	26	31
232	30	1	27	32
234	30	1.5	28	33
238	30	2.5	27	32
240	31	1	26	31
242	31	1.5	25	30
244	31	2	26	-30
245	31	2.25	-26	29
246	31	2.5	24	29
248	32	1	23	-29
250	32	1.5	-23	28
252	32	2	22	29
256	33	1	0	0
256	33	1	26	33
258	33	1.5	26	33
260	33	2	28	33
262	33	2.5	28	33
264	34	1	28	33
266	34	1.5	28	33
268	34	2	28	33
270	34	2.5	28	33
272	35	1	26	33
276	35	2	0	0
280	36	1	28	33
282	36	1.5	28	33
284	36	2	28	33
288	37	1	27	32
290	37	1.5	26	31
292	37	2	25	30
294	37	2.5	26	31
297	38	1.25	-26	30
298	38	1.5	24	29
300	38	2	23	-29
302	38	2.5	-23	28
304	39	1	22	29
308	39	2	0	0
312	40	1	0	0
312	40	1	26	33
316	40	2	28	33
318	40	2.5	28	33
320	41	1	28	33
324	41	2	28	33
326	41	2.5	28	33
328	42	1	28	33
330	42	1.5	28	33
332	42	2	26	33
336	43	1	0	0
340	43	2	28	33
344	44	1	27	32
346	44	1.5	25	30
348	44	2	26	31
350	44	2.5	27	32
352	45	1	25	-32
354	45	1.5	26	31
356	45	2	24	29
358	45	2.5	25	30
361	46	1.25	24	29
362	46	1.5	23	28
363	46	1.75	22	27
364	46	2	23	28
368	47	1	22	29
372	47	2	0	0
376	48	1	0	0
376	48	1	26	33
378	48	1.5	26	33
380	48	2	28	33
382	48	2.5	28	33
384	49	1	28	33
386	49	1.5	28	33
388	49	2	28	33
390	49	2.5	28	33
392	50	1	26	33
396	50	2	28	33
400	51	1	27	32
402	51	1.5	28	33
404	51	2	29	34
406	51	2.5	28	35
408	52	1	26	-35
409	52	1.25	-26	34
410	52	1.5	-26	33
412	52	2	27	-33
414	52	2.5	-27	32
416	53	1	26	33
420	53	2	0	0
424	54	1	28	33
426	54	1.5	28	33
428	54	2	28	33
430	54	2.5	28	33
432	55	1	28	33
436	55	2	27	32
438	55	2.5	26	31
440	56	1	25	30
442	56	1.5	26	31
446	56	2.5	25	30
447	56	2.75	24	29
448	57	1	23	28
450	57	1.5	22	29
452	57	2	23	-29
454	57	2.5	-23	28
456	58	1	22	29
460	58	2	0	0
*-	*-	*-	*-	*-
