**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	24	0
4	1	3	0	24	0
8	2	1	0	25	0
12	2	3	0	24	0
15	2	4.5	0	25	0
16	3	1	0	26	31
18	3	2	0	27	-31
20	3	3	0	-27	31
21	3	3.5	0	26	-31
22	3	4	0	25	-31
23	3	4.5	0	24	-31
24	4	1	0	23	32
27	4	2.5	0	22	-32
28	4	3	24	24	31
32	5	1	24	22	31
36	5	3	25	21	30
38	5	4	-25	23	28
40	6	1	24	22	29
42	6	2	-24	26	-29
44	6	3	24	-26	28
45	6	3.5	-24	27	-28
46	6	4	-24	28	-28
48	7	1	23	-28	0
50	7	2	21	27	0
51	7	2.5	-21	26	0
52	7	3	22	27	29
56	8	1	21	28	30
59	8	2.5	-21	-28	31
60	8	3	0	27	32
62	8	4	0	28	33
64	9	1	22	26	-33
66	9	2	-22	-26	31
68	9	3	23	25	32
70	9	4	-23	-25	30
71	9	4.5	24	26	-30
72	10	1	25	27	-30
73	10	1.5	-25	-27	29
74	10	2	26	28	28
75	10	2.5	-26	-28	27
76	10	3	-26	-28	31
78	10	4	25	27	30
80	11	1	24	-27	-30
82	11	2	-24	26	29
84	11	3	23	27	30
88	12	1	-23	0	32
90	12	2	-23	25	-32
92	12	3	0	-25	33
94	12	4	0	24	-33
95	12	4.5	0	23	-33
96	13	1	0	24	33
100	13	3	25	0	32
102	13	4	-25	32	-32
104	14	1	26	-32	0
106	14	2	-26	31	0
107	14	2.5	-26	30	0
108	14	3	26	31	33
112	15	1	25	0	34
114	15	2	-25	25	-34
118	15	4	0	24	33
119	15	4.5	0	23	32
120	16	1	26	24	33
121	16	1.5	-26	-24	32
122	16	2	-26	-24	31
123	16	2.5	-26	-24	30
124	16	3	27	0	29
126	16	4	-27	29	32
130	17	2	26	28	31
131	17	2.5	25	27	30
132	17	3	26	28	31
136	18	1	25	29	32
138	18	2	-25	30	-32
142	18	4	-25	29	0
143	18	4.5	-25	28	0
144	19	1	0	29	31
145	19	1.5	0	28	-31
146	19	2	0	27	-31
147	19	2.5	0	26	-31
148	19	3	0	25	32
150	19	4	0	24	-32
151	19	4.5	0	23	-32
152	20	1	24	22	31
156	20	3	25	21	30
160	21	1	24	0	33
162	21	2	-24	28	-33
164	21	3	23	-28	32
166	21	4	22	29	31
168	22	1	23	28	32
170	22	2	-23	27	30
172	22	3	24	-27	-30
174	22	4	-24	26	29
176	23	1	23	27	30
178	23	2	-23	28	-30
180	23	3	0	-28	30
181	23	3.5	0	27	-30
182	23	4	0	26	-30
183	23	4.5	0	25	-30
184	24	1	0	26	31
188	24	3	23	25	32
192	25	1	24	0	31
194	25	2	-24	26	-31
195	25	2.5	-24	-26	30
196	25	3	25	27	29
198	25	4	-25	29	-29
200	26	1	24	-29	0
202	26	2	23	28	30
204	26	3	22	29	31
205	26	3.5	-22	28	-31
206	26	4	-22	27	32
207	26	4.5	-22	26	-32
208	27	1	0	28	30
210	27	2	23	-28	-30
212	27	3	24	26	29
214	27	4	25	27	30
216	28	1	23	-27	-30
217	28	1.5	-23	26	29
218	28	2	-23	25	28
220	28	3	22	-25	-28
222	28	4	-22	24	27
224	29	1	21	25	28
230	29	4	-21	26	-28
233	30	1.5	-21	27	0
234	30	2	-21	28	0
236	30	3	-21	-28	32
237	30	3.5	-21	29	-32
238	30	4	-21	30	-32
240	31	1	0	-30	32
241	31	1.5	0	29	-32
242	31	2	0	28	-32
243	31	2.5	0	27	-32
244	31	3	0	26	31
248	32	1	25	25	32
250	32	2	-25	27	-32
252	32	3	25	-27	0
253	32	3.5	-25	28	0
254	32	4	-25	29	0
256	33	1	24	-29	33
258	33	2	-24	28	-33
260	33	3	25	27	34
262	33	4	-25	25	-34
264	34	1	0	-25	34
266	34	2	0	24	35
267	34	2.5	0	23	-35
268	34	3	26	24	-35
270	34	4	-26	28	34
271	34	4.5	-26	-28	33
272	35	1	27	29	32
274	35	2	28	30	-32
276	35	3	-28	-30	30
278	35	4	27	29	31
279	35	4.5	26	28	-31
280	36	1	25	27	32
282	36	2	-25	-27	30
284	36	3	23	25	-30
286	36	4	24	26	29
288	37	1	25	27	30
290	37	2	23	-27	32
292	37	3	-23	28	-32
294	37	4	22	29	31
296	38	1	23	-29	-31
297	38	1.5	-23	28	-31
298	38	2	25	27	30
300	38	3	24	-27	-30
302	38	4	-24	26	29
304	39	1	23	27	30
312	40	1	0	0	0
312	40	1	24	24	0
315	40	2.5	-24	25	0
316	40	3	24	26	0
320	41	1	25	27	0
324	41	3	24	26	31
327	41	4.5	-24	27	-31
328	42	1	-24	28	31
330	42	2	-24	29	-31
332	42	3	23	25	32
