**absq	**bar	**beat	**b7	**b7
0	1	1	26	33
4	1	2	28	33
6	1	2.5	28	33
8	2	1	28	33
10	2	1.5	28	33
12	2	2	28	33
16	3	1	27	32
18	3	1.5	26	33
20	3	2	28	-33
22	3	2.5	27	32
24	4	1	26	-32
26	4	1.5	-26	31
28	4	2	25	32
32	5	1	0	0
32	5	1	26	33
34	5	1.5	26	33
36	5	2	28	33
38	5	2.5	28	33
40	6	1	27	32
42	6	1.5	28	33
44	6	2	29	34
48	7	1	26	33
52	7	2	0	0
56	8	1	28	33
60	8	2	28	33
62	8	2.5	28	33
64	9	1	28	33
66	9	1.5	28	33
68	9	2	28	33
72	10	1	29	34
74	10	1.5	-29	33
76	10	2	28	-33
78	10	2.5	27	32
80	11	1	26	-32
82	11	1.5	-26	31
84	11	2	25	32
88	12	1	0	0
88	12	1	28	33
90	12	1.5	28	33
92	12	2	28	33
94	12	2.5	28	33
98	13	1.5	28	33
100	13	2	28	33
102	13	2.5	28	33
104	14	1	28	33
106	14	1.5	28	33
108	14	2	28	33
112	15	1	28	33
114	15	1.5	29	34
118	15	2.5	28	33
120	16	1	27	-33
122	16	1.5	-27	32
124	16	2	26	33
128	17	1	0	0
132	17	2	28	33
136	18	1	28	33
140	18	2	28	33
144	19	1	28	33
146	19	1.5	28	33
148	19	2	28	33
150	19	2.5	28	33
152	20	1	28	33
154	20	1.5	28	33
156	20	2	28	33
160	21	1	26	31
164	21	2	25	32
166	21	2.5	28	33
170	22	1.5	27	32
172	22	2	26	-32
174	22	2.5	-26	31
176	23	1	25	32
180	23	2	0	0
184	24	1	0	0
184	24	1	28	33
188	24	2	28	33
190	24	2.5	28	33
192	25	1	28	33
194	25	1.5	28	33
196	25	2	28	33
198	25	2.5	28	33
200	26	1	28	33
204	26	2	28	33
206	26	2.5	28	33
208	27	1	29	34
210	27	1.5	-29	33
212	27	2	28	-33
214	27	2.5	27	32
216	28	1	26	-32
218	28	1.5	-26	31
220	28	2	25	32
224	29	1	28	33
228	29	2	28	33
230	29	2.5	28	33
232	30	1	28	33
234	30	1.5	28	33
236	30	2	28	33
238	30	2.5	28	33
240	31	1	29	34
244	31	2	0	0
248	32	1	28	33
250	32	1.5	28	33
252	32	2	28	33
254	32	2.5	28	33
256	33	1	28	33
260	33	2	28	33
264	34	1	29	34
266	34	1.5	-29	33
268	34	2	28	-33
270	34	2.5	27	32
272	35	1	26	-32
274	35	1.5	-26	31
276	35	2	25	32
280	36	1	0	0
280	36	1	28	33
284	36	2	28	33
288	37	1	28	33
290	37	1.5	28	33
292	37	2	28	33
294	37	2.5	28	33
296	38	1	28	33
298	38	1.5	28	33
300	38	2	28	33
304	39	1	27	32
308	39	2	28	33
310	39	2.5	29	34
314	40	1.5	28	33
316	40	2	27	-33
318	40	2.5	-27	32
320	41	1	26	33
324	41	2	0	0
328	42	1	28	33
332	42	2	28	33
334	42	2.5	28	33
336	43	1	27	32
340	43	2	26	31
344	44	1	25	32
346	44	1.5	28	33
350	44	2.5	27	32
352	45	1	26	-32
354	45	1.5	-26	31
356	45	2	25	32
360	46	1	0	0
360	46	1	26	33
364	46	2	28	33
368	47	1	28	33
372	47	2	28	33
374	47	2.5	28	33
376	48	1	28	33
378	48	1.5	28	33
380	48	2	28	33
384	49	1	28	33
386	49	1.5	-28	33
388	49	2	28	-33
390	49	2.5	28	33
392	50	1	27	34
396	50	2	0	0
400	51	1	28	33
404	51	2	28	33
406	51	2.5	28	33
408	52	1	28	33
410	52	1.5	28	33
412	52	2	28	33
416	53	1	28	33
418	53	1.5	28	33
420	53	2	29	34
422	53	2.5	-29	33
424	54	1	28	-33
426	54	1.5	27	32
428	54	2	26	-32
430	54	2.5	-26	31
432	55	1	25	32
436	55	2	0	0
440	56	1	0	0
440	56	1	28	33
442	56	1.5	28	33
444	56	2	28	33
448	57	1	27	32
450	57	1.5	28	33
452	57	2	29	34
454	57	2.5	28	33
456	58	1	27	-33
458	58	1.5	-27	32
460	58	2	26	33
464	59	1	0	0
468	59	2	28	33
472	60	1	28	33
474	60	1.5	28	33
476	60	2	28	33
478	60	2.5	28	33
480	61	1	28	33
484	61	2	27	32
486	61	2.5	26	31
488	62	1	25	32
490	62	1.5	28	33
493	62	2.25	27	32
494	62	2.5	25	32
496	63	1	26	-32
498	63	1.5	-26	31
500	63	2	25	32
504	64	1	0	0
504	64	1	26	33
508	64	2	28	33
510	64	2.5	28	33
512	65	1	28	33
514	65	1.5	28	33
516	65	2	28	33
520	66	1	28	33
522	66	1.5	26	33
524	66	2	27	32
526	66	2.5	28	33
528	67	1	29	34
532	67	2	26	33
536	68	1	0	0
540	68	2	28	33
542	68	2.5	28	33
544	69	1	28	33
548	69	2	28	33
552	70	1	29	34
554	70	1.5	-29	33
556	70	2	28	-33
558	70	2.5	27	32
560	71	1	26	-32
562	71	1.5	-26	31
564	71	2	25	32
568	72	1	0	0
568	72	1	26	33
570	72	1.5	26	33
572	72	2	28	33
574	72	2.5	28	33
576	73	1	28	33
578	73	1.5	28	33
580	73	2	28	33
584	74	1	28	33
586	74	1.5	29	34
589	74	2.25	28	33
590	74	2.5	26	33
592	75	1	27	-33
594	75	1.5	-27	32
596	75	2	26	33
600	76	1	0	0
604	76	2	28	33
606	76	2.5	28	33
608	77	1	28	33
612	77	2	28	33
616	78	1	27	32
618	78	1.5	-27	32
620	78	2	26	-32
622	78	2.5	-26	31
624	79	1	25	32
628	79	2	0	0
632	80	1	0	0
632	80	1	28	33
634	80	1.5	28	33
636	80	2	28	33
638	80	2.5	28	33
640	81	1	27	32
644	81	2	26	33
646	81	2.5	29	34
650	82	1.5	28	33
652	82	2	27	-33
654	82	2.5	-27	32
656	83	1	26	33
660	83	2	0	0
664	84	1	28	33
668	84	2	28	33
670	84	2.5	28	33
672	85	1	28	33
676	85	2	29	34
678	85	2.5	-29	33
680	86	1	28	-33
682	86	1.5	27	32
684	86	2	26	-32
686	86	2.5	-26	31
688	87	1	25	32
692	87	2	0	0
696	88	1	0	0
696	88	1	26	33
698	88	1.5	26	33
700	88	2	28	33
702	88	2.5	28	33
704	89	1	28	33
706	89	1.5	28	33
708	89	2	28	33
710	89	2.5	28	33
712	90	1	28	33
716	90	2	27	32
720	91	1	28	33
722	91	1.5	29	34
726	91	2.5	28	33
728	92	1	27	-33
730	92	1.5	-27	32
732	92	2	26	33
736	93	1	0	0
740	93	2	28	33
742	93	2.5	28	33
744	94	1	28	33
746	94	1.5	28	33
748	94	2	28	33
752	95	1	27	32
754	95	1.5	26	31
756	95	2	25	32
758	95	2.5	28	33
761	96	1.25	27	32
762	96	1.5	25	32
764	96	2	26	-32
766	96	2.5	-26	31
768	97	1	25	32
*-	*-	*-	*-	*-
