**absq	**bar	**beat	**b7	**b7
0	1	1	26	33
4	1	2	28	33
8	2	1	28	33
12	2	2	28	33
16	3	1	28	33
18	3	1.5	28	33
20	3	2	28	33
24	4	1	26	31
26	4	1.5	27	32
28	4	2	28	33
30	4	2.5	-28	32
32	5	1	27	-32
34	5	1.5	26	31
36	5	2	25	-31
38	5	2.5	-25	30
40	6	1	24	31
48	7	1	0	0
48	7	1	26	33
52	7	2	28	33
54	7	2.5	28	33
56	8	1	28	33
58	8	1.5	28	33
60	8	2	28	33
62	8	2.5	28	33
64	9	1	26	33
68	9	2	0	0
72	10	1	28	33
76	10	2	28	33
78	10	2.5	26	31
80	11	1	27	32
82	11	1.5	28	33
86	11	2.5	26	31
88	12	1	25	-31
90	12	1.5	-25	30
92	12	2	24	31
96	13	1	0	0
96	13	1	28	33
100	13	2	28	33
102	13	2.5	28	33
104	14	1	28	33
106	14	1.5	28	33
108	14	2	28	33
112	15	1	28	33
116	15	2	28	33
118	15	2.5	28	33
120	16	1	27	32
122	16	1.5	26	31
124	16	2	27	32
126	16	2.5	28	33
130	17	1.5	29	34
134	17	2.5	28	33
136	18	1	27	-33
138	18	1.5	-27	32
140	18	2	26	33
144	19	1	0	0
148	19	2	28	33
150	19	2.5	28	33
152	20	1	28	33
154	20	1.5	28	33
156	20	2	28	33
160	21	1	26	31
162	21	1.5	27	32
164	21	2	28	33
166	21	2.5	-28	32
168	22	1	27	-32
170	22	1.5	26	31
172	22	2	25	-31
174	22	2.5	-25	30
176	23	1	24	31
184	24	1	0	0
184	24	1	26	33
188	24	2	28	33
190	24	2.5	28	33
192	25	1	28	33
196	25	2	28	33
198	25	2.5	28	33
200	26	1	28	33
202	26	1.5	28	33
204	26	2	28	33
206	26	2.5	28	33
208	27	1	26	33
212	27	2	0	0
216	28	1	28	33
220	28	2	28	33
222	28	2.5	28	33
224	29	1	28	33
226	29	1.5	28	33
228	29	2	28	33
232	30	1	26	31
234	30	1.5	27	32
236	30	2	28	33
238	30	2.5	-28	32
240	31	1	27	-32
241	31	1.25	-27	31
242	31	1.5	26	31
244	31	2	25	-31
246	31	2.5	-25	30
248	32	1	24	31
256	33	1	0	0
256	33	1	28	33
260	33	2	28	33
262	33	2.5	28	33
264	34	1	28	33
268	34	2	28	33
270	34	2.5	28	33
272	35	1	28	33
274	35	1.5	28	33
276	35	2	28	33
280	36	1	27	32
284	36	2	26	0
286	36	2.5	-26	33
288	37	1	28	33
290	37	1.5	28	33
292	37	2	28	33
294	37	2.5	28	33
296	38	1	28	33
300	38	2	28	33
302	38	2.5	29	34
306	39	1.5	28	33
308	39	2	27	-33
310	39	2.5	-27	32
312	40	1	26	33
316	40	2	0	0
320	41	1	28	33
322	41	1.5	28	33
324	41	2	28	33
326	41	2.5	28	33
328	42	1	28	33
332	42	2	26	31
334	42	2.5	25	32
336	43	1	27	-32
338	43	1.5	26	31
340	43	2	25	-31
342	43	2.5	-25	30
344	44	1	24	31
352	45	1	0	0
352	45	1	26	33
356	45	2	28	33
358	45	2.5	28	33
360	46	1	28	33
362	46	1.5	28	33
364	46	2	28	33
366	46	2.5	28	33
368	47	1	28	33
372	47	2	28	33
374	47	2.5	29	34
377	48	1.25	28	33
378	48	1.5	27	32
379	48	1.75	26	31
380	48	2	27	32
384	49	1	26	33
388	49	2	0	0
392	50	1	28	33
394	50	1.5	28	33
396	50	2	28	33
398	50	2.5	28	33
400	51	1	28	33
404	51	2	28	33
408	52	1	26	31
410	52	1.5	25	30
412	52	2	26	31
414	52	2.5	27	32
417	53	1.25	26	31
418	53	1.5	25	30
419	53	1.75	24	29
420	53	2	25	30
424	54	1	24	31
432	55	1	0	0
432	55	1	28	33
434	55	1.5	28	33
436	55	2	28	33
438	55	2.5	28	33
440	56	1	28	33
444	56	2	27	32
446	56	2.5	26	31
448	57	1	25	30
450	57	1.5	26	31
452	57	2	27	32
454	57	2.5	28	33
458	58	1.5	27	32
459	58	1.75	26	31
460	58	2	27	32
464	59	1	26	33
468	59	2	0	0
472	60	1	28	33
474	60	1.5	28	33
476	60	2	28	33
478	60	2.5	28	33
480	61	1	28	33
484	61	2	28	33
488	62	1	27	32
490	62	1.5	26	31
492	62	2	27	32
496	63	1	28	33
498	63	1.5	28	33
500	63	2	28	33
504	64	1	26	31
506	64	1.5	27	32
510	64	2.5	26	31
512	65	1	25	-31
514	65	1.5	-25	30
516	65	2	24	31
520	66	1	0	0
520	66	1	26	33
522	66	1.5	26	33
524	66	2	28	33
526	66	2.5	28	33
528	67	1	28	33
532	67	2	27	32
536	68	1	26	31
538	68	1.5	27	32
540	68	2	26	33
542	68	2.5	29	34
546	69	1.5	28	33
548	69	2	27	-33
550	69	2.5	-27	32
552	70	1	26	33
556	70	2	0	0
560	71	1	28	33
562	71	1.5	28	33
564	71	2	28	33
568	72	1	28	33
572	72	2	27	32
574	72	2.5	26	31
576	73	1	25	30
578	73	1.5	26	31
582	73	2.5	27	32
584	74	1	28	33
586	74	1.5	-28	32
588	74	2	27	-32
590	74	2.5	26	31
592	75	1	25	-31
594	75	1.5	-25	30
596	75	2	24	31
600	76	1	0	0
600	76	1	26	33
604	76	2	28	33
606	76	2.5	28	33
608	77	1	28	33
610	77	1.5	28	33
612	77	2	28	33
616	78	1	25	32
620	78	2	26	31
622	78	2.5	27	32
624	79	1	28	33
626	79	1.5	29	34
630	79	2.5	28	33
632	80	1	27	-33
634	80	1.5	-27	32
636	80	2	26	33
640	81	1	0	0
644	81	2	28	33
648	82	1	28	33
650	82	1.5	28	33
652	82	2	28	33
656	83	1	26	31
658	83	1.5	25	32
660	83	2	27	-32
662	83	2.5	26	31
664	84	1	25	-31
666	84	1.5	-25	30
668	84	2	24	31
672	85	1	0	0
672	85	1	28	33
674	85	1.5	28	33
676	85	2	28	33
680	86	1	27	32
684	86	2	26	31
688	87	1	25	30
691	87	1.75	26	31
692	87	2	27	32
694	87	2.5	26	33
696	88	1	27	-33
698	88	1.5	-27	32
700	88	2	26	33
704	89	1	0	0
708	89	2	28	33
710	89	2.5	28	33
712	90	1	28	33
714	90	1.5	28	-33
716	90	2	26	31
718	90	2.5	27	32
720	91	1	28	33
722	91	1.5	-28	32
724	91	2	27	-32
726	91	2.5	26	31
728	92	1	25	29
730	92	1.5	-25	30
732	92	2	24	31
736	93	1	0	0
736	93	1	28	33
740	93	2	28	33
742	93	2.5	28	33
744	94	1	28	33
746	94	1.5	28	33
748	94	2	28	33
752	95	1	28	33
754	95	1.5	28	33
756	95	2	28	33
760	96	1	27	32
764	96	2	26	0
766	96	2.5	-26	33
768	97	1	28	33
770	97	1.5	28	33
772	97	2	27	32
774	97	2.5	28	33
776	98	1	29	34
778	98	1.5	26	33
780	98	2	27	-33
782	98	2.5	-27	32
784	99	1	26	33
788	99	2	0	0
792	100	1	28	33
796	100	2	28	33
798	100	2.5	28	33
800	101	1	28	33
802	101	1.5	28	33
804	101	2	28	33
808	102	1	26	33
812	102	2	26	31
814	102	2.5	27	32
816	103	1	28	33
818	103	1.5	27	32
820	103	2	26	31
822	103	2.5	25	32
824	104	1	27	-32
826	104	1.5	26	31
828	104	2	25	-31
830	104	2.5	-25	30
832	105	1	24	31
840	106	1	0	0
840	106	1	26	33
844	106	2	28	33
846	106	2.5	28	33
848	107	1	28	33
850	107	1.5	28	33
852	107	2	28	33
856	108	1	28	33
858	108	1.5	28	33
860	108	2	28	33
864	109	1	27	32
868	109	2	26	31
872	110	1	25	30
874	110	1.5	26	31
876	110	2	27	32
878	110	2.5	28	33
882	111	1.5	27	32
883	111	1.75	26	31
884	111	2	27	32
888	112	1	26	33
892	112	2	0	0
896	113	1	28	33
900	113	2	28	33
902	113	2.5	28	33
904	114	1	28	33
906	114	1.5	28	33
908	114	2	28	33
910	114	2.5	28	33
912	115	1	28	33
916	115	2	26	31
918	115	2.5	27	32
920	116	1	28	33
922	116	1.5	-28	32
924	116	2	27	-32
926	116	2.5	26	31
928	117	1	25	-31
930	117	1.5	-25	30
932	117	2	24	31
936	118	1	0	0
936	118	1	28	33
940	118	2	28	33
942	118	2.5	28	33
944	119	1	28	33
946	119	1.5	28	33
948	119	2	28	33
952	120	1	26	32
954	120	1.5	27	-32
956	120	2	26	31
958	120	2.5	29	34
961	121	1.25	-29	33
962	121	1.5	28	33
964	121	2	27	-33
966	121	2.5	-27	32
968	122	1	26	33
972	122	2	0	0
976	123	1	28	33
978	123	1.5	28	33
980	123	2	28	33
984	124	1	26	31
986	124	1.5	27	32
988	124	2	28	33
990	124	2.5	26	31
992	125	1	25	-31
994	125	1.5	-25	30
996	125	2	24	31
1000	126	1	0	0
1000	126	1	28	33
1004	126	2	28	33
1006	126	2.5	28	33
1008	127	1	28	33
1010	127	1.5	28	33
1012	127	2	28	33
1016	128	1	27	32
1020	128	2	26	31
1022	128	2.5	29	34
1026	129	1.5	28	33
1028	129	2	27	-33
1030	129	2.5	-27	32
1032	130	1	26	33
1036	130	2	0	0
1040	131	1	28	33
1042	131	1.5	28	33
1044	131	2	28	33
1046	131	2.5	28	33
1048	132	1	28	33
1052	132	2	27	32
1056	133	1	26	31
1058	133	1.5	27	32
1060	133	2	28	33
1062	133	2.5	25	32
1064	134	1	26	31
1066	134	1.5	27	32
1070	134	2.5	26	31
1072	135	1	25	-31
1074	135	1.5	-25	30
1076	135	2	24	31
1080	136	1	0	0
1080	136	1	28	33
1084	136	2	28	33
1086	136	2.5	28	33
1088	137	1	28	33
1090	137	1.5	28	33
1092	137	2	28	33
1096	138	1	26	31
1098	138	1.5	27	32
1100	138	2	26	33
1102	138	2.5	29	34
1106	139	1.5	28	33
1108	139	2	27	-33
1110	139	2.5	-27	32
1112	140	1	26	33
1116	140	2	0	0
1120	141	1	28	33
1124	141	2	28	33
1126	141	2.5	28	33
1128	142	1	28	33
1132	142	2	28	33
1136	143	1	27	32
1140	143	2	26	31
1142	143	2.5	27	32
1144	144	1	28	33
1146	144	1.5	-28	32
1148	144	2	27	-32
1150	144	2.5	26	31
1152	145	1	25	-31
1154	145	1.5	-25	30
1156	145	2	24	31
1160	146	1	0	0
1160	146	1	28	33
1162	146	1.5	28	33
1164	146	2	28	33
1166	146	2.5	28	33
1168	147	1	28	33
1172	147	2	27	32
1174	147	2.5	26	31
1176	148	1	25	30
1178	148	1.5	26	31
1180	148	2	27	32
1182	148	2.5	28	33
1186	149	1.5	27	32
1187	149	1.75	26	31
1188	149	2	27	32
1192	150	1	26	33
1196	150	2	0	0
1200	151	1	28	33
1202	151	1.5	28	33
1204	151	2	28	33
1206	151	2.5	28	33
1208	152	1	28	33
1212	152	2	26	31
1214	152	2.5	27	32
1216	153	1	28	33
1218	153	1.5	-28	32
1220	153	2	27	-32
1222	153	2.5	26	31
1224	154	1	25	-31
1226	154	1.5	-25	30
1228	154	2	24	31
1232	155	1	0	0
1232	155	1	28	33
1236	155	2	28	33
1238	155	2.5	28	33
1240	156	1	28	33
1242	156	1.5	28	33
1244	156	2	28	33
1248	157	1	28	33
1250	157	1.5	27	32
1252	157	2	26	31
1254	157	2.5	29	34
1257	158	1.25	-29	33
1258	158	1.5	28	33
1260	158	2	27	-33
1262	158	2.5	-27	32
1264	159	1	26	33
1268	159	2	0	0
1272	160	1	28	33
1276	160	2	27	32
1278	160	2.5	26	31
1280	161	1	27	32
1284	161	2	26	33
1288	162	1	28	33
1292	162	2	28	33
1294	162	2.5	28	33
1296	163	1	28	33
1298	163	1.5	28	33
1300	163	2	28	33
1304	164	1	26	31
1306	164	1.5	25	32
1308	164	2	27	-32
1310	164	2.5	26	31
1312	165	1	25	-31
1314	165	1.5	-25	30
1316	165	2	24	31
1320	166	1	0	0
1320	166	1	28	33
1322	166	1.5	28	33
1324	166	2	28	33
1326	166	2.5	28	33
1328	167	1	28	33
1332	167	2	27	32
1336	168	1	28	33
1338	168	1.5	29	34
