**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	28	28	35
4	1	2	26	30	35
6	1	2.5	26	30	35
8	2	1	26	30	35
12	2	2	26	30	35
14	2	2.5	26	30	35
16	3	1	26	30	35
18	3	1.5	26	30	35
20	3	2	26	28	35
24	4	1	25	29	34
27	4	1.75	-25	28	33
28	4	2	25	29	34
30	4	2.5	21	30	35
33	5	1.25	22	-30	-35
34	5	1.5	23	29	34
35	5	1.75	24	28	33
36	5	2	25	27	32
38	5	2.5	24	28	33
42	6	1.5	25	27	32
44	6	2	22	26	-32
46	6	2.5	-22	-26	31
48	7	1	29	25	32
56	8	1	0	0	0
56	8	1	26	28	35
60	8	2	26	30	35
62	8	2.5	26	30	35
64	9	1	28	30	35
68	9	2	25	29	34
70	9	2.5	26	28	33
72	10	1	25	29	34
76	10	2	26	28	33
80	11	1	26	30	0
82	11	1.5	-26	-30	35
84	11	2	26	30	35
86	11	2.5	26	30	35
88	12	1	26	30	35
92	12	2	26	30	35
94	12	2.5	26	30	35
96	13	1	26	30	35
98	13	1.5	28	-30	-35
100	13	2	25	29	34
104	14	1	23	30	35
106	14	1.5	22	31	36
108	14	2	24	-31	-36
110	14	2.5	21	30	35
112	15	1	25	29	-35
114	15	1.5	-25	-29	34
116	15	2	21	28	35
120	16	1	0	0	0
124	16	2	28	30	35
128	17	1	26	30	35
130	17	1.5	26	30	35
132	17	2	26	30	35
134	17	2.5	26	30	35
136	18	1	26	28	35
140	18	2	26	30	0
142	18	2.5	-26	-30	35
144	19	1	26	30	35
146	19	1.5	26	30	35
148	19	2	26	30	35
152	20	1	22	29	34
154	20	1.5	25	-29	-34
155	20	1.75	-25	28	33
156	20	2	-25	29	34
158	20	2.5	21	30	35
161	21	1.25	22	-30	-35
162	21	1.5	23	29	34
163	21	1.75	24	28	33
164	21	2	25	27	32
166	21	2.5	24	28	33
170	22	1.5	25	27	32
172	22	2	22	26	-32
174	22	2.5	-22	-26	31
176	23	1	25	25	32
184	24	1	0	0	0
184	24	1	28	30	35
188	24	2	26	30	35
190	24	2.5	26	30	35
192	25	1	26	30	35
196	25	2	26	30	35
198	25	2.5	26	30	35
200	26	1	26	30	35
204	26	2	28	30	35
206	26	2.5	27	31	36
208	27	1	25	32	-36
210	27	1.5	26	28	35
212	27	2	25	29	-35
214	27	2.5	-25	-29	34
216	28	1	21	28	35
220	28	2	0	0	0
224	29	1	28	30	35
228	29	2	26	30	35
230	29	2.5	26	30	35
232	30	1	26	30	35
234	30	1.5	26	30	35
236	30	2	26	30	35
240	31	1	26	30	35
242	31	1.5	26	30	35
244	31	2	26	30	35
248	32	1	26	28	35
252	32	2	25	29	34
254	32	2.5	26	28	33
256	33	1	24	-28	-33
258	33	1.5	25	27	32
260	33	2	22	26	-32
262	33	2.5	-22	-26	31
264	34	1	29	25	32
272	35	1	0	0	0
272	35	1	28	28	35
276	35	2	26	30	35
278	35	2.5	26	30	35
280	36	1	26	30	35
284	36	2	26	30	35
286	36	2.5	26	30	35
288	37	1	28	30	35
292	37	2	25	29	34
296	38	1	26	28	33
298	38	1.5	24	-28	-33
300	38	2	25	27	32
302	38	2.5	24	-27	-32
303	38	2.75	23	28	33
304	39	1	22	29	34
306	39	1.5	21	30	35
308	39	2	25	29	-35
310	39	2.5	-25	-29	34
312	40	1	26	28	35
316	40	2	0	0	0
320	41	1	26	30	35
324	41	2	26	30	35
