**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	32	0
6	1	4	27	0	-32	0
8	2	1	-27	0	31	0
9	2	1.5	26	0	-31	0
10	2	2	29	0	-31	0
12	2	3	-29	0	30	0
14	2	4	28	0	-30	0
16	3	1	29	0	29	36
18	3	2	27	0	-29	-36
22	3	4	26	0	-29	-36
23	3	4.5	25	0	-29	-36
24	4	1	26	0	0	35
26	4	2	24	0	0	-35
28	4	3	25	0	0	34
32	5	1	22	29	31	33
38	5	4	22	-29	-31	-33
40	6	1	23	28	32	0
42	6	2	24	-28	-32	0
44	6	3	25	27	32	0
48	7	1	24	26	33	35
51	7	2.5	25	-26	32	-35
52	7	3	26	-26	30	-35
54	7	4	-26	-26	31	-35
56	8	1	25	0	32	34
58	8	2	-25	0	29	-34
60	8	3	-25	0	30	-34
61	8	3.5	-25	0	29	-34
62	8	4	-25	0	28	33
63	8	4.5	-25	0	27	32
64	9	1	24	28	26	33
66	9	2	-24	-28	24	-33
68	9	3	0	-28	-24	33
70	9	4	0	-28	23	-33
71	9	4.5	0	-28	24	-33
72	10	1	25	27	25	32
74	10	2	-25	-27	32	31
75	10	2.5	-25	-27	-32	30
76	10	3	-25	-27	-32	29
77	10	3.5	-25	-27	31	-29
78	10	4	27	26	30	32
79	10	4.5	-27	25	29	-32
80	11	1	26	26	28	-32
81	11	1.5	25	-26	-28	-32
82	11	2	24	-26	29	31
83	11	2.5	23	25	-29	-31
84	11	3	22	26	-29	31
86	11	4	26	-26	28	-31
87	11	4.5	-26	-26	-28	30
88	12	1	27	25	29	32
90	12	2	25	-25	-29	-32
94	12	4	21	-25	30	-32
97	13	1.5	22	-25	-30	0
98	13	2	23	-25	29	0
99	13	2.5	24	-25	28	0
100	13	3	25	-25	27	0
104	14	1	26	0	26	35
106	14	2	24	0	-26	-35
110	14	4	23	0	33	-35
111	14	4.5	22	0	-33	-35
112	15	1	23	0	-33	-35
114	15	2	-23	0	32	-35
116	15	3	22	0	31	36
120	16	1	21	28	30	37
123	16	2.5	-21	-28	31	-37
124	16	3	-21	-28	32	-37
126	16	4	-21	-28	33	-37
130	17	2	0	-28	32	-37
132	17	3	0	29	31	38
134	17	4	0	-29	30	-38
135	17	4.5	0	-29	29	-38
136	18	1	21	30	28	39
142	18	4	-21	-30	-28	38
144	19	1	28	-30	0	37
146	19	2	-28	-30	0	36
147	19	2.5	-28	-30	0	35
148	19	3	27	31	0	36
150	19	4	29	-31	0	-36
152	20	1	28	32	25	37
154	20	2	27	-32	-25	36
156	20	3	25	-32	27	-36
157	20	3.5	-25	-32	-27	35
158	20	4	-25	31	-27	34
159	20	4.5	-25	-31	-27	33
160	21	1	21	30	28	32
162	21	2	-21	29	-28	35
163	21	2.5	-21	28	-28	-35
164	21	3	0	29	25	-35
166	21	4	0	-29	-25	34
168	22	1	21	28	0	35
176	23	1	-21	-28	32	0
182	23	4	-21	-28	31	0
184	24	1	0	-28	30	39
188	24	3	21	-28	-30	-39
190	24	4	-21	-28	29	38
192	25	1	28	0	28	37
196	25	3	27	0	0	36
198	25	4	-27	0	29	-36
200	26	1	26	0	30	35
202	26	2	-26	0	31	-35
203	26	2.5	27	0	-31	-35
204	26	3	28	0	30	-35
206	26	4	24	0	33	-35
208	27	1	-24	0	-33	35
210	27	2	25	0	32	-35
211	27	2.5	-25	0	31	-35
212	27	3	26	0	30	35
216	28	1	22	0	29	36
218	28	2	-22	0	31	-36
220	28	3	20	0	-31	-36
222	28	4	21	0	30	35
224	29	1	25	0	29	34
226	29	2	-25	0	32	33
227	29	2.5	-25	0	-32	32
228	29	3	22	0	-32	33
230	29	4	-22	0	31	-33
232	30	1	23	32	30	32
234	30	2	24	-32	29	-32
235	30	2.5	-24	-32	28	-32
236	30	3	25	-32	27	0
238	30	4	22	31	-27	36
239	30	4.5	-22	-31	26	-36
240	31	1	26	30	28	-36
241	31	1.5	-26	-30	-28	35
242	31	2	-26	-30	-28	35
244	31	3	0	29	25	-35
246	31	4	0	-29	-25	34
248	32	1	24	28	0	35
250	32	2	-24	-28	26	-35
253	32	3.5	-24	-28	27	-35
254	32	4	23	-28	28	-35
255	32	4.5	22	-28	29	-35
256	33	1	21	28	30	0
258	33	2	-21	-28	31	0
259	33	2.5	22	-28	-31	0
260	33	3	23	28	32	0
262	33	4	24	-28	33	0
264	34	1	-24	29	-33	0
265	34	1.5	23	-29	32	0
266	34	2	22	-29	31	0
267	34	2.5	21	-29	-31	0
268	34	3	20	-29	-31	0
270	34	4	21	28	30	0
272	35	1	22	27	29	0
274	35	2	23	26	32	0
275	35	2.5	-23	25	-32	0
276	35	3	22	26	-32	0
278	35	4	-22	-26	31	0
280	36	1	23	25	32	0
284	36	3	22	0	31	0
286	36	4	20	29	-31	0
288	37	1	21	-29	30	0
290	37	2	-21	28	-30	0
292	37	3	25	-28	29	0
294	37	4	-25	27	-29	0
296	38	1	21	28	30	35
298	38	2	-21	-28	32	-35
302	38	4	-21	-28	31	-35
303	38	4.5	-21	-28	30	-35
304	39	1	25	0	29	36
307	39	2.5	-25	0	28	-36
307.5	39	2.75	-25	0	27	-36
308	39	3	-25	0	28	34
309	39	3.5	-25	0	27	-34
310	39	4	-25	0	26	-34
311	39	4.5	-25	0	25	-34
312	40	1	26	28	24	33
315	40	2.5	25	-28	-24	-33
316	40	3	24	-28	0	-33
318	40	4	23	-28	0	-33
320	41	1	22	29	31	0
324	41	3	23	27	32	0
326	41	4	25	-27	-32	0
328	42	1	24	26	33	35
331	42	2.5	25	-26	-33	-35
332	42	3	26	-26	31	-35
334	42	4	-26	-26	30	-35
336	43	1	25	0	-30	34
337	43	1.5	-25	0	31	-34
338	43	2	-25	0	32	-34
341	43	3.5	0	0	31	-34
342	43	4	25	0	29	33
343	43	4.5	-25	0	30	32
344	44	1	24	28	31	33
346	44	2	21	-28	30	32
350	44	4	19	-28	29	31
351	44	4.5	-19	-28	28	30
352	45	1	20	27	31	29
354	45	2	-20	-27	32	-29
356	45	3	23	25	-32	32
357	45	3.5	-23	-25	31	-32
358	45	4	-23	-25	30	-32
359	45	4.5	-23	-25	29	-32
360	46	1	0	26	28	-32
362	46	2	24	-26	-28	31
363	46	2.5	-24	-26	-28	30
364	46	3	-24	-26	-28	31
365	46	3.5	25	-26	-28	-31
366	46	4	26	-26	-28	-31
368	47	1	27	25	29	32
*-	*-	*-	*-	*-	*-	*-
