**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	35
6	1	4	0	0	34
7	1	4.5	0	0	33
8	2	1	0	0	32
12	2	3	0	0	33
16	3	1	28	0	32
18	3	2	-28	0	30
22	3	4	27	0	31
23	3	4.5	26	0	-31
24	4	1	25	0	32
28	4	3	26	0	28
32	5	1	25	0	32
34	5	2	23	0	-32
38	5	4	24	0	31
40	6	1	25	0	30
42	6	2	-25	0	29
44	6	3	21	0	30
46	6	4	25	0	-30
48	7	1	-25	0	29
50	7	2	24	0	28
51	7	2.5	23	0	-28
52	7	3	22	0	-28
54	7	4	-22	0	27
56	8	1	21	28	28
62	8	4	0	27	0
64	9	1	24	26	35
68	9	3	23	25	-35
70	9	4	25	-25	34
72	10	1	24	26	33
74	10	2	26	24	-33
76	10	3	25	25	32
78	10	4	28	23	-32
80	11	1	-28	22	33
82	11	2	27	-22	31
84	11	3	28	21	32
86	11	4	-28	-21	30
88	12	1	-28	0	29
90	12	2	27	0	-29
92	12	3	26	24	28
96	13	1	25	23	0
98	13	2	-25	25	0
100	13	3	26	24	0
102	13	4	24	26	0
104	14	1	25	25	0
106	14	2	23	28	0
108	14	3	22	-28	31
110	14	4	-22	27	-31
112	15	1	21	28	30
114	15	2	23	-28	32
116	15	3	22	29	31
118	15	4	24	28	33
120	16	1	21	30	32
122	16	2	24	31	35
124	16	3	25	29	-35
126	16	4	-25	-29	34
128	17	1	21	28	35
131	17	2.5	22	-28	-35
132	17	3	23	27	0
134	17	4	24	26	0
136	18	1	-24	28	33
138	18	2	22	29	-33
140	18	3	24	-29	-33
142	18	4	25	28	34
143	18	4.5	-25	27	-34
144	19	1	26	26	35
146	19	2	28	-26	-35
148	19	3	29	25	34
150	19	4	-29	24	33
152	20	1	0	26	35
154	20	2	25	27	36
156	20	3	29	-27	-36
157	20	3.5	-29	26	-36
158	20	4	-29	25	35
159	20	4.5	-29	-25	34
160	21	1	28	-25	33
162	21	2	-28	24	-33
164	21	3	27	25	32
166	21	4	26	26	31
168	22	1	-26	28	33
170	22	2	25	29	34
172	22	3	-25	25	-34
173	22	3.5	24	-25	33
174	22	4	23	-25	32
176	23	1	22	26	-32
178	23	2	-22	-26	31
180	23	3	23	25	32
184	24	1	21	-25	32
186	24	2	23	-25	30
189	24	3.5	24	0	-30
190	24	4	25	21	28
192	25	1	28	-21	30
194	25	2	26	22	31
196	25	3	25	23	32
198	25	4	0	21	-32
200	26	1	21	-21	28
202	26	2	-21	23	-28
204	26	3	28	-23	32
206	26	4	-28	24	33
207	26	4.5	30	-24	-33
208	27	1	29	25	34
212	27	3	28	21	35
216	28	1	28	0	32
218	28	2	21	28	-32
222	28	4	24	29	31
224	29	1	25	-29	30
225	29	1.5	-25	28	-30
226	29	2	26	28	28
228	29	3	25	-28	29
230	29	4	-25	27	-29
232	30	1	21	28	28
234	30	2	-21	-28	30
236	30	3	0	25	-30
238	30	4	25	-25	29
240	31	1	26	24	-29
242	31	2	25	23	28
244	31	3	-25	22	-28
246	31	4	24	-22	27
248	32	1	25	21	28
252	32	3	28	-21	0
255	32	4.5	27	-21	0
256	33	1	26	-21	28
260	33	3	25	0	29
262	33	4	28	0	30
266	34	2	29	0	31
268	34	3	28	28	30
270	34	4	26	-28	29
271	34	4.5	-26	-28	28
272	35	1	25	29	27
274	35	2	-25	30	-27
276	35	3	23	-30	32
278	35	4	22	31	33
280	36	1	25	30	34
282	36	2	26	29	35
283	36	2.5	-26	28	-35
284	36	3	25	27	36
286	36	4	-25	-27	34
288	37	1	23	25	-34
290	37	2	24	26	33
292	37	3	25	27	32
294	37	4	26	28	31
295	37	4.5	-26	-28	30
296	38	1	27	29	29
298	38	2	25	28	32
299	38	2.5	-25	27	-32
300	38	3	22	26	-32
302	38	4	-22	-26	31
304	39	1	29	0	32
308	39	3	29	25	-32
310	39	4	30	-25	-32
312	40	1	-30	23	0
314	40	2	29	24	0
316	40	3	27	25	32
318	40	4	28	21	-32
320	41	1	-28	-21	30
322	41	2	26	22	31
324	41	3	25	23	32
326	41	4	0	-23	28
327	41	4.5	0	22	-28
328	42	1	23	23	-28
330	42	2	22	24	29
332	42	3	21	25	30
335	42	4.5	-21	-25	29
336	43	1	-21	0	30
338	43	2	22	26	31
340	43	3	23	25	32
342	43	4	-23	28	-32
344	44	1	24	-28	33
346	44	2	-24	29	-33
347	44	2.5	23	-29	-33
348	44	3	21	30	32
350	44	4	-21	-30	28
352	45	1	24	31	-28
354	45	2	-24	-31	29
355	45	2.5	-24	30	-29
356	45	3	23	28	30
360	46	1	22	29	31
362	46	2	-22	28	30
363	46	2.5	-22	27	29
364	46	3	0	26	28
366	46	4	25	25	29
368	47	1	-25	27	-29
370	47	2	26	28	28
372	47	3	25	29	-28
374	47	4	-25	-29	27
376	48	1	21	28	28
*-	*-	*-	*-	*-	*-
