**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	28	0	0
4	1	3	28	0	32
6	1	4	28	0	-32
8	2	1	25	0	32
10	2	2	-25	0	32
12	2	3	-25	0	29
14	2	4	25	0	-29
16	3	1	27	0	-29
18	3	2	-27	0	29
20	3	3	26	0	31
24	4	1	25	32	30
28	4	3	25	32	29
30	4	4	27	32	-29
32	5	1	-27	29	0
33	5	1.5	26	-29	0
34	5	2	25	-29	25
35	5	2.5	24	-29	-25
36	5	3	25	-29	27
38	5	4	-25	29	-27
39	5	4.5	24	-29	-27
40	6	1	22	31	26
42	6	2	24	-31	-26
44	6	3	21	30	25
45	6	3.5	22	-30	-25
46	6	4	23	-30	-25
47	6	4.5	24	-30	26
48	7	1	25	29	27
49	7	1.5	26	-29	28
50	7	2	27	-29	29
51	7	2.5	28	-29	-29
52	7	3	29	0	-29
53	7	3.5	-29	0	30
54	7	4	27	29	31
56	8	1	-27	31	-31
57	8	1.5	28	-31	30
58	8	2	29	-31	29
60	8	3	26	30	-29
62	8	4	-26	-30	28
64	9	1	27	29	29
66	9	2	-27	31	-29
67	9	2.5	26	-31	-29
68	9	3	25	-31	0
69	9	3.5	-25	30	0
70	9	4	24	29	32
72	10	1	23	-29	32
74	10	2	-23	28	32
76	10	3	22	29	31
78	10	4	-22	-29	29
79	10	4.5	-22	-29	30
80	11	1	-22	-29	31
81	11	1.5	-22	-29	32
82	11	2	-22	-29	33
84	11	3	0	0	32
85	11	3.5	0	0	31
86	11	4	28	0	30
87	11	4.5	-28	0	29
88	12	1	28	0	30
90	12	2	28	0	-30
92	12	3	27	0	29
94	12	4	25	0	27
95	12	4.5	26	0	28
96	13	1	27	0	29
97	13	1.5	28	0	30
98	13	2	29	0	31
99	13	2.5	-29	0	29
100	13	3	28	0	30
101	13	3.5	27	0	31
102	13	4	26	28	32
103	13	4.5	25	-28	-32
104	14	1	26	28	-32
106	14	2	-26	28	31
108	14	3	25	27	32
110	14	4	-25	25	-32
111	14	4.5	-25	26	-32
112	15	1	0	27	25
113	15	1.5	0	28	-25
114	15	2	25	29	27
116	15	3	-25	28	-27
117	15	3.5	-25	27	28
118	15	4	25	26	29
119	15	4.5	-25	25	30
120	16	1	24	26	31
124	16	3	25	25	30
126	16	4	26	28	31
129	17	1.5	-26	27	-31
130	17	2	25	26	29
131	17	2.5	24	-26	-29
132	17	3	23	-26	-29
134	17	4	-23	25	28
136	18	1	22	26	29
142	18	4	24	-26	0
146	19	2	-24	28	0
148	19	3	21	-28	0
150	19	4	-21	-28	32
151	19	4.5	22	-28	-32
152	20	1	23	25	32
153	20	1.5	24	-25	-32
154	20	2	25	-25	32
155	20	2.5	-25	26	-32
156	20	3	-25	27	29
157	20	3.5	-25	28	30
158	20	4	22	29	31
159	20	4.5	-22	-29	32
160	21	1	24	-29	33
162	21	2	25	27	32
