**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	18	0	25	0
3	1	1.75	19	0	-25	0
4	1	2	20	0	-25	0
6	1	2.5	21	0	-25	0
9	1	3.25	22	0	-25	0
10	1	3.5	23	0	-25	0
12	2	1	24	0	22	0
14	2	1.5	25	0	23	0
17	2	2.25	26	0	22	0
18	2	2.5	27	0	25	0
20	2	3	26	0	-25	0
22	2	3.5	-26	0	24	0
23	2	3.75	25	0	-24	0
23.5	2	3.875	24	0	-24	0
24	3	1	23	0	25	32
27	3	1.75	24	0	26	-32
28	3	2	25	0	27	-32
30	3	2.5	21	0	28	-32
33	3	3.25	0	0	27	-32
34	3	3.5	0	0	28	-32
36	4	1	0	0	-28	29
37	4	1.25	0	0	27	-29
38	4	1.5	0	0	28	30
41	4	2.25	0	0	27	29
42	4	2.5	0	0	26	32
43	4	2.75	0	0	25	-32
44	4	3	0	0	26	-32
46	4	3.5	0	0	-26	31
48	5	1	25	0	25	32
51	5	1.75	-25	0	-25	31
52	5	2	-25	0	27	30
53	5	2.25	-25	0	-27	29
54	5	2.5	-25	0	-27	30
57	5	3.25	-25	0	-27	29
58	5	3.5	-25	0	26	28
59	5	3.75	-25	0	25	27
60	6	1	22	0	26	29
62	6	1.5	23	0	25	28
65	6	2.25	22	0	24	27
66	6	2.5	25	0	23	26
67	6	2.75	-25	0	-23	25
68	6	3	-25	0	22	26
70	6	3.5	24	0	-22	-26
72	7	1	25	0	0	25
74	7	1.5	-25	0	25	-25
75	7	1.75	24	0	-25	-25
76	7	2	23	0	-25	32
77	7	2.25	22	0	24	-32
78	7	2.5	25	0	23	-32
79	7	2.75	-25	0	22	31
80	7	3	-25	0	25	30
81	7	3.25	24	0	-25	29
82	7	3.5	23	0	-25	32
83	7	3.75	22	0	24	-32
84	8	1	25	0	23	-32
85	8	1.25	-25	0	22	31
86	8	1.5	-25	0	25	30
87	8	1.75	-25	0	-25	29
88	8	2	-25	0	-25	32
89	8	2.25	-25	0	24	-32
90	8	2.5	18	0	23	-32
91	8	2.75	-18	0	22	31
92	8	3	-18	0	25	30
93	8	3.25	19	0	-25	29
94	8	3.5	20	0	-25	32
96	9	1	21	0	26	-32
98	9	1.5	22	0	-26	31
100	9	2	23	0	25	32
102	9	2.5	-23	0	25	-32
