**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	31	35
8	1	3	0	0	-31	35
12	2	1	0	0	31	-35
14	2	1.5	0	0	-31	33
18	2	2.5	0	0	29	31
20	2	3	0	0	-29	31
22	2	3.5	0	0	27	-31
24	3	1	0	0	27	32
26	3	1.5	0	0	-27	34
28	3	2	0	0	28	33
30	3	2.5	0	0	30	32
32	3	3	0	0	29	31
35	3	3.75	0	0	28	-31
36	4	1	0	0	27	0
38	4	1.5	0	0	-27	32
40	4	2	0	0	0	33
41.3333	4	2.33333	0	0	0	34
42	4	2.5	0	0	28	-34
42.6667	4	2.66667	0	0	-28	35
44	4	3	0	0	29	34
45.3333	4	3.33333	0	0	-29	33
46	4	3.5	0	0	30	-33
46.6667	4	3.66667	0	0	-30	32
48	5	1	24	28	31	33
56	5	3	-24	28	-31	-33
60	6	1	24	-28	0	0
62	6	1.5	-24	26	0	0
66	6	2.5	22	24	0	0
68	6	3	-22	24	0	0
70	6	3.5	20	-24	0	0
72	7	1	20	25	0	0
74	7	1.5	-20	27	0	0
76	7	2	21	26	0	0
78	7	2.5	23	25	0	0
80	7	3	22	24	0	0
83	7	3.75	21	-24	0	0
84	8	1	20	0	0	0
86	8	1.5	-20	25	0	0
88	8	2	0	26	0	0
89.3333	8	2.33333	0	27	0	0
90	8	2.5	21	-27	0	0
90.6667	8	2.66667	-21	28	0	0
92	8	3	22	27	0	0
93.3333	8	3.33333	-22	26	0	0
94	8	3.5	23	-26	0	0
94.6667	8	3.66667	-23	25	0	0
96	9	1	24	26	31	0
98	9	1.5	-24	-26	-31	35
100	9	2	-24	-26	31	-35
102	9	2.5	-24	-26	-31	35
104	9	3	0	0	30	-35
106	9	3.5	0	0	-30	34
108	10	1	0	0	29	-34
110	10	1.5	0	0	-29	33
112	10	2	0	0	28	-33
114	10	2.5	0	0	-28	32
115	10	2.75	0	0	27	-32
116	10	3	0	0	26	31
118	10	3.5	0	0	25	30
120	11	1	0	0	24	33
122	11	1.5	0	0	23	32
124	11	2	0	0	26	-32
125	11	2.25	0	0	-26	31
126	11	2.5	0	0	-26	31
128	11	3	0	0	25	-31
130	11	3.5	0	0	-25	30
132	12	1	24	0	24	31
133	12	1.25	-24	0	25	-31
134	12	1.5	-24	0	26	-31
135	12	1.75	25	0	27	-31
136	12	2	26	0	28	-31
138	12	2.5	27	0	29	-31
141	12	3.25	-27	0	27	-31
142	12	3.5	26	0	28	-31
144	13	1	24	0	29	0
146	13	1.5	28	0	30	32
148	13	2	-28	0	28	-32
149	13	2.25	27	0	-28	-32
150	13	2.5	26	0	31	33
152	13	3	25	0	-31	34
154	13	3.5	-25	0	30	33
155	13	3.75	-25	0	-30	32
156	14	1	24	31	31	33
158	14	1.5	-24	-31	30	-33
159	14	1.75	-24	-31	29	34
160	14	2	-24	-31	28	35
162	14	2.5	22	-31	27	36
164	14	3	-22	31	29	-36
165	14	3.25	-22	-31	-29	35
166	14	3.5	-22	-31	-29	34
167	14	3.75	-22	-31	-29	33
168	15	1	23	30	27	32
171	15	1.75	-23	-30	-27	33
172	15	2	-23	-30	25	34
174	15	2.5	21	-30	-25	35
176	15	3	-21	30	28	-35
177	15	3.25	-21	-30	-28	34
178	15	3.5	-21	-30	-28	33
179	15	3.75	-21	-30	-28	32
180	16	1	22	29	26	31
183	16	1.75	-22	-29	-26	32
184	16	2	-22	-29	24	33
186	16	2.5	20	-29	-24	34
188	16	3	-20	29	27	-34
189	16	3.25	-20	-29	-27	33
190	16	3.5	-20	-29	-27	32
191	16	3.75	-20	-29	-27	31
192	17	1	21	28	25	30
195	17	1.75	-21	-28	-25	31
196	17	2	-21	-28	23	32
198	17	2.5	19	-28	-23	33
200	17	3	-19	28	26	-33
201	17	3.25	-19	-28	-26	32
202	17	3.5	-19	-28	-26	31
203	17	3.75	-19	-28	-26	30
204	18	1	20	27	24	29
207	18	1.75	-20	-27	-24	30
208	18	2	-20	-27	22	31
210	18	2.5	18	-27	-22	32
212	18	3	-18	27	25	-32
213	18	3.25	-18	-27	-25	31
214	18	3.5	-18	-27	-25	30
215	18	3.75	-18	-27	-25	29
216	19	1	19	26	23	28
219	19	1.75	-19	-26	-23	29
220	19	2	-19	-26	21	30
222	19	2.5	17	-26	-21	31
224	19	3	-17	26	24	-31
225	19	3.25	-17	-26	-24	30
226	19	3.5	-17	-26	-24	29
227	19	3.75	-17	-26	-24	28
228	20	1	18	25	22	27
231	20	1.75	-18	-25	-22	28
232	20	2	-18	-25	20	29
