**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	26	0
4	1	2	0	0	0	26	0
8	1	3	0	0	0	25	0
12	2	1	0	0	0	26	33
14	2	1.5	0	0	0	26	-33
16	2	2	0	0	0	26	33
20	2	3	0	0	0	27	32
24	3	1	0	0	0	28	33
26	3	1.5	0	0	0	-28	33
28	3	2	0	0	0	26	33
32	3	3	0	0	0	25	34
36	4	1	0	0	0	0	35
38	4	1.5	0	0	0	26	-35
40	4	2	0	0	0	-26	33
41	4	2.25	0	0	0	27	-33
42	4	2.5	0	0	0	28	-33
43	4	2.75	0	0	0	29	-33
44	4	3	0	0	0	30	32
46	4	3.5	0	0	0	23	-32
48	5	1	0	0	0	25	0
50	5	1.5	0	0	0	-25	30
52	5	2	0	0	0	23	32
56	5	3	0	0	0	0	30
58	5	3.5	0	0	0	25	-30
60	6	1	0	0	0	23	0
62	6	1.5	0	0	0	25	32
64	6	2	0	0	0	0	30
66	6	2.5	0	0	0	28	32
68	6	3	0	0	0	26	0
70	6	3.5	0	0	0	28	33
74	7	1.5	0	0	0	30	35
76	7	2	0	0	0	28	-35
78	7	2.5	0	0	0	29	31
82	7	3.5	0	0	0	27	30
83	7	3.75	0	0	0	-27	29
84	8	1	0	0	0	28	30
88	8	2	0	0	0	29	29
94	8	3.5	0	0	0	-29	29
96	9	1	0	0	0	0	29
98	9	1.5	0	0	0	0	29
100	9	2	0	0	0	0	33
102	9	2.5	0	0	0	26	-33
104	9	3	0	0	0	26	-33
106	9	3.5	0	0	0	26	-33
108	10	1	0	0	0	30	32
112	10	2	0	0	0	29	31
116	10	3	0	0	0	28	0
118	10	3.5	0	0	0	27	32
120	11	1	0	0	0	26	32
122	11	1.5	0	0	0	-26	31
124	11	2	0	0	0	25	32
128	11	3	0	0	0	0	30
130	11	3.5	0	0	0	26	-30
132	12	1	0	0	0	27	29
135	12	1.75	0	0	0	26	-29
135.5	12	1.875	0	0	0	25	-29
136	12	2	0	0	0	24	0
138	12	2.5	0	0	0	22	31
140	12	3	0	0	0	24	-31
141	12	3.25	0	0	0	-24	30
142	12	3.5	0	0	0	25	29
144	13	1	0	0	0	26	28
146	13	1.5	0	0	0	-26	31
148	13	2	0	25	0	23	-31
150	13	2.5	0	-25	0	-23	30
152	13	3	0	26	0	24	-30
154	13	3.5	0	-26	0	-24	29
156	14	1	25	27	0	23	30
158	14	1.5	-25	28	0	-23	-30
160	14	2	24	26	0	0	0
162	14	2.5	22	29	0	0	0
164	14	3	23	-29	0	30	0
166	14	3.5	23	28	0	-30	0
168	15	1	22	29	0	31	33
172	15	2	-22	0	0	-31	33
174	15	2.5	-22	29	0	30	33
175	15	2.75	-22	-29	0	29	-33
176	15	3	0	28	0	30	33
178	15	3.5	0	29	0	29	-33
180	16	1	19	30	0	-29	0
182	16	1.5	-19	-30	0	28	33
184	16	2	20	0	0	29	31
