**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	18	0	25	32
8	2	1	18	0	25	32
16	3	1	22	0	26	31
24	4	1	22	0	26	31
28	4	3	22	0	26	31
36	5	3	22	0	26	31
40	6	1	18	0	25	34
48	7	1	18	0	25	34
52	7	3	18	0	25	34
60	8	3	22	0	24	33
64	9	1	23	0	27	32
68	9	3	-23	0	28	-32
72	10	1	22	0	29	31
80	11	1	0	0	0	0
84	11	3	22	0	29	31
88	12	1	23	0	27	32
96	13	1	23	0	27	32
100	13	3	23	0	25	32
104	14	1	22	0	24	33
110	14	4	22	0	24	33
112	15	1	22	0	24	33
116	15	3	25	0	25	34
120	16	1	24	0	26	-34
124	16	3	-24	0	-26	33
128	17	1	25	0	27	-33
132	17	3	-25	0	-27	32
136	18	1	24	0	26	33
140	18	3	0	0	0	0
142	18	4	24	0	28	33
146	19	2	24	0	28	33
148	19	3	24	0	28	33
152	20	1	20	0	29	34
156	20	3	24	0	28	33
158	20	4	-24	0	29	-33
160	21	1	25	0	30	32
162	21	2	24	0	31	33
164	21	3	27	0	-31	29
165	21	3.5	-27	0	30	-29
166	21	4	-27	0	29	-29
168	22	1	26	0	-29	30
170	22	2	-26	0	28	-30
172	22	3	22	0	29	29
176	23	1	0	0	0	0
178	23	2	25	0	27	29
180	23	3	23	0	28	30
182	23	4	22	0	29	31
184	24	1	23	0	27	32
186	24	2	25	0	-27	-32
188	24	3	24	0	28	33
190	24	4	22	0	29	31
192	25	1	25	0	29	34
194	25	2	25	0	29	34
198	25	4	25	0	29	34
200	26	1	25	0	27	34
203	26	2.5	24	0	28	-34
203.5	26	2.75	23	0	-28	-34
204	26	3	22	0	29	34
206	26	4	24	0	28	33
210	27	2	25	0	27	32
212	27	3	22	0	26	-32
214	27	4	-22	0	-26	31
216	28	1	18	27	25	32
220	28	3	18	-27	29	0
222	28	4	-18	-27	-29	34
224	29	1	25	-27	29	-34
226	29	2	-25	-27	-29	34
228	29	3	25	-27	29	-34
230	29	4	-25	-27	-29	34
232	30	1	23	-27	30	32
238	30	4	23	-27	30	32
240	31	1	22	29	26	31
242	31	2	-22	-29	27	-31
244	31	3	-22	-29	-27	34
246	31	4	-22	-29	26	-34
247	31	4.5	-22	-29	25	-34
248	32	1	-22	-29	24	33
250	32	2	-22	-29	-24	34
252	32	3	-22	-29	31	33
254	32	4	-22	-29	-31	36
256	33	1	25	-29	32	-36
257	33	1.5	-25	-29	-32	35
258	33	2	-25	-29	-32	34
259	33	2.5	-25	-29	-32	33
260	33	3	-25	-29	-32	34
264	34	1	21	28	30	35
270	34	4	-21	-28	-30	35
272	35	1	24	-28	31	35
274	35	2	-24	-28	-31	35
276	35	3	24	-28	31	33
280	36	1	23	-28	32	32
284	36	3	26	-28	30	35
288	37	1	24	29	31	33
290	37	2	27	-29	-31	36
292	37	3	-27	-29	29	-36
294	37	4	26	-29	-29	35
295	37	4.5	25	-29	30	34
296	38	1	24	-29	31	33
298	38	2	25	-29	27	34
301	38	3.5	-25	-29	28	-34
302	38	4	24	-29	29	33
303	38	4.5	23	-29	30	32
304	39	1	22	-29	31	31
306	39	2	-22	-29	29	-31
308	39	3	20	-29	-29	0
309	39	3.5	-20	-29	28	0
310	39	4	-20	-29	27	29
311	39	4.5	-20	-29	26	-29
312	40	1	21	28	25	30
314	40	2	-21	-28	32	-30
316	40	3	21	-28	-32	30
317	40	3.5	-21	-28	31	-30
318	40	4	-21	-28	30	-30
320	41	1	-21	-28	-30	30
321	41	1.5	-21	-28	29	-30
322	41	2	24	-28	28	33
323	41	2.5	-24	-28	27	-33
324	41	3	-24	-28	26	-33
326	41	4	23	-28	-26	32
327	41	4.5	22	-28	-26	31
328	42	1	21	-28	25	30
332	42	3	24	-28	26	33
336	43	1	20	27	24	29
338	43	2	-20	-27	25	-29
342	43	4	-20	-27	24	0
343	43	4.5	-20	-27	23	0
344	44	1	20	-27	22	29
348	44	3	20	-27	0	29
350	44	4	-20	-27	25	29
352	45	1	23	-27	-25	32
354	45	2	-23	-27	24	-32
355	45	2.5	-23	-27	23	-32
356	45	3	22	-27	24	31
360	46	1	21	28	25	30
364	46	3	21	-28	-25	0
368	47	1	24	-28	0	33
370	47	2	-24	-28	26	-33
372	47	3	24	-28	-26	33
373	47	3.5	-24	-28	27	-33
374	47	4	-24	-28	28	33
375	47	4.5	-24	-28	29	-33
376	48	1	21	-28	30	-33
378	48	2	-21	-28	-30	32
380	48	3	24	-28	31	33
384	49	1	25	27	29	34
387	49	2.5	24	-27	-29	33
388	49	3	23	-27	0	32
389	49	3.5	22	-27	0	31
390	49	4	23	-27	25	32
392	50	1	-23	25	-25	-32
393	50	1.5	-23	-25	26	-32
394	50	2	22	-25	27	31
395	50	2.5	21	-25	28	30
396	50	3	20	-25	29	29
398	50	4	-20	-25	-29	36
400	51	1	18	-25	29	-36
401	51	1.5	-18	-25	-29	35
402	51	2	-18	-25	-29	34
404	51	3	-18	-25	29	-34
406	51	4	-18	-25	-29	33
407	51	4.5	-18	-25	-29	32
408	52	1	22	26	-29	31
410	52	2	-22	-26	-29	31
412	52	3	21	-26	30	30
414	52	4	-21	-26	-30	30
416	53	1	22	-26	29	31
418	53	2	-22	-26	-29	31
420	53	3	21	-26	30	30
422	53	4	-21	-26	-30	33
424	54	1	22	-26	29	-33
426	54	2	-22	-26	-29	32
430	54	4	-22	-26	-29	31
432	55	1	18	0	27	32
435	55	2.5	-18	0	28	-32
436	55	3	-18	0	29	-32
438	55	4	-18	0	30	-32
440	56	1	-18	0	29	0
442	56	2	-18	0	30	0
446	56	4	-18	0	29	0
447	56	4.5	-18	0	28	0
448	57	1	0	0	29	34
452	57	3	0	0	29	-34
456	58	1	0	0	30	34
460	58	3	0	0	-30	32
464	59	1	0	0	28	-32
468	59	3	0	0	-28	33
472	60	1	0	0	29	31
474	60	2	0	0	27	-31
476	60	3	0	0	-27	32
478	60	4	0	0	28	-32
480	61	1	0	0	-28	33
482	61	2	0	0	29	-33
484	61	3	0	0	-29	34
486	61	4	0	0	28	-34
487	61	4.5	0	0	27	-34
488	62	1	0	0	26	35
491	62	2.5	0	0	27	34
