**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	22	0	0
4	1	2	0	24	0	0
8	2	1	0	23	0	0
12	2	2	23	19	0	0
16	3	1	24	0	0	0
20	3	2	23	25	0	0
24	4	1	21	26	0	0
26	4	1.5	22	-26	0	0
28	4	2	19	24	0	0
30	4	2.5	22	22	0	0
32	5	1	-22	23	0	0
34	5	1.5	21	-23	0	0
36	5	2	22	22	0	0
38	5	2.5	-22	-22	29	33
40	6	1	0	0	31	33
42	6	1.5	0	0	30	32
44	6	2	0	0	28	33
46	6	2.5	0	0	29	34
48	7	1	0	0	26	35
51	7	1.75	0	0	27	34
52	7	2	0	0	28	32
53	7	2.25	0	0	29	-32
54	7	2.5	25	0	27	0
56	8	1	26	0	26	0
58	8	1.5	26	0	28	0
60	8	2	-26	0	28	0
61	8	2.25	26	0	-28	0
62	8	2.5	23	0	28	0
65	9	1.25	0	0	28	0
66	9	1.5	26	0	26	0
68	9	2	25	0	27	0
70	9	2.5	26	0	28	0
72	10	1	27	0	29	0
75	10	1.75	26	0	28	0
76	10	2	24	0	26	0
78	10	2.5	-24	24	-26	0
80	11	1	0	-24	0	33
82	11	1.5	0	24	0	-33
84	11	2	0	22	0	31
86	11	2.5	0	23	0	32
88	12	1	0	24	0	31
90	12	1.5	0	25	0	29
92	12	2	0	26	0	28
94	12	2.5	0	27	0	31
96	13	1	0	25	0	-31
98	13	1.5	0	0	0	30
100	13	2	0	24	0	31
102	13	2.5	24	-24	0	-31
104	14	1	-24	24	0	0
106	14	1.5	24	26	0	0
108	14	2	26	-26	0	0
110	14	2.5	-26	26	0	0
112	15	1	26	22	0	0
114	15	1.5	26	-22	0	0
115	15	1.75	-26	22	0	0
116	15	2	-26	22	0	0
117	15	2.25	26	-22	0	0
118	15	2.5	26	21	0	0
120	16	1	27	22	0	0
122	16	1.5	28	19	0	0
126	16	2.5	26	21	0	0
128	17	1	-26	20	0	0
129	17	1.25	24	-20	0	0
130	17	1.5	25	-20	0	0
132	17	2	26	19	30	0
134	17	2.5	23	-19	30	0
136	18	1	0	24	29	0
138	18	1.5	26	24	29	0
140	18	2	-26	23	28	0
141	18	2.25	25	-23	-28	0
142	18	2.5	23	23	-28	0
144	19	1	24	22	29	31
146	19	1.5	26	-22	-29	31
148	19	2	-26	21	0	30
149	19	2.25	25	-21	0	-30
150	19	2.5	25	-21	30	30
152	20	1	24	22	31	29
154	20	1.5	26	-22	-31	-29
155	20	1.75	-26	21	-31	-29
156	20	2	-26	19	30	28
158	20	2.5	26	-19	-30	-28
160	21	1	-26	22	0	29
161	21	1.25	27	-22	0	-29
162	21	1.5	28	21	0	30
164	21	2	-28	23	0	-30
165	21	2.25	27	-23	0	29
166	21	2.5	25	-23	0	27
168	22	1	26	19	0	26
170	22	1.5	-26	-19	30	-26
171	22	1.75	25	-19	-30	-26
172	22	2	23	0	32	0
176	23	1	22	0	31	0
178	23	1.5	-22	0	-31	33
180	23	2	0	0	30	35
182	23	2.5	0	0	33	-35
184	24	1	0	0	-33	34
186	24	1.5	0	0	32	-34
188	24	2	0	0	31	33
190	24	2.5	0	0	31	33
192	25	1	0	0	30	-33
194	25	1.5	0	0	30	32
196	25	2	0	0	29	33
198	25	2.5	0	0	-29	31
200	26	1	0	0	28	30
202	26	1.5	0	0	-28	30
204	26	2	0	0	29	29
206	26	2.5	0	0	-29	31
208	27	1	24	0	26	-31
209	27	1.25	-24	0	-26	30
210	27	1.5	-24	0	-26	28
212	27	2	23	0	0	0
216	28	1	22	24	0	0
218	28	1.5	22	-24	0	0
220	28	2	-22	23	0	0
221	28	2.25	21	-23	0	0
222	28	2.5	19	-23	0	0
224	29	1	0	22	0	0
226	29	1.5	22	22	0	0
228	29	2	24	-22	0	0
229	29	2.25	-24	21	0	0
230	29	2.5	23	19	0	0
232	30	1	24	0	0	0
234	30	1.5	25	0	29	0
236	30	2	26	0	31	0
