**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	22	0	0
4	1	2	0	24	0	0
8	2	1	0	23	0	0
12	2	2	0	19	0	33
16	3	1	0	0	0	35
20	3	2	0	25	0	34
24	4	1	0	26	28	30
28	4	2	0	24	31	0
30	4	2.5	0	22	-31	0
32	5	1	0	23	30	32
36	5	2	0	22	26	33
38	5	2.5	0	21	-26	-33
40	6	1	0	22	0	31
42	6	1.5	0	20	0	29
44	6	2	0	19	28	30
48	7	1	0	0	29	29
50	7	1.5	0	0	-29	31
52	7	2	0	0	27	32
54	7	2.5	24	0	28	33
56	8	1	-24	0	26	-33
58	8	1.5	-24	0	-26	35
60	8	2	25	0	25	34
62	8	2.5	22	0	24	33
64	9	1	23	0	25	-33
65	9	1.25	-23	0	-25	32
66	9	1.5	-23	0	-25	32
68	9	2	22	0	26	-32
70	9	2.5	-22	0	-26	31
72	10	1	0	18	25	32
74	10	1.5	22	-18	-25	-32
76	10	2	-22	20	0	0
78	10	2.5	24	-20	0	0
80	11	1	23	21	0	0
82	11	1.5	22	22	0	0
84	11	2	26	-22	0	0
85	11	2.25	-26	19	0	0
86	11	2.5	26	21	0	0
88	12	1	-26	20	0	0
90	12	1.5	25	-20	0	0
92	12	2	26	19	0	0
95	12	2.75	27	-19	0	0
96	13	1	28	0	0	0
98	13	1.5	24	0	0	0
100	13	2	-24	26	0	0
102	13	2.5	22	-26	0	0
103	13	2.75	-22	27	0	0
104	14	1	21	28	0	0
108	14	2	0	24	0	33
112	15	1	28	-24	0	-33
114	15	1.5	-28	24	31	33
116	15	2	-28	24	-31	33
118	15	2.5	28	-24	31	-33
120	16	1	28	24	31	33
123	16	1.75	27	-24	-31	-33
124	16	2	25	23	0	34
126	16	2.5	24	24	31	33
128	17	1	26	22	-31	-33
130	17	1.5	27	-22	29	31
132	17	2	28	21	30	30
134	17	2.5	-28	-21	28	-30
136	18	1	26	0	-28	0
138	18	1.5	24	28	31	0
140	18	2	25	-28	-31	32
141	18	2.25	-25	-28	29	-32
142	18	2.5	-25	27	30	-32
143	18	2.75	-25	-27	-30	33
144	19	1	24	29	31	34
146	19	1.5	-24	28	-31	33
148	19	2	0	26	0	-33
150	19	2.5	0	27	0	31
152	20	1	0	25	0	-31
154	20	1.5	0	-25	0	30
155	20	1.75	0	24	0	-30
156	20	2	26	22	29	31
159	20	2.75	25	-22	-29	-31
160	21	1	23	21	30	32
162	21	1.5	22	22	31	31
164	21	2	24	-22	-31	33
166	21	2.5	25	20	29	34
168	22	1	26	19	28	35
170	22	1.5	-26	26	30	-35
172	22	2	22	-26	31	33
174	22	2.5	26	24	29	-33
176	23	1	-26	23	-29	0
178	23	1.5	25	-23	28	0
180	23	2	26	22	29	31
186	24	1.5	-26	-22	0	29
188	24	2	0	0	28	30
194	25	1.5	0	0	-28	31
196	25	2	0	0	28	32
198	25	2.5	0	0	-28	31
199	25	2.75	0	0	-28	32
200	26	1	0	0	-28	33
202	26	1.5	0	0	-28	35
204	26	2	0	0	29	34
206	26	2.5	0	0	26	33
208	27	1	0	0	27	-33
209	27	1.25	0	0	-27	32
210	27	1.5	0	0	-27	32
211	27	1.75	0	0	-27	31
212	27	2	0	0	26	33
216	28	1	0	0	0	32
218	28	1.5	0	0	0	30
220	28	2	0	0	26	31
222	28	2.5	0	0	-26	30
224	29	1	0	0	25	-30
226	29	1.5	0	0	24	33
228	29	2	0	0	26	-33
229	29	2.25	0	0	-26	32
230	29	2.5	0	0	-26	33
231	29	2.75	0	0	27	-33
232	30	1	0	0	28	32
234	30	1.5	0	0	28	30
236	30	2	0	0	-28	29
238	30	2.5	0	0	27	-29
240	31	1	0	0	28	0
242	31	1.5	0	0	-28	30
245	31	2.25	0	0	-28	31
246	31	2.5	0	0	-28	32
248	32	1	0	0	28	-32
249	32	1.25	0	0	-28	31
249.5	32	1.375	0	0	-28	32
250	32	1.5	0	0	-28	33
