**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	33
12	2	1	0	0	28	32
16	2	2	0	0	29	31
22	2	3.5	0	0	28	30
23	2	3.75	0	0	29	29
24	3	1	0	0	30	28
28	3	2	0	0	-30	32
30	3	2.5	0	0	28	33
32	3	3	0	0	29	34
34	3	3.5	0	0	-29	33
35	3	3.75	0	0	-29	34
36	4	1	0	0	28	35
40	4	2	0	0	29	34
42	4	2.5	0	0	-29	33
44	4	3	0	0	30	-33
46	4	3.5	0	0	-30	32
48	5	1	0	0	31	33
50	5	1.5	0	0	29	-33
52	5	2	0	0	-29	31
54	5	2.5	0	0	27	-31
55	5	2.75	0	0	-27	32
56	5	3	0	0	28	33
58	5	3.5	0	0	29	29
60	6	1	0	0	30	-29
62	6	1.5	0	0	-30	28
64	6	2	0	0	29	31
66	6	2.5	0	0	28	30
68	6	3	0	0	27	29
70	6	3.5	0	0	-27	32
72	7	1	0	0	26	31
73	7	1.25	0	0	-26	32
74	7	1.5	0	0	-26	33
76	7	2	0	0	29	29
78	7	2.5	0	0	29	31
80	7	3	0	0	-29	30
82	7	3.5	0	0	28	-30
84	8	1	0	0	29	29
96	9	1	0	0	31	33
108	10	1	0	0	30	32
112	10	2	0	0	29	31
118	10	3.5	0	0	28	30
120	11	1	0	0	28	30
126	11	2.5	0	0	-28	33
130	11	3.5	0	0	-28	32
132	12	1	0	0	-28	30
135	12	1.75	0	0	-28	31
136	12	2	0	0	-28	32
138	12	2.5	0	0	-28	28
140	12	3	0	0	29	-28
142	12	3.5	0	0	-29	27
144	13	1	0	0	30	28
146	13	1.5	0	0	-30	35
148	13	2	0	0	29	34
150	13	2.5	0	0	28	33
152	13	3	0	0	27	-33
154	13	3.5	0	0	-27	36
156	14	1	0	0	0	35
158	14	1.5	0	0	30	34
160	14	2	0	0	29	-34
162	14	2.5	0	0	31	33
164	14	3	0	0	30	32
166	14	3.5	0	0	-30	35
170	15	1.5	0	0	29	34
174	15	2.5	0	0	28	33
176	15	3	0	0	27	-33
178	15	3.5	0	0	-27	32
180	16	1	0	0	26	33
186	16	2.5	0	0	27	-33
188	16	3	0	0	28	-33
192	17	1	20	27	29	0
198	17	2.5	-20	26	-29	0
200	17	3	-20	25	-29	0
204	18	1	-20	24	27	29
208	18	2	-20	27	-27	-29
210	18	2.5	-20	-27	25	-29
212	18	3	-20	-27	24	-29
216	19	1	22	26	0	31
220	19	2	-22	-26	29	-31
222	19	2.5	-22	-26	-29	29
224	19	3	-22	-26	-29	31
227	19	3.75	-22	-26	-29	32
228	20	1	-22	22	29	33
232	20	2	-22	24	26	-33
234	20	2.5	-22	-24	-26	31
236	20	3	-22	-24	29	-31
238	20	3.5	-22	-24	-29	30
239	20	3.75	-22	-24	-29	31
240	21	1	21	23	30	32
246	21	2.5	-21	24	28	30
248	21	3	-21	25	28	30
250	21	3.5	-21	-25	-28	28
252	22	1	-21	-25	0	28
254	22	1.5	-21	26	0	-28
256	22	2	-21	-26	30	0
258	22	2.5	-21	24	-30	0
260	22	3	-21	23	-30	32
262	22	3.5	-21	-23	-30	33
264	23	1	22	0	31	34
268	23	2	-22	0	-31	33
270	23	2.5	-22	0	-31	33
272	23	3	-22	26	29	-33
274	23	3.5	-22	-26	-29	31
276	24	1	0	26	28	30
280	24	2	0	27	0	29
284	24	3	20	-27	29	-29
286	24	3.5	-20	25	-29	-29
288	25	1	23	25	27	32
292	25	2	-23	26	30	0
