**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	30	30
4	1	2	0	0	28	-30
6	1	2.5	0	0	29	31
8	1	3	0	0	27	32
12	2	1	0	26	26	33
14	2	1.5	0	24	-26	-33
16	2	2	0	23	27	32
18	2	2.5	0	-23	28	32
20	2	3	0	23	27	32
22	2	3.5	0	-23	30	32
24	3	1	21	23	-30	-32
25	3	1.25	-21	-23	28	30
26	3	1.5	-21	-23	28	30
28	3	2	22	24	27	0
30	3	2.5	21	25	28	30
32	3	3	19	26	-28	30
34	3	3.5	-19	-26	28	30
36	4	1	-19	23	28	30
38	4	1.5	-19	26	-28	30
40	4	2	0	-26	28	31
41	4	2.25	0	25	-28	32
42	4	2.5	23	23	27	-32
43	4	2.75	-23	-23	-27	30
44	4	3	20	24	-27	29
46	4	3.5	21	23	25	28
48	5	1	-21	26	23	28
49	5	1.25	19	-26	-23	28
50	5	1.5	19	-26	26	28
51	5	1.75	-19	-26	-26	28
52	5	2	18	0	27	27
54	5	2.5	19	26	28	26
55	5	2.75	-19	-26	-28	28
56	5	3	20	25	27	29
57	5	3.25	21	-25	25	30
58	5	3.5	19	26	28	-30
59	5	3.75	-19	-26	-28	29
59.5	5	3.875	-19	-26	-28	28
60	6	1	23	27	0	27
62	6	1.5	-23	25	27	0
64	6	2	19	26	28	26
66	6	2.5	-19	-26	-28	28
68	6	3	0	28	26	-28
69	6	3.25	0	-28	-26	29
70	6	3.5	0	-28	-26	30
71	6	3.75	0	27	25	-30
72	7	1	0	26	28	31
73	7	1.25	0	-26	-28	30
74	7	1.5	0	-26	-28	31
75	7	1.75	0	25	29	32
76	7	2	0	23	30	-32
77	7	2.25	0	-23	-30	31
77.5	7	2.375	0	-23	-30	30
78	7	2.5	0	-23	28	32
79	7	2.75	0	22	29	31
79.5	7	2.875	0	23	-29	-31
80	7	3	0	25	-29	-31
81	7	3.25	0	-25	27	30
82	7	3.5	0	24	26	-30
83	7	3.75	0	-24	-26	29
84	8	1	0	23	27	30
86	8	1.5	23	-23	0	-30
88	8	2	23	0	28	0
90	8	2.5	25	0	27	0
91	8	2.75	-25	0	30	0
93	8	3.25	-25	0	29	0
94	8	3.5	25	0	27	0
96	9	1	26	0	26	0
98	9	1.5	26	0	28	0
100	9	2	23	0	-28	0
101	9	2.25	-23	0	27	0
102	9	2.5	23	0	25	0
104	9	3	24	0	24	0
106	9	3.5	24	0	26	0
108	10	1	21	0	-26	0
109	10	1.25	-21	0	25	0
110	10	1.5	0	0	23	0
112	10	2	21	0	0	0
114	10	2.5	22	0	27	0
115	10	2.75	23	0	-27	0
117	10	3.25	21	0	26	0
118	10	3.5	20	0	27	0
120	11	1	19	0	28	0
122	11	1.5	23	0	27	0
123	11	1.75	-23	0	28	0
124	11	2	24	0	29	0
125	11	2.25	25	0	30	0
126	11	2.5	26	0	-30	0
127	11	2.75	27	0	29	0
