**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	30	30
6	1	2.5	0	0	29	31
8	1	3	0	0	30	32
10	1	3.5	0	0	28	-32
12	2	1	0	0	27	32
16	2	2	0	0	26	33
18	2	2.5	0	0	28	-33
19	2	2.75	0	0	-28	32
20	2	3	0	0	-28	33
22	2	3.5	0	0	29	34
24	3	1	0	23	30	-34
25	3	1.25	0	-23	-30	32
26	3	1.5	0	-23	-30	32
28	3	2	0	26	31	33
30	3	2.5	0	-26	30	35
32	3	3	0	25	32	34
34	3	3.5	0	26	31	35
36	4	1	0	-26	30	-35
37	4	1.25	0	25	-30	-35
38	4	1.5	0	23	30	34
40	4	2	0	24	-30	33
42	4	2.5	0	-24	29	-33
44	4	3	23	23	30	32
47	4	3.75	-23	-23	28	-32
48	5	1	22	24	27	0
50	5	1.5	23	25	-27	0
52	5	2	-23	-25	28	0
53	5	2.25	22	26	-28	0
54	5	2.5	20	27	29	0
56	5	3	21	25	30	0
58	5	3.5	-21	24	28	0
59	5	3.75	19	-24	-28	0
60	6	1	18	25	27	0
62	6	1.5	19	23	28	0
64	6	2	21	-23	-28	0
65	6	2.25	-21	-23	26	0
66	6	2.5	22	24	26	0
68	6	3	20	22	-26	0
70	6	3.5	-20	-22	25	0
72	7	1	19	23	26	28
76	7	2	21	23	26	-28
78	7	2.5	-21	23	26	28
80	7	3	20	25	27	29
84	8	1	19	0	28	30
86	8	1.5	-19	26	-28	-30
90	8	2.5	-19	26	-28	31
92	8	3	18	27	29	32
96	9	1	21	28	30	33
98	9	1.5	-21	-28	-30	32
99	9	1.75	-21	27	29	-32
100	9	2	23	25	27	-32
102	9	2.5	-23	21	28	30
103	9	2.75	-23	25	-28	-30
104	9	3	22	26	-28	31
105	9	3.25	-22	24	-28	-31
106	9	3.5	-22	-24	27	-31
107	9	3.75	-22	23	-27	29
107.5	9	3.875	-22	24	-27	-29
108	10	1	21	25	28	30
110	10	1.5	-21	26	-28	31
112	10	2	0	23	0	32
114	10	2.5	21	26	28	30
116	10	3	22	24	27	31
118	10	3.5	21	25	28	30
120	11	1	19	26	-28	-30
121	11	1.25	-19	-26	29	-30
122	11	1.5	-19	26	30	28
124	11	2	23	-26	-30	27
125	11	2.25	-23	-26	29	-27
126	11	2.5	-23	25	27	-27
128	11	3	24	26	29	26
132	12	1	23	27	30	0
134	12	1.5	-23	-27	-30	32
136	12	2	22	29	31	33
138	12	2.5	20	-29	-31	34
139	12	2.75	-20	-29	29	-34
140	12	3	19	28	30	35
142	12	3.5	26	26	-30	-35
144	13	1	-26	0	26	-35
146	13	1.5	25	30	27	34
148	13	2	26	-30	28	33
150	13	2.5	24	29	26	-33
152	13	3	23	30	27	32
154	13	3.5	-23	28	25	35
156	14	1	22	29	0	34
158	14	1.5	21	30	25	35
