**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	25	32
6	1	2.5	0	0	26	-32
8	1	3	0	0	27	-32
12	2	1	0	0	28	32
18	2	2.5	0	0	-28	33
22	2	3.5	0	0	-28	32
23	2	3.75	0	0	-28	31
24	3	1	0	0	28	30
28	3	2	0	0	29	0
30	3	2.5	0	0	30	0
32	3	3	0	0	-30	34
33	3	3.25	0	0	29	-34
34	3	3.5	0	0	28	33
35	3	3.75	0	0	27	34
36	4	1	0	0	26	35
40	4	2	0	0	25	34
42	4	2.5	0	0	28	32
44	4	3	0	0	-28	33
46	4	3.5	0	0	29	-33
48	5	1	0	0	30	32
50	5	1.5	0	0	28	-32
52	5	2	0	0	-28	33
54	5	2.5	0	0	27	32
56	5	3	0	0	28	-32
57	5	3.25	0	0	-28	31
58	5	3.5	0	0	29	30
60	6	1	0	0	27	29
64	6	2	0	0	25	-29
66	6	2.5	0	0	-25	32
68	6	3	0	0	28	-32
69	6	3.25	0	0	-28	31
70	6	3.5	0	0	-28	33
72	7	1	0	0	29	-33
74	7	1.5	0	0	27	32
76	7	2	0	0	26	-32
78	7	2.5	0	0	-26	31
80	7	3	0	0	25	32
82	7	3.5	0	0	28	-32
84	8	1	0	0	-28	33
86	8	1.5	0	0	29	34
88	8	2	0	0	27	-34
90	8	2.5	0	0	-27	32
92	8	3	0	0	30	-32
94	8	3.5	0	0	-30	35
96	9	1	0	0	28	-35
98	9	1.5	0	0	29	34
100	9	2	0	0	28	33
102	9	2.5	0	0	30	32
104	9	3	0	0	-30	30
106	9	3.5	0	0	26	-30
108	10	1	0	0	-26	31
110	10	1.5	0	0	25	30
112	10	2	0	0	26	-30
113	10	2.25	0	0	-26	33
114	10	2.5	0	0	28	33
116	10	3	0	0	27	-33
118	10	3.5	0	0	-27	32
120	11	1	22	29	26	33
128	11	3	-22	-29	0	33
132	12	1	25	-29	27	32
138	12	2.5	26	-29	28	31
140	12	3	27	-29	29	-31
144	13	1	28	28	26	30
148	13	2	26	-28	0	31
152	13	3	-26	-28	28	-31
154	13	3.5	-26	-28	-28	30
156	14	1	25	27	29	32
162	14	2.5	24	-27	-29	-32
164	14	3	22	29	27	31
167	14	3.75	23	-29	-27	32
168	15	1	24	-29	26	33
172	15	2	25	29	0	32
174	15	2.5	24	-29	0	33
176	15	3	22	-29	24	-33
178	15	3.5	-22	-29	-24	34
180	16	1	21	30	25	35
184	16	2	-21	-30	28	32
186	16	2.5	-21	-30	-28	33
188	16	3	28	-30	26	-33
190	16	3.5	-28	-30	-26	32
192	17	1	28	-30	0	30
194	17	1.5	-28	-30	26	-30
196	17	2	25	-30	27	0
198	17	2.5	26	-30	26	0
200	17	3	-26	-30	28	35
202	17	3.5	25	-30	27	-35
204	18	1	23	30	25	34
208	18	2	-23	-30	27	32
