**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	23	23	27	30
4	1	2	-23	25	-27	-30
6	1	2.5	19	-25	26	-30
7	1	2.75	-19	24	-26	-30
8	1	3	19	26	28	-30
12	2	1	23	25	-28	-30
16	2	2	24	22	29	29
19	2	2.75	-24	-22	-29	28
20	2	3	-24	-22	-29	26
24	3	1	23	27	30	25
32	3	3	21	28	-30	32
36	4	1	23	27	-30	32
40	4	2	24	26	29	33
42	4	2.5	-24	28	-29	-33
43	4	2.75	-24	-28	28	-33
44	4	3	-24	-28	26	-33
46	4	3.5	-24	27	-26	32
47	4	3.75	-24	26	-26	-32
48	5	1	25	25	29	34
52	5	2	24	26	-29	33
54	5	2.5	23	27	30	32
56	5	3	21	28	-30	-32
58	5	3.5	-21	26	28	35
60	6	1	18	25	29	34
62	6	1.5	-18	-25	30	32
64	6	2	0	23	-30	-32
66	6	2.5	0	24	28	33
68	6	3	0	-24	27	-33
69	6	3.25	0	25	-27	32
70	6	3.5	0	24	28	33
72	7	1	0	-24	26	-33
74	7	1.5	0	22	29	31
76	7	2	0	26	-29	30
78	7	2.5	0	-26	28	-30
80	7	3	22	0	29	29
82	7	3.5	-22	24	-29	-29
84	8	1	23	25	27	0
86	8	1.5	25	27	25	0
88	8	2	-25	26	22	29
89	8	2.25	23	-26	-22	-29
90	8	2.5	24	-26	-22	-29
91	8	2.75	-24	-26	-22	30
92	8	3	25	27	0	32
94	8	3.5	-25	25	29	-32
96	9	1	22	26	-29	-32
98	9	1.5	-22	-26	-29	31
100	9	2	23	0	-29	32
102	9	2.5	-23	25	28	-32
103	9	2.75	-23	-25	-28	30
104	9	3	22	26	29	31
107	9	3.75	21	27	-29	32
108	10	1	19	28	30	33
110	10	1.5	18	27	-30	34
112	10	2	-18	25	29	-34
113	10	2.25	-18	-25	-29	32
114	10	2.5	21	-25	28	32
116	10	3	-21	28	30	-32
117	10	3.25	-21	-28	-30	33
118	10	3.5	19	-28	-30	35
120	11	1	22	0	29	34
122	11	1.5	-22	24	-29	33
124	11	2	23	25	28	-33
126	11	2.5	-23	-25	-28	32
127	11	2.75	-23	-25	27	-32
128	11	3	22	26	29	-32
130	11	3.5	-22	-26	-29	31
132	12	1	18	25	29	32
136	12	2	21	-25	30	0
140	12	3	-21	-25	-30	30
142	12	3.5	-21	-25	29	-30
143	12	3.75	-21	-25	30	-30
144	13	1	0	24	31	33
148	13	2	0	28	-31	-33
150	13	2.5	0	-28	-31	32
152	13	3	21	25	30	32
155	13	3.75	-21	-25	-30	31
156	14	1	24	0	26	29
160	14	2	-24	0	29	0
162	14	2.5	22	0	29	0
164	14	3	23	0	-29	32
165	14	3.25	-23	0	28	-32
166	14	3.5	-23	0	28	-32
167	14	3.75	-23	0	27	-32
168	15	1	22	24	29	33
172	15	2	18	25	-29	34
176	15	3	0	26	28	35
178	15	3.5	0	-26	-28	33
180	16	1	19	28	26	33
184	16	2	23	27	23	-33
186	16	2.5	-23	-27	-23	32
188	16	3	-23	-27	30	32
190	16	3.5	-23	-27	-30	31
192	17	1	24	26	28	33
196	17	2	22	-26	29	33
198	17	2.5	-22	-26	-29	31
200	17	3	-22	22	-29	-31
202	17	3.5	21	-22	-29	33
203	17	3.75	20	-22	-29	-33
204	18	1	19	21	30	-33
205	18	1.25	-19	-21	-30	32
206	18	1.5	-19	-21	28	30
208	18	2	18	25	27	-30
210	18	2.5	-18	-25	-27	32
211	18	2.75	-18	26	-27	-32
212	18	3	0	27	25	-32
213	18	3.25	0	-27	-25	31
214	18	3.5	0	28	26	30
216	19	1	0	-28	-26	29
217	19	1.25	0	26	24	-29
218	19	1.5	0	27	25	-29
220	19	2	0	26	26	28
222	19	2.5	0	26	24	26
224	19	3	0	-26	23	27
226	19	3.5	0	25	-23	-27
228	20	1	19	26	23	26
230	20	1.5	-19	28	-23	-26
232	20	2	22	26	24	0
234	20	2.5	-22	27	-24	0
236	20	3	23	-27	25	32
238	20	3.5	-23	25	-25	-32
240	21	1	0	24	0	33
242	21	1.5	24	-24	28	-33
244	21	2	23	28	-28	32
246	21	2.5	21	-28	25	30
248	21	3	-21	-28	26	-30
250	21	3.5	19	-28	24	28
252	22	1	18	27	25	29
254	22	1.5	19	26	23	28
256	22	2	-19	-26	-23	30
257	22	2.25	-19	25	-23	-30
258	22	2.5	-19	23	26	-30
259	22	2.75	-19	-23	-26	29
260	22	3	23	-23	25	27
262	22	3.5	-23	25	23	-27
264	23	1	19	26	23	28
266	23	1.5	-19	28	-23	-28
267	23	1.75	-19	-28	-23	26
268	23	2	-19	-28	-23	33
270	23	2.5	-19	26	24	33
272	23	3	23	27	25	-33
274	23	3.5	-23	-27	-25	32
276	24	1	24	26	0	33
278	24	1.5	-24	-26	22	-33
280	24	2	22	24	24	33
282	24	2.5	23	23	21	32
284	24	3	-23	25	28	-32
285	24	3.25	-23	-25	-28	30
286	24	3.5	21	-25	-28	30
287	24	3.75	-21	-25	26	-30
288	25	1	20	-25	27	29
290	25	1.5	19	26	28	31
292	25	2	21	-26	-28	-31
293	25	2.25	-21	-26	-28	30
294	25	2.5	-21	23	28	30
296	25	3	22	24	26	-30
298	25	3.5	-22	-24	-26	29
299	25	3.75	-22	-24	25	-29
300	26	1	19	23	26	30
304	26	2	0	-23	27	-30
308	26	3	23	-23	-27	-30
312	27	1	23	-23	27	-30
324	28	1	0	0	0	0
324	28	1	0	0	26	30
328	28	2	0	0	28	-30
330	28	2.5	0	0	29	31
332	28	3	0	0	30	32
334	28	3.5	0	0	29	31
335	28	3.75	0	0	30	32
336	29	1	0	0	31	33
339	29	1.75	0	0	30	-33
340	29	2	0	0	28	-33
342	29	2.5	0	0	29	-33
344	29	3	0	0	-29	33
346	29	3.5	0	0	31	-33
347	29	3.75	0	0	-31	31
348	30	1	0	0	30	32
351	30	1.75	0	0	-30	33
352	30	2	0	0	-30	34
354	30	2.5	0	0	-30	35
356	30	3	0	0	28	-35
357	30	3.25	0	0	-28	33
358	30	3.5	0	0	29	34
360	31	1	0	0	30	-34
361	31	1.25	0	0	-30	33
362	31	1.5	0	0	-30	32
363	31	1.75	0	0	-30	31
364	31	2	0	0	26	30
366	31	2.5	0	0	28	33
368	31	3	0	0	27	-33
370	31	3.5	0	0	-27	32
372	32	1	19	23	26	33
376	32	2	21	-23	0	0
378	32	2.5	22	24	0	0
380	32	3	23	25	0	0
382	32	3.5	22	24	0	0
383	32	3.75	23	25	0	0
384	33	1	24	26	0	0
387	33	1.75	23	-26	0	0
388	33	2	21	-26	0	0
390	33	2.5	22	-26	0	0
393	33	3.25	21	-26	0	0
393.5	33	3.375	20	-26	0	0
394	33	3.5	19	-26	0	0
398	34	1.5	22	-26	0	0
400	34	2	21	-26	0	0
402	34	2.5	22	-26	0	0
404	34	3	23	25	0	0
408	35	1	19	26	0	0
411	35	1.75	20	-26	0	0
412	35	2	21	-26	0	0
414	35	2.5	22	-26	0	0
416	35	3	-22	26	0	0
417	35	3.25	21	-26	0	0
418	35	3.5	20	-26	0	0
419	35	3.75	19	-26	0	0
420	36	1	18	27	0	0
422	36	1.5	22	-27	0	0
424	36	2	-22	26	0	0
425	36	2.25	21	-26	0	0
426	36	2.5	22	-26	0	0
428	36	3	23	25	0	0
430	36	3.5	25	-25	0	0
431	36	3.75	-25	23	0	0
433	37	1.25	-25	21	0	0
434	37	1.5	24	22	0	0
436	37	2	25	23	0	0
438	37	2.5	-25	25	0	0
440	37	3	26	-25	0	0
442	37	3.5	-26	24	0	0
444	38	1	25	25	0	0
452	38	3	0	25	29	34
456	39	1	0	21	30	35
460	39	2	0	25	29	34
462	39	2.5	0	-25	27	32
464	39	3	0	23	28	-32
466	39	3.5	0	24	-28	33
468	40	1	0	-24	26	-33
469	40	1.25	0	-24	-26	32
470	40	1.5	0	23	27	32
472	40	2	0	21	28	33
474	40	2.5	0	-21	-28	35
476	40	3	0	25	29	-35
478	40	3.5	0	-25	-29	34
480	41	1	0	24	0	33
482	41	1.5	0	23	28	32
483	41	1.75	0	22	-28	31
484	41	2	0	21	-28	30
486	41	2.5	0	-21	27	-30
487	41	2.75	0	-21	26	-30
488	41	3	0	23	25	-30
490	41	3.5	0	22	26	31
494	42	1.5	0	21	28	30
496	42	2	0	25	-28	29
498	42	2.5	0	-25	27	-29
499	42	2.75	0	-25	-27	28
500	42	3	0	21	28	30
503	42	3.75	0	-21	-28	28
504	43	1	0	0	0	29
506	43	1.5	0	0	28	28
508	43	2	0	0	-28	32
509	43	2.25	0	0	27	-32
510	43	2.5	0	0	28	-32
511	43	2.75	0	0	-28	33
512	43	3	0	0	29	34
513	43	3.25	0	0	-29	33
513.5	43	3.375	0	0	-29	34
514	43	3.5	0	0	26	35
516	44	1	0	0	28	-35
517	44	1.25	0	0	-28	33
518	44	1.5	0	0	25	34
520	44	2	0	0	28	32
521	44	2.25	0	0	27	-32
522	44	2.5	0	0	26	33
523	44	2.75	0	0	25	-33
524	44	3	0	0	24	-33
526	44	3.5	0	0	25	32
528	45	1	0	0	26	-32
530	45	1.5	0	0	-26	31
532	45	2	0	0	25	32
540	46	1	0	0	0	0
540	46	1	21	28	25	30
546	46	2.5	22	-28	-25	31
548	46	3	23	-28	28	32
551	46	3.75	-23	-28	29	-32
552	47	1	23	27	30	32
556	47	2	21	28	-30	30
558	47	2.5	22	-28	-30	33
560	47	3	23	27	-30	-33
562	47	3.5	-23	-27	-30	32
564	48	1	19	26	30	33
566	48	1.5	23	25	-30	34
568	48	2	24	26	28	33
570	48	2.5	26	24	26	35
572	48	3	-26	23	27	-35
573	48	3.25	-26	-23	-27	33
574	48	3.5	25	-23	-27	34
576	49	1	26	0	26	35
578	49	1.5	19	28	24	-35
579	49	1.75	-19	-28	-24	34
580	49	2	21	-28	23	32
582	49	2.5	19	28	-23	33
584	49	3	23	27	0	-33
586	49	3.5	-23	-27	0	32
588	50	1	24	26	28	33
594	50	2.5	23	-26	26	0
595	50	2.75	24	-26	-26	0
596	50	3	25	27	25	29
597	50	3.25	24	-27	-25	-29
598	50	3.5	23	-27	-25	-29
599	50	3.75	22	-27	-25	-29
600	51	1	21	28	25	30
604	51	2	0	26	26	31
606	51	2.5	23	25	27	32
608	51	3	24	28	26	33
610	51	3.5	25	27	25	34
612	52	1	18	25	29	-34
614	52	1.5	21	-25	30	32
616	52	2	-21	0	-30	33
618	52	2.5	20	25	29	32
620	52	3	19	26	-29	35
621	52	3.25	-19	-26	27	-35
622	52	3.5	-19	-26	28	-35
624	53	1	18	27	29	34
626	53	1.5	-18	-27	-29	32
628	53	2	22	26	-29	31
630	53	2.5	-22	-26	-29	33
632	53	3	19	28	30	-33
633	53	3.25	-19	-28	-30	32
634	53	3.5	-19	-28	-30	30
635	53	3.75	-19	27	29	-30
635.5	53	3.875	-19	-27	28	-30
636	54	1	0	25	27	-30
638	54	1.5	25	-25	-27	29
640	54	2	22	26	29	31
641	54	2.25	-22	-26	-29	32
642	54	2.5	24	22	-29	33
644	54	3	-24	24	-29	-33
646	54	3.5	23	25	28	32
648	55	1	22	26	29	-32
650	55	1.5	-22	-26	-29	31
652	55	2	0	25	-29	32
654	55	2.5	25	-25	27	-32
656	55	3	26	0	28	30
658	55	3.5	27	25	29	29
660	56	1	28	26	26	31
662	56	1.5	-28	27	-26	-31
663	56	1.75	-28	-27	-26	32
664	56	2	21	28	25	30
668	56	3	0	24	28	31
670	56	3.5	24	-24	-28	33
671	56	3.75	-24	23	29	-33
671.5	56	3.875	-24	22	-29	-33
672	57	1	23	21	30	-33
674	57	1.5	21	-21	-30	32
676	57	2	-21	25	28	30
678	57	2.5	23	-25	27	32
679	57	2.75	-23	26	-27	-32
680	57	3	-23	27	25	-32
682	57	3.5	21	28	-25	30
684	58	1	25	-28	0	29
686	58	1.5	-25	27	0	-29
688	58	2	21	28	23	28
690	58	2.5	-21	26	-23	-28
692	58	3	22	-26	24	26
693	58	3.25	-22	24	-24	-26
694	58	3.5	20	25	22	27
696	59	1	19	26	23	28
698	59	1.5	-19	24	26	26
700	59	2	21	23	25	0
702	59	2.5	-21	-23	28	32
704	59	3	0	22	29	33
706	59	3.5	22	-22	31	34
708	60	1	-22	26	-31	33
709	60	1.25	-22	-26	30	31
710	60	1.5	21	-26	30	30
712	60	2	23	25	28	-30
714	60	2.5	24	26	29	33
716	60	3	23	28	30	-33
718	60	3.5	-23	27	-30	32
720	61	1	19	26	-30	33
721	61	1.25	21	-26	-30	-33
722	61	1.5	-21	-26	-30	35
723	61	1.75	22	-26	-30	-35
724	61	2	23	25	27	34
726	61	2.5	19	24	28	33
727	61	2.75	-19	26	-28	-33
729	61	3.25	-19	24	29	-33
730	61	3.5	21	23	30	32
732	62	1	22	22	31	31
734	62	1.5	24	-22	29	33
736	62	2	23	21	30	-33
737	62	2.25	-23	-21	-30	32
737.5	62	2.375	-23	-21	-30	31
738	62	2.5	21	-21	-30	30
740	62	3	-21	25	28	-30
741	62	3.25	20	-25	-28	28
742	62	3.5	18	-25	27	29
743	62	3.75	-18	-25	-27	27
744	63	1	0	26	28	26
746	63	1.5	21	23	30	25
747	63	1.75	-21	-23	-30	28
748	63	2	19	24	26	-28
749	63	2.25	22	-24	-26	29
750	63	2.5	-22	23	0	30
751	63	2.75	21	-23	0	-30
752	63	3	19	-23	28	-30
754	63	3.5	20	22	29	31
756	64	1	19	26	28	-31
757	64	1.25	-19	-26	-28	30
758	64	1.5	20	25	27	30
759	64	1.75	-20	-25	-27	29
759.5	64	1.875	-20	-25	-27	30
760	64	2	22	24	26	31
761	64	2.25	-22	-24	-26	29
763	64	2.75	-22	-24	-26	28
764	64	3	0	23	27	30
768	65	1	25	-23	-27	-30
774	65	2.5	23	-23	-27	-30
776	65	3	23	-23	-27	-30
780	66	1	0	0	0	0
780	66	1	23	23	0	0
788	67	1	-23	25	0	0
796	68	1	24	26	0	0
802	68	4	23	25	0	0
803	68	4.5	22	24	0	0
804	69	1	23	25	0	0
806	69	2	-23	26	0	0
807	69	2.5	-23	27	0	0
808	69	3	19	28	0	0
812	70	1	0	27	0	0
814	70	2	19	28	0	0
816	70	3	21	-28	0	0
818	70	4	22	26	0	0
820	71	1	23	25	0	0
826	71	4	24	26	0	0
828	72	1	25	27	0	0
830	72	2	24	26	0	0
831	72	2.5	25	27	0	0
832	72	3	26	28	0	0
834	72	4	23	27	0	0
835	72	4.5	-23	26	0	0
836	73	1	-23	25	0	0
838	73	2	21	26	0	0
840	73	3	20	-26	0	0
842	73	4	-20	25	0	0
844	74	1	19	26	0	0
852	75	1	0	0	0	0
852	75	1	0	0	30	30
858	75	4	0	0	-30	31
859	75	4.5	0	0	-30	32
860	76	1	0	0	-30	33
862	76	2	0	0	-30	32
866	76	4	0	0	-30	31
867	76	4.5	0	0	-30	32
868	77	1	0	0	31	33
870	77	2	0	0	-31	29
874	77	4	0	0	-31	33
882	78	4	0	0	-31	31
884	79	1	0	0	30	32
887	79	2.5	0	0	-30	33
888	79	3	0	0	-30	34
890	79	4	0	0	-30	35
894	80	2	0	0	-30	34
895	80	2.5	0	0	-30	33
896	80	3	0	0	-30	32
898	80	4	0	0	-30	33
900	81	1	0	0	-30	34
902	81	2	0	0	-30	33
906	81	4	0	0	-30	32
908	82	1	0	0	26	33
916	83	1	0	22	0	0
920	83	3	0	-22	0	33
924	84	1	0	23	0	32
928	84	3	0	25	0	30
932	85	1	0	24	0	29
936	85	3	0	-24	0	33
938	85	4	0	22	0	-33
940	86	1	0	24	0	-33
944	86	3	0	23	0	32
948	87	1	0	22	0	31
952	87	3	0	26	0	-31
954	87	4	0	-26	0	30
955	87	4.5	0	-26	0	29
956	88	1	0	-26	0	28
960	88	3	0	25	0	29
962	88	4	0	-25	0	30
964	89	1	0	24	0	-30
965	89	1.5	0	-24	0	29
966	89	2	0	24	0	28
967	89	2.5	0	-24	0	27
968	89	3	0	-24	0	26
