**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	31	0	31
6	1	2.5	0	29	0	32
8	1	3	0	28	0	33
12	2	1	0	27	0	34
14	2	1.5	0	25	0	-34
16	2	2	0	24	0	33
18	2	2.5	0	-24	0	31
20	2	3	0	27	0	-31
22	2	3.5	0	-27	0	32
23	2	3.75	0	28	0	-32
24	3	1	0	29	0	31
26	3	1.5	0	-29	0	29
27	3	1.75	0	28	0	-29
27.5	3	1.875	0	27	0	-29
28	3	2	0	26	0	31
30	3	2.5	0	27	0	-31
31	3	2.75	0	-27	0	30
31.5	3	2.875	0	-27	0	29
32	3	3	0	-27	0	28
34	3	3.5	0	26	0	-28
36	4	1	0	27	0	27
42	4	2.5	0	-27	0	31
44	4	3	0	27	0	32
46	4	3.5	0	-27	0	34
47	4	3.75	0	28	0	-34
48	5	1	0	29	0	33
50	5	1.5	0	-29	0	31
52	5	2	0	28	0	32
55	5	2.75	0	-28	0	31
55.5	5	2.875	0	-28	0	32
56	5	3	0	24	0	33
60	6	1	0	23	0	34
62	6	1.5	0	-23	0	35
65	6	2.25	0	-23	0	34
66	6	2.5	0	24	0	33
67	6	2.75	0	-24	0	32
68	6	3	0	25	0	34
71	6	3.75	0	26	0	33
72	7	1	0	27	0	31
74	7	1.5	0	-27	0	32
76	7	2	0	24	0	-32
77	7	2.25	0	-24	0	31
78	7	2.5	0	-24	0	31
80	7	3	0	25	0	-31
82	7	3.5	0	-25	0	30
84	8	1	28	24	28	31
87	8	1.75	-28	-24	-28	32
88	8	2	-28	-24	-28	33
90	8	2.5	26	-24	29	-33
92	8	3	25	0	30	34
94	8	3.5	-25	25	-30	-34
96	9	1	24	26	31	33
98	9	1.5	22	27	-31	-33
100	9	2	21	28	30	0
102	9	2.5	-21	-28	28	32
104	9	3	24	24	-28	33
106	9	3.5	-24	-24	29	-33
107	9	3.75	25	-24	-29	34
108	10	1	26	0	28	35
110	10	1.5	-26	24	26	-35
111	10	1.75	25	-24	-26	34
111.5	10	1.875	24	-24	-26	33
112	10	2	23	25	28	32
114	10	2.5	24	26	-28	31
115	10	2.75	-24	-26	27	-31
115.5	10	2.875	-24	-26	26	-31
