**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	24	24	31
4	1	2	22	-24	-31
6	1	2.5	-22	-24	29
8	2	1	20	27	29
12	2	2	22	-27	27
14	2	2.5	21	26	28
16	3	1	25	27	29
20	3	2	26	28	28
24	4	1	24	26	0
26	4	1.5	-24	-26	31
27	4	1.75	23	-26	-31
28	4	2	22	-26	-31
30	4	2.5	-22	-26	30
31	4	2.75	-22	-26	29
32	5	1	0	25	30
34	5	1.5	25	-25	-30
36	5	2	22	26	31
38	5	2.5	23	25	32
40	6	1	-23	28	-32
41	6	1.25	22	-28	-32
42	6	1.5	20	29	31
44	6	2	21	28	30
46	6	2.5	-21	30	28
48	7	1	0	-30	30
50	7	1.5	21	28	-30
52	7	2	25	-28	29
54	7	2.5	-25	27	-29
56	8	1	21	28	28
58	8	1.5	22	26	31
61	8	2.25	-22	27	-31
62	8	2.5	23	-27	32
63	8	2.75	-23	25	-32
64	9	1	24	24	33
67	9	1.75	23	-24	-33
67.5	9	1.875	22	-24	-33
68	9	2	21	23	0
70	9	2.5	17	24	33
72	10	1	-17	26	-33
74	10	1.5	18	27	32
75	10	1.75	-18	-27	31
76	10	2	19	28	30
79	10	2.75	20	-28	-30
80	11	1	21	26	0
82	11	1.5	-21	25	30
84	11	2	23	28	-30
86	11	2.5	24	-28	29
87	11	2.75	-24	-28	28
88	12	1	22	29	27
92	12	2	21	30	28
94	12	2.5	-21	28	-28
96	13	1	24	-28	26
98	13	1.5	-24	26	24
100	13	2	0	27	-24
101	13	2.25	0	-27	25
102	13	2.5	0	26	26
104	14	1	17	24	-26
106	14	1.5	-17	-24	24
108	14	2	21	23	25
112	15	1	0	24	24
114	15	1.5	22	-24	26
116	15	2	-22	0	27
118	15	2.5	21	0	28
120	16	1	19	23	-28
121	16	1.25	-19	-23	27
121.5	16	1.375	-19	-23	28
122	16	1.5	20	22	29
124	16	2	22	24	-29
126	16	2.5	23	-24	28
127	16	2.75	-23	25	-28
128	17	1	24	26	26
130	17	1.5	-24	-26	28
132	17	2	25	0	27
134	17	2.5	-25	29	-27
136	18	1	0	28	26
138	18	1.5	24	26	28
140	18	2	20	27	29
142	18	2.5	21	26	28
144	19	1	22	-26	31
146	19	1.5	-22	24	-31
147	19	1.75	-22	-24	32
148	19	2	21	28	30
151	19	2.75	22	-28	31
152	20	1	23	-28	32
154	20	1.5	24	-28	33
156	20	2	21	28	32
158	20	2.5	17	-28	33
160	21	1	-17	24	-33
162	21	1.5	24	26	31
164	21	2	23	27	32
166	21	2.5	21	28	30
168	22	1	25	-28	29
169	22	1.25	-25	26	-29
170	22	1.5	-25	27	-29
172	22	2	26	26	28
174	22	2.5	-26	24	33
176	23	1	24	-24	-33
178	23	1.5	22	24	32
179	23	1.75	-22	-24	31
180	23	2	21	25	30
183	23	2.75	-21	-25	29
183.5	23	2.875	-21	-25	30
184	24	1	22	24	31
188	24	2	20	-24	0
192	25	1	19	0	33
194	25	1.5	17	0	-33
196	25	2	-17	28	33
198	25	2.5	24	-28	-33
200	26	1	25	27	32
202	26	1.5	24	28	33
204	26	2	22	29	-33
206	26	2.5	-22	-29	34
208	27	1	26	28	35
210	27	1.5	-26	30	-35
211	27	1.75	25	-30	-35
212	27	2	23	-30	32
214	27	2.5	22	31	33
216	28	1	24	29	-33
218	28	1.5	20	-29	31
220	28	2	21	0	30
222	28	2.5	19	28	-30
224	29	1	18	29	0
226	29	1.5	-18	27	32
228	29	2	22	26	33
230	29	2.5	-22	-26	31
232	30	1	21	0	32
234	30	1.5	-21	28	30
236	30	2	0	29	29
238	30	2.5	25	27	-29
240	31	1	26	28	0
242	31	1.5	22	26	31
244	31	2	23	25	32
246	31	2.5	25	-25	34
248	32	1	22	0	33
250	32	1.5	-22	29	-33
252	32	2	0	30	32
254	32	2.5	0	32	34
256	33	1	22	31	-34
257	33	1.25	-22	-31	32
258	33	1.5	-22	-31	33
260	33	2	19	30	35
262	33	2.5	18	32	34
264	34	1	21	-32	32
266	34	1.5	-21	30	-32
267.5	34	1.875	-21	29	-32
268	34	2	-21	28	33
270	34	2.5	-21	-28	32
272	35	1	0	27	-32
274	35	1.5	0	28	30
276	35	2	20	29	31
278	35	2.5	19	-29	33
279	35	2.75	-19	30	-33
280	36	1	17	31	-33
282	36	1.5	21	30	32
284	36	2	-21	28	-32
286	36	2.5	19	-28	35
288	37	1	18	29	-35
290	37	1.5	-18	-29	34
292	37	2	21	28	35
296	38	1	24	0	33
300	38	2	22	31	0
302	38	2.5	20	-31	0
304	39	1	0	30	32
306	39	1.5	21	28	-32
308	39	2	-21	-28	30
310	39	2.5	20	29	29
312	40	1	-20	-29	31
313	40	1.25	19	28	-31
314	40	1.5	17	26	-31
315	40	1.75	-17	-26	32
316	40	2	24	28	33
317	40	2.25	-24	-28	34
318	40	2.5	-24	29	33
320	41	1	25	27	-33
322	41	1.5	-25	-27	32
324	41	2	0	26	31
326	41	2.5	21	25	30
328	42	1	-21	26	-30
330	42	1.5	19	-26	28
332	42	2	18	27	29
334	42	2.5	22	26	-29
335	42	2.75	-22	-26	27
336	43	1	19	-26	28
337	43	1.25	-19	25	-28
338	43	1.5	20	24	29
339	43	1.75	-20	23	-29
340	43	2	-20	22	-29
341	43	2.25	19	-22	28
341.5	43	2.375	18	-22	27
342	43	2.5	17	24	26
344	44	1	-17	-24	28
345	44	1.25	-17	25	-28
346	44	1.5	17	26	-28
348	44	2	18	0	27
350	44	2.5	-18	29	-27
352	45	1	19	28	26
354	45	1.5	-19	26	28
356	45	2	0	27	29
358	45	2.5	0	-27	31
359	45	2.75	0	26	-31
359.5	45	2.875	0	25	-31
360	46	1	22	24	-31
362	46	1.5	-22	25	29
363	46	1.75	23	-25	-29
364	46	2	24	26	28
366	46	2.5	-24	28	-28
368	47	1	21	-28	0
370	47	1.5	24	26	33
372	47	2	23	27	32
374	47	2.5	21	28	30
376	48	1	0	29	31
378	48	1.5	18	27	32
380	48	2	21	28	32
381	48	2.25	-21	-28	31
382	48	2.5	-21	-28	30
383	48	2.75	-21	27	29
384	49	1	24	26	28
385	49	1.25	-24	25	-28
386	49	1.5	22	24	31
388	49	2	21	23	32
390	49	2.5	20	22	34
392	50	1	22	24	33
394	50	1.5	21	-24	35
395	50	1.75	-21	25	-35
396	50	2	24	26	-35
398	50	2.5	-24	-26	31
399	50	2.75	23	27	-31
399.5	50	2.875	22	-27	-31
400	51	1	21	28	30
402	51	1.5	22	24	31
404	51	2	21	25	-31
405	51	2.25	-21	-25	29
406	51	2.5	-21	-25	30
408	52	1	17	24	31
416	53	1	0	0	0
416	53	1	0	24	31
420	53	2	0	-24	31
422	53	2.5	0	-24	32
423	53	2.75	0	-24	33
424	54	1	0	-24	34
425	54	1.25	0	-24	33
426	54	1.5	0	-24	32
427	54	1.75	0	-24	31
428	54	2	0	28	33
430	54	2.5	0	-28	32
432	55	1	0	-28	28
434	55	1.5	0	-28	30
436	55	2	0	27	29
438	55	2.5	0	-27	25
440	56	1	0	28	26
442	56	1.5	0	-28	28
444	56	2	0	29	-28
445	56	2.25	0	-29	27
446	56	2.5	0	-29	27
447	56	2.75	0	-29	26
448	57	1	0	28	28
450	57	1.5	0	-28	30
452	57	2	0	27	29
454	57	2.5	0	-27	32
457	58	1.25	0	0	31
458	58	1.5	0	27	32
460	58	2	0	28	-32
462	58	2.5	0	-28	30
464	59	1	0	27	29
466	59	1.5	0	-27	31
467	59	1.75	0	28	-31
468	59	2	0	29	-31
469	59	2.25	0	-29	30
470	59	2.5	0	30	29
471	59	2.75	0	-30	28
472	60	1	0	29	27
476	60	2	0	28	0
478	60	2.5	0	-28	28
480	61	1	0	24	-28
482	61	1.5	0	-24	29
484	61	2	0	27	-29
486	61	2.5	0	28	28
488	62	1	0	29	31
490	62	1.5	0	-29	32
491	62	1.75	0	27	-32
492	62	2	0	28	33
494	62	2.5	0	29	-33
495	62	2.75	0	-29	31
496	63	1	0	30	32
498	63	1.5	0	31	33
500	63	2	0	32	34
502	63	2.5	0	28	35
504	64	1	0	-28	28
505	64	1.25	0	29	-28
506	64	1.5	0	30	-28
507	64	1.75	0	31	29
508	64	2	0	32	30
510	64	2.5	0	28	-30
511	64	2.75	0	-28	31
512	65	1	0	27	32
513	65	1.25	0	-27	33
514	65	1.5	0	-27	34
515	65	1.75	0	28	-34
516	65	2	0	29	-34
517	65	2.25	0	-29	33
518	65	2.5	0	-29	32
519	65	2.75	0	-29	31
520	66	1	0	28	30
522	66	1.5	0	27	31
523	66	1.75	0	-27	32
524	66	2	0	28	-32
525	66	2.25	0	-28	33
526	66	2.5	0	24	31
528	67	1	0	25	-31
529	67	1.25	0	-25	30
529.5	67	1.375	0	-25	29
530	67	1.5	0	-25	30
532	67	2	0	24	31
536	68	1	0	27	0
538	68	1.5	0	28	0
540	68	2	0	29	31
542	68	2.5	0	-29	32
544	69	1	0	28	33
546	69	1.5	0	29	-33
548	69	2	0	30	32
550	69	2.5	0	31	33
552	70	1	0	29	-33
553	70	1.25	0	-29	35
554	70	1.5	0	-29	34
555	70	1.75	0	-29	33
556	70	2	0	28	35
558	70	2.5	0	29	34
559	70	2.75	0	-29	33
561	71	1.25	0	31	31
562	71	1.5	0	30	32
563	71	1.75	0	29	-32
563.5	71	1.875	0	30	-32
564	71	2	0	31	31
566	71	2.5	0	30	0
567	71	2.75	0	29	0
568	72	1	0	-29	34
569	72	1.25	0	27	-34
570	72	1.5	0	28	33
572	72	2	0	27	32
574	72	2.5	0	0	34
576	73	1	0	31	-34
577	73	1.25	0	-31	33
578	73	1.5	0	30	32
580	73	2	0	29	31
582	73	2.5	0	31	-31
584	74	1	0	-31	33
585	74	1.25	0	30	-33
586	74	1.5	0	29	34
588	74	2	0	28	33
590	74	2.5	0	-28	35
592	75	1	0	30	-35
594	75	1.5	0	31	33
596	75	2	0	30	32
598	75	2.5	0	32	-32
600	76	1	0	-32	30
602	76	1.5	0	29	31
604	76	2	0	28	30
