**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	26	22	0	31
6	1	4	0	27	-22	0	-31
8	2	1	0	26	-22	0	-31
14	2	4	0	25	-22	0	-31
16	3	1	0	26	28	0	-31
20	3	3	0	22	29	0	-31
23	3	4.5	0	-22	27	0	-31
24	4	1	0	26	28	0	31
28	4	3	0	27	29	0	-31
30	4	4	0	-27	-29	0	32
32	5	1	0	26	30	0	33
36	5	3	0	25	-30	0	34
40	6	1	0	26	-30	0	-34
42	6	2	0	-26	-30	0	33
44	6	3	0	-26	-30	0	33
48	7	1	0	27	29	0	-33
52	7	3	0	-27	-29	0	32
56	8	1	0	26	28	0	33
62	8	4	0	-26	29	0	32
64	9	1	0	-26	30	0	33
68	9	3	0	-26	-30	0	35
72	10	1	0	24	31	0	-35
76	10	3	0	25	-31	0	34
80	11	1	0	26	24	0	33
86	11	4	0	-26	23	0	32
88	12	1	0	27	22	0	31
94	12	4	0	-27	-22	0	30
95	12	4.5	0	-27	-22	0	29
96	13	1	0	28	21	0	30
102	13	4	0	-28	-21	0	31
104	14	1	0	-28	-21	0	32
108	14	3	0	-28	-21	0	33
112	15	1	0	26	24	0	-33
116	15	3	0	27	23	0	32
120	16	1	0	28	21	0	-32
124	16	3	0	-28	-21	0	33
128	17	1	0	24	22	0	-33
130	17	2	0	-24	-22	0	31
132	17	3	0	-24	-22	0	31
136	18	1	0	25	21	0	-31
140	18	3	0	-25	-21	0	30
144	19	1	0	24	28	0	31
156	20	3	0	-24	29	0	0
160	21	1	0	0	-29	0	33
164	21	3	0	0	28	0	-33
168	22	1	0	24	26	0	-33
172	22	3	0	-24	29	0	31
176	23	1	0	-24	-29	0	33
180	23	3	0	-24	28	0	-33
182	23	4	0	-24	29	0	-33
184	24	1	0	23	30	0	32
188	24	3	0	-23	27	0	-32
192	25	1	0	-23	28	0	-32
200	26	1	0	22	29	0	31
208	27	1	0	26	0	0	30
212	27	3	0	27	25	0	-30
216	28	1	0	28	23	0	-30
218	28	2	0	-28	24	0	-30
220	28	3	0	-28	25	0	-30
222	28	4	0	-28	26	0	-30
224	29	1	0	29	22	0	31
230	29	4	0	28	-22	0	-31
232	30	1	0	29	24	0	29
236	30	3	0	27	25	0	-29
240	31	1	0	26	22	0	31
244	31	3	0	29	-22	0	-31
246	31	4	0	-29	-22	0	32
248	32	1	0	-29	24	0	33
252	32	3	0	28	-24	0	-33
254	32	4	0	-28	25	0	-33
256	33	1	0	-28	26	0	31
260	33	3	0	27	27	0	32
264	34	1	0	26	28	0	-32
268	34	3	0	-26	-28	0	31
270	34	4	0	-26	26	0	-31
272	35	1	0	25	27	0	32
274	35	2	0	-25	30	0	-32
278	35	4	0	24	29	0	-32
280	36	1	0	23	-29	0	0
282	36	2	0	-23	28	0	0
284	36	3	0	22	29	0	0
286	36	4	0	-22	31	0	0
288	37	1	0	26	-31	0	0
290	37	2	0	-26	30	0	0
292	37	3	0	26	-30	0	0
294	37	4	0	-26	28	0	0
297	38	1.5	0	-26	29	0	0
298	38	2	0	-26	26	0	0
300	38	3	0	25	27	0	0
304	39	1	0	26	28	0	0
308	39	3	0	28	26	0	0
312	40	1	0	27	25	0	29
318	40	4	0	25	-25	0	-29
320	41	1	0	28	24	0	33
324	41	3	0	29	22	0	33
328	42	1	0	26	24	0	-33
332	42	3	0	-26	-24	0	31
336	43	1	0	27	23	0	32
344	44	1	0	26	30	0	33
352	45	1	0	0	28	0	-33
356	45	3	0	26	-28	0	35
358	45	4	0	-26	29	0	-35
360	46	1	0	25	30	0	34
364	46	3	0	24	31	0	35
368	47	1	0	26	-31	0	-35
370	47	2	0	-26	30	0	-35
372	47	3	0	-26	28	0	33
374	47	4	0	27	-28	0	-33
376	48	1	0	28	30	0	-33
380	48	3	0	0	29	0	31
384	49	1	0	24	28	0	-31
388	49	3	0	-24	31	0	33
390	49	4	0	23	-31	0	-33
392	50	1	0	22	-31	0	-33
394	50	2	0	-22	-31	0	34
396	50	3	0	21	30	0	35
400	51	1	0	23	28	0	-35
402	51	2	0	-23	-28	0	34
404	51	3	0	-23	-28	0	32
406	51	4	0	-23	27	0	-32
408	52	1	0	22	29	0	31
412	52	3	0	21	30	0	32
416	53	1	0	0	27	0	-32
420	53	3	0	23	28	0	-32
424	54	1	0	22	29	0	31
428	54	3	0	21	26	0	30
432	55	1	0	22	-26	0	-30
434	55	2	0	-22	-26	0	29
436	55	3	0	-22	24	0	29
440	56	1	0	23	25	0	-29
444	56	3	0	-23	-25	0	28
448	57	1	0	22	26	0	29
452	57	3	0	-22	-26	0	30
454	57	4	0	21	-26	0	-30
456	58	1	0	22	0	0	31
460	58	3	0	23	0	0	32
464	59	1	0	24	26	0	29
468	59	3	0	25	27	0	-29
472	60	1	0	0	26	0	28
476	60	3	0	22	24	0	27
480	61	1	0	21	25	0	30
484	61	3	0	20	-25	0	29
488	62	1	0	23	-25	0	-29
490	62	2	0	-23	-25	0	28
492	62	3	0	-23	-25	0	28
496	63	1	0	22	24	0	-28
500	63	3	0	-22	-24	0	27
504	64	1	0	21	25	0	28
512	65	1	0	0	26	0	-28
516	65	3	0	24	-26	0	-28
518	65	4	0	-24	25	0	-28
520	66	1	0	-24	26	0	0
524	66	3	0	22	27	0	0
526	66	4	0	-22	28	0	0
528	67	1	0	23	-28	0	0
530	67	2	0	-23	27	0	0
532	67	3	0	-23	25	0	0
536	68	1	0	24	26	0	31
540	68	3	0	-24	22	0	-31
544	69	1	0	25	0	0	29
548	69	3	0	-25	27	0	30
552	70	1	0	26	28	0	-30
556	70	3	0	-26	-28	0	31
560	71	1	0	27	29	0	-31
564	71	3	0	-27	-29	0	32
568	72	1	0	26	0	0	33
572	72	3	0	-26	30	0	-33
574	72	4	0	-26	-30	0	32
576	73	1	0	-26	-30	0	33
580	73	3	0	-26	-30	0	35
584	74	1	0	28	-30	0	-35
586	74	2	0	-28	-30	0	34
588	74	3	0	-28	23	0	32
590	74	4	0	27	-23	0	-32
592	75	1	0	25	-23	0	-32
596	75	3	0	24	22	0	33
600	76	1	0	25	29	0	34
604	76	3	0	-25	-29	0	32
608	77	1	0	26	28	0	-32
610	77	2	0	-26	-28	0	31
611	77	2.5	0	-26	-28	0	30
612	77	3	0	-26	-28	0	31
616	78	1	0	25	29	0	32
620	78	3	0	-25	25	0	-32
622	78	4	0	26	-25	0	-32
624	79	1	0	27	-25	0	-32
626	79	2	0	-27	26	0	-32
628	79	3	0	-27	27	0	-32
630	79	4	0	28	-27	0	-32
632	80	1	0	29	-27	0	0
634	80	2	0	-29	28	0	0
636	80	3	0	25	29	0	0
640	81	1	0	-25	25	0	29
642	81	2	0	24	26	0	-29
644	81	3	0	25	27	0	-29
648	82	1	0	24	26	0	29
650	82	2	0	22	-26	0	-29
652	82	3	0	-22	-26	0	29
654	82	4	0	24	-26	0	-29
656	83	1	0	23	25	0	-29
658	83	2	0	22	-25	0	27
660	83	3	0	23	-25	0	28
664	84	1	0	22	26	0	29
672	85	1	0	-22	27	0	31
676	85	3	0	26	28	0	-31
680	86	1	0	-26	-28	0	30
682	86	2	0	25	27	0	-30
684	86	3	0	26	28	0	31
688	87	1	0	27	29	0	32
692	87	3	0	26	22	0	33
694	87	4	0	-26	-22	0	33
696	88	1	0	24	-22	0	-33
698	88	2	0	-24	-22	0	32
699	88	2.5	0	-24	-22	0	31
700	88	3	0	25	21	0	30
702	88	4	0	-25	23	0	-30
704	89	1	0	26	22	0	0
706	89	2	0	26	21	0	0
708	89	3	0	-26	22	0	31
710	89	4	0	25	-22	0	-31
711	89	4.5	0	24	-22	0	-31
712	90	1	0	23	21	0	32
716	90	3	0	0	22	0	31
718	90	4	0	24	-22	0	29
720	91	1	0	-24	26	0	-29
722	91	2	0	25	27	0	30
724	91	3	0	26	28	0	-30
726	91	4	0	-26	-28	0	31
728	92	1	0	27	29	0	32
730	92	2	0	26	22	0	33
732	92	3	0	24	-22	0	34
