**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	22	29	33
8	2	1	22	29	34
12	2	3	22	-29	33
14	2	4	-22	28	-33
15	2	4.5	-22	27	-33
16	3	1	22	26	-33
18	3	2	-22	-26	31
20	3	3	-22	29	31
22	3	4	21	-29	-31
23	3	4.5	20	-29	32
24	4	1	19	28	33
25	4	1.5	-19	-28	34
26	4	2	-19	-28	35
28	4	3	19	-28	-35
30	4	4	-19	29	34
31	4	4.5	-19	-29	33
32	5	1	21	30	32
36	5	3	22	29	31
40	6	1	23	28	32
42	6	2	-23	27	-32
44	6	3	24	26	33
48	7	1	25	0	34
50	7	2	-25	29	-34
52	7	3	-25	27	-34
54	7	4	24	28	33
56	8	1	23	-28	34
58	8	2	22	29	-34
60	8	3	21	30	35
62	8	4	-21	28	-35
63	8	4.5	-21	-28	34
64	9	1	0	-28	33
65	9	1.5	0	27	32
66	9	2	0	25	32
68	9	3	22	26	-32
70	9	4	-22	-26	31
72	10	1	20	25	32
76	10	3	18	-25	0
80	11	1	19	0	35
84	11	3	-19	24	35
88	12	1	18	25	34
92	12	3	22	26	33
94	12	4	-22	27	31
96	13	1	23	-27	32
98	13	2	-23	28	-32
100	13	3	24	26	35
104	14	1	25	25	34
108	14	3	26	0	33
110	14	4	-26	24	-33
111	14	4.5	-26	-24	31
112	15	1	27	23	32
114	15	2	-27	22	31
116	15	3	27	-22	29
118	15	4	-27	25	-29
120	16	1	27	-25	-29
122	16	2	-27	24	-29
123	16	2.5	-27	23	-29
124	16	3	26	24	0
128	17	1	25	25	36
134	17	4	24	0	35
135	17	4.5	23	0	34
136	18	1	24	28	33
142	18	4	-24	29	-33
144	19	1	-24	-29	33
146	19	2	-24	28	-33
148	19	3	-24	26	35
152	20	1	0	25	34
155	20	2.5	0	24	33
156	20	3	0	27	32
157	20	3.5	0	-27	31
158	20	4	0	-27	34
159	20	4.5	0	28	-34
160	21	1	0	29	-34
161	21	1.5	0	-29	33
162	21	2	0	27	34
164	21	3	24	0	35
166	21	4	-24	31	36
168	22	1	25	29	-36
170	22	2	-25	30	34
172	22	3	26	-30	35
174	22	4	-26	28	-35
176	23	1	27	27	36
179	23	2.5	-27	28	-36
180	23	3	-27	29	-36
182	23	4	26	30	35
183	23	4.5	25	-30	34
184	24	1	24	31	33
192	25	1	24	31	0
195	25	2.5	-24	30	0
196	25	3	24	28	0
198	25	4	-24	29	0
200	26	1	25	-29	0
201	26	1.5	-25	28	0
202	26	2	-25	26	0
204	26	3	-25	27	0
208	27	1	26	26	31
216	28	1	25	27	32
220	28	3	24	26	33
222	28	4	-24	29	-33
224	29	1	23	-29	34
226	29	2	-23	28	35
228	29	3	-23	28	-35
229	29	3.5	-23	-28	34
230	29	4	-23	-28	33
231	29	4.5	-23	27	32
232	30	1	22	29	34
234	30	2	-22	-29	33
235	30	2.5	-22	30	-33
236	30	3	-22	31	-33
