**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	26	22	29
4	1	2	28	26	30
12	2	2	28	26	30
16	3	1	28	26	31
20	3	2	28	26	-31
22	3	2.5	-28	-26	32
24	4	1	-28	-26	33
28	4	2	29	27	32
32	5	1	26	28	31
34	5	1.5	-26	-28	29
36	5	2	-26	-28	30
40	6	1	22	29	29
48	7	1	25	-29	0
52	7	2	24	-29	29
56	8	1	22	0	31
60	8	2	-22	29	31
64	9	1	-22	31	33
68	9	2	-22	31	33
72	10	1	25	30	32
76	10	2	-25	29	-32
78	10	2.5	-25	-29	31
80	11	1	26	28	30
88	12	1	0	29	31
92	12	2	27	-29	-31
94	12	2.5	-27	-29	30
95	12	2.75	-27	-29	29
96	13	1	26	30	28
100	13	2	24	26	28
104	14	1	-24	27	29
106	14	1.5	25	-27	-29
108	14	2	23	28	30
112	15	1	22	29	31
116	15	2	-22	-29	31
118	15	2.5	-22	28	-31
120	16	1	0	26	-31
124	16	2	21	25	30
128	17	1	22	24	-30
130	17	1.5	-22	-24	29
131	17	1.75	-22	-24	28
132	17	2	-22	-24	29
136	18	1	19	23	30
144	19	1	21	-23	0
150	19	2.5	22	-23	0
152	20	1	23	0	32
158	20	2.5	24	0	-32
160	21	1	25	23	32
164	21	2	-25	-23	32
166	21	2.5	26	-23	-32
168	22	1	27	23	32
172	22	2	26	24	33
176	23	1	25	25	34
180	23	2	24	26	35
184	24	1	-24	28	-35
186	24	1.5	-24	-28	33
188	24	2	26	-28	33
192	25	1	23	27	-33
196	25	2	-23	-27	32
200	26	1	24	26	33
206	26	2.5	25	-26	-33
207	26	2.75	26	-26	-33
208	27	1	27	25	0
212	27	2	26	24	29
216	28	1	0	23	28
220	28	2	25	-23	28
224	29	1	24	0	29
228	29	2	26	22	-29
232	30	1	-26	21	30
234	30	1.5	25	-21	-30
236	30	2	23	21	-30
240	31	1	26	22	31
244	31	2	27	-22	-31
246	31	2.5	-27	-22	30
247	31	2.75	-27	-22	29
248	32	1	25	23	28
252	32	2	26	22	31
254	32	2.5	-26	-22	32
256	33	1	-26	24	33
258	33	1.5	27	25	32
260	33	2	28	26	-32
262	33	2.5	-28	-26	31
264	34	1	27	25	30
266	34	1.5	26	24	29
268	34	2	25	23	28
272	35	1	26	0	31
276	35	2	24	26	-31
280	36	1	25	27	29
284	36	2	-25	25	-29
286	36	2.5	24	-25	30
287	36	2.75	23	-25	-30
288	37	1	22	24	31
292	37	2	21	25	30
296	38	1	-21	27	-30
300	38	2	22	-27	29
304	39	1	24	26	-29
306	39	1.5	-24	-26	27
308	39	2	-24	-26	28
310	39	2.5	25	-26	-28
312	40	1	27	22	29
320	41	1	26	-22	-29
328	42	1	0	0	0
328	42	1	22	29	33
334	42	4	-22	-29	34
336	43	1	26	30	35
340	43	3	26	30	35
344	44	1	22	31	36
348	44	3	22	31	36
352	45	1	24	31	36
358	45	4	25	30	35
359	45	4.5	-25	29	-35
360	46	1	26	28	33
364	46	3	27	29	33
368	47	1	28	30	32
372	47	3	-28	30	-32
374	47	4	-28	-30	33
375	47	4.5	-28	-30	34
376	48	1	26	30	35
380	48	3	-26	30	-35
382	48	4	27	-30	34
383	48	4.5	-27	-30	33
384	49	1	28	30	32
388	49	3	24	31	0
392	50	1	0	29	31
396	50	3	22	-29	33
400	51	1	-22	31	33
404	51	3	25	30	34
408	52	1	26	-30	35
412	52	3	27	29	36
414	52	4	-27	-29	35
416	53	1	25	-29	34
418	53	2	-25	-29	33
420	53	3	26	28	33
424	54	1	29	27	-33
428	54	3	-29	-27	32
432	55	1	30	26	33
440	56	1	28	-26	0
444	56	3	-28	-26	33
448	57	1	24	0	35
452	57	3	-24	26	-35
454	57	4	-24	-26	34
455	57	4.5	-24	-26	33
456	58	1	23	27	32
460	58	3	22	-27	31
464	59	1	26	28	30
470	59	4	25	29	31
471	59	4.5	24	-29	-31
472	60	1	23	30	32
476	60	3	22	31	33
484	61	3	23	30	32
488	62	1	24	-30	31
492	62	3	-24	29	-31
494	62	4	25	-29	-31
496	63	1	26	-29	30
500	63	3	-26	28	-30
504	64	1	27	29	29
512	65	1	26	22	-29
*-	*-	*-	*-	*-	*-
