**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0
8	1	3	0	0	25	0
12	2	1	0	0	32	36
16	2	2	0	0	31	-36
18	2	2.5	0	0	29	-36
20	2	3	0	0	30	32
22	2	3.5	0	0	29	-32
23	2	3.75	0	0	28	-32
24	3	1	0	0	27	36
26	3	1.5	0	0	31	-36
28	3	2	0	0	-31	35
29	3	2.25	0	0	30	-35
30	3	2.5	0	0	32	34
32	3	3	0	0	-32	33
34	3	3.5	0	0	31	-33
36	4	1	25	0	32	32
39	4	1.75	-25	0	31	-32
40	4	2	-25	0	29	-32
44	4	3	21	0	30	0
47	4	3.75	-21	0	29	0
48	5	1	25	29	27	0
52	5	2	24	-29	26	0
54	5	2.5	22	-29	-26	0
56	5	3	23	25	0	0
58	5	3.5	22	-25	0	0
59	5	3.75	21	-25	0	0
60	6	1	20	29	0	0
61	6	1.25	21	-29	0	0
62	6	1.5	22	-29	0	0
63	6	1.75	23	-29	0	0
64	6	2	24	28	0	0
66	6	2.5	25	27	0	0
68	6	3	-25	26	0	0
70	6	3.5	24	-26	0	0
72	7	1	25	25	29	0
75	7	1.75	24	-25	-29	0
76	7	2	22	26	31	0
80	7	3	23	28	32	0
84	8	1	22	29	31	33
86	8	1.5	-22	-29	30	-33
87	8	1.75	-22	-29	29	-33
88	8	2	26	30	28	35
90	8	2.5	-26	-30	26	-35
92	8	3	22	31	33	36
96	9	1	26	30	-33	35
97	9	1.25	-26	-30	-33	36
98	9	1.5	22	29	-33	37
99	9	1.75	-22	-29	-33	38
100	9	2	21	32	0	37
102	9	2.5	22	31	33	36
104	9	3	26	30	-33	-36
106	9	3.5	-26	-30	-33	35
108	10	1	22	29	-33	36
110	10	1.5	-22	-29	31	-36
112	10	2	0	-29	-31	33
114	10	2.5	0	-29	29	34
116	10	3	26	30	28	35
118	10	3.5	26	31	26	35
120	11	1	25	32	27	36
122	11	1.5	22	31	26	-36
124	11	2	26	30	0	35
126	11	2.5	-26	-30	33	-35
127	11	2.75	-26	-30	-33	34
128	11	3	22	0	-33	33
129	11	3.25	-22	0	32	-33
130	11	3.5	22	29	31	-33
131	11	3.75	-22	-29	30	-33
132	12	1	25	-29	29	32
134	12	1.5	-25	28	30	-32
136	12	2	-25	27	32	36
140	12	3	21	28	-32	37
144	13	1	25	0	32	36
146	13	1.5	-25	0	-32	34
148	13	2	26	30	28	35
150	13	2.5	28	-30	-28	-35
152	13	3	27	31	0	36
154	13	3.5	29	-31	0	-36
156	14	1	26	30	28	35
158	14	1.5	-26	-30	-28	35
160	14	2	0	29	31	-35
162	14	2.5	25	-29	32	34
164	14	3	26	28	30	35
166	14	3.5	27	31	29	36
168	15	1	28	30	0	32
169	15	1.25	-28	-30	0	33
170	15	1.5	25	29	27	34
172	15	2	22	-29	26	31
174	15	2.5	23	28	25	32
176	15	3	22	29	26	-32
177	15	3.25	-22	-29	-26	31
177.5	15	3.375	-22	-29	-26	30
178	15	3.5	-22	-29	-26	31
180	16	1	0	0	25	32
182	16	1.5	25	0	-25	-32
184	16	2	26	0	28	30
186	16	2.5	28	0	-28	-30
188	16	3	27	29	0	31
192	17	1	-27	25	29	32
196	17	2	26	24	31	33
198	17	2.5	24	-24	-31	-33
200	17	3	23	28	32	32
202	17	3.5	22	29	33	31
204	18	1	26	28	-33	30
205	18	1.25	-26	-28	32	-30
206	18	1.5	-26	-28	30	-30
207	18	1.75	-26	27	-30	-30
208	18	2	0	26	-30	0
209	18	2.25	0	-26	29	0
210	18	2.5	0	25	27	0
212	18	3	22	24	26	0
214	18	3.5	23	25	28	0
216	19	1	22	26	29	31
218	19	1.5	26	28	28	30
220	19	2	25	27	29	32
224	19	3	22	26	-29	33
226	19	3.5	24	26	28	-33
228	20	1	-24	28	31	33
229	20	1.25	25	-28	-31	-33
230	20	1.5	26	-28	-31	-33
232	20	2	25	29	32	34
236	20	3	24	-29	33	33
238	20	3.5	22	-29	-33	36
240	21	1	26	30	0	-36
242	21	1.5	-26	-30	26	35
244	21	2	24	31	28	33
247	21	2.75	25	30	-28	-33
248	21	3	26	28	-28	0
250	21	3.5	-26	-28	26	35
252	22	1	0	31	24	-35
253	22	1.25	0	-31	-24	34
254	22	1.5	22	-31	-24	33
256	22	2	23	30	0	32
258	22	2.5	24	29	0	31
260	22	3	25	-29	0	30
262	22	3.5	26	28	0	-30
264	23	1	27	29	25	29
267	23	1.75	28	-29	26	-29
268	23	2	29	0	27	0
269	23	2.25	-29	0	25	0
270	23	2.5	27	0	32	0
272	23	3	26	0	-32	0
274	23	3.5	-26	0	31	0
276	24	1	25	0	32	0
278	24	1.5	25	0	25	0
280	24	2	23	0	28	0
282	24	2.5	24	0	26	0
284	24	3	25	30	27	0
286	24	3.5	26	-30	28	0
288	25	1	22	31	29	33
292	25	2	0	32	25	34
294	25	2.5	25	-32	29	-34
296	25	3	21	-32	30	35
300	26	1	22	31	29	33
304	26	2	0	30	26	35
308	26	3	25	29	27	36
311	26	3.75	24	-29	25	-36
311.5	26	3.875	23	-29	-25	-36
312	27	1	22	29	26	36
314	27	1.5	-22	-29	27	-36
316	27	2	21	25	28	37
320	27	3	25	0	27	36
321	27	3.25	-25	0	28	-36
322	27	3.5	27	29	29	-36
323	27	3.75	-27	-29	30	-36
324	28	1	26	28	31	0
326	28	1.5	25	29	32	34
328	28	2	0	28	-32	35
329	28	2.25	0	-28	31	-35
330	28	2.5	0	27	29	36
332	28	3	0	26	30	-36
334	28	3.5	0	-26	-30	35
336	29	1	27	0	29	36
338	29	1.5	-27	0	31	36
340	29	2	25	0	32	-36
342	29	2.5	26	0	28	35
344	29	3	25	0	29	-35
346	29	3.5	-25	0	-29	34
348	30	1	21	25	28	35
352	30	2	22	24	26	0
354	30	2.5	24	26	-26	0
356	30	3	23	28	25	32
360	31	1	22	29	26	31
362	31	1.5	-22	-29	24	33
364	31	2	25	-29	27	-33
365	31	2.25	-25	-29	-27	32
366	31	2.5	-25	-29	-27	32
368	31	3	22	-29	26	-32
370	31	3.5	-22	-29	-26	31
372	32	1	25	-29	27	32
374	32	1.5	-25	-29	25	-32
376	32	2	21	30	28	-32
378	32	2.5	-21	-30	27	-32
379	32	2.75	-21	-30	26	-32
380	32	3	-21	-30	25	0
382	32	3.5	-21	-30	28	32
384	33	1	22	31	26	31
386	33	1.5	24	-31	-26	33
387	33	1.75	-24	-31	27	-33
388	33	2	21	30	28	32
390	33	2.5	22	29	26	31
392	33	3	26	-29	0	30
394	33	3.5	-26	28	26	-30
396	34	1	22	29	-26	31
398	34	1.5	25	-29	27	29
400	34	2	-25	-29	-27	32
402	34	2.5	25	-29	27	-32
404	34	3	22	29	26	33
406	34	3.5	-22	-29	33	-33
408	35	1	24	28	-33	0
409	35	1.25	-24	-28	32	0
410	35	1.5	25	27	32	0
412	35	2	22	26	-32	0
414	35	2.5	-22	-26	31	33
416	35	3	0	25	32	34
417.333	35	3.33333	0	-25	29	-34
418	35	3.5	25	-25	-29	-34
418.667	35	3.66667	-25	-25	30	-34
420	36	1	22	24	31	33
423	36	1.75	-22	25	-31	-33
424	36	2	-22	26	29	31
426	36	2.5	25	27	-29	32
428	36	3	24	26	31	33
430	36	3.5	-24	-26	-31	35
431	36	3.75	25	27	-31	-35
432	37	1	26	28	30	-35
433	37	1.25	-26	-28	-30	34
434	37	1.5	22	29	31	33
436	37	2	25	27	29	-33
437	37	2.25	-25	-27	-29	32
438	37	2.5	21	28	30	32
440	37	3	22	26	29	-32
442	37	3.5	-22	-26	-29	31
444	38	1	0	25	0	32
446	38	1.5	0	-25	29	-32
448	38	2	0	26	28	0
450	38	2.5	22	-26	29	0
452	38	3	21	0	30	0
454	38	3.5	22	0	31	0
456	39	1	23	0	-31	0
457	39	1.25	-23	0	30	0
458	39	1.5	24	0	28	0
460	39	2	21	0	-28	30
461	39	2.25	-21	0	26	-30
462	39	2.5	22	0	29	31
464	39	3	23	29	25	32
466	39	3.5	-23	28	-25	-32
468	40	1	22	29	24	33
470	40	1.5	26	30	-24	-33
471	40	1.75	-26	-30	25	-33
472	40	2	24	31	26	-33
474	40	2.5	22	-31	24	-33
475	40	2.75	-22	30	-24	-33
476	40	3	25	29	27	32
480	41	1	21	0	28	30
484	41	2	22	29	26	31
