**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	33
4	1	2	0	0	-26	35
8	2	1	0	0	25	34
12	2	2	26	0	28	30
15	2	2.75	25	0	-28	-30
16	3	1	24	0	29	0
18	3	1.5	23	0	30	32
20	3	2	24	0	26	33
22	3	2.5	23	0	30	34
24	4	1	26	0	-30	35
25	4	1.25	-26	0	29	-35
26	4	1.5	-26	0	28	-35
27	4	1.75	25	0	-28	34
28	4	2	24	0	-28	33
29	4	2.25	-24	0	29	-33
30	4	2.5	23	0	30	32
32	5	1	24	0	29	0
34	5	1.5	23	0	30	34
36	5	2	26	0	-30	35
37	5	2.25	-26	0	29	-35
38	5	2.5	25	0	27	36
40	6	1	28	0	26	37
42	6	1.5	27	0	0	36
44	6	2	25	0	27	-36
45	6	2.25	-25	0	-27	35
46	6	2.5	-25	0	29	34
47	6	2.75	24	0	-29	33
48	7	1	23	0	30	32
50	7	1.5	24	0	26	33
52	7	2	23	0	27	-33
54	7	2.5	-23	0	-27	32
56	8	1	0	26	26	33
58	8	1.5	24	-26	28	-33
60	8	2	-24	-26	29	-33
61	8	2.25	23	-26	-29	-33
62	8	2.5	22	-26	31	-33
64	9	1	21	26	30	0
66	9	1.5	22	-26	31	0
68	9	2	24	26	-31	0
69	9	2.25	-24	-26	30	0
70	9	2.5	-24	-26	28	0
72	10	1	23	25	-28	0
74	10	1.5	-23	-25	27	0
75	10	1.75	-23	-25	26	0
76	10	2	-23	-25	27	0
80	11	1	24	26	26	0
82	11	1.5	-24	-26	-26	33
84	11	2	-24	-26	0	35
88	12	1	0	23	30	34
90	12	1.5	25	-23	-30	-34
92	12	2	-25	-23	32	30
94	12	2.5	23	-23	-32	34
96	13	1	26	0	30	35
100	13	2	23	25	-30	34
104	14	1	0	26	28	30
106	14	1.5	26	-26	-28	-30
108	14	2	25	27	32	0
110	14	2.5	-25	-27	-32	29
112	15	1	21	28	-32	30
114	15	1.5	24	-28	31	33
116	15	2	25	27	29	-33
117	15	2.25	-25	-27	-29	32
118	15	2.5	-25	25	27	36
120	16	1	0	26	28	-36
121	16	1.25	0	-26	-28	35
122	16	1.5	0	-26	-28	35
124	16	2	0	25	29	-35
126	16	2.5	25	-25	-29	34
128	17	1	26	0	28	35
130	17	1.5	-26	0	-28	34
131	17	1.75	-26	0	-28	33
132	17	2	23	27	30	32
135	17	2.75	-23	-27	29	-32
136	18	1	26	28	28	0
137	18	1.25	-26	-28	27	0
138	18	1.5	-26	-28	26	0
139	18	1.75	25	-28	-26	0
140	18	2	24	29	-26	0
141	18	2.25	23	-29	25	0
142	18	2.5	22	-29	26	0
143	18	2.75	-22	-29	27	0
144	19	1	21	30	28	32
146	19	1.5	24	28	26	33
148	19	2	26	-28	30	35
150	19	2.5	25	29	32	34
152	20	1	26	28	31	-34
153	20	1.25	-26	-28	30	33
154	20	1.5	24	26	-30	33
155	20	1.75	-24	-26	29	-33
156	20	2	23	27	30	-33
157	20	2.25	-23	-27	-30	32
158	20	2.5	-23	-27	-30	32
159	20	2.75	-23	-27	-30	31
160	21	1	26	26	-30	33
168	22	1	0	0	0	0
168	22	1	23	0	27	0
176	23	1	26	0	28	0
180	23	2	25	0	27	0
184	24	1	24	0	28	0
186	24	1.5	-24	0	29	0
189	24	2.25	-24	0	28	0
190	24	2.5	-24	0	27	0
191	24	2.75	-24	0	26	0
192	25	1	23	0	25	34
196	25	2	25	0	-25	-34
198	25	2.5	-25	0	23	-34
200	26	1	26	0	30	35
204	26	2	25	0	-30	34
206	26	2.5	-25	0	29	-34
207	26	2.75	24	0	-29	-34
208	27	1	23	0	30	35
210	27	1.5	22	0	31	36
213	27	2.25	-22	0	30	35
214	27	2.5	22	0	29	34
215	27	2.75	-22	0	28	33
216	28	1	23	0	27	32
222	28	2.5	-23	0	28	-32
224	29	1	24	0	-28	33
226	29	1.5	-24	0	26	-33
228	29	2	23	0	27	32
230	29	2.5	22	0	29	31
232	30	1	23	0	-29	-31
233	30	1.25	-23	0	28	-31
234	30	1.5	-23	0	27	30
236	30	2	24	0	-27	-30
238	30	2.5	-24	0	26	29
240	31	1	23	0	27	30
244	31	2	-23	0	28	0
246	31	2.5	-23	0	27	0
248	32	1	0	26	30	35
252	32	2	0	-26	31	-35
254	32	2.5	0	-26	30	-35
256	33	1	0	-26	-30	35
258	33	1.5	0	-26	28	-35
260	33	2	0	25	29	34
262	33	2.5	0	-25	-29	36
264	34	1	0	24	0	-36
265	34	1.25	0	-24	0	35
266	34	1.5	0	-24	0	34
267	34	1.75	0	-24	0	33
268	34	2	0	-24	26	33
272	35	1	0	23	27	-33
276	35	2	0	-23	-27	32
280	36	1	26	0	26	33
284	36	2	-26	30	0	-33
286	36	2.5	25	-30	0	-33
288	37	1	24	31	0	0
290	37	1.5	23	-31	0	0
291	37	1.75	22	-31	0	0
292	37	2	21	30	0	32
296	38	1	24	28	0	33
298	38	1.5	23	-28	0	32
300	38	2	26	-28	0	35
304	39	1	25	29	0	34
306	39	1.5	24	-29	0	33
308	39	2	22	-29	0	-33
310	39	2.5	-22	-29	0	32
311	39	2.75	-22	-29	0	31
312	40	1	26	28	26	30
316	40	2	-26	-28	28	-30
319	40	2.75	-26	-28	29	-30
320	41	1	0	-28	30	0
323	41	1.75	0	-28	31	0
324	41	2	0	27	32	0
328	42	1	0	26	-32	35
330	42	1.5	0	-26	31	-35
331	42	1.75	0	-26	30	-35
332	42	2	0	-26	31	-35
336	43	1	23	25	32	34
340	43	2	-23	28	30	32
344	44	1	24	-28	0	33
346	44	1.5	-24	-28	28	-33
348	44	2	-24	29	26	-33
352	45	1	23	30	27	32
358	45	2.5	0	-30	28	28
360	46	1	24	26	-28	-28
361	46	1.25	-24	-26	-28	29
362	46	1.5	23	-26	28	30
363	46	1.75	22	-26	-28	31
364	46	2	21	-26	-28	30
366	46	2.5	22	-26	24	31
368	47	1	21	28	25	30
370	47	1.5	-21	-28	-25	28
372	47	2	25	27	0	29
376	48	1	26	28	0	30
380	48	2	24	29	26	33
384	49	1	23	30	27	32
386	49	1.5	19	-30	26	35
388	49	2	-19	-30	28	-35
389	49	2.25	20	-30	-28	-35
390	49	2.5	21	29	-28	34
391	49	2.75	22	28	-28	33
392	50	1	23	27	0	32
396	50	2	-23	-27	30	-32
402	51	1.5	-23	-27	29	-32
403	51	1.75	-23	-27	28	-32
404	51	2	-23	-27	27	-32
406	51	2.5	-23	-27	23	-32
408	52	1	-23	-27	30	-32
416	53	1	0	0	0	0
416	53	1	23	0	0	32
424	53	3	23	0	0	32
428	54	1	24	0	0	33
432	54	2	23	0	0	-33
434	54	2.5	-23	0	0	32
436	54	3	26	0	0	31
438	54	3.5	-26	0	0	30
440	55	1	25	0	0	30
444	55	2	24	0	0	-30
448	55	3	-24	0	0	29
452	56	1	23	0	27	30
456	56	2	25	0	-27	0
460	56	3	24	0	28	33
464	57	1	25	0	27	36
468	57	2	24	0	26	-36
470	57	2.5	-24	0	-26	35
472	57	3	25	0	29	34
474	57	3.5	-25	0	-29	33
476	58	1	26	0	28	33
480	58	2	23	0	27	-33
484	58	3	-23	0	-27	32
488	59	1	26	0	26	33
492	59	2	28	0	30	-33
500	60	1	27	23	30	32
506	60	2.5	-27	-23	29	-32
508	60	3	-27	-23	28	30
510	60	3.5	-27	-23	27	-30
512	61	1	0	24	26	28
516	61	2	0	23	27	32
520	61	3	0	26	28	31
524	62	1	0	25	27	30
528	62	2	0	24	-27	-30
532	62	3	0	-24	26	29
536	63	1	25	23	27	30
544	63	3	23	-23	28	0
548	64	1	21	-23	-28	32
552	64	2	23	-23	27	-32
556	64	3	24	0	26	33
560	65	1	25	25	29	34
564	65	2	24	26	31	35
568	65	3	0	-26	30	-35
570	65	3.5	0	27	-30	34
572	66	1	21	28	-30	32
576	66	2	24	-28	31	33
578	66	2.5	-24	27	-31	-33
579	66	2.75	-24	26	-31	-33
580	66	3	23	25	32	34
584	67	1	25	27	29	32
588	67	2	22	26	-29	-32
592	67	3	-22	-26	29	31
596	68	1	23	25	27	32
600	68	2	21	-25	28	-32
604	68	3	20	-25	29	-32
608	69	1	21	-25	30	0
614	69	2.5	22	-25	29	0
616	69	3	23	-25	27	0
619	69	3.75	24	-25	-27	0
620	70	1	25	0	27	30
624	70	2	26	0	28	31
627	70	2.75	-26	0	29	-31
628	70	3	23	23	30	32
632	71	1	0	24	26	33
636	71	2	23	25	0	30
640	71	3	24	26	28	0
644	72	1	25	23	27	32
648	72	2	24	0	26	33
652	72	3	23	25	27	32
656	73	1	24	26	0	35
660	73	2	25	25	27	34
662	73	2.5	23	-25	-27	32
664	73	3	24	28	26	33
668	74	1	23	-28	30	32
670	74	1.5	-23	27	-30	-32
672	74	2	0	26	-30	35
674	74	2.5	0	-26	31	-35
676	74	3	0	25	32	36
680	75	1	21	28	32	35
684	75	2	25	29	-32	34
688	75	3	24	26	29	-34
690	75	3.5	-24	-26	-29	33
692	76	1	-24	-26	-29	33
696	76	2	23	27	30	-33
700	76	3	-23	-27	-30	32
704	77	1	24	26	28	33
708	77	2	22	-26	29	-33
712	77	3	-22	-26	31	-33
716	78	1	26	-26	30	-33
*-	*-	*-	*-	*-	*-	*-
