**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	33
4	1	2	0	0	0	35
8	1	3	0	0	0	34
12	2	1	0	0	28	30
16	2	2	0	0	31	0
20	2	3	0	0	30	32
24	3	1	24	0	26	33
27	3	1.75	-24	0	-26	34
28	3	2	26	0	0	35
30	3	2.5	-26	0	30	33
32	3	3	25	0	-30	34
34	3	3.5	-25	0	29	-34
36	4	1	21	0	30	0
38	4	1.5	-21	0	-30	30
40	4	2	22	0	0	29
42	4	2.5	21	0	26	30
44	4	3	22	0	-26	31
46	4	3.5	-22	0	26	-31
48	5	1	21	0	30	0
50	5	1.5	-21	0	-30	32
52	5	2	0	0	31	35
54	5	2.5	0	0	30	-35
56	5	3	22	0	31	33
58	5	3.5	-22	0	30	-33
59	5	3.75	-22	0	29	-33
60	6	1	23	0	28	0
62	6	1.5	22	0	29	33
64	6	2	23	0	-29	-33
65	6	2.25	-23	0	28	-33
66	6	2.5	-23	0	28	32
68	6	3	22	0	29	31
70	6	3.5	-22	0	28	32
71	6	3.75	-22	0	27	-32
72	7	1	0	0	26	-32
74	7	1.5	0	0	-26	31
76	7	2	23	0	0	32
78	7	2.5	-23	0	28	-32
80	7	3	24	0	-28	0
81	7	3.25	-24	0	29	0
82	7	3.5	23	0	30	35
84	8	1	24	0	-30	-35
85	8	1.25	-24	0	29	34
86	8	1.5	-24	0	29	33
88	8	2	23	0	30	32
90	8	2.5	-23	0	29	-32
91	8	2.75	-23	0	28	-32
92	8	3	0	0	27	-32
96	9	1	24	0	26	33
98	9	1.5	-24	0	25	-33
99	9	1.75	-24	0	24	-33
100	9	2	25	0	23	0
102	9	2.5	24	0	24	0
104	9	3	25	0	23	34
106	9	3.5	-25	0	30	-34
108	10	1	24	0	-30	35
110	10	1.5	-24	0	29	34
111	10	1.75	-24	0	-29	33
112	10	2	0	0	30	32
114	10	2.5	0	0	31	33
116	10	3	25	0	29	34
118	10	3.5	-25	0	30	-34
120	11	1	26	0	-30	0
121	11	1.25	-26	0	31	0
122	11	1.5	25	0	32	30
124	11	2	26	0	28	-30
126	11	2.5	-26	0	-28	31
128	11	3	25	0	0	32
130	11	3.5	-25	0	0	30
132	12	1	0	0	29	31
136	12	2	26	0	30	30
139	12	2.75	-26	0	28	31
140	12	3	27	0	29	32
142	12	3.5	26	0	30	33
144	13	1	27	0	23	-33
146	13	1.5	-27	0	-23	32
148	13	2	26	0	24	33
150	13	2.5	-26	0	26	30
153	13	3.25	0	0	25	0
154	13	3.5	0	0	24	33
156	14	1	27	0	23	-33
158	14	1.5	-27	0	-23	32
160	14	2	28	0	0	33
162	14	2.5	27	0	0	32
164	14	3	28	0	30	0
166	14	3.5	-28	0	-30	33
168	15	1	27	0	29	-33
170	15	1.5	-27	0	-29	32
172	15	2	0	0	30	35
174	15	2.5	0	0	31	36
176	15	3	23	0	32	37
178	15	3.5	-23	0	28	-37
180	16	1	24	0	-28	33
181	16	1.25	-24	0	29	-33
182	16	1.5	23	0	30	34
184	16	2	24	0	26	-34
185	16	2.25	-24	0	-26	33
186	16	2.5	-24	0	-26	33
188	16	3	23	0	27	-33
190	16	3.5	-23	0	-27	32
192	17	1	0	26	26	33
194	17	1.5	26	-26	-26	-33
196	17	2	-26	28	30	0
197	17	2.25	25	-28	-30	0
198	17	2.5	23	28	-30	0
200	17	3	-23	27	-30	0
201	17	3.25	24	-27	-30	0
202	17	3.5	25	-27	29	0
203	17	3.75	26	-27	-29	0
204	18	1	27	23	30	32
206	18	1.5	28	-23	-30	-32
208	18	2	-28	0	-30	33
210	18	2.5	26	0	31	35
212	18	3	25	0	32	34
216	19	1	0	26	28	30
218	19	1.5	21	-26	30	-30
