**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	26	0	0	33
4	1	2	-26	24	0	-33
6	1	2.5	-26	-24	0	32
7	1	2.75	-26	-24	0	31
8	2	1	28	26	0	30
12	2	2	27	23	0	0
14	2	2.5	-27	-23	0	32
16	3	1	23	30	0	-32
17	3	1.25	-23	-30	0	33
18	3	1.5	-23	-30	0	34
20	3	2	0	-30	0	35
22	3	2.5	25	-30	0	34
24	4	1	26	30	0	35
26	4	1.5	-26	-30	0	34
27	4	1.75	27	-30	0	33
28	4	2	28	0	0	32
30	4	2.5	27	0	0	0
31	4	2.75	25	0	0	0
32	5	1	26	0	0	35
34	5	1.5	25	23	0	34
35	5	1.75	-25	-23	0	32
36	5	2	0	24	0	33
38	5	2.5	27	25	0	32
40	6	1	28	26	0	0
42	6	1.5	29	25	0	34
44	6	2	30	23	0	-34
46	6	2.5	28	26	0	35
48	7	1	-28	-26	0	33
50	7	1.5	29	24	0	-33
51	7	1.75	-29	-24	0	34
52	7	2	28	-24	0	35
53	7	2.25	-28	-24	0	36
54	7	2.5	26	28	0	37
56	8	1	27	29	0	-37
58	8	1.5	-27	-29	0	36
60	8	2	26	30	0	-36
62	8	2.5	-26	-30	0	35
64	9	1	22	31	29	36
67	9	1.75	-22	-31	-29	35
68	9	2	-22	29	31	33
72	10	1	26	28	30	35
75	10	1.75	-26	29	-30	-35
76	10	2	28	30	26	-35
80	11	1	24	26	0	35
82	11	1.5	26	-26	28	-35
84	11	2	25	0	29	34
86	11	2.5	-25	27	30	-34
88	12	1	24	28	31	33
90	12	1.5	-24	-28	30	-33
91	12	1.75	-24	-28	28	-33
92	12	2	-24	31	29	0
94	12	2.5	-24	-31	28	33
95	12	2.75	-24	30	-28	-33
96	13	1	25	29	0	34
98	13	1.5	26	28	30	35
100	13	2	22	26	31	36
102	13	2.5	23	25	32	34
104	14	1	24	28	33	33
106	14	1.5	25	27	32	0
107	14	1.75	-25	-27	30	0
108	14	2	22	26	31	33
109	14	2.25	-22	-26	29	-33
110	14	2.5	25	25	-29	34
111	14	2.75	-25	-25	30	32
112	15	1	24	0	29	33
113	15	1.25	-24	0	27	-33
114	15	1.5	23	0	28	32
116	15	2	22	26	29	33
118	15	2.5	29	25	-29	34
121	16	1.25	-29	-25	0	33
122	16	1.5	28	26	0	33
124	16	2	27	29	29	-33
126	16	2.5	-27	27	-29	32
128	17	1	26	28	31	33
130	17	1.5	-26	-28	30	-33
131	17	1.75	-26	26	-30	-33
132	17	2	-26	28	-30	0
134	17	2.5	-26	29	28	0
135	17	2.75	-26	30	-28	0
136	18	1	24	31	29	33
138	18	1.5	-24	-31	28	-33
139	18	1.75	-24	-31	-28	34
140	18	2	26	30	-28	35
142	18	2.5	27	29	31	36
144	19	1	25	-29	-31	34
146	19	1.5	-25	27	30	-34
148	19	2	24	28	31	33
152	20	1	27	0	0	36
156	20	2	26	0	31	35
158	20	2.5	27	0	-31	36
160	21	1	28	0	30	-36
162	21	1.5	26	0	28	35
164	21	2	25	0	29	-35
166	21	2.5	-25	0	-29	34
168	22	1	26	30	28	35
170	22	1.5	-26	-30	26	-35
171	22	1.75	25	-30	-26	-35
172	22	2	24	31	-26	0
