**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	24	31
4	1	2	0	0	24	-31
7	1	2.75	0	0	25	-31
8	1	3	0	0	26	31
10	1	3.5	0	0	27	-31
12	2	1	0	0	-27	32
14	2	1.5	0	0	28	-32
15	2	1.75	0	0	-28	33
16	2	2	0	0	29	34
18	2	2.5	0	0	-29	33
19	2	2.75	0	0	28	-33
20	2	3	0	0	27	-33
22	2	3.5	0	0	-27	32
24	3	1	0	24	26	33
27	3	1.75	0	25	-26	-33
28	3	2	0	26	30	0
29	3	2.25	0	27	-30	0
30	3	2.5	0	28	-30	32
32	3	3	0	-28	-30	33
33	3	3.25	0	27	-30	-33
34	3	3.5	0	25	-30	34
36	4	1	0	26	30	35
40	4	2	0	25	-30	-35
42	4	2.5	0	24	31	-35
44	4	3	0	25	29	34
48	5	1	0	25	0	32
50	5	1.5	0	-25	29	-32
52	5	2	22	29	-29	33
53	5	2.25	-22	-29	30	-33
54	5	2.5	-22	-29	31	-33
57	5	3.25	-22	-29	30	-33
58	5	3.5	-22	-29	29	-33
59	5	3.75	-22	-29	28	-33
60	6	1	23	25	27	32
63	6	1.75	-23	-25	28	-32
64	6	2	22	24	29	0
66	6	2.5	23	25	27	32
68	6	3	21	23	28	-32
69	6	3.25	-21	-23	-28	31
70	6	3.5	-21	-23	-28	32
71	6	3.75	-21	-23	-28	33
72	7	1	20	24	29	34
74	7	1.5	18	25	-29	-34
76	7	2	18	22	32	-34
78	7	2.5	-18	29	-32	33
79	7	2.75	-18	-29	-32	34
80	7	3	19	-29	30	35
81	7	3.25	-19	-29	-30	34
82	7	3.5	-19	28	-30	33
83	7	3.75	-19	-28	-30	32
84	8	1	20	29	29	31
86	8	1.5	22	-29	27	-31
88	8	2	21	30	28	32
90	8	2.5	24	28	24	33
92	8	3	-24	29	31	-33
94	8	3.5	20	-29	-31	34
96	9	1	21	28	30	32
98	9	1.5	17	26	31	33
100	9	2	19	28	30	-33
101	9	2.25	-19	-28	-30	31
102	9	2.5	20	27	29	31
104	9	3	21	25	28	-31
106	9	3.5	-21	-25	-28	30
108	10	1	17	24	26	31
112	10	2	20	0	27	-31
114	10	2.5	19	24	28	-31
116	10	3	20	-24	29	0
118	10	3.5	-20	25	-29	0
120	11	1	0	26	28	31
122	11	1.5	22	-26	26	-31
124	11	2	20	27	29	-31
126	11	2.5	18	-27	-29	32
128	11	3	22	0	31	33
130	11	3.5	24	26	-31	-33
132	12	1	-24	28	0	33
133	12	1.25	23	-28	0	-33
134	12	1.5	21	-28	30	-33
135	12	1.75	-21	27	-30	-33
136	12	2	22	26	29	-33
138	12	2.5	24	-26	-29	-33
140	12	3	21	25	30	35
143	12	3.75	20	-25	29	-35
144	13	1	19	0	28	35
145	13	1.25	18	0	27	-35
146	13	1.5	17	26	26	-35
148	13	2	18	-26	29	34
150	13	2.5	-18	25	-29	32
152	13	3	22	-25	-29	33
154	13	3.5	-22	24	-29	-33
156	14	1	23	25	0	32
158	14	1.5	22	24	29	33
160	14	2	23	25	-29	-33
161	14	2.25	-23	-25	-29	32
162	14	2.5	-23	-25	28	32
164	14	3	22	26	29	-32
166	14	3.5	-22	-26	-29	31
168	15	1	0	25	27	32
170	15	1.5	23	-25	-27	-32
172	15	2	-23	27	0	-32
174	15	2.5	22	-27	0	-32
175	15	2.75	21	-27	0	-32
176	15	3	20	-27	31	34
178	15	3.5	-20	26	-31	-34
179	15	3.75	-20	25	-31	-34
180	16	1	20	24	-31	-34
184	16	2	22	0	29	31
186	16	2.5	-22	24	-29	-31
188	16	3	-22	26	-29	-31
190	16	3.5	-22	27	-29	-31
192	17	1	-22	26	29	33
194	17	1.5	-22	24	-29	-33
196	17	2	18	25	29	34
200	17	3	21	0	28	32
201	17	3.25	-21	0	27	-32
202	17	3.5	-21	28	26	-32
203	17	3.75	20	-28	25	-32
204	18	1	19	-28	26	0
205	18	1.25	-19	27	-26	0
206	18	1.5	22	26	24	31
207	18	1.75	-22	25	-24	-31
208	18	2	-22	24	31	33
209	18	2.25	23	-24	-31	-33
210	18	2.5	24	-24	-31	-33
211	18	2.75	-24	-24	-31	34
212	18	3	21	0	30	32
214	18	3.5	22	27	29	31
216	19	1	-22	26	0	33
217	19	1.25	24	-26	0	-33
218	19	1.5	23	25	0	34
219	19	1.75	-23	26	0	-34
220	19	2	-23	27	0	32
221	19	2.25	-23	28	0	-32
222	19	2.5	22	29	0	31
224	19	3	21	30	25	35
225	19	3.25	20	-30	-25	-35
226	19	3.5	19	28	26	-35
227	19	3.75	18	-28	-26	34
228	20	1	17	-28	-26	33
230	20	1.5	18	27	29	32
232	20	2	21	28	30	-32
233	20	2.25	-21	-28	28	31
234	20	2.5	22	24	-28	31
235	20	2.75	-22	-24	27	-31
236	20	3	21	25	28	-31
238	20	3.5	-21	-25	-28	30
240	21	1	17	24	-28	31
252	22	1	0	0	0	0
252	22	1	0	0	28	0
260	23	1	0	0	29	0
264	23	3	21	0	28	0
268	24	1	22	0	27	0
272	24	3	21	28	26	0
274	24	4	-21	-28	26	0
276	25	1	20	29	-26	0
278	25	2	-20	-29	25	0
280	25	3	19	28	26	0
284	26	1	0	27	0	32
288	26	3	0	-27	29	-32
292	27	1	0	26	30	33
296	27	3	21	28	-30	32
300	28	1	22	0	26	31
302	28	2	20	0	27	-31
304	28	3	-20	29	-27	-31
305	28	3.5	21	-29	26	-31
306	28	4	22	-29	24	-31
307	28	4.5	-22	-29	25	-31
308	29	1	19	-29	26	30
312	29	3	26	28	0	-30
316	30	1	-26	27	0	0
318	30	2	25	-27	0	0
319	30	2.5	24	-27	0	0
320	30	3	25	-27	0	0
324	31	1	26	26	26	35
325	31	1.5	-26	-26	27	-35
326	31	2	-26	-26	28	-35
327	31	2.5	-26	-26	29	-35
328	31	3	-26	-26	30	-35
330	31	4	24	-26	31	-35
332	32	1	27	0	-31	36
334	32	2	-27	0	29	-36
336	32	3	26	0	30	35
338	32	4	-26	0	31	-35
340	33	1	25	0	32	34
342	33	2	-25	0	31	-34
346	33	4	-25	0	30	-34
348	34	1	24	28	31	33
356	35	1	20	29	31	34
360	35	3	17	28	24	33
364	36	1	18	27	22	32
366	36	2	-18	-27	-22	31
367	36	2.5	-18	-27	-22	30
368	36	3	-18	-27	25	29
372	37	1	19	26	23	28
374	37	2	-19	-26	24	-28
376	37	3	0	-26	23	-28
378	37	4	21	-26	26	-28
