**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	24	31
4	1	5	0	0	24	-31
7	1	8	0	0	25	-31
8	1	9	0	0	26	31
10	1	11	0	0	27	-31
12	2	1	0	0	-27	32
14	2	3	0	0	28	-32
16	2	5	0	0	28	32
18	2	7	0	0	27	32
20	2	9	0	0	-27	32
22	2	11	0	0	26	-32
23	2	12	0	0	25	-32
24	3	1	0	24	24	33
26	3	3	24	-24	-24	-33
28	3	5	-24	24	0	0
30	3	7	22	-24	0	0
32	3	9	-22	24	0	0
34	3	11	20	-24	0	0
36	4	1	-20	25	0	0
38	4	3	21	-25	0	0
40	4	5	-21	25	0	0
42	4	7	20	25	0	0
44	4	9	21	25	0	0
45	4	10	20	-25	0	0
46	4	11	19	-25	0	0
47	4	12	18	-25	0	0
48	5	1	17	26	0	0
52	5	5	19	26	28	30
54	5	7	19	26	28	30
56	5	9	22	26	29	31
59	5	12	22	26	29	31
60	6	1	19	26	28	30
64	6	5	22	26	24	29
66	6	7	22	26	-24	29
67	6	8	-22	-26	25	-29
68	6	9	24	26	26	28
69	6	10	-24	-26	27	-28
70	6	11	-24	-26	28	31
71	6	12	23	-26	29	-31
72	7	1	21	28	30	32
74	7	3	24	28	31	33
76	7	5	25	27	29	-33
77	7	6	-25	-27	-29	32
78	7	7	23	25	28	32
80	7	9	22	26	29	-32
82	7	11	22	26	29	31
84	8	1	18	25	29	32
88	8	5	0	0	0	0
90	8	7	18	25	27	29
92	8	9	21	25	28	30
94	8	11	21	25	-28	30
95	8	12	-21	-25	25	-30
96	9	1	20	25	27	29
98	9	3	18	25	27	29
99	9	4	18	25	27	29
100	9	5	21	25	28	30
102	9	7	22	24	27	29
104	9	9	21	25	28	30
106	9	11	19	26	24	28
108	10	1	18	27	25	29
110	10	3	20	-27	24	-29
111	10	4	-20	-27	22	-29
112	10	5	-20	27	29	31
114	10	7	20	27	-29	31
116	10	9	23	27	25	32
117	10	10	-23	-27	26	-32
118	10	11	23	27	27	32
119	10	12	-23	-27	28	-32
120	11	1	22	24	29	33
123	11	4	-22	-24	30	-33
124	11	5	20	24	31	0
126	11	7	19	-24	28	35
128	11	9	17	26	-28	-35
129	11	10	-17	-26	-28	34
130	11	11	24	-26	28	33
131	11	12	-24	-26	-28	32
132	12	1	22	27	29	31
134	12	3	23	-27	25	32
136	12	5	22	24	26	-32
138	12	7	-22	-24	27	31
140	12	9	21	25	28	-31
142	12	11	-21	-25	-28	30
144	13	1	0	24	0	31
146	13	3	17	-24	0	-31
148	13	5	20	0	29	-31
150	13	7	-20	24	-29	-31
151	13	8	21	-24	-29	-31
152	13	9	22	24	26	0
154	13	11	22	24	26	0
156	14	1	23	25	28	0
158	14	3	-23	25	28	0
160	14	5	22	26	29	31
162	14	7	-22	-26	-29	31
164	14	9	-22	26	29	31
165	14	10	-22	-26	-29	31
166	14	11	-22	26	29	31
168	15	1	25	27	29	32
170	15	3	-25	27	29	32
172	15	5	24	26	31	33
174	15	7	-24	28	31	-33
175	15	8	-24	-28	31	-33
176	15	9	24	-28	31	33
177	15	10	-24	27	-31	-33
178	15	11	-24	26	-31	35
179	15	12	-24	25	-31	-35
180	16	1	0	24	28	-35
181	16	2	0	-24	-28	34
182	16	3	0	-24	29	33
183	16	4	0	23	-29	32
184	16	5	0	22	29	34
186	16	7	0	25	-29	-34
187	16	8	0	-25	29	-34
188	16	9	22	-25	29	33
190	16	11	-22	24	-29	-33
192	17	1	23	25	0	32
194	17	3	-23	-25	27	-32
195	17	4	24	-25	-27	-32
196	17	5	25	0	27	0
198	17	7	23	0	-27	32
199	17	8	-23	0	25	-32
200	17	9	22	0	26	31
202	17	11	-22	0	27	31
204	18	1	21	0	28	32
206	18	3	19	24	-28	33
208	18	5	18	25	29	34
210	18	7	-18	-25	-29	33
211	18	8	-18	-25	-29	32
212	18	9	22	26	0	31
214	18	11	-22	-26	22	-31
216	19	1	0	27	25	0
218	19	3	18	-27	-25	0
219	19	4	-18	-27	23	0
220	19	5	19	0	24	0
222	19	7	18	27	25	0
224	19	9	21	27	-25	0
226	19	11	-21	26	23	0
228	20	1	20	27	24	29
230	20	3	-20	-27	27	-29
231	20	4	-20	-27	-27	30
232	20	5	22	24	26	31
233	20	6	-22	-24	-26	32
234	20	7	-22	-24	22	33
235	20	8	21	25	-22	34
236	20	9	19	26	21	35
237	20	10	-19	27	22	-35
238	20	11	-19	28	23	33
239	20	12	-19	-28	24	-33
240	21	1	18	29	25	34
241	21	2	-18	-29	26	-34
242	21	3	-18	27	27	-34
243	21	4	19	-27	28	33
244	21	5	20	-27	29	32
245	21	6	21	-27	-29	31
246	21	7	22	24	27	31
248	21	9	21	25	28	-31
250	21	11	-21	-25	-28	30
252	22	1	17	24	0	31
254	22	3	-17	-24	21	-31
255	22	4	18	-24	-21	-31
256	22	5	19	28	-21	0
257	22	6	20	-28	22	0
258	22	7	21	-28	23	0
259	22	8	22	-28	24	0
260	22	9	23	28	25	0
262	22	11	24	28	24	0
264	23	1	20	29	-24	0
265	23	2	-20	-29	25	0
266	23	3	19	28	26	0
268	23	5	17	-28	-26	0
270	23	7	-17	27	24	0
271	23	8	-17	26	-24	0
272	23	9	18	27	-24	0
274	23	11	-18	-27	23	0
276	24	1	17	26	24	35
278	24	3	24	-26	26	-35
280	24	5	-24	0	-26	35
281	24	6	25	0	25	-35
282	24	7	26	0	24	35
284	24	9	27	0	31	36
286	24	11	26	0	-31	35
288	25	1	-26	0	24	-35
290	25	3	24	0	-24	34
291	25	4	-24	0	-24	33
292	25	5	-24	0	25	34
294	25	7	23	0	-25	34
296	25	9	24	28	24	33
298	25	11	-24	-28	31	-33
299	25	12	25	-28	-31	-33
300	26	1	26	28	30	0
302	26	3	19	28	-30	0
304	26	5	20	29	29	0
306	26	7	19	28	30	0
310	26	11	26	26	29	0
311	26	12	-26	-26	28	0
312	27	1	-26	27	29	0
314	27	3	25	-27	-29	0
316	27	5	26	26	0	35
318	27	7	24	-26	26	-35
319	27	8	-24	-26	27	-35
320	27	9	-24	0	28	35
321	27	10	23	0	29	-35
322	27	11	21	0	30	35
324	28	1	20	0	31	36
326	28	3	24	0	-31	35
328	28	5	23	0	0	-35
330	28	7	24	0	31	34
331	28	8	-24	0	-31	33
332	28	9	25	0	29	34
334	28	11	-25	0	-29	34
335	28	12	-25	0	30	-34
336	29	1	0	28	31	33
338	29	3	24	-28	-31	-33
340	29	5	-24	28	0	0
341	29	6	25	-28	0	0
342	29	7	26	28	24	0
344	29	9	22	29	-24	0
346	29	11	23	28	25	0
348	30	1	24	-28	26	0
350	30	3	17	26	24	0
352	30	5	18	27	-24	0
354	30	7	-18	-27	23	0
356	30	9	17	26	26	35
358	30	11	21	-26	25	-35
360	31	1	19	0	24	-35
362	31	3	18	0	25	34
364	31	5	17	28	28	33
366	31	7	24	-28	-28	-33
367	31	8	-24	-28	29	-33
368	31	9	23	28	30	32
370	31	11	21	-28	-30	-32
372	32	1	25	27	29	-32
376	32	5	22	26	29	31
378	32	7	24	-26	28	-31
379	32	8	-24	-26	29	-31
380	32	9	21	25	30	32
382	32	11	18	-25	29	34
384	33	1	22	24	-29	33
386	33	3	-22	-24	29	-33
388	33	5	23	25	27	0
390	33	7	-23	27	-27	32
392	33	9	0	26	28	-32
394	33	11	22	-26	29	31
396	34	1	23	25	27	34
398	34	3	-23	27	25	-34
399	34	4	-23	-27	-25	33
400	34	5	-23	-27	-25	32
401	34	6	-23	26	26	31
402	34	7	22	25	27	31
403	34	8	-22	24	-27	-31
404	34	9	21	25	28	-31
406	34	11	-21	-25	-28	30
408	35	1	17	24	-28	31
420	36	1	0	0	0	0
420	36	1	22	24	26	0
428	37	1	22	24	26	0
432	37	3	24	24	26	0
436	38	1	23	25	27	0
440	38	3	23	25	28	0
444	39	1	22	26	29	31
452	40	1	20	0	0	31
456	40	3	22	26	29	31
460	41	1	21	28	30	32
464	41	3	-21	-28	-30	32
466	41	4	-21	28	30	-32
468	42	1	17	28	31	33
472	42	3	-17	28	31	-33
476	43	1	20	29	31	0
480	43	3	24	28	-31	33
482	43	4	-24	-28	30	-33
483	43	4.5	-24	-28	29	-33
484	44	1	-24	26	28	35
486	44	2	24	-26	-28	-35
488	44	3	24	-26	-28	-35
492	45	1	25	0	0	34
496	45	3	-25	0	29	34
500	46	1	22	24	-29	33
503	46	2.5	-22	25	-29	-33
504	46	3	24	26	28	-33
507	46	4.5	-24	27	-28	-33
508	47	1	21	28	30	32
516	48	1	0	0	0	0
520	48	3	21	28	30	32
528	49	3	18	27	29	32
532	50	1	21	25	28	32
536	50	3	22	22	26	31
540	51	1	21	23	28	32
544	51	3	19	24	28	33
548	52	1	18	25	29	34
551	52	2.5	-18	26	-29	-34
552	52	3	-18	27	-29	-34
554	52	4	19	-27	-29	33
555	52	4.5	-19	-27	-29	32
556	53	1	20	-27	29	31
558	53	2	-20	26	-29	-31
559	53	2.5	-20	25	-29	-31
560	53	3	-20	24	-29	-31
562	53	4	19	-24	28	-31
563	53	4.5	18	-24	27	-31
564	54	1	17	0	28	0
572	55	1	24	28	31	33
580	56	1	23	25	32	34
586	56	4	22	26	31	33
588	57	1	23	27	30	32
