**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	25	32
3	1	1.75	-25	0	26	-32
4	1	2	-25	0	27	-32
6	1	2.5	21	0	28	-32
8	1	3	25	0	29	34
12	2	1	24	28	0	33
14	2	1.5	23	-28	28	32
16	2	2	24	-28	-28	33
18	2	2.5	-24	-28	26	-33
20	2	3	21	30	28	32
24	3	1	20	29	25	0
26	3	1.5	19	28	28	33
28	3	2	22	29	26	-33
30	3	2.5	-22	-29	-26	31
32	3	3	19	28	-26	30
36	4	1	20	0	24	29
38	4	1.5	-20	29	27	-29
39	4	1.75	-20	-29	-27	30
40	4	2	-20	-29	-27	31
41	4	2.25	-20	-29	28	-31
42	4	2.5	18	27	29	32
44	4	3	22	26	-29	-32
46	4	3.5	-22	-26	29	31
48	5	1	0	25	27	32
50	5	1.5	25	-25	29	-32
51	5	1.75	-25	26	-29	-32
52	5	2	-25	27	-29	0
53	5	2.25	-25	-27	30	0
54	5	2.5	24	28	31	0
56	5	3	25	-28	-31	0
58	5	3.5	-25	27	30	0
60	6	1	24	28	31	33
66	6	2.5	-24	0	29	-33
68	6	3	21	0	30	35
72	7	1	25	29	29	34
76	7	2	24	-29	31	33
80	7	3	22	31	0	-33
82	7	3.5	-22	-31	24	-33
84	8	1	0	30	28	32
86	8	1.5	21	-30	-28	-32
87	8	1.75	-21	-30	-28	33
88	8	2	18	29	29	34
90	8	2.5	22	-29	-29	33
92	8	3	-22	-29	26	-33
94	8	3.5	22	-29	-26	32
95	8	3.75	-22	-29	-26	31
96	9	1	19	28	-26	30
98	9	1.5	-19	-28	28	-30
99	9	1.75	20	29	-28	-30
100	9	2	21	30	25	0
102	9	2.5	20	29	-25	0
103	9	2.75	-20	-29	26	0
104	9	3	18	-29	27	0
106	9	3.5	-18	28	26	0
107	9	3.75	-18	27	25	0
108	10	1	22	26	24	0
110	10	1.5	-22	-26	-24	29
111	10	1.75	-22	-26	22	-29
112	10	2	-22	0	29	31
115	10	2.75	-22	0	28	-31
115.5	10	2.875	-22	0	27	-31
116	10	3	-22	0	26	31
118	10	3.5	-22	0	29	-31
120	11	1	0	0	25	32
122	11	1.5	0	25	27	29
124	11	2	23	27	25	0
125	11	2.25	-23	-27	26	0
126	11	2.5	-23	-27	27	32
127	11	2.75	-23	-27	25	-32
128	11	3	22	27	29	-32
130	11	3.5	-22	-27	0	31
132	12	1	21	28	25	30
134	12	1.5	-21	25	-25	-30
135	12	1.75	-21	-25	-25	31
136	12	2	0	0	23	32
137	12	2.25	0	0	-23	30
138	12	2.5	0	28	24	33
140	12	3	0	-28	23	32
142	12	3.5	25	27	25	-32
144	13	1	24	26	28	0
146	13	1.5	22	-26	29	33
147	13	1.75	-22	27	-29	-33
148	13	2	24	28	26	-33
149	13	2.25	-24	26	-26	-33
150	13	2.5	20	29	27	29
152	13	3	21	28	25	30
154	13	3.5	23	-28	-25	32
156	14	1	22	0	26	31
158	14	1.5	20	29	27	-31
159	14	1.75	-20	-29	-27	30
160	14	2	22	-29	-27	31
162	14	2.5	23	25	-27	32
164	14	3	21	26	28	30
166	14	3.5	-21	28	-28	-30
168	15	1	18	27	29	29
170	15	1.5	-18	-27	32	34
171	15	1.75	-18	26	-32	-34
172	15	2	25	27	-32	-34
173	15	2.25	-25	-27	-32	32
174	15	2.5	21	28	30	32
176	15	3	22	26	29	-32
178	15	3.5	-22	-26	-29	31
180	16	1	18	25	-29	32
192	17	1	0	0	0	0
192	17	1	25	0	27	0
198	17	4	-25	0	26	0
199	17	4.5	-25	0	25	0
200	18	1	22	0	27	0
202	18	2	-22	0	26	0
203	18	2.5	-22	0	25	0
204	18	3	22	0	24	0
208	19	1	23	0	0	0
210	19	2	-23	0	32	0
214	19	4	22	0	31	0
215	19	4.5	21	0	30	0
216	20	1	23	0	32	0
218	20	2	22	0	31	0
219	20	2.5	21	0	30	0
220	20	3	20	0	29	0
224	21	1	18	0	0	34
226	21	2	-18	0	29	-34
230	21	4	-18	0	28	33
