**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	23	0	0	0
8	2	1	-23	27	0	0
16	3	1	20	-27	0	0
24	4	1	21	23	0	0
30	4	4	20	-23	0	0
32	5	1	19	28	0	0
36	5	3	24	-28	0	0
40	6	1	22	27	0	0
42	6	2	23	-27	0	0
44	6	3	24	26	0	0
48	7	1	23	28	30	0
50	7	2	-23	27	-30	0
52	7	3	-23	27	-30	0
56	8	1	0	0	-30	34
64	9	1	0	0	26	35
72	10	1	0	0	31	35
78	10	4	0	0	-31	34
79	10	4.5	0	0	-31	33
80	11	1	0	0	31	33
84	11	3	0	0	-31	35
86	11	4	0	0	30	-35
88	12	1	0	0	30	-35
90	12	2	0	0	-30	34
91	12	2.5	0	0	-30	35
92	12	3	0	0	29	34
94	12	4	0	0	-29	33
96	13	1	0	0	31	-33
98	13	2	0	0	30	35
100	13	3	0	0	32	34
102	13	4	0	0	-32	33
103	13	4.5	0	0	-32	32
104	14	1	0	0	31	33
106	14	2	0	0	30	32
108	14	3	0	0	-30	31
110	14	4	0	0	29	-31
112	15	1	21	28	30	30
118	15	4	-21	27	0	-30
120	16	1	-21	26	23	0
122	16	2	-21	25	-23	0
124	16	3	20	29	24	0
128	17	1	18	22	25	34
132	17	3	-18	0	22	36
134	17	4	-18	25	-22	-36
136	18	1	19	-25	0	35
138	18	2	-19	24	0	-35
139	18	2.5	-19	23	0	-35
140	18	3	-19	24	0	-35
144	19	1	18	25	29	34
152	20	1	0	26	28	30
156	20	3	20	22	29	31
160	21	1	-20	27	-29	-31
164	21	3	22	26	-29	-31
168	22	1	21	28	25	30
172	22	3	18	27	29	32
175	22	4.5	-18	-27	28	-32
176	23	1	22	0	26	31
180	23	3	-22	24	28	-31
181	23	3.5	-22	-24	27	-31
182	23	4	-22	-24	27	-31
183	23	4.5	-22	-24	26	-31
184	24	1	21	25	28	30
186	24	2	-21	26	-28	-30
188	24	3	-21	25	30	-30
190	24	4	-21	23	-30	-30
192	25	1	0	23	-30	32
194	25	2	0	-23	29	-32
195	25	2.5	0	-23	28	-32
196	25	3	0	0	30	-32
198	25	4	0	21	-30	-32
200	26	1	0	22	0	31
201	26	1.5	0	23	0	-31
202	26	2	0	24	26	-31
203	26	2.5	0	25	27	-31
204	26	3	0	26	28	30
205	26	3.5	0	-26	29	-30
206	26	4	21	23	30	32
208	27	1	22	0	29	31
210	27	2	21	0	32	30
212	27	3	23	0	-32	-30
213	27	3.5	-23	0	31	-30
214	27	4	-23	0	30	32
216	28	1	0	0	29	31
217	28	1.5	0	0	-29	30
218	28	2	23	0	28	29
219	28	2.5	-23	0	-28	28
220	28	3	24	0	-28	29
222	28	4	25	0	27	-29
224	29	1	26	30	28	28
226	29	2	19	-30	-28	-28
228	29	3	19	-30	-28	0
232	30	1	26	30	0	35
236	30	3	25	30	0	34
238	30	4	23	-30	0	-34
240	31	1	25	29	0	34
243	31	2.5	22	-29	0	-34
244	31	3	24	28	0	33
246	31	4	23	30	0	32
248	32	1	24	29	0	0
250	32	2	-24	28	0	33
252	32	3	23	-28	0	32
254	32	4	19	30	0	35
256	33	1	0	29	30	34
257	33	1.5	0	28	-30	-34
258	33	2	19	27	-30	33
259	33	2.5	-19	26	-30	-33
260	33	3	23	27	-30	-33
262	33	4	-23	-27	-30	32
264	34	1	24	26	28	33
268	34	3	22	29	31	33
272	35	1	0	29	31	36
273	35	1.5	0	28	-31	-36
274	35	2	0	27	-31	-36
275	35	2.5	0	26	-31	-36
276	35	3	0	25	32	-36
278	35	4	0	-25	-32	35
280	36	1	0	0	-32	34
282	36	2	0	0	31	33
284	36	3	0	21	30	32
286	36	4	0	22	29	31
288	37	1	0	23	28	30
290	37	2	0	24	27	29
291	37	2.5	0	-24	26	-29
292	37	3	0	25	27	32
294	37	4	0	26	28	31
296	38	1	0	23	-28	-31
297	38	1.5	0	-23	27	30
298	38	2	0	-23	27	30
300	38	3	0	24	-27	-30
302	38	4	0	-24	26	29
304	39	1	0	23	28	30
306	39	2	0	-23	27	-30
308	39	3	23	-23	-27	-30
310	39	4	-23	-23	30	-30
312	40	1	24	0	29	33
314	40	2	-24	0	28	-33
316	40	3	24	0	29	-33
318	40	4	-24	0	31	-33
319	40	4.5	23	0	-31	-33
320	41	1	22	0	-31	-33
321	41	1.5	-22	0	30	-33
322	41	2	21	28	30	-33
324	41	3	24	-28	-30	-33
326	41	4	-24	26	29	-33
328	42	1	23	27	30	32
330	42	2	-23	23	-30	-32
332	42	3	-23	27	-30	-32
336	43	1	19	28	30	0
338	43	2	23	-28	-30	0
339	43	2.5	-23	27	-30	0
340	43	3	24	26	28	0
341	43	3.5	23	25	-28	0
342	43	4	22	24	29	0
343	43	4.5	21	23	-29	0
344	44	1	20	25	-29	0
346	44	2	23	-25	27	0
348	44	3	-23	24	26	0
350	44	4	22	-24	29	0
352	45	1	23	0	28	0
354	45	2	20	0	27	0
356	45	3	21	23	-27	0
358	45	4	-21	-23	26	0
360	46	1	20	22	27	36
364	46	3	18	25	-27	-36
366	46	4	-18	25	-27	-36
368	47	1	19	23	0	35
372	47	3	-19	24	0	35
374	47	4	-19	-24	0	35
376	48	1	18	25	29	34
380	48	3	19	23	28	33
382	48	4	-19	-23	26	-33
384	49	1	20	22	-26	36
386	49	2	-20	-22	25	-36
387	49	2.5	-20	-22	24	-36
388	49	3	-20	0	25	-36
390	49	4	-20	25	25	-36
392	50	1	19	28	23	0
396	50	3	0	27	-23	32
400	51	1	17	0	24	35
403	51	2.5	18	0	-24	-35
404	51	3	19	30	23	-35
405	51	3.5	20	-30	-23	-35
406	51	4	21	-30	-23	-35
407	51	4.5	22	-30	-23	-35
408	52	1	23	-30	23	34
412	52	3	24	28	0	33
414	52	4	-24	-28	24	-33
416	53	1	22	29	-24	-33
417	53	1.5	-22	-29	25	-33
418	53	2	-22	-29	26	-33
419	53	2.5	-22	-29	27	-33
420	53	3	23	25	28	32
421	53	3.5	-23	-25	29	-32
423	53	4.5	-23	-25	28	-32
424	54	1	22	26	29	31
428	54	3	-22	-26	29	-31
430	54	4	-22	-26	-29	30
431	54	4.5	-22	-26	-29	31
432	55	1	18	25	27	32
440	56	1	19	23	26	28
446	56	4	-19	-23	25	-28
447	56	4.5	-19	-23	24	-28
448	57	1	19	26	23	-28
452	57	3	-19	-26	28	-28
456	58	1	20	22	29	31
458	58	2	-20	23	-29	-31
460	58	3	-20	24	-29	-31
462	58	4	19	25	28	-31
463	58	4.5	18	-25	27	-31
464	59	1	17	26	28	-31
468	59	3	18	27	25	29
472	60	1	0	28	-25	32
474	60	2	0	-28	23	-32
476	60	3	0	27	23	-32
478	60	4	0	28	-23	31
479	60	4.5	0	-28	-23	30
480	61	1	0	-28	30	32
482	61	2	0	21	-30	-32
484	61	3	0	22	29	31
486	61	4	0	26	28	-31
488	62	1	0	-26	-28	30
490	62	2	0	25	27	30
492	62	3	0	24	-27	-30
494	62	4	0	-24	26	29
496	63	1	21	23	28	30
498	63	2	-21	26	-28	-30
502	63	4	-21	25	-28	0
504	64	1	21	-25	-28	0
506	64	2	-21	23	-28	0
508	64	3	-21	-23	25	0
510	64	4	20	22	-25	0
511	64	4.5	19	21	-25	0
512	65	1	18	23	0	34
514	65	2	-18	22	32	-34
516	65	3	-18	29	-32	-34
518	65	4	-18	-29	31	-34
519	65	4.5	-18	-29	30	-34
520	66	1	25	-29	29	-34
524	66	3	-25	27	29	-34
528	67	1	24	26	31	35
530	67	2	-24	-26	30	-35
532	67	3	24	-26	-30	-35
534	67	4	-24	-26	29	34
535	67	4.5	-24	-26	-29	33
536	68	1	23	27	30	32
544	69	1	21	23	-30	0
547	69	2.5	20	-23	-30	0
548	69	3	19	23	30	35
550	69	4	21	-23	-30	-35
551	69	4.5	-21	24	-30	-35
552	70	1	18	25	29	34
554	70	2	19	23	28	33
556	70	3	23	-23	27	32
558	70	4	-23	27	-27	-32
560	71	1	19	28	30	33
562	71	2	23	27	-30	35
563	71	2.5	-23	26	-30	-35
564	71	3	-23	25	0	34
566	71	4	24	26	29	33
568	72	1	23	27	30	32
570	72	2	22	-27	27	36
572	72	3	24	0	26	-36
573	72	3.5	-24	0	-26	35
574	72	4	-24	22	29	34
575	72	4.5	-24	-22	-29	33
576	73	1	23	23	27	32
578	73	2	19	24	26	35
580	73	3	18	25	29	34
582	73	4	19	23	28	33
584	74	1	23	28	-28	32
586	74	2	22	29	31	33
588	74	3	23	27	30	-33
589	74	3.5	-23	-27	-30	32
590	74	4	-23	-27	-30	32
591	74	4.5	-23	-27	-30	31
592	75	1	19	26	31	33
595	75	2.5	-19	-26	30	-33
596	75	3	-19	-26	30	-33
*-	*-	*-	*-	*-	*-	*-
