**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	29
4	1	3	0	0	25	29
6	1	4	0	0	-25	29
8	2	1	0	0	25	32
10	2	2	0	0	25	-32
12	2	3	0	0	28	32
14	2	4	0	0	-28	33
16	3	1	0	22	29	-33
17	3	1.5	0	-22	-29	32
18	3	2	0	-22	28	31
19	3	2.5	0	-22	27	30
20	3	3	0	-22	26	31
23	3	4.5	0	-22	-26	30
24	4	1	18	22	25	32
27	4	2.5	-18	-22	26	-32
28	4	3	-18	22	27	29
29	4	3.5	-18	-22	28	-29
30	4	4	-18	-22	29	32
32	5	1	18	25	30	-32
34	5	2	-18	-25	28	31
35	5	2.5	-18	-25	-28	30
36	5	3	18	-25	-28	29
38	5	4	-18	-25	27	-29
40	6	1	21	0	28	28
44	6	3	-21	25	-28	35
46	6	4	-21	-25	27	-35
47	6	4.5	-21	-25	26	-35
48	7	1	0	27	25	36
50	7	2	0	-27	32	-36
51	7	2.5	0	-27	-32	35
52	7	3	21	28	-32	34
53	7	3.5	-21	-28	-32	33
54	7	4	-21	-28	30	33
56	8	1	23	27	-30	-33
58	8	2	-23	-27	30	32
60	8	3	24	26	28	33
62	8	4	-24	-26	-28	35
63	8	4.5	-24	-26	29	-35
64	9	1	23	0	30	-35
65	9	1.5	-23	0	31	34
66	9	2	-23	0	32	32
68	9	3	22	0	-32	33
70	9	4	-22	0	31	-33
72	10	1	0	27	32	29
76	10	3	0	28	32	0
78	10	4	0	-28	30	0
80	11	1	23	27	-30	32
82	11	2	-23	-27	30	-32
84	11	3	24	26	28	33
86	11	4	-24	-26	29	33
88	12	1	23	27	-29	32
90	12	2	-23	-27	25	-32
92	12	3	22	0	26	31
96	13	1	23	25	25	0
98	13	2	-23	-25	-25	32
100	13	3	0	26	28	31
102	13	4	0	-26	-28	30
104	14	1	21	25	-28	-30
106	14	2	-21	-25	-28	32
108	14	3	22	0	26	31
110	14	4	-22	0	27	29
112	15	1	21	23	28	32
114	15	2	-21	-23	-28	31
115	15	2.5	-21	-23	-28	30
116	15	3	0	24	0	29
118	15	4	0	25	29	-29
120	16	1	19	26	30	28
122	16	2	-19	-26	28	-28
124	16	3	20	0	29	31
126	16	4	21	25	28	30
127	16	4.5	-21	-25	27	-30
128	17	1	22	24	26	-30
130	17	2	-22	-24	-26	29
132	17	3	0	23	25	-29
134	17	4	21	-23	-25	32
136	18	1	20	22	0	-32
137	18	1.5	-20	-22	0	31
138	18	2	-20	-22	25	30
139	18	2.5	-20	-22	-25	29
140	18	3	19	0	-25	28
142	18	4	-19	0	24	-28
144	19	1	18	29	25	0
148	19	3	0	29	-25	36
150	19	4	0	29	-25	-36
152	20	1	25	27	0	36
154	20	2	-25	-27	29	36
156	20	3	25	25	-29	34
158	20	4	25	-25	27	-34
160	21	1	23	0	-27	32
162	21	2	-23	0	30	35
164	21	3	21	28	-30	-35
165	21	3.5	-21	-28	-30	34
166	21	4	-21	-28	30	33
167	21	4.5	-21	-28	-30	32
168	22	1	0	-28	-30	33
170	22	2	0	27	29	32
172	22	3	24	26	28	33
174	22	4	-24	25	-28	35
176	23	1	-24	26	-28	-35
177	23	1.5	-24	-26	-28	34
178	23	2	23	-26	-28	33
179	23	2.5	-23	-26	-28	32
180	23	3	22	-26	29	31
182	23	4	21	-26	30	32
184	24	1	22	22	29	31
186	24	2	-22	27	-29	32
188	24	3	-22	26	-29	-32
190	24	4	-22	-26	-29	31
192	25	1	18	25	29	32
*-	*-	*-	*-	*-	*-	*-
