**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	23	0	0	0
4	0	2	-23	0	27	0
8	1	1	22	0	-27	0
12	1	2	24	0	26	0
16	2	1	-24	0	28	0
20	2	2	23	0	-28	0
24	3	1	25	0	27	0
27	3	1.75	24	0	-27	0
28	3	2	22	0	29	0
30	3	2.5	24	0	-29	0
31	3	2.75	-24	0	28	0
32	4	1	-24	0	26	0
34	4	1.5	23	0	28	0
36	4	2	22	0	27	0
38	4	2.5	21	0	26	0
40	5	1	20	0	-26	0
42	5	1.5	-20	0	25	0
44	5	2	19	0	26	30
48	6	1	23	27	0	-30
51	6	1.75	24	-27	0	-30
52	6	2	25	-27	0	29
56	7	1	22	26	29	31
58	7	1.5	24	-26	28	-31
59	7	1.75	-24	-26	27	-31
60	7	2	-24	28	26	-31
62	7	2.5	23	-28	24	-31
63	7	2.75	22	-28	-24	-31
64	8	1	21	-28	25	30
66	8	1.5	20	-28	-25	-30
67	8	1.75	19	-28	-25	-30
68	8	2	18	27	25	29
71	8	2.75	-18	-27	-25	28
72	9	1	25	-27	0	29
73	9	1.25	-25	-27	0	30
74	9	1.5	24	28	26	31
76	9	2	23	-28	27	32
77	9	2.25	-23	27	-27	-32
78	9	2.5	-23	26	28	-32
79	9	2.75	-23	25	-28	30
80	10	1	22	26	29	31
84	10	2	0	27	29	32
86	10	2.5	18	-27	-29	-32
88	11	1	21	28	25	30
90	11	1.5	-21	-28	32	-30
91	11	1.75	22	-28	-32	31
92	11	2	23	27	-32	32
93	11	2.25	-23	-27	31	-32
94	11	2.5	-23	-27	30	-32
96	12	1	24	0	-30	33
98	12	1.5	-24	26	29	-33
100	12	2	23	27	30	32
102	12	2.5	21	28	-30	-32
104	13	1	24	-28	0	31
106	13	1.5	-24	27	26	29
107	13	1.75	-24	26	-26	-29
108	13	2	23	27	-26	30
110	13	2.5	-23	23	25	-30
112	14	1	19	-23	26	30
114	14	1.5	-19	26	28	-30
115	14	1.75	-19	-26	-28	31
116	14	2	0	25	27	32
118	14	2.5	19	28	26	33
120	15	1	21	-28	30	32
122	15	1.5	-21	27	-30	35
123	15	1.75	22	26	31	-35
124	15	2	23	25	32	34
126	15	2.5	-23	-25	30	32
128	16	1	24	0	-30	33
130	16	1.5	-24	26	29	-33
132	16	2	23	27	30	32
134	16	2.5	21	28	-30	35
136	17	1	24	26	28	-35
137	17	1.25	-24	-26	-28	34
138	17	1.5	-24	-26	-28	33
139	17	1.75	-24	-26	29	-33
140	17	2	23	27	30	-33
142	17	2.5	-23	-27	-30	32
144	18	1	22	29	31	33
146	18	1.5	24	-29	-31	-33
147	18	1.75	-24	28	30	-33
147.5	18	1.875	-24	27	-30	-33
148	18	2	-24	26	29	-33
150	18	2.5	23	25	28	-33
152	19	1	22	24	27	36
154	19	1.5	21	23	26	-36
156	19	2	20	-23	-26	-36
158	19	2.5	-20	22	25	-36
160	20	1	19	23	26	35
162	20	1.5	-19	26	-26	-35
164	20	2	0	-26	23	34
166	20	2.5	0	25	-23	-34
168	21	1	0	26	0	30
170	21	1.5	26	-26	28	-30
172	21	2	-26	23	-28	-30
174	21	2.5	25	-23	27	-30
176	22	1	26	0	28	-30
178	22	1.5	-26	26	26	-30
180	22	2	23	-26	27	-30
182	22	2.5	-23	25	-27	-30
184	23	1	0	26	28	-30
186	23	1.5	26	-26	26	-30
188	23	2	-26	23	27	-30
190	23	2.5	25	-23	-27	-30
192	24	1	26	28	0	30
194	24	1.5	23	-28	30	32
196	24	2	24	-28	-30	31
198	24	2.5	-24	27	29	33
199	24	2.75	-24	26	-29	-33
200	25	1	23	27	30	-33
202	25	1.5	-23	-27	-30	32
204	25	2	0	26	30	33
206	25	2.5	26	-26	-30	-33
207	25	2.75	-26	-26	29	-33
208	26	1	-26	-26	28	30
210	26	1.5	25	-26	27	-30
212	26	2	24	0	26	31
214	26	2.5	23	0	25	32
216	27	1	22	0	26	31
218	27	1.5	21	0	28	30
220	27	2	24	0	-28	31
222	27	2.5	-24	26	27	29
223	27	2.75	-24	-26	26	-29
224	28	1	23	-26	27	30
226	28	1.5	-23	25	-27	-30
228	28	2	0	24	28	26
230	28	2.5	0	23	-28	30
232	29	1	0	22	29	31
234	29	1.5	0	21	30	32
236	29	2	0	24	28	33
238	29	2.5	26	-24	27	-33
239	29	2.75	-26	-24	26	-33
240	30	1	-26	23	27	0
242	30	1.5	25	-23	-27	30
244	30	2	24	26	28	31
246	30	2.5	23	-26	-28	-31
247	30	2.75	-23	25	-28	-31
248	31	1	22	26	29	-31
249	31	1.25	-22	27	-29	-31
250	31	1.5	21	28	30	30
252	31	2	24	-28	26	31
253	31	2.25	-24	-28	27	-31
254	31	2.5	-24	27	28	33
255	31	2.75	-24	26	29	-33
256	32	1	23	27	30	-33
258	32	1.5	-23	-27	-30	32
260	32	2	24	26	28	33
263	32	2.75	23	-26	-28	32
264	33	1	22	-26	29	31
265	33	1.25	21	-26	-29	30
266	33	1.5	22	-26	-29	31
270	33	2.5	21	-26	22	30
271	33	2.75	20	-26	-22	29
272	34	1	19	-26	23	28
274	34	1.5	22	-26	24	29
276	34	2	19	-26	23	-29
278	34	2.5	-19	-26	-23	28
280	35	1	22	-26	24	29
282	35	1.5	-22	-26	22	31
286	35	2.5	-22	-26	29	30
287	35	2.75	-22	-26	-29	29
288	36	1	19	-26	-29	30
290	36	1.5	-19	-26	28	-30
292	36	2	22	-26	29	31
296	37	1	-22	-26	29	-31
300	37	2	19	-26	28	30
*-	*-	*-	*-	*-	*-	*-
