**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	18	25	0	32
4	0	3	18	22	0	-32
6	0	4	-18	25	0	-32
7	0	4.5	19	-25	0	-32
8	1	1	20	-25	0	-32
10	1	2	21	24	0	-32
11	1	2.5	-21	23	0	-32
12	1	3	-21	22	0	31
14	1	4	20	-22	0	-31
16	2	1	21	21	28	30
20	2	3	-21	28	25	-30
22	2	4	-21	-28	28	-30
24	3	1	-21	25	-28	30
25	3	1.5	-21	-25	27	-30
26	3	2	-21	28	26	-30
28	3	3	-21	-28	25	-30
29	3	3.5	-21	27	-25	-30
30	3	4	-21	28	-25	-30
30.5	3	4.25	-21	27	-25	-30
31	3	4.5	-21	26	26	-30
31.5	3	4.75	-21	25	-26	-30
32	4	1	22	24	27	29
34	4	2	-22	-24	26	-29
35	4	2.5	-22	25	-26	-29
36	4	3	22	26	24	-29
38	4	4	-22	22	-24	-29
39	4	4.5	23	-22	25	-29
40	5	1	24	-22	26	-29
42	5	2	25	21	-26	-29
43	5	2.5	-25	20	-26	-29
44	5	3	-25	19	-26	28
46	5	4	24	-19	-26	-28
48	6	1	25	18	22	27
50	6	2	-25	-18	25	-27
52	6	3	0	0	-25	26
54	6	4	0	22	24	-26
56	7	1	21	23	25	25
58	7	2	-21	24	28	-25
60	7	3	21	-24	28	-25
62	7	4	-21	23	-28	-25
63	7	4.5	-21	-23	27	-25
64	8	1	22	24	26	29
66	8	2	-22	-24	25	-29
67	8	2.5	-22	25	-25	-29
68	8	3	-22	26	24	-29
69	8	3.5	-22	25	-24	-29
70	8	4	20	27	23	-29
71	8	4.5	-20	-27	22	-29
72	9	1	21	26	23	28
74	9	2	-21	25	-23	-28
76	9	3	22	-25	0	27
78	9	4	-22	24	22	26
80	10	1	18	25	22	27
84	10	3	0	0	23	-27
86	10	4	0	25	-23	-27
88	11	1	21	25	-23	28
90	11	2	-21	-25	22	-28
91	11	2.5	-21	-25	21	-28
92	11	3	21	26	23	-28
96	12	1	22	26	24	26
98	12	2	-22	24	-24	-26
99	12	2.5	-22	-24	25	-26
100	12	3	-22	-24	26	-26
101	12	3.5	-22	-24	27	-26
102	12	4	21	23	26	-26
103	12	4.5	20	22	-26	-26
104	13	1	21	23	-26	-26
106	13	2	-21	-23	25	-26
108	13	3	22	22	-25	-26
110	13	4	-22	-22	24	-26
112	14	1	18	0	23	25
116	14	3	-18	0	22	-25
120	15	1	-18	20	0	-25
122	15	2	-18	-20	22	-25
124	15	3	-18	20	22	-25
128	16	1	0	21	23	-25
134	16	4	25	20	22	-25
135	16	4.5	-25	19	21	-25
136	17	1	-25	20	22	-25
138	17	2	24	-20	-22	-25
140	17	3	-24	21	21	-25
142	17	4	23	-21	28	-25
144	18	1	24	22	26	0
146	18	2	26	-22	24	0
148	18	3	25	18	27	0
151	18	4.5	24	-18	26	0
152	19	1	23	21	25	25
154	19	2	22	-21	24	-25
156	19	3	21	0	23	-25
160	20	1	0	0	24	26
162	20	2	0	24	-24	-26
163	20	2.5	0	-24	23	-26
164	20	3	0	24	22	-26
166	20	4	0	23	21	-26
168	21	1	0	24	22	-26
170	21	2	0	26	24	-26
172	21	3	0	25	23	27
173	21	3.5	0	-25	22	-27
174	21	4	0	-25	25	-27
175	21	4.5	0	24	-25	-27
176	22	1	0	23	-25	28
177	22	1.5	0	-23	24	-28
178	22	2	24	24	26	-28
180	22	3	24	21	-26	-28
181	22	3.5	-24	-21	25	-28
182	22	4	23	-21	25	-28
184	23	1	24	0	-25	-28
186	23	2	26	0	24	-28
188	23	3	25	0	25	27
190	23	4	-25	28	21	26
191	23	4.5	24	-28	-21	-26
192	24	1	23	28	-21	25
194	24	2	22	27	24	-25
196	24	3	21	28	-24	-25
197	24	3.5	-21	-28	23	-25
198	24	4	-21	-28	23	-25
199	24	4.5	-21	-28	22	-25
200	25	1	0	-28	24	28
202	25	2	24	-28	26	-28
204	25	3	24	21	26	-28
206	25	4	23	-21	25	-28
208	26	1	24	0	26	-28
210	26	2	26	28	24	-28
212	26	3	25	-28	0	29
214	26	4	-25	27	25	-29
215	26	4.5	24	-27	-25	-29
216	27	1	23	28	25	30
218	27	2	22	-28	-25	-30
219	27	2.5	-22	27	-25	-30
220	27	3	21	26	28	-30
222	27	4	-21	25	-28	-30
223	27	4.5	-21	-25	27	-30
224	28	1	22	24	26	31
226	28	2	22	-24	25	-31
228	28	3	22	26	24	-31
230	28	4	22	26	-24	-31
232	29	1	19	26	28	30
