**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	0
4	1	3	0	0	26	0
6	1	4	0	0	26	0
8	2	1	0	0	27	0
12	2	3	0	0	25	0
16	3	1	0	0	28	30
19	3	2.5	0	0	27	-30
20	3	3	0	0	26	30
21	3	3.5	0	0	25	-30
22	3	4	0	0	26	30
24	4	1	0	0	-26	31
25	4	1.5	0	0	25	-31
26	4	2	0	0	24	-31
27	4	2.5	0	0	23	-31
28	4	3	0	0	24	29
30	4	4	0	0	25	-29
32	5	1	0	0	-25	32
33	5	1.5	0	0	24	-32
34	5	2	0	0	23	-32
35	5	2.5	0	0	22	31
36	5	3	0	0	21	30
37	5	3.5	0	0	-21	29
38	5	4	0	0	28	30
40	6	1	23	0	-28	-30
41	6	1.5	-23	0	27	29
42	6	2	-23	0	26	28
44	6	3	23	0	-26	27
46	6	4	23	0	25	-27
48	7	1	24	26	26	26
52	7	3	22	26	0	0
54	7	4	-22	26	0	0
56	8	1	25	27	0	0
59	8	2.5	24	-27	0	0
60	8	3	23	25	0	0
61	8	3.5	22	-25	0	0
62	8	4	21	26	0	0
64	9	1	22	-26	0	33
65	9	1.5	-22	25	0	-33
66	9	2	21	25	0	-33
67	9	2.5	20	-25	0	-33
68	9	3	19	-25	0	33
70	9	4	19	24	0	33
72	10	1	18	25	29	34
76	10	3	-18	-25	29	32
78	10	4	-18	-25	29	-32
80	11	1	0	0	30	35
82	11	2	0	0	31	-35
83	11	2.5	0	0	-31	34
84	11	3	0	0	-31	33
85	11	3.5	0	0	30	32
86	11	4	0	0	29	33
88	12	1	0	26	28	-33
89	12	1.5	0	-26	-28	32
90	12	2	0	-26	29	31
92	12	3	0	26	-29	30
94	12	4	0	26	28	-30
96	13	1	25	27	29	29
100	13	3	25	-27	-29	0
102	13	4	25	25	-29	0
104	14	1	26	28	0	0
107	14	2.5	-26	27	0	0
108	14	3	24	28	0	0
110	14	4	-24	29	0	0
112	15	1	25	-29	0	0
113	15	1.5	-25	28	0	0
114	15	2	-25	27	29	0
115	15	2.5	-25	26	-29	0
116	15	3	25	27	29	0
118	15	4	-25	-27	29	0
120	16	1	23	-27	30	32
123	16	2.5	-23	-27	29	-32
124	16	3	-23	0	28	32
126	16	4	-23	0	27	32
128	17	1	0	0	26	33
129	17	1.5	0	0	27	-33
130	17	2	0	0	28	31
131	17	2.5	0	0	29	-31
132	17	3	0	0	30	32
134	17	4	0	0	31	33
137	18	1.5	0	0	30	32
138	18	2	22	26	29	31
139	18	2.5	-22	-26	28	30
140	18	3	22	26	29	31
142	18	4	22	27	-29	-31
144	19	1	21	28	30	30
147	19	2.5	22	28	-30	-30
148	19	3	23	27	0	0
150	19	4	24	26	0	0
152	20	1	-24	28	0	0
154	20	2	23	-28	0	0
156	20	3	22	27	0	0
158	20	4	24	26	0	0
161	21	1.5	23	25	0	0
162	21	2	22	24	26	0
163	21	2.5	21	23	-26	0
164	21	3	22	24	26	0
166	21	4	-22	-24	27	0
168	22	1	21	25	28	0
170	22	2	-21	-25	-28	30
172	22	3	0	0	-28	30
174	22	4	0	0	27	31
175	22	4.5	0	0	26	-31
176	23	1	0	0	25	32
178	23	2	0	23	30	-32
180	23	3	0	23	-30	-32
181	23	3.5	0	-23	29	-32
182	23	4	0	24	28	31
183	23	4.5	0	-24	-28	30
184	24	1	0	25	27	29
186	24	2	0	25	28	30
187	24	2.5	0	-25	27	-30
188	24	3	0	26	28	-30
189	24	3.5	0	-26	-28	29
190	24	4	19	28	26	28
191	24	4.5	-19	-28	-26	27
192	25	1	19	-28	-26	26
194	25	2	20	27	25	29
195	25	2.5	-20	26	24	-29
196	25	3	21	25	23	30
198	25	4	21	26	-23	30
200	26	1	22	-26	0	31
201	26	1.5	-22	25	0	30
202	26	2	-22	24	26	31
203	26	2.5	-22	23	-26	32
204	26	3	24	22	26	33
206	26	4	-24	-22	27	-33
208	27	1	-24	26	28	0
210	27	2	-24	-26	29	26
212	27	3	23	25	30	28
214	27	4	22	24	26	29
216	28	1	21	-24	26	30
218	28	2	20	23	-26	28
219	28	2.5	19	-23	-26	-28
220	28	3	20	-23	25	29
222	28	4	-20	22	-25	-29
224	29	1	19	23	26	28
230	29	4	-19	30	23	-28
232	30	1	0	29	25	0
234	30	2	0	28	26	35
236	30	3	0	30	23	35
238	30	4	23	-30	-23	34
239	30	4.5	-23	29	-23	-34
240	31	1	24	28	0	-34
241	31	1.5	-24	-28	0	33
242	31	2	25	27	0	32
243	31	2.5	-25	-27	0	31
244	31	3	26	28	0	30
246	31	4	-26	27	30	33
247	31	4.5	-26	26	-30	-33
248	32	1	0	27	29	33
250	32	2	23	-27	30	32
252	32	3	24	0	28	31
254	32	4	25	0	30	30
255	32	4.5	-25	0	-30	29
256	33	1	26	0	-30	28
258	33	2	27	0	29	31
260	33	3	26	0	-29	-31
262	33	4	-26	30	28	30
264	34	1	22	29	27	31
266	34	2	-22	-29	26	-31
267	34	2.5	-22	28	-26	-31
268	34	3	0	27	-26	30
270	34	4	0	-27	25	-30
272	35	1	0	30	26	28
273	35	1.5	0	-30	27	-28
274	35	2	19	-30	28	35
275	35	2.5	-19	-30	29	-35
276	35	3	21	-30	30	-35
278	35	4	22	29	31	34
280	36	1	23	28	30	-34
282	36	2	24	26	29	33
284	36	3	23	27	30	-33
286	36	4	-23	-27	-30	32
288	37	1	19	26	0	33
290	37	2	-19	-26	28	-33
292	37	3	0	0	27	0
294	37	4	24	0	26	0
296	38	1	23	0	27	0
298	38	2	22	0	-27	31
299	38	2.5	-22	0	27	-31
300	38	3	26	0	28	30
302	38	4	-26	24	26	29
304	39	1	0	23	27	30
306	39	2	0	22	29	33
308	39	3	0	26	-29	-33
310	39	4	24	-26	28	33
311	39	4.5	-24	27	-28	-33
312	40	1	23	28	-28	32
314	40	2	22	29	27	31
316	40	3	26	-29	28	30
318	40	4	-26	28	-28	-30
319	40	4.5	24	-28	-28	-30
320	41	1	25	27	0	-30
322	41	2	26	28	31	29
323	41	2.5	-26	-28	-31	28
324	41	3	-26	-28	30	28
325	41	3.5	25	27	-30	-28
326	41	4	23	25	-30	-28
328	42	1	24	26	29	0
330	42	2	25	27	-29	0
332	42	3	21	28	30	0
335	42	4.5	-21	27	-30	0
335.5	42	4.75	-21	26	-30	0
336	43	1	-21	25	0	0
338	43	2	-21	-25	28	0
340	43	3	0	0	27	0
342	43	4	24	0	26	0
344	44	1	23	0	27	0
346	44	2	22	0	27	31
348	44	3	26	0	28	30
350	44	4	-26	24	26	29
352	45	1	0	23	27	30
