**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	35
8	1	3	0	0	0	0	35
12	2	1	0	0	0	0	33
16	2	2	0	0	0	0	36
20	2	3	0	0	0	0	35
23	2	3.75	0	0	0	0	34
24	3	1	0	0	0	35	33
25	3	1.25	0	0	0	-35	32
26	3	1.5	0	0	0	-35	33
28	3	2	0	0	31	-35	-33
30	3	2.5	0	0	-31	-35	32
31	3	2.75	0	0	-31	-35	31
32	3	3	0	0	-31	35	33
35	3	3.75	0	0	-31	-35	34
36	4	1	0	0	31	33	35
38	4	1.5	0	0	-31	-33	36
40	4	2	0	0	29	36	-36
41	4	2.25	0	0	-29	-36	35
42	4	2.5	0	0	-29	-36	34
43	4	2.75	0	0	-29	-36	33
44	4	3	0	0	32	-36	34
48	5	1	0	28	-32	35	32
51	5	1.75	0	-28	-32	34	-32
52	5	2	24	-28	31	33	0
53	5	2.25	-24	-28	-31	32	0
54	5	2.5	-24	-28	-31	33	35
56	5	3	-24	28	-31	31	-35
58	5	3.5	-24	-28	30	-31	35
59	5	3.75	-24	-28	29	-31	-35
60	6	1	24	26	28	0	35
61	6	1.25	-24	-26	-28	0	34
62	6	1.5	-24	-26	-28	31	33
63	6	1.75	-24	-26	-28	-31	32
64	6	2	22	29	0	33	31
66	6	2.5	-22	-29	24	-33	-31
68	6	3	20	-29	27	34	-31
70	6	3.5	-20	-29	-27	-34	32
72	7	1	24	28	26	35	33
74	7	1.5	-24	-28	24	-35	-33
75	7	1.75	-24	27	-24	-35	-33
76	7	2	-24	26	28	31	-33
78	7	2.5	-24	25	-28	35	-33
79	7	2.75	-24	24	27	-35	-33
80	7	3	24	28	26	-35	0
81	7	3.25	-24	-28	25	34	0
82	7	3.5	-24	-28	26	33	31
83	7	3.75	23	-28	-26	32	-31
84	8	1	22	24	-26	33	38
85	8	1.25	21	-24	-26	-33	-38
86	8	1.5	22	-24	24	-33	-38
87	8	1.75	-22	-24	-24	-33	37
88	8	2	-22	0	26	0	36
89	8	2.25	-22	0	-26	0	35
90	8	2.5	20	24	27	31	36
92	8	3	24	26	28	31	-36
94	8	3.5	-24	-26	-28	-31	35
95	8	3.75	-24	27	29	32	-35
96	9	1	-24	28	30	33	-35
97	9	1.25	-24	-28	31	-33	-35
98	9	1.5	20	29	32	34	34
100	9	2	24	-29	-32	-34	35
102	9	2.5	-24	28	31	33	-35
104	9	3	25	-28	-31	-33	0
106	9	3.5	-25	27	30	32	32
108	10	1	24	28	31	33	35
112	10	2	-24	-28	0	-33	35
114	10	2.5	-24	-28	28	-33	35
116	10	3	-24	0	31	-33	36
118	10	3.5	-24	0	-31	-33	35
120	11	1	0	0	31	-33	33
122	11	1.5	0	24	31	-33	35
124	11	2	0	28	32	0	-35
125	11	2.25	0	-28	-32	0	34
126	11	2.5	21	-28	30	0	33
127	11	2.75	-21	-28	-30	0	32
128	11	3	24	28	31	0	33
130	11	3.5	-24	28	-31	0	-33
132	12	1	24	29	-31	0	-33
134	12	1.5	24	28	-31	0	-33
136	12	2	25	27	0	0	0
138	12	2.5	23	28	0	0	0
140	12	3	24	-28	0	0	0
141	12	3.25	-24	27	0	0	0
142	12	3.5	-24	26	0	0	0
143	12	3.75	-24	25	0	0	0
144	13	1	0	26	0	0	0
146	13	1.5	21	-26	0	0	0
148	13	2	22	0	0	0	0
150	13	2.5	24	24	0	0	0
152	13	3	23	25	0	0	0
154	13	3.5	22	27	0	0	0
156	14	1	21	26	0	0	0
158	14	1.5	-21	25	0	0	0
160	14	2	0	24	0	0	0
161	14	2.25	0	25	0	0	0
162	14	2.5	24	26	0	0	0
163	14	2.75	-24	24	0	0	0
164	14	3	23	25	0	0	0
166	14	3.5	24	26	0	0	0
169	15	1.25	25	27	0	0	0
170	15	1.5	26	28	0	0	0
171	15	1.75	24	26	0	0	0
172	15	2	25	27	0	0	0
174	15	2.5	26	28	0	0	0
176	15	3	-26	24	0	0	0
177	15	3.25	25	-24	0	0	0
178	15	3.5	24	-24	0	0	0
180	16	1	-24	25	0	0	0
182	16	1.5	23	-25	0	32	0
184	16	2	24	26	28	35	0
187	16	2.75	-24	25	-28	-35	0
188	16	3	-24	26	31	35	0
189	16	3.25	-24	27	-31	-35	0
190	16	3.5	-24	28	-31	35	0
191	16	3.75	-24	26	-31	-35	0
192	17	1	0	27	31	36	0
194	17	1.5	0	26	31	35	31
196	17	2	0	25	29	34	32
198	17	2.5	0	-25	30	33	34
