**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	31	35
4	1	3	0	0	0	-31	36
8	2	1	0	0	0	-31	35
12	2	3	0	0	0	-31	36
16	3	1	0	0	28	32	37
24	4	1	0	0	29	31	38
27	4	2.5	0	0	-29	-31	37
28	4	3	0	0	27	32	36
32	5	1	0	24	26	33	35
42	6	2	0	-24	-26	33	-35
46	6	4	0	-24	-26	32	-35
47	6	4.5	0	-24	-26	31	-35
48	7	1	21	25	0	30	-35
49	7	1.5	-21	-25	0	29	-35
50	7	2	-21	-25	0	31	-35
52	7	3	-21	-25	28	-31	-35
54	7	4	-21	-25	-28	30	-35
55	7	4.5	-21	-25	27	-30	-35
56	8	1	22	24	26	31	0
57	8	1.5	-22	-24	25	-31	0
58	8	2	-22	-24	24	-31	0
59	8	2.5	-22	-24	23	-31	0
60	8	3	20	25	22	0	0
64	9	1	19	26	23	28	35
72	10	1	22	24	22	31	36
78	10	4	-22	-24	29	30	35
79	10	4.5	-22	-24	-29	29	34
80	11	1	-22	-24	-29	31	33
82	11	2	-22	-24	28	-31	36
83	11	2.5	-22	-24	27	32	-36
84	11	3	-22	-24	26	33	-36
85	11	3.5	-22	-24	-26	-33	37
86	11	4	-22	-24	-26	-33	38
87	11	4.5	-22	-24	27	-33	-38
88	12	1	21	25	28	0	-38
90	12	2	-21	-25	-28	32	37
91	12	2.5	-21	-25	-28	-32	36
92	12	3	-21	-25	-28	-32	37
94	12	4	-21	-25	-28	32	-37
96	13	1	0	24	0	33	38
98	13	2	0	-24	28	-33	-38
99	13	2.5	0	-24	-28	34	-38
100	13	3	0	-24	-28	35	-38
101	13	3.5	0	-24	26	-35	-38
102	13	4	24	-24	27	31	-38
103	13	4.5	-24	-24	28	-31	-38
104	14	1	-24	0	26	33	0
106	14	2	23	0	29	-33	0
107	14	2.5	22	0	-29	-33	0
108	14	3	23	0	-29	32	0
110	14	4	-23	0	28	-32	0
112	15	1	22	0	29	0	0
114	15	2	-22	0	-29	33	0
115	15	2.5	-22	0	-29	32	0
116	15	3	-22	27	-29	31	0
117	15	3.5	-22	-27	-29	30	0
118	15	4	25	-27	-29	29	0
121	16	1.5	-25	-27	0	30	0
122	16	2	24	26	28	31	0
123	16	2.5	23	25	-28	32	0
124	16	3	24	26	-28	28	0
126	16	4	-24	-26	27	35	0
127	16	4.5	-24	-26	26	-35	0
128	17	1	25	25	27	34	36
129	17	1.5	-25	-25	-27	32	-36
130	17	2	-25	-25	-27	33	-36
131	17	2.5	-25	-25	26	34	-36
132	17	3	21	-25	25	35	37
134	17	4	-21	28	26	-35	-37
136	18	1	22	-28	-26	0	38
137	18	1.5	-22	-28	25	0	-38
138	18	2	-22	27	24	0	-38
139	18	2.5	-22	26	23	0	-38
140	18	3	-22	27	24	0	-38
142	18	4	-22	-27	-24	0	37
143	18	4.5	-22	-27	-24	0	36
144	19	1	21	28	25	35	37
152	20	1	-21	-28	0	32	-37
154	20	2	-21	-28	25	-32	-37
156	20	3	-21	-28	-25	35	-37
158	20	4	-21	-28	28	-35	-37
159	20	4.5	-21	-28	-28	34	-37
