**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	21	25	28
8	1	3	17	-21	26	28
12	2	1	-17	21	24	26
16	2	2	21	-21	23	-26
20	2	3	-21	23	25	28
22	2	3.5	-21	-23	26	-28
24	3	1	20	24	27	29
27	3	1.75	-20	-24	28	-29
28	3	2	-20	-24	29	31
29	3	2.25	-20	-24	28	-31
30	3	2.5	-20	-24	27	-31
31	3	2.75	-20	-24	26	-31
32	3	3	22	-24	27	-31
34	3	3.5	-22	-24	-27	30
36	4	1	21	25	28	30
40	4	2	-21	25	0	-30
42	4	2.5	-21	26	0	-30
44	4	3	19	-26	21	30
46	4	3.5	-19	26	-21	-30
48	5	1	20	24	22	29
50	5	1.5	-20	-24	22	-29
52	5	2	20	-24	-22	29
53	5	2.25	-20	-24	23	-29
54	5	2.5	19	-24	24	28
55	5	2.75	-19	-24	25	-28
56	5	3	-19	-24	26	-28
58	5	3.5	19	-24	-26	27
59	5	3.75	-19	-24	-26	26
60	6	1	18	25	22	27
63	6	1.75	-18	-25	-22	28
64	6	2	-18	-25	0	29
66	6	2.5	-18	-25	29	27
68	6	3	0	24	-29	26
69	6	3.25	0	-24	28	-26
70	6	3.5	0	-24	26	-26
72	7	1	18	0	27	25
80	7	3	22	24	26	0
84	8	1	22	-24	26	29
86	8	1.5	20	-24	27	-29
88	8	2	-20	25	-27	-29
89	8	2.25	-20	-25	28	-29
90	8	2.5	18	-25	29	-29
92	8	3	18	-25	-29	29
94	8	3.5	-18	-25	27	-29
96	9	1	21	25	28	30
99	9	1.75	-21	-25	27	-30
100	9	2	21	23	25	30
102	9	2.5	17	24	26	28
105	9	3.25	-17	25	-26	-28
106	9	3.5	21	23	25	28
108	10	1	18	22	-25	29
109	10	1.25	-18	-22	24	-29
110	10	1.5	21	21	23	30
112	10	2	-21	22	22	31
113	10	2.25	20	-22	-22	-31
114	10	2.5	20	-22	-22	-31
115	10	2.75	-20	-22	-22	32
116	10	3	21	21	0	30
118	10	3.5	-21	-21	23	-30
120	11	1	0	0	24	0
122	11	1.5	17	0	-24	26
123	11	1.75	-17	0	25	-26
124	11	2	18	0	23	27
126	11	2.5	19	0	-23	28
128	11	3	20	0	22	29
130	11	3.5	-20	0	25	-29
131	11	3.75	21	0	-25	30
132	12	1	19	0	-25	28
133	12	1.25	-19	0	24	-28
134	12	1.5	-19	21	24	26
136	12	2	18	22	25	27
138	12	2.5	-18	23	-25	-27
139	12	2.75	-18	-23	-25	28
140	12	3	0	24	0	26
143	12	3.75	0	25	0	-26
144	13	1	21	23	25	0
146	13	1.5	-21	-23	26	28
147	13	1.75	19	-23	-26	-28
148	13	2	20	0	25	29
150	13	2.5	21	0	28	30
152	13	3	22	24	-28	31
154	13	3.5	-22	-24	27	-31
155	13	3.75	-22	-24	-27	32
156	14	1	21	25	28	30
158	14	1.5	24	26	-28	28
159	14	1.75	-24	-26	27	-28
160	14	2	-24	-26	26	29
161	14	2.25	-24	-26	25	-29
162	14	2.5	23	25	28	30
164	14	3	22	-25	-28	31
166	14	3.5	-22	24	27	-31
167	14	3.75	-22	-24	-27	32
168	15	1	21	25	28	30
180	16	1	0	0	0	0
180	16	1	17	24	26	28
188	17	1	21	23	25	-28
196	18	1	19	21	24	28
204	19	1	18	22	25	27
212	20	1	0	0	0	26
216	20	3	22	24	26	-26
220	21	1	22	-24	26	0
222	21	2	20	-24	27	0
224	21	3	-20	24	-27	29
226	21	4	19	-24	27	-29
227	21	4.5	18	-24	-27	-29
228	22	1	17	-24	26	29
230	22	2	-17	-24	-26	28
232	22	3	-17	24	-26	-28
234	22	4	-17	-24	-26	28
236	23	1	22	-24	0	27
238	23	2	-22	-24	0	26
239	23	2.5	21	-24	0	-26
240	23	3	20	-24	24	29
242	23	4	19	-24	-24	-29
244	24	1	21	23	26	28
246	24	2	17	24	-26	-28
248	24	3	21	-24	25	-28
250	24	4	-21	23	-25	25
252	25	1	17	24	24	26
254	25	2	-17	-24	-24	28
256	25	3	-17	-24	24	-28
258	25	4	-17	-24	26	24
260	26	1	-17	-24	-26	28
262	26	2	-17	-24	27	29
264	26	3	-17	-24	28	28
266	26	4	-17	-24	-28	31
268	27	1	21	25	-28	-31
270	27	2	-21	-25	-28	30
272	27	3	-21	-25	28	30
275	27	4.5	-21	-25	-28	29
276	28	1	17	24	26	31
284	29	1	21	25	28	30
300	31	1	20	27	29	31
306	31	4	-20	-27	28	30
308	32	1	-20	24	27	29
312	32	3	17	-24	26	28
314	32	4	-17	23	-26	-28
316	33	1	18	22	25	27
320	33	3	19	21	28	26
323	33	4.5	20	-21	-28	-26
324	34	1	21	23	-28	25
326	34	2	-21	-23	-28	28
328	34	3	-21	-23	28	25
330	34	4	-21	-23	-28	28
332	35	1	18	22	29	-28
334	35	2	-18	-22	-29	27
335	35	2.5	-18	-22	-29	26
336	35	3	-18	-22	-29	27
338	35	4	-18	-22	28	-27
339	35	4.5	-18	-22	27	-27
340	36	1	0	0	28	26
341	36	1.5	0	0	27	-26
342	36	2	0	0	26	25
343	36	2.5	0	0	25	-25
344	36	3	0	0	26	-25
346	36	4	0	0	-26	24
348	37	1	18	22	0	25
350	37	2	-18	-22	25	27
353	37	3.5	-18	-22	26	28
354	37	4	-18	-22	27	29
356	38	1	0	0	28	30
357	38	1.5	0	0	27	29
358	38	2	0	0	26	28
359	38	2.5	0	0	25	27
360	38	3	0	0	26	28
364	39	1	18	22	25	27
368	39	3	-18	-22	-25	29
372	40	1	-18	-22	25	-29
374	40	2	-18	-22	-25	30
375	40	2.5	-18	-22	-25	31
376	40	3	-18	-22	25	32
380	41	1	17	24	26	28
384	41	3	-17	-24	28	31
388	42	1	21	25	-28	30
390	42	2	-21	-25	27	-30
391	42	2.5	-21	-25	26	-30
392	42	3	-21	-25	25	30
394	42	4	20	-25	-25	29
396	43	1	21	23	-25	-29
398	43	2	-21	-23	-25	28
400	43	3	18	22	25	-28
402	43	4	-18	-22	-25	27
404	44	1	14	21	23	28
412	45	1	0	0	0	0
412	45	1	21	21	25	28
420	45	3	19	21	28	30
428	46	2	17	21	26	31
436	47	1	21	23	25	32
438	47	1.5	-21	-23	26	-32
440	47	2	-21	-23	25	32
442	47	2.5	-21	-23	28	33
444	47	3	22	24	-28	-33
446	47	3.5	-22	-24	27	32
447	47	3.75	-22	-24	-27	31
448	48	1	21	25	28	30
451	48	1.75	-21	-25	-28	31
452	48	2	-21	-25	-28	32
454	48	2.5	20	-25	-28	28
455	48	2.75	19	-25	-28	-28
456	48	3	18	-25	27	29
458	48	3.5	-18	-25	-27	30
460	49	1	17	26	28	31
466	49	2.5	-17	-26	-28	28
468	49	3	17	26	0	-28
472	50	1	20	27	24	29
476	50	2	-20	-27	-24	29
478	50	2.5	17	26	-24	28
480	50	3	-17	-26	24	-28
482	50	3.5	-17	-26	-24	28
483	50	3.75	-17	-26	23	-28
484	51	1	18	25	22	27
486	51	1.5	21	23	21	25
488	51	2	18	25	22	27
490	51	2.5	19	24	21	26
492	51	3	20	-24	22	25
494	51	3.5	21	23	23	-25
495	51	3.75	-21	-23	-23	24
496	52	1	17	24	21	24
504	52	3	0	-24	28	31
508	53	1	21	0	-28	30
512	53	2	-21	0	25	28
516	53	3	-21	0	26	-28
520	54	1	20	24	27	29
524	54	2	17	-24	26	29
526	54	2.5	-17	-24	-26	28
527	54	2.75	18	-24	27	-28
528	54	3	19	23	28	-28
530	54	3.5	20	-23	29	27
531	54	3.75	-20	-23	-29	26
532	55	1	21	-23	28	25
536	55	2	17	21	-28	26
542	55	3.5	-17	-21	-28	24
544	56	1	0	22	0	24
546	56	1.5	20	-22	0	-24
547	56	1.75	-20	23	0	-24
548	56	2	19	24	0	0
550	56	2.5	20	25	0	0
552	56	3	21	-25	0	0
553	56	3.25	-21	24	0	0
554	56	3.5	-21	23	0	0
555	56	3.75	20	22	0	0
556	57	1	19	21	0	0
557	57	1.25	18	-21	0	0
558	57	1.5	17	22	0	0
560	57	2	-17	21	0	0
562	57	2.5	19	24	0	0
564	57	3	18	-24	0	0
566	57	3.5	-18	23	0	0
568	58	1	17	24	28	26
572	58	2	0	-24	-28	26
575	58	2.75	0	-24	-28	27
576	58	3	17	24	26	28
578	58	3.5	-17	-24	28	26
579	58	3.75	-17	23	-28	-26
580	59	1	18	22	25	27
582	59	1.5	-18	21	28	25
583	59	1.75	19	-21	-28	-25
584	59	2	20	22	27	-25
585	59	2.25	-20	-22	26	-25
586	59	2.5	21	23	25	28
588	59	3	17	24	24	26
590	59	3.5	20	-24	-24	29
594	60	1.5	19	-24	26	28
596	60	2	17	24	-26	-28
598	60	2.5	-17	-24	26	31
600	60	3	21	25	25	30
602	60	3.5	20	-25	27	29
604	61	1	18	-25	-27	-29
605	61	1.25	-18	-25	28	-29
606	61	1.5	-18	-25	29	32
608	61	2	22	26	-29	-32
609	61	2.25	-22	-26	28	30
610	61	2.5	-22	-26	27	31
611	61	2.75	-22	-26	26	-31
612	61	3	0	25	27	30
613	61	3.25	0	-25	-27	29
614	61	3.5	18	-25	25	28
615	61	3.75	-18	-25	-25	27
616	62	1	19	24	28	26
618	62	1.5	20	25	27	25
620	62	2	21	-25	25	-25
621	62	2.25	-21	21	-25	-25
622	62	2.5	-21	23	-25	28
624	62	3	18	22	-25	-28
626	62	3.5	-18	-22	-25	27
628	63	1	14	21	25	28
*-	*-	*-	*-	*-	*-	*-
