**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	32	0
4	1	2	0	0	0	32	0
6	1	2.5	0	0	0	32	0
8	1	3	25	0	0	32	0
10	1	3.5	-25	0	0	34	0
12	2	1	25	0	0	-34	0
14	2	1.5	25	0	0	33	0
16	2	2	25	0	0	32	0
18	2	2.5	27	0	0	31	0
19	2	2.75	-27	0	0	30	0
20	2	3	-27	0	0	29	36
22	2	3.5	26	0	0	-29	-36
24	3	1	25	0	0	-29	36
26	3	1.5	24	0	0	-29	36
27	3	1.75	23	0	0	-29	-36
28	3	2	22	29	0	0	36
30	3	2.5	-22	-29	0	29	38
32	3	3	-22	29	0	31	-38
34	3	3.5	-22	29	0	-31	37
36	4	1	-22	29	0	31	36
38	4	1.5	-22	31	0	31	-36
39	4	1.75	-22	-31	0	-31	35
39.5	4	1.875	-22	-31	0	-31	34
40	4	2	0	-31	0	29	33
42	4	2.5	0	30	0	28	-33
44	4	3	0	29	0	31	-33
46	4	3.5	22	-29	0	-31	-33
47	4	3.75	-22	28	0	32	-33
47.5	4	3.875	-22	27	0	-32	-33
48	5	1	24	26	0	33	0
50	5	1.5	24	-26	0	33	33
52	5	2	-24	-26	0	-33	35
54	5	2.5	24	-26	0	32	35
55	5	2.75	-24	-26	0	31	-35
56	5	3	26	0	0	30	-35
58	5	3.5	-26	0	0	-30	35
60	6	1	22	0	0	29	36
62	6	1.5	-22	26	0	33	38
63	6	1.75	22	-26	0	-33	-38
64	6	2	21	28	0	-33	-38
65	6	2.25	-21	-28	0	32	37
66	6	2.5	-21	28	0	32	37
67	6	2.75	-21	-28	0	31	36
68	6	3	-21	-28	0	32	37
70	6	3.5	-21	28	0	-32	37
72	7	1	24	29	0	31	33
74	7	1.5	24	31	0	33	33
75	7	1.75	25	-31	0	-33	34
76	7	2	26	-31	0	-33	35
77	7	2.25	-26	30	0	32	-35
78	7	2.5	27	30	0	32	36
79	7	2.75	-27	29	0	-32	-36
80	7	3	26	30	0	33	-36
81	7	3.25	-26	-30	0	-33	35
82	7	3.5	-26	-30	0	-33	35
84	8	1	22	0	0	0	36
86	8	1.5	-22	29	0	31	-36
90	8	2.5	-22	28	0	30	-36
91	8	2.75	-22	27	0	29	-36
92	8	3	0	28	0	30	0
94	8	3.5	0	27	0	29	0
96	9	1	0	29	0	31	0
98	9	1.5	0	30	0	32	0
100	9	2	0	31	0	33	0
102	9	2.5	24	-31	0	-33	33
106	9	3.5	23	-31	0	0	32
107	9	3.75	22	-31	0	0	31
108	10	1	23	0	0	0	32
110	10	1.5	22	31	0	33	31
112	10	2	24	-31	0	-33	33
114	10	2.5	25	30	0	32	34
115	10	2.75	-25	29	0	31	-34
116	10	3	26	28	0	30	35
118	10	3.5	26	31	0	33	-35
120	11	1	-26	28	0	30	0
122	11	1.5	25	31	0	33	0
123	11	1.75	24	-31	0	-33	0
124	11	2	25	30	0	32	0
126	11	2.5	26	28	0	30	35
128	11	3	24	31	0	33	-35
130	11	3.5	-24	-31	0	-33	34
131	11	3.75	-24	30	0	32	33
132	12	1	0	29	0	31	34
134	12	1.5	26	28	0	30	35
135	12	1.75	-26	-28	0	29	-35
136	12	2	-26	-28	0	28	33
138	12	2.5	25	27	0	-28	-33
139	12	2.75	24	26	0	-28	-33
140	12	3	25	27	0	0	0
142	12	3.5	26	28	0	33	35
144	13	1	24	26	0	-33	-35
146	13	1.5	-24	-26	0	32	34
147	13	1.75	-24	-26	0	31	33
148	13	2	0	0	0	32	34
150	13	2.5	26	28	0	33	35
152	13	3	-26	-28	0	31	33
154	13	3.5	25	27	0	32	35
155	13	3.75	24	26	0	-32	-35
156	14	1	25	27	0	-32	34
157	14	1.25	-25	-27	0	30	33
158	14	1.5	26	28	0	31	33
159	14	1.75	-26	-28	0	-31	32
160	14	2	24	26	0	-31	33
161	14	2.25	-24	-26	0	30	-33
162	14	2.5	25	27	0	29	32
163	14	2.75	-25	-27	0	28	-32
164	14	3	22	26	0	29	-32
166	14	3.5	-22	-26	0	29	31
168	15	1	25	27	25	29	32
170	15	1.5	-25	-27	-25	32	-32
172	15	2	-25	-27	-25	32	-32
174	15	2.5	-25	-27	-25	32	-32
177	15	3.25	0	0	-25	31	0
178	15	3.5	0	0	-25	29	0
180	16	1	0	0	-25	30	0
182	16	1.5	25	27	-25	29	0
183	16	1.75	-25	-27	-25	28	0
184	16	2	25	27	-25	27	0
186	16	2.5	25	27	-25	27	0
188	16	3	-25	25	-25	27	0
189	16	3.25	24	-25	-25	-27	0
190	16	3.5	23	25	-25	-27	0
192	17	1	-23	-25	27	0	0
193	17	1.25	-23	26	-27	0	0
194	17	1.5	22	27	-27	27	0
195	17	1.75	21	28	-27	-27	0
196	17	2	20	29	-27	27	0
197	17	2.25	-20	-29	-27	28	0
198	17	2.5	20	-29	-27	29	36
199	17	2.75	-20	-29	-27	30	-36
200	17	3	20	-29	-27	31	36
202	17	3.5	-20	-29	-27	31	36
205	18	1.25	-20	0	-27	-31	35
206	18	1.5	-20	29	-27	31	34
210	18	2.5	20	29	-27	29	33
211	18	2.75	-20	-29	-27	-29	32
212	18	3	20	29	-27	29	31
213	18	3.25	21	-29	-27	30	-31
214	18	3.5	22	29	-27	31	31
215	18	3.75	23	-29	-27	32	-31
216	19	1	24	28	26	33	31
218	19	1.5	24	31	-26	33	-31
222	19	2.5	24	30	-26	33	31
223	19	2.75	-24	29	-26	-33	32
224	19	3	-24	28	-26	-33	33
225	19	3.25	-24	-28	-26	-33	34
226	19	3.5	21	-28	-26	32	35
227	19	3.75	-21	-28	-26	31	-35
228	20	1	-21	-28	28	30	-35
230	20	1.5	21	28	-28	-30	32
232	20	2	-21	25	-28	0	32
233	20	2.25	22	-25	-28	0	-32
234	20	2.5	23	-25	-28	0	-32
235	20	2.75	24	-25	-28	0	33
236	20	3	25	0	27	0	34
237	20	3.25	-25	0	-27	0	35
238	20	3.5	25	27	25	0	36
240	21	1	22	26	29	0	-36
241	21	1.25	-22	-26	-29	0	33
242	21	1.5	-22	24	26	0	36
243	21	1.75	-22	-24	-26	0	35
244	21	2	0	26	28	0	34
245	21	2.25	0	-26	-28	0	33
246	21	2.5	0	-26	-28	0	33
247	21	2.75	0	27	-28	0	-33
247.5	21	2.875	0	28	-28	0	-33
248	21	3	0	29	27	0	-33
250	21	3.5	0	-29	-27	0	32
252	22	1	22	0	26	33	33
256	22	2	-22	29	-26	33	0
258	22	2.5	-22	-29	-26	33	0
260	22	3	-22	29	0	31	0
262	22	3.5	-22	29	0	-31	0
263	22	3.75	-22	-29	0	30	0
264	23	1	0	27	27	29	36
267	23	1.75	0	26	-27	-29	-36
268	23	2	0	25	-27	-29	36
270	23	2.5	0	-25	-27	-29	36
272	23	3	0	-25	-27	32	34
275	23	3.75	0	-25	-27	-32	33
276	24	1	25	0	-27	32	32
278	24	1.5	-25	27	-27	32	-32
280	24	2	25	27	25	30	-32
282	24	2.5	25	27	-25	29	-32
284	24	3	23	28	-25	28	0
286	24	3.5	-23	-28	-25	32	35
287	24	3.75	22	27	-25	-32	-35
288	25	1	21	28	25	-32	35
289	25	1.25	-21	27	-25	-32	-35
290	25	1.5	-21	26	26	31	37
291	25	1.75	-21	25	-26	30	-37
292	25	2	22	24	-26	31	36
294	25	2.5	-22	-24	27	-31	38
295	25	2.75	-22	25	-27	-31	-38
296	25	3	21	25	28	0	-38
298	25	3.5	21	-25	-28	32	37
300	26	1	21	28	25	-32	-37
301	26	1.25	-21	-28	-25	31	-37
302	26	1.5	-21	-28	-25	30	35
303	26	1.75	-21	-28	-25	29	-35
304	26	2	21	30	-25	28	35
305	26	2.25	22	-30	-25	-28	-35
306	26	2.5	23	30	-25	-28	35
307	26	2.75	21	-30	-25	-28	-35
308	26	3	25	29	27	29	34
310	26	3.5	-25	-29	-27	34	36
313	27	1.25	-25	-29	-27	33	35
314	27	1.5	-25	29	-27	32	34
316	27	2	25	27	29	-32	-34
318	27	2.5	-25	27	-29	31	33
319	27	2.75	-25	-27	-29	30	32
320	27	3	22	24	-29	31	33
323	27	3.75	-22	25	-29	-31	-33
324	28	1	0	26	28	0	0
326	28	1.5	24	-26	-28	31	33
328	28	2	24	0	-28	31	33
330	28	2.5	24	26	-28	31	35
332	28	3	-24	26	26	-31	-35
334	28	3.5	23	28	-26	31	35
335	28	3.75	22	-28	-26	-31	-35
336	29	1	21	-28	-26	30	35
338	29	1.5	-21	28	-26	-30	-35
340	29	2	20	31	27	29	36
344	29	3	-20	31	-27	-29	-36
346	29	3.5	-20	31	-27	-29	-36
348	30	1	21	30	25	32	0
350	30	1.5	-21	28	-25	-32	35
352	30	2	21	-28	-25	32	35
354	30	2.5	21	27	-25	32	35
355	30	2.75	-21	26	-25	-32	-35
356	30	3	-21	25	28	-32	-35
357	30	3.25	-21	-25	-28	-32	34
358	30	3.5	23	-25	-28	30	32
360	31	1	22	26	26	31	31
362	31	1.5	-22	24	27	29	34
363	31	1.75	-22	-24	-27	-29	33
364	31	2	21	26	28	30	33
365	31	2.25	-21	-26	-28	-30	32
366	31	2.5	-21	25	-28	32	35
368	31	3	25	25	29	-32	-35
369	31	3.25	-25	-25	-29	31	-35
370	31	3.5	-25	-25	-29	29	34
372	32	1	21	0	28	30	35
374	32	1.5	-21	25	-28	-30	-35
376	32	2	0	26	-28	0	0
378	32	2.5	24	28	-28	0	33
380	32	3	25	27	0	0	34
382	32	3.5	26	26	30	0	35
384	33	1	-26	28	31	0	33
386	33	1.5	25	27	32	0	34
389	33	2.25	-25	26	30	0	32
390	33	2.5	22	24	31	0	33
391	33	2.75	-22	-24	32	0	34
392	33	3	25	0	30	0	32
394	33	3.5	24	28	31	0	33
397	34	1.25	-24	26	29	0	31
398	34	1.5	21	28	30	0	32
399	34	1.75	-21	-28	-30	0	33
400	34	2	25	27	-30	0	34
401	34	2.25	24	-27	-30	0	33
402	34	2.5	23	26	29	0	32
403	34	2.75	22	-26	-29	0	31
404	34	3	23	-26	-29	0	32
405	34	3.25	-23	-26	28	0	-32
406	34	3.5	-23	25	28	0	-32
408	35	1	22	26	29	33	31
412	35	2	-22	-26	-29	33	-31
415	35	2.75	-22	-26	-29	31	-31
416	35	3	0	0	-29	34	0
418	35	3.5	0	0	-29	33	0
420	36	1	26	0	0	-33	0
422	36	1.5	-26	0	0	32	0
423	36	1.75	-26	0	0	31	0
424	36	2	26	0	0	30	0
426	36	2.5	-26	0	0	31	0
427	36	2.75	24	0	0	-31	0
428	36	3	27	0	0	-31	0
430	36	3.5	26	0	0	30	0
431	36	3.75	-26	0	0	29	0
432	37	1	-26	0	0	28	0
433	37	1.25	-26	0	0	29	0
434	37	1.5	25	0	0	30	0
435	37	1.75	24	0	0	31	0
436	37	2	23	0	0	32	0
438	37	2.5	24	24	0	33	0
440	37	3	22	-24	0	-33	0
441	37	3.25	-22	25	0	-33	0
442	37	3.5	-22	26	0	32	0
443	37	3.75	-22	27	0	31	0
444	38	1	0	28	0	30	0
446	38	1.5	21	26	0	-30	0
449	38	2.25	22	27	0	0	0
450	38	2.5	23	28	0	0	0
451	38	2.75	24	29	0	0	0
452	38	3	25	30	0	0	0
453	38	3.25	24	-30	0	0	0
454	38	3.5	23	29	0	0	0
455	38	3.75	22	-29	0	0	0
456	39	1	23	-29	0	0	0
457	39	1.25	-23	28	0	0	0
458	39	1.5	-23	28	0	0	0
460	39	2	22	29	0	0	0
462	39	2.5	-22	26	0	29	0
464	39	3	0	27	0	-29	0
465	39	3.25	0	-27	0	30	0
466	39	3.5	0	-27	0	31	0
467	39	3.75	0	-27	0	32	0
468	40	1	0	26	0	33	0
470	40	1.5	0	-26	0	33	31
472	40	2	0	0	0	33	-31
473	40	2.25	0	0	0	-33	32
474	40	2.5	0	29	0	-33	33
475	40	2.75	0	-29	0	32	34
476	40	3	0	28	0	30	35
478	40	3.5	0	29	0	31	33
481	41	1.25	0	-29	0	32	34
482	41	1.5	0	28	0	33	35
483	41	1.75	0	27	0	34	36
484	41	2	0	28	0	32	37
485	41	2.25	0	-28	0	31	-37
486	41	2.5	0	29	0	30	36
487	41	2.75	0	-29	0	29	-36
488	41	3	0	26	0	30	-36
489	41	3.25	0	-26	0	-30	35
490	41	3.5	0	-26	0	-30	35
492	42	1	22	26	31	29	36
494	42	1.5	-22	27	-31	-29	36
496	42	2	22	-27	-31	0	36
498	42	2.5	22	26	-31	29	36
500	42	3	22	26	-31	29	38
502	42	3.5	22	-26	-31	29	-38
503	42	3.75	-22	-26	-31	-29	37
504	43	1	22	0	-31	31	36
506	43	1.5	-22	0	-31	30	35
507	43	1.75	-22	0	-31	29	34
508	43	2	24	0	-31	28	33
510	43	2.5	20	0	-31	29	34
512	43	3	24	0	-31	-29	-34
513	43	3.25	-24	0	-31	26	-34
514	43	3.5	-24	0	-31	28	33
516	44	1	25	0	29	27	-33
517	44	1.25	-25	0	-29	-27	32
518	44	1.5	-25	0	-29	-27	32
519	44	1.75	24	0	-29	-27	-32
520	44	2	22	0	-29	26	33
522	44	2.5	24	26	-29	-26	-33
524	44	3	23	-26	28	0	0
526	44	3.5	-23	25	-28	0	0
528	45	1	22	26	29	0	0
530	45	1.5	-22	27	-29	0	29
532	45	2	-22	-27	-29	0	31
534	45	2.5	-22	26	-29	0	-31
535	45	2.75	-22	25	-29	0	32
536	45	3	0	24	29	0	33
538	45	3.5	0	25	-29	0	34
540	46	1	24	26	28	33	35
542	46	1.5	-24	-26	-28	-33	35
544	46	2	24	-26	-28	33	35
546	46	2.5	24	-26	26	33	36
548	46	3	22	0	27	31	-36
549	46	3.25	-22	0	-27	-31	37
550	46	3.5	-22	0	-27	-31	38
551	46	3.75	-22	0	-27	32	-38
552	47	1	21	0	28	33	37
554	47	1.5	20	0	29	34	36
556	47	2	21	0	30	32	-36
558	47	2.5	-21	0	-30	-32	35
559	47	2.75	-21	0	28	-32	-35
560	47	3	25	0	29	-32	-35
562	47	3.5	-25	29	-29	32	34
564	48	1	21	30	28	32	35
568	48	2	24	28	0	0	0
570	48	2.5	-24	29	26	0	0
572	48	3	24	28	26	0	0
574	48	3.5	24	26	28	0	0
575	48	3.75	23	-26	-28	0	0
576	49	1	24	28	-28	0	0
577	49	1.25	25	-28	26	0	0
578	49	1.5	26	-28	28	0	0
579	49	1.75	-26	-28	29	0	0
580	49	2	-26	-28	30	0	0
582	49	2.5	25	27	29	0	0
583	49	2.75	24	26	-29	0	0
584	49	3	23	25	-29	32	0
586	49	3.5	23	-25	28	-32	0
588	50	1	22	26	29	31	0
590	50	1.5	-22	-26	-29	-31	33
591	50	1.75	-22	-26	-29	29	-33
592	50	2	0	-26	0	31	33
593	50	2.25	0	-26	0	32	-33
594	50	2.5	0	-26	0	33	35
597	50	3.25	0	-26	0	-33	33
598	50	3.5	0	-26	0	32	35
599	50	3.75	0	-26	0	31	36
600	51	1	0	0	0	32	37
602	51	1.5	0	0	0	33	38
604	51	2	0	0	0	32	37
605	51	2.25	0	0	0	31	-37
606	51	2.5	0	0	0	30	36
607	51	2.75	0	0	0	29	-36
608	51	3	0	0	0	30	-36
609	51	3.25	0	0	0	-30	35
610	51	3.5	0	0	0	-30	35
612	52	1	22	26	31	29	36
616	52	2	-22	26	-31	-29	0
618	52	2.5	22	26	-31	-29	0
620	52	3	26	28	-31	0	0
622	52	3.5	27	29	-31	0	0
624	53	1	24	-29	-31	0	33
626	53	1.5	24	28	-31	0	-33
628	53	2	-24	26	-31	0	33
630	53	2.5	26	28	-31	0	33
632	53	3	-26	28	31	0	35
633	53	3.25	25	27	-31	0	-35
634	53	3.5	24	26	-31	0	36
635	53	3.75	23	25	-31	0	-36
636	54	1	22	24	31	0	-36
638	54	1.5	24	-24	-31	0	35
639	54	1.75	-24	-24	30	0	-35
640	54	2	-24	0	28	0	33
642	54	2.5	23	0	29	0	34
643	54	2.75	22	0	-29	0	-34
644	54	3	23	0	-29	0	35
645	54	3.25	-23	0	-29	0	34
646	54	3.5	-23	0	28	0	33
647	54	3.75	-23	0	-28	0	32
648	55	1	22	26	29	33	31
652	55	2	0	26	28	33	0
654	55	2.5	0	26	-28	33	35
656	55	3	0	26	-28	-33	-35
657	55	3.25	0	-26	-28	32	-35
658	55	3.5	0	-26	-28	30	35
660	56	1	22	24	26	29	36
662	56	1.5	-22	-24	27	-29	-36
663	56	1.75	-22	-24	-27	-29	34
664	56	2	-22	-24	-27	31	36
665	56	2.25	-22	-24	-27	-31	37
666	56	2.5	-22	-24	26	-31	38
667	56	2.75	-22	-24	25	-31	-38
668	56	3	22	24	26	-31	-38
670	56	3.5	-22	-24	27	-31	36
672	57	1	21	25	28	30	37
674	57	1.5	-21	25	-28	-30	35
676	57	2	0	26	-28	30	-35
678	57	2.5	21	25	-28	32	35
680	57	3	25	27	0	-32	34
681	57	3.25	-25	-27	0	31	-34
682	57	3.5	-25	-27	0	29	36
683	57	3.75	24	26	0	-29	-36
684	58	1	22	24	0	31	-36
685	58	1.25	-22	-24	0	-31	35
686	58	1.5	24	24	28	28	33
688	58	2	21	25	-28	32	32
690	58	2.5	25	-25	27	-32	34
691	58	2.75	-25	-25	-27	31	-34
692	58	3	-25	0	29	29	-34
