**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	25	32
8	1	3	0	0	25	34
11	1	3.75	0	0	-25	33
12	2	1	0	0	27	32
14	2	1.5	0	0	-27	31
16	2	2	0	0	-27	32
18	2	2.5	0	0	-27	34
20	2	3	0	0	25	-34
22	2	3.5	0	0	-25	33
23	2	3.75	0	0	-25	32
24	3	1	0	0	24	33
26	3	1.5	0	0	-24	31
28	3	2	0	0	-24	33
30	3	2.5	0	0	-24	34
32	3	3	0	0	26	35
34	3	3.5	0	0	27	36
36	4	1	0	0	28	-36
38	4	1.5	0	0	-28	35
40	4	2	0	0	29	-35
41	4	2.25	0	0	-29	33
42	4	2.5	0	0	-29	34
44	4	3	0	0	28	33
46	4	3.5	0	0	-28	35
47	4	3.75	0	0	29	-35
48	5	1	0	0	30	-35
50	5	1.5	0	0	31	34
51	5	1.75	0	0	-31	33
52	5	2	0	0	-31	32
54	5	2.5	0	0	30	-32
56	5	3	0	0	31	0
58	5	3.5	0	0	-31	31
60	6	1	0	0	0	33
62	6	1.5	0	0	24	-33
63	6	1.75	0	0	-24	34
64	6	2	0	0	26	35
65	6	2.25	0	0	-26	34
66	6	2.5	0	0	27	32
67	6	2.75	0	0	-27	34
68	6	3	0	0	28	33
69	6	3.25	0	0	27	-33
70	6	3.5	0	0	25	32
71	6	3.75	0	0	27	-32
72	7	1	0	0	26	-32
74	7	1.5	0	0	-26	31
76	7	2	0	0	25	32
78	7	2.5	0	0	-25	30
78.6667	7	2.66667	0	0	28	-30
80	7	3	0	0	29	31
81.3333	7	3.33333	0	0	27	-31
83	7	3.75	0	0	-27	32
83.3333	7	3.83333	0	0	26	-32
84	8	1	21	0	28	30
90	8	2.5	-21	0	28	-30
92	8	3	21	0	30	0
94	8	3.5	-21	0	31	0
96	9	1	23	25	32	0
98	9	1.5	-23	-25	-32	32
100	9	2	-23	-25	-32	34
104	9	3	21	25	30	35
108	10	1	20	27	29	36
112	10	2	22	-27	-29	36
114	10	2.5	-22	-27	-29	34
116	10	3	23	25	0	-34
118	10	3.5	-23	-25	0	33
119	10	3.75	-23	-25	0	32
120	11	1	24	24	28	33
122	11	1.5	-24	-24	-28	35
124	11	2	-24	26	31	-35
125	11	2.25	-24	-26	-31	34
126	11	2.5	-24	-26	-31	33
128	11	3	25	27	30	32
130	11	3.5	-25	-27	29	34
132	12	1	0	28	28	33
134	12	1.5	0	-28	30	35
137	12	2.25	0	-28	31	-35
138	12	2.5	0	-28	32	34
140	12	3	0	29	-32	33
142	12	3.5	0	-29	31	-33
144	13	1	25	0	32	32
146	13	1.5	-25	0	-32	34
148	13	2	24	0	29	33
150	13	2.5	25	0	-29	34
153	13	3.25	24	0	-29	33
154	13	3.5	22	0	-29	31
155	13	3.75	23	0	-29	32
156	14	1	24	29	0	33
158	14	1.5	-24	-29	26	31
159	14	1.75	22	-29	-26	-31
160	14	2	23	28	25	32
162	14	2.5	24	29	26	31
164	14	3	22	-29	24	33
165	14	3.25	-22	28	-24	-33
166	14	3.5	-22	26	-24	32
167	14	3.75	-22	27	25	31
168	15	1	21	28	25	30
170	15	1.5	-21	-28	28	33
171	15	1.75	-21	26	-28	-33
172	15	2	0	27	29	-33
174	15	2.5	0	28	30	32
176	15	3	0	26	28	-32
177	15	3.25	0	-26	-28	31
178	15	3.5	0	-26	-28	31
180	16	1	0	25	0	32
182	16	1.5	21	-25	30	-32
184	16	2	21	0	30	0
186	16	2.5	21	0	32	0
189	16	3.25	22	0	31	0
190	16	3.5	23	0	30	0
191	16	3.75	24	0	29	0
192	17	1	25	0	30	0
194	17	1.5	25	25	29	34
196	17	2	-25	25	27	34
197	17	2.25	24	-25	-27	-34
198	17	2.5	23	25	27	34
199	17	2.75	22	-25	-27	-34
200	17	3	23	-25	25	-34
201	17	3.25	-23	26	-25	-34
202	17	3.5	-23	27	-25	33
203	17	3.75	-23	28	-25	32
204	18	1	22	29	26	31
206	18	1.5	-22	29	-26	-31
207	18	1.75	-22	-29	-26	30
208	18	2	0	-29	0	31
209	18	2.25	0	28	0	30
210	18	2.5	0	27	0	33
211	18	2.75	0	26	0	-33
212	18	3	0	27	29	-33
214	18	3.5	0	-27	-29	32
216	19	1	22	26	31	33
220	19	2	24	0	-31	-33
222	19	2.5	-24	0	30	-33
223	19	2.75	-24	0	29	-33
224	19	3	-24	0	28	-33
228	20	1	22	26	29	0
232	20	2	21	28	30	0
238	20	3.5	-21	-28	-30	32
240	21	1	22	26	29	31
241	21	1.25	-22	-26	-29	30
242	21	1.5	-22	-26	-29	31
244	21	2	20	25	29	32
246	21	2.5	21	-25	30	-32
247	21	2.75	-21	-25	29	31
248	21	3	-21	-25	28	30
249	21	3.25	18	-25	27	-30
250	21	3.5	20	-25	29	29
252	22	1	19	26	28	33
253	22	1.25	-19	-26	27	-33
254	22	1.5	-19	-26	28	-33
256	22	2	0	24	29	33
258	22	2.5	0	25	-29	32
259	22	2.75	0	-25	-29	31
260	22	3	0	-25	0	30
261	22	3.25	0	22	0	29
262	22	3.5	0	24	0	29
264	23	1	0	23	32	-29
266	23	1.5	0	-23	-32	28
268	23	2	22	0	31	29
270	23	2.5	-22	0	-31	31
271	23	2.75	-22	0	30	-31
272	23	3	24	0	29	-31
273	23	3.25	-24	0	-29	32
274	23	3.5	-24	0	28	33
275	23	3.75	23	0	-28	-33
276	24	1	22	0	29	-33
277	24	1.25	-22	0	-29	32
278	24	1.5	21	0	25	31
279	24	1.75	-21	0	-25	30
280	24	2	22	26	24	31
281	24	2.25	-22	-26	23	-31
282	24	2.5	-22	-26	24	-31
284	24	3	21	28	25	30
286	24	3.5	24	-28	24	33
287	24	3.75	-24	27	-24	-33
288	25	1	-24	26	28	-33
289	25	1.25	-24	-26	-28	31
290	25	1.5	23	25	-28	32
292	25	2	24	26	0	28
294	25	2.5	-24	-26	0	35
295	25	2.75	23	-26	0	-35
296	25	3	21	25	0	-35
297	25	3.25	-21	-25	0	34
298	25	3.5	23	28	25	33
299	25	3.75	-23	-28	-25	32
300	26	1	22	-28	26	31
302	26	1.5	-22	27	24	-31
304	26	2	21	28	25	30
306	26	2.5	24	-28	26	33
307	26	2.75	-24	27	27	-33
308	26	3	-24	25	28	-33
309	26	3.25	23	-25	29	-33
310	26	3.5	25	27	30	32
311	26	3.75	-25	-27	29	-32
312	27	1	22	26	29	-32
314	27	1.5	-22	-26	-29	31
315	27	1.75	-22	-26	28	-31
316	27	2	18	25	27	32
317	27	2.25	-18	-25	26	-32
318	27	2.5	-18	-25	27	-32
322	27	3.5	-18	-25	25	-32
324	28	1	-18	-25	29	-32
336	29	1	0	0	0	0
336	29	1	0	0	29	33
340	29	3	0	0	28	-33
342	29	4	0	0	29	-33
344	30	1	0	0	-29	33
346	30	2	0	0	28	-33
347	30	2.5	0	0	27	-33
348	30	3	0	0	26	33
352	31	1	0	0	25	34
356	31	3	0	0	0	33
358	31	4	0	0	29	34
360	32	1	0	0	29	-34
362	32	2	0	0	-29	33
363	32	2.5	0	0	-29	32
364	32	3	0	0	29	33
368	33	1	0	0	30	32
371	33	2.5	0	0	-30	33
372	33	3	0	0	29	34
374	33	4	0	0	30	35
376	34	1	0	0	-30	32
378	34	2	0	0	29	35
379	34	2.5	0	0	28	-35
380	34	3	0	0	29	-35
382	34	4	0	0	-29	34
384	35	1	0	0	28	35
387	35	2.5	0	0	-28	34
388	35	3	0	0	-28	32
390	35	4	0	0	-28	33
392	36	1	0	0	0	33
394	36	2	0	0	0	32
395	36	2.5	0	0	0	31
396	36	3	0	0	28	32
398	36	4	0	0	-28	33
400	37	1	0	0	28	30
403	37	2.5	0	0	27	-30
404	37	3	0	0	25	0
406	37	4	0	0	26	30
408	38	1	0	0	-26	30
410	38	2	0	0	25	-30
411	38	2.5	0	0	24	-30
412	38	3	0	0	25	30
414	38	4	0	0	26	-30
416	39	1	0	26	22	31
420	39	3	0	-26	0	30
422	39	4	0	-26	0	31
424	40	1	0	26	0	-31
426	40	2	0	-26	0	30
427	40	2.5	0	-26	0	29
428	40	3	0	26	0	30
432	41	1	22	27	0	29
436	41	3	-22	26	29	0
438	41	4	-22	27	-29	31
440	42	1	22	-27	29	31
442	42	2	-22	26	-29	-31
443	42	2.5	-22	25	-29	-31
444	42	3	22	26	29	31
448	43	1	23	25	27	32
451	43	2.5	-23	-25	28	-32
452	43	3	22	0	29	31
454	43	4	23	0	25	32
458	44	2	22	0	28	31
459	44	2.5	21	0	-28	30
460	44	3	22	24	-28	31
462	44	4	-22	-24	27	-31
464	45	1	21	25	28	30
468	45	3	0	26	-28	-30
472	46	1	0	27	29	0
474	46	2	0	25	-29	0
476	46	3	20	27	-29	29
480	47	1	21	26	0	30
484	47	3	22	26	29	31
488	48	1	23	25	27	32
490	48	2	21	-25	-27	-32
492	48	3	23	-25	25	35
494	48	4	-23	-25	25	-35
496	49	1	22	0	-25	34
498	49	2	-22	0	24	33
499	49	2.5	-22	0	23	-33
500	49	3	22	27	24	34
501	49	3.5	-22	-27	-24	33
502	49	4	-22	-27	-24	32
503	49	4.5	-22	-27	-24	31
504	50	1	21	28	25	30
506	50	2	-21	-28	-25	28
508	50	3	-21	-28	-25	30
510	50	4	-21	27	-25	-30
511	50	4.5	-21	26	-25	31
512	51	1	0	27	0	32
514	51	2	0	-27	0	33
515	51	2.5	0	26	0	-33
516	51	3	23	27	25	-33
518	51	4	-23	-27	-25	32
520	52	1	24	26	28	33
522	52	2	-24	-26	28	-33
524	52	3	-24	-26	26	-33
526	52	4	23	-26	-26	-33
527	52	4.5	22	-26	27	-33
528	53	1	23	0	28	0
530	53	2	-23	0	29	0
531	53	2.5	22	0	-29	0
532	53	3	23	0	-29	0
534	53	4	-23	0	28	0
536	54	1	22	26	29	33
538	54	2	-22	-26	31	-33
540	54	3	-22	24	-31	-33
542	54	4	-22	-24	30	-33
543	54	4.5	-22	-24	29	-33
544	55	1	0	23	30	32
545	55	1.5	0	-23	29	-32
546	55	2	0	-23	28	-32
547	55	2.5	0	22	27	-32
548	55	3	0	23	28	32
552	56	1	22	22	29	31
556	56	3	20	25	-29	32
560	57	1	19	-25	0	33
563	57	2.5	18	-25	0	-33
564	57	3	19	24	0	35
568	58	1	18	25	29	34
572	58	3	21	-25	30	32
574	58	4	-21	-25	30	32
578	59	2	-21	-25	29	31
579	59	2.5	-21	-25	28	30
580	59	3	20	-25	29	29
582	59	4	-20	-25	-29	32
584	60	1	21	23	28	-32
586	60	2	-21	-23	32	30
590	60	4	-21	24	30	28
592	61	1	-21	25	-30	28
594	61	2	-21	26	28	-28
596	61	3	-21	-26	28	0
598	61	4	-21	25	-28	35
600	62	1	19	26	0	35
602	62	2	-19	-26	28	-35
