**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	22	0	0	0	0
8	2	1	24	26	0	0	0
16	3	1	23	28	0	0	0
20	3	2	21	-28	0	0	0
24	4	1	22	27	0	0	0
28	4	2	20	25	0	0	0
32	5	1	19	26	0	0	0
36	5	2	-19	24	0	0	0
40	6	1	0	23	0	0	0
42	6	1.5	19	-23	0	0	0
44	6	2	19	-23	0	0	0
46	6	2.5	19	-23	0	0	0
50	7	1.5	21	23	0	0	0
52	7	2	-21	23	0	0	0
53	7	2.25	22	-23	0	0	0
54	7	2.5	23	23	0	0	0
55	7	2.75	24	-23	0	0	0
56	8	1	25	-23	0	0	0
58	8	1.5	-25	25	0	0	0
61	8	2.25	-25	26	0	0	0
62	8	2.5	23	27	0	0	0
63	8	2.75	-23	28	0	0	0
64	9	1	24	29	0	0	0
65	9	1.25	23	-29	0	0	0
66	9	1.5	22	28	0	0	0
67	9	1.75	21	-28	0	0	0
68	9	2	22	-28	0	0	0
70	9	2.5	-22	27	0	0	0
72	10	1	21	28	0	0	0
74	10	1.5	-21	25	0	0	0
76	10	2	19	28	0	0	0
78	10	2.5	20	29	0	0	0
80	11	1	-20	-29	0	29	0
81	11	1.25	19	28	0	-29	0
82	11	1.5	18	27	0	-29	0
83	11	1.75	17	26	0	-29	0
84	11	2	18	27	0	-29	0
88	12	1	17	26	0	31	33
94	12	2.5	-17	-26	0	31	-33
96	13	1	0	-26	0	30	35
100	13	2	0	-26	0	28	-35
102	13	2.5	0	-26	0	-28	35
104	14	1	0	0	0	29	34
108	14	2	0	0	0	27	32
112	15	1	0	0	0	26	33
116	15	2	0	0	0	0	31
118	15	2.5	0	0	0	29	-31
120	16	1	0	0	0	-29	30
122	16	1.5	0	0	0	28	-30
124	16	2	0	0	0	29	0
126	16	2.5	0	0	0	28	33
127	16	2.75	0	0	0	27	-33
128	17	1	0	0	0	26	-33
129	17	1.25	0	0	0	-26	32
130	17	1.5	0	0	0	28	32
132	17	2	0	0	0	-28	33
134	17	2.5	0	0	0	27	32
135	17	2.75	0	0	0	26	31
136	18	1	0	0	0	25	30
138	18	1.5	0	0	0	-25	32
139	18	1.75	0	0	0	26	-32
140	18	2	0	0	0	27	-32
142	18	2.5	0	0	0	28	31
143	18	2.75	0	0	0	-28	30
144	19	1	0	25	0	-28	29
146	19	1.5	0	-25	0	27	-29
148	19	2	0	26	0	28	28
150	19	2.5	0	28	0	30	-28
152	20	1	0	-28	0	-30	32
154	20	1.5	0	27	0	29	-32
156	20	2	0	28	0	30	-32
158	20	2.5	0	27	0	29	32
159	20	2.75	0	26	0	28	-32
160	21	1	0	25	0	27	32
162	21	1.5	0	-25	0	-27	32
164	21	2	0	0	0	28	30
166	21	2.5	0	28	0	-28	-30
